patch,seed,N,arm,D_max,frac_ferm,d_s,delta_rel,n_ejes,PR,ejes_reales,holonomia,gigante,diam_fin,pasos
1,20653,2500,excl_orto,8,0.654,5.409,0.051,2,6.925,1,0.94,0.907,3,17
1,20653,2500,sin_excl,8,0.654,5.221,0.048,1,3.733,1,0.903,0.901,4,17
1,20653,2500,excl_orto_barajada,8,0.654,4.873,0.044,1,6.488,1,1.017,0.907,4,17
1,20653,2500,excl_orto_bosones,8,0.654,5.317,0.038,1,5.796,1,1.011,0.905,4,17
1,20653,2500,marco_congelado,8,0.654,5.254,0.049,0,7.956,0,0.966,0.902,4,17
2,20656,2500,excl_orto,8,0.769,5.47,0.043,2,6.571,1,0.878,0.906,4,17
2,20656,2500,sin_excl,8,0.769,5.181,0.045,2,4.456,1,0.976,0.924,4,17
2,20656,2500,excl_orto_barajada,8,0.769,5.309,0.047,1,7.098,1,0.995,0.922,4,16
2,20656,2500,excl_orto_bosones,8,0.769,5.453,0.046,1,5.687,1,0.924,0.909,4,17
2,20656,2500,marco_congelado,8,0.769,5.654,0.047,0,7.98,0,0.92,0.91,4,17
4,20662,2500,excl_orto,8,0.623,5.347,0.05,1,6.438,1,0.872,0.908,4,17
4,20662,2500,sin_excl,8,0.623,5.497,0.047,1,4.174,1,0.962,0.912,3,17
4,20662,2500,excl_orto_barajada,8,0.623,5.309,0.049,1,6.6,1,0.906,0.904,1,17
4,20662,2500,excl_orto_bosones,8,0.623,5.462,0.046,1,5.693,1,0.915,0.906,4,17
4,20662,2500,marco_congelado,8,0.623,5.27,0.048,0,7.979,0,1.014,0.911,3,17
3,20659,2500,excl_orto,8,0.893,4.57,0.047,0,7.048,0,0.929,0.916,3,17
3,20659,2500,sin_excl,8,0.893,5.268,0.048,1,5.335,1,0.828,0.905,4,17
3,20659,2500,excl_orto_barajada,8,0.893,5.177,0.052,1,7.057,1,0.991,0.916,4,17
3,20659,2500,excl_orto_bosones,8,0.893,4.953,0.043,1,5.206,1,0.965,0.908,4,17
3,20659,2500,marco_congelado,8,0.893,5.217,0.047,0,7.965,0,1.066,0.902,4,17
5,20665,2500,excl_orto,8,0.569,5.313,0.051,3,6.691,1,1.006,0.902,3,17
5,20665,2500,sin_excl,8,0.569,5.358,0.044,1,5.712,1,0.986,0.908,4,17
5,20665,2500,excl_orto_barajada,8,0.569,5.44,0.053,1,5.845,1,0.907,0.908,4,17
5,20665,2500,excl_orto_bosones,8,0.569,5.493,0.044,1,5.791,1,0.926,0.903,4,17
5,20665,2500,marco_congelado,8,0.569,5.559,0.046,0,7.983,0,1.11,0.904,4,17
0,20650,2500,excl_orto,8,0.735,4.296,0.049,1,6.084,1,0.978,0.909,4,17
0,20650,2500,sin_excl,8,0.735,5.612,0.046,2,5.168,1,0.871,0.904,4,17
0,20650,2500,excl_orto_barajada,8,0.735,5.507,0.043,2,6.764,1,0.921,0.917,3,17
0,20650,2500,excl_orto_bosones,8,0.735,5.26,0.05,2,5.726,1,1.091,0.902,4,17
0,20650,2500,marco_congelado,8,0.735,5.376,0.045,0,7.98,0,0.931,0.907,4,17
6,20668,2500,excl_orto,8,0.624,5.337,0.045,1,6.492,1,0.915,0.903,4,17
6,20668,2500,sin_excl,8,0.624,5.339,0.049,1,3.88,1,0.795,0.905,3,17
6,20668,2500,excl_orto_barajada,8,0.624,5.293,0.046,2,6.514,1,0.86,0.908,4,17
6,20668,2500,excl_orto_bosones,8,0.624,5.69,0.044,1,5.282,1,0.9,0.904,4,17
6,20668,2500,marco_congelado,8,0.624,5.285,0.047,0,7.982,0,0.958,0.908,4,17
10,20680,2500,excl_orto,8,0.541,5.082,0.047,1,5.962,1,0.86,0.909,4,17
10,20680,2500,sin_excl,8,0.541,4.784,0.043,2,5.555,1,1.003,0.906,1,17
10,20680,2500,excl_orto_barajada,8,0.541,5.101,0.05,3,6.619,1,0.973,0.894,4,17
10,20680,2500,excl_orto_bosones,8,0.541,5.32,0.044,1,6.282,1,0.946,0.901,4,17
10,20680,2500,marco_congelado,8,0.541,5.248,0.048,0,7.973,0,1.13,0.906,3,17
8,20674,2500,excl_orto,8,0.703,5.053,0.048,1,6.531,1,1.03,0.912,4,17
8,20674,2500,sin_excl,8,0.703,5.047,0.048,2,5.517,1,1.01,0.899,4,17
8,20674,2500,excl_orto_barajada,8,0.703,5.411,0.042,1,6.0,1,0.935,0.912,4,17
8,20674,2500,excl_orto_bosones,8,0.703,5.294,0.043,3,6.081,1,0.841,0.903,3,17
8,20674,2500,marco_congelado,8,0.703,5.314,0.048,0,7.972,0,1.001,0.912,3,17
7,20671,2500,excl_orto,8,0.732,4.96,0.038,1,6.075,1,0.945,0.913,4,17
7,20671,2500,sin_excl,8,0.732,5.294,0.039,1,5.54,1,1.041,0.917,4,17
7,20671,2500,excl_orto_barajada,8,0.732,5.431,0.046,2,6.826,1,1.013,0.906,3,17
7,20671,2500,excl_orto_bosones,8,0.732,5.174,0.044,1,5.502,1,0.961,0.904,4,17
7,20671,2500,marco_congelado,8,0.732,5.198,0.047,0,7.971,0,0.999,0.908,4,17
11,20683,2500,excl_orto,8,0.735,5.191,0.047,2,6.572,1,0.977,0.918,4,17
11,20683,2500,sin_excl,8,0.735,5.397,0.043,1,5.55,1,0.91,0.914,4,17
11,20683,2500,excl_orto_barajada,8,0.735,4.799,0.047,4,6.661,1,1.168,0.907,4,17
11,20683,2500,excl_orto_bosones,8,0.735,5.217,0.044,2,5.771,1,0.945,0.909,4,17
11,20683,2500,marco_congelado,8,0.735,5.385,0.047,0,7.973,0,1.101,0.908,4,17
9,20677,2500,excl_orto,8,0.814,4.936,0.047,2,6.972,1,1.002,0.915,3,17
9,20677,2500,sin_excl,8,0.814,5.185,0.05,4,5.967,1,0.912,0.903,4,17
9,20677,2500,excl_orto_barajada,8,0.814,5.352,0.042,2,6.664,1,0.964,0.921,4,17
9,20677,2500,excl_orto_bosones,8,0.814,5.483,0.048,1,5.818,1,0.896,0.91,3,17
9,20677,2500,marco_congelado,8,0.814,5.43,0.048,0,7.984,0,0.912,0.914,3,17
12,20686,2500,excl_orto,8,0.745,5.658,0.049,2,6.689,1,0.953,0.899,4,17
12,20686,2500,sin_excl,8,0.745,5.184,0.053,1,4.461,1,0.92,0.908,4,17
12,20686,2500,excl_orto_barajada,8,0.745,5.348,0.049,1,6.571,1,1.013,0.907,3,17
12,20686,2500,excl_orto_bosones,8,0.745,5.524,0.053,2,5.423,1,1.023,0.916,4,17
12,20686,2500,marco_congelado,8,0.745,4.774,0.046,0,7.978,0,0.877,0.908,4,17
15,20695,2500,excl_orto,8,0.764,4.994,0.047,1,6.807,1,0.984,0.903,4,17
15,20695,2500,sin_excl,8,0.764,5.298,0.046,1,5.227,1,0.896,0.916,3,17
15,20695,2500,excl_orto_barajada,8,0.764,5.056,0.046,3,6.787,1,0.995,0.901,4,17
15,20695,2500,excl_orto_bosones,8,0.764,5.29,0.046,1,5.316,1,1.091,0.902,4,17
15,20695,2500,marco_congelado,8,0.764,5.414,0.046,0,7.986,0,1.042,0.912,4,17
13,20689,2500,excl_orto,8,0.739,5.302,0.049,1,6.23,1,0.864,0.911,4,17
13,20689,2500,sin_excl,8,0.739,5.612,0.043,1,4.535,1,0.811,0.916,4,17
13,20689,2500,excl_orto_barajada,8,0.739,5.488,0.045,2,6.321,1,0.942,0.914,4,17
13,20689,2500,excl_orto_bosones,8,0.739,5.444,0.046,1,4.878,1,0.922,0.908,4,17
13,20689,2500,marco_congelado,8,0.739,5.207,0.049,0,7.981,0,1.073,0.919,4,17
16,20698,2500,excl_orto,8,0.784,5.136,0.045,2,7.022,1,0.936,0.909,4,17
16,20698,2500,sin_excl,8,0.784,5.229,0.048,1,4.504,1,0.845,0.9,3,17
16,20698,2500,excl_orto_barajada,8,0.784,5.521,0.044,2,6.935,1,0.892,0.906,3,17
16,20698,2500,excl_orto_bosones,8,0.784,5.51,0.044,2,5.578,1,0.883,0.907,3,17
16,20698,2500,marco_congelado,8,0.784,5.215,0.044,0,7.982,0,0.925,0.904,3,17
14,20692,2500,excl_orto,8,0.632,5.17,0.044,2,6.136,1,0.962,0.913,3,17
14,20692,2500,sin_excl,8,0.632,5.512,0.049,1,4.226,1,0.778,0.899,1,17
14,20692,2500,excl_orto_barajada,8,0.632,5.079,0.04,1,6.725,1,1.005,0.912,4,17
14,20692,2500,excl_orto_bosones,8,0.632,5.3,0.042,1,5.086,1,0.83,0.9,3,17
14,20692,2500,marco_congelado,8,0.632,5.808,0.047,0,7.984,0,1.007,0.899,3,17
