cfg_id,q,gigante_real,ncomp_real,gigante_null,ncomp_null
F3D00,0.05,0.00433996383363472,3872,0.0012658227848101266,4718
F3D00,0.1,0.010216998191681736,5905,0.00135623869801085,7819
F3D00,0.15,0.02718668997528483,6684,0.0016275845439749231,9411
F3D00,0.2,0.11031240110312401,6616,0.0020344500203445,9632
F3D00,0.25,0.30812355324074076,6045,0.008608217592592593,8559
F3D00,0.3,0.6050997649044547,5183,0.03161733678943879,6653
F3D00,0.35,0.7619810370217274,4131,0.6540677396853283,4558
F3D00,0.4,0.8686393742794494,3135,0.8775685512127857,2955
F3D00,0.45,0.9235622714302938,2334,0.9444198850620906,1814
F3D00,0.5,0.9530888310185185,1745,0.9751519097222222,1064
F3D00,0.55,0.9729885246440667,1158,0.9889027718409891,562
F3D00,0.6,0.9842513751789617,783,0.9953432295983724,277
F3D00,0.65,0.9909160464631008,502,0.9980385337692147,126
F3D00,0.7,0.9955046890743277,308,0.9992507815123879,56
F3D00,0.75,0.9977454668209876,173,0.9997347608024691,23
F3D00,0.8,0.9991748895143151,73,0.9998982740497101,10
F3D00,0.85,0.9997021371658351,29,1.0,1
F3D00,0.9,0.9999095768195153,10,1.0,1
F3D00,0.95,0.9999714454322209,4,1.0,1
F3D01,0.05,0.004159132007233273,3535,0.0012658227848101266,4694
F3D01,0.1,0.015009041591320072,5062,0.0011754068716094033,7872
F3D01,0.15,0.024172644523479413,5584,0.0015070227259027067,9525
F3D01,0.2,0.061847280618472805,5367,0.0026673900266739005,9755
F3D01,0.25,0.5392071759259259,4762,0.005533854166666667,8734
F3D01,0.3,0.7223461329796853,3962,0.046175176321658934,6871
F3D01,0.35,0.820471749295993,3139,0.6702146898493813,4725
F3D01,0.4,0.8916517847051111,2430,0.8718719623844293,3039
F3D01,0.45,0.9364224570992243,1751,0.9436161234577825,1915
F3D01,0.5,0.9639395254629629,1233,0.9733434606481481,1144
F3D01,0.55,0.9808963272284879,803,0.9876533061519744,638
F3D01,0.6,0.9900384296586542,512,0.994408861427172,341
F3D01,0.65,0.9946164011963553,322,0.997342978368227,179
F3D01,0.7,0.9974810757744077,171,0.9990182654300256,75
F3D01,0.75,0.9986617476851852,95,0.9996744791666666,28
F3D01,0.8,0.9993331298814327,50,0.9999547884665378,5
F3D01,0.85,0.9997978787911024,16,1.0,1
F3D01,0.9,0.9999799059598923,3,1.0,1
F3D01,0.95,1.0,1,1.0,1
F3D02,0.05,0.005063291139240506,3616,0.0016274864376130199,4691
F3D02,0.1,0.0065099457504520794,5328,0.00108499095840868,7860
F3D02,0.15,0.008499608174091264,5865,0.0016878654530110314,9457
F3D02,0.2,0.027849360278493603,5537,0.0020344500203445,9592
F3D02,0.25,0.3377821180555556,4643,0.005172164351851852,8693
F3D02,0.3,0.735005123877268,3720,0.03393815178732895,6849
F3D02,0.35,0.8548841294856228,2883,0.6755108895031906,4666
F3D02,0.4,0.9226439405927165,2204,0.872143228519113,3047
F3D02,0.45,0.9559940521641281,1561,0.9452035526262911,1889
F3D02,0.5,0.9742657696759259,1066,0.97509765625,1104
F3D02,0.55,0.9854996218722257,703,0.9874724624338277,651
F3D02,0.6,0.9923894205410293,430,0.9941978750659333,356
F3D02,0.65,0.9960353342143702,259,0.9975238227724839,168
F3D02,0.7,0.9978040147776888,158,0.9988890898287132,81
F3D02,0.75,0.9989390432098766,85,0.9996503665123457,28
F3D02,0.8,0.9996157019655714,34,0.9999321826998068,7
F3D02,0.85,0.9999042583747327,10,0.999989362041637,2
F3D02,0.9,0.9999698589398385,4,0.9999899529799462,2
F3D02,0.95,1.0,1,1.0,1
R3D01,0.05,0.0,0,0.0,0
R3D01,0.1,0.0,0,0.0,0
R3D01,0.15,0.0,0,0.0,0
R3D01,0.2,0.0,0,0.0,0
R3D01,0.25,0.0,0,0.0,0
R3D01,0.3,0.0,0,0.0,0
R3D01,0.35,0.0,0,0.0,0
R3D01,0.4,0.0,0,0.0,0
R3D01,0.45,0.0,0,0.0,0
R3D01,0.5,1.808449074074074e-05,55296,0.9717881944444444,1205
R3D01,0.55,1.808449074074074e-05,55296,0.9717881944444444,1205
R3D01,0.6,1.808449074074074e-05,55296,0.9717881944444444,1205
R3D01,0.65,1.808449074074074e-05,55296,0.9717881944444444,1205
R3D01,0.7,1.808449074074074e-05,55296,0.9717881944444444,1205
R3D01,0.75,1.808449074074074e-05,55296,0.9717881944444444,1205
R3D01,0.8,1.808449074074074e-05,55296,0.9717881944444444,1205
R3D01,0.85,1.808449074074074e-05,55296,0.9717881944444444,1205
R3D01,0.9,1.808449074074074e-05,55296,0.9717881944444444,1205
R3D01,0.95,1.808449074074074e-05,55296,0.9717881944444444,1205
