rule_id,seed,lote,K,kcap,escalon,n_aristas,clustering,transitividad,n_triangulos,gigante,asortatividad,n_componentes,solapamiento_aristas,pendiente_corr,frac_masa,kappa_v,n_sumideros,t_primer_sumidero,masa_acretada,dump_final,carpeta
A2-B0-C2-batch4-r10,572799,571828,5,5,e0,2994,0.0,0.0,0,1837,-0.29496418307382277,1,0.0013360053440213762,0.6707980953898094,0.11950000000000002,0.8208955223880596,8,0.035,2246.6,cosmog_00500,A2-B0-C2-batch4-r10_s572799_f702_e0
A2-B0-C2-batch4-r10,572799,571828,5,5,e1,2994,0.023299999999999998,0.022191400832177532,64,1837,-0.27720311286461613,1,0.0013360053440213762,0.6995765635589569,0.11800000000000001,0.8529411764705882,8,0.036,2218.4,cosmog_00500,A2-B0-C2-batch4-r10_s572799_f702_e1
A2-B0-C2-batch4-r10,572799,571828,5,5,e2,2994,0.07296666666666667,0.06449375866851595,186,1835,-0.25170003769242205,2,0.0013360053440213762,0.8442189498849771,0.12799999999999997,1.0096618357487912,8,0.033,2406.4,cosmog_00500,A2-B0-C2-batch4-r10_s572799_f702_e2
A2-B0-C2-batch4-r10,572799,571828,5,5,e3,2994,0.18598333333333336,0.1622746185852982,468,1829,-0.17678475437410143,5,0.0016700066800267202,0.7453357906724519,0.13149999999999998,0.9681818181818181,8,0.028,2472.2,cosmog_00500,A2-B0-C2-batch4-r10_s572799_f702_e3
A2-B0-C2-batch4-r10,572799,571828,5,5,e4,2994,0.3865,0.36130374479889044,1042,1778,-0.07090145120383065,23,0.0026720106880427524,0.8860868422369499,0.15649999999999997,1.3867924528301883,10,0.029,2942.2000000000003,cosmog_00500,A2-B0-C2-batch4-r10_s572799_f702_e4
A2-B0-C2-batch4-r10,572799,571828,5,5,orig,2994,0.011550000000000001,0.008668515950069348,25,1821,0.020864078210404032,8,1.0,1.00288992732594,0.12799999999999997,0.9027777777777777,8,0.03,2406.3999999999996,cosmog_00500,A2-B0-C2-batch4-r10_s572799_f702_orig
A2-B0-C2-batch4-r36,575321,571828,8,4,e0,2343,0.0,0.0,0,1761,-0.3039996061271941,3,0.0012804097311139564,1.0560595524255991,0.14199999999999996,1.2009132420091322,8,0.029,2669.6,cosmog_00500,A2-B0-C2-batch4-r36_s575321_f702_e0
A2-B0-C2-batch4-r36,575321,571828,8,4,e1,2343,0.015166666666666669,0.015470051566838556,26,1758,-0.2917184123930664,4,0.0012804097311139564,1.0915599144673809,0.14649999999999996,1.2972972972972971,8,0.031,2754.2000000000003,cosmog_00500,A2-B0-C2-batch4-r36_s575321_f702_e1
A2-B0-C2-batch4-r36,575321,571828,8,4,e2,2343,0.04416666666666667,0.0481951606505355,81,1748,-0.27899860459700565,6,0.0012804097311139564,1.0717848696199792,0.14949999999999997,1.2467532467532467,8,0.029,2810.5999999999995,cosmog_00500,A2-B0-C2-batch4-r36_s575321_f702_e2
A2-B0-C2-batch4-r36,575321,571828,8,4,e3,2343,0.11600000000000002,0.12197540658468861,205,1720,-0.23864611089915766,12,0.0012804097311139564,1.1203457388705138,0.15099999999999997,1.3376623376623376,8,0.03,2838.7999999999997,cosmog_00500,A2-B0-C2-batch4-r36_s575321_f702_e3
