cfg_id,q,gigante_real,ncomp_real,gigante_null,ncomp_null
FASE00,0.05,0.041463414634146344,414,0.006097560975609756,746
FASE00,0.1,0.06223306894447834,576,0.0036607687614399025,1298
FASE00,0.15,0.10170870626525631,701,0.0032546786004882017,1722
FASE00,0.2,0.2728104974061642,777,0.004882514494964907,1980
FASE00,0.25,0.313232421875,843,0.0048828125,2094
FASE00,0.3,0.3143438453713123,845,0.007324516785350966,2038
FASE00,0.35,0.3190932868352223,805,0.010810810810810811,1957
FASE00,0.4,0.4800122062862374,781,0.01052792187976808,1761
FASE00,0.45,0.5061711650617117,725,0.013969890139698902,1445
FASE00,0.5,0.5692138671875,628,0.02685546875,1101
FASE00,0.55,0.6704028409721452,588,0.09910109865719675,778
FASE00,0.6,0.8353001017293998,522,0.5895218718209563,459
FASE00,0.65,0.8346323598459949,460,0.8816790308949197,240
FASE00,0.7,0.850728049524806,387,0.984741477025024,120
FASE00,0.75,0.8827311197916666,296,0.9930013020833334,69
FASE00,0.8,0.9461356527046616,225,0.9971007858396277,34
FASE00,0.85,0.9795346833261526,157,0.998276604911676,20
FASE00,0.9,0.9904374364191251,92,0.9996609020006781,6
FASE00,0.95,0.9953739398612182,38,0.9999357491647392,2
FASE01,0.05,0.05731707317073171,470,0.004878048780487805,724
FASE01,0.1,0.050030506406345335,723,0.004270896888346553,1305
FASE01,0.15,0.046379170056956874,878,0.003661513425549227,1732
FASE01,0.2,0.07354287458040891,956,0.0045773573390296,2013
FASE01,0.25,0.07861328125,1024,0.005615234375,2161
FASE01,0.3,0.07772126144455747,987,0.005696846388606307,2099
FASE01,0.35,0.15466434176111596,940,0.005928509154315606,1992
FASE01,0.4,0.1536466280134269,884,0.01510527921879768,1783
FASE01,0.45,0.2506442425064424,830,0.014105520141055202,1490
FASE01,0.5,0.3179931640625,771,0.02587890625,1160
FASE01,0.55,0.3655532127399845,691,0.06714016202419265,807
FASE01,0.6,0.4126144455747711,591,0.26897253306205493,470
FASE01,0.65,0.4805146023100761,497,0.9388674992957086,237
FASE01,0.7,0.8528206469613742,394,0.9821257302293138,128
FASE01,0.75,0.9437662760416666,282,0.9931640625,71
FASE01,0.8,0.9660486762798505,210,0.9975585564965286,28
FASE01,0.85,0.981042654028436,116,0.9994973430992389,6
FASE01,0.9,0.9946422516107155,46,0.9999321804001357,2
FASE01,0.95,0.9994859933179131,8,0.9999357491647392,2
FASE02,0.05,0.06341463414634146,404,0.006097560975609756,725
FASE02,0.1,0.04575960951799878,634,0.004270896888346553,1313
FASE02,0.15,0.061432058584214806,782,0.0040683482506102524,1730
FASE02,0.2,0.11504424778761062,848,0.0042722001830942935,1983
FASE02,0.25,0.1162109375,896,0.00390625,2124
FASE02,0.3,0.14587995930824008,864,0.0046795523906408955,2117
FASE02,0.35,0.16251089799476895,826,0.005056669572798605,2030
FASE02,0.4,0.16890448581019224,749,0.007476350320415014,1827
FASE02,0.45,0.20195307201953072,664,0.0138342601383426,1523
FASE02,0.5,0.2344970703125,570,0.02392578125,1150
FASE02,0.55,0.27277771612473645,458,0.12118521806680724,812
FASE02,0.6,0.8790437436419125,408,0.801119023397762,485
FASE02,0.65,0.9165179829091934,336,0.9272232134472721,273
FASE02,0.7,0.939314674339524,252,0.9713139768070451,144
FASE02,0.75,0.954833984375,171,0.9930013020833334,66
FASE02,0.8,0.978637369344625,121,0.9974822613870451,29
FASE02,0.85,0.9918856814591411,74,0.9992819187131984,11
FASE02,0.9,0.993218040013564,55,0.9998643608002713,3
FASE02,0.95,0.9982652274479569,22,0.9999357491647392,2
FASE03,0.05,0.014634146341463415,511,0.003658536585365854,736
FASE03,0.1,0.01525320317266626,779,0.003050640634533252,1331
FASE03,0.15,0.016680227827502035,960,0.0032546786004882017,1757
FASE03,0.2,0.01556301495270064,1045,0.003051571559353067,2008
FASE03,0.25,0.020751953125,1026,0.0029296875,2131
FASE03,0.3,0.029298067141403865,1010,0.004069175991861648,2085
FASE03,0.35,0.05143853530950305,966,0.005928509154315606,1997
FASE03,0.4,0.06087885260909368,875,0.00778150747635032,1804
FASE03,0.45,0.08626068086260681,787,0.012749220127492201,1492
FASE03,0.5,0.1146240234375,709,0.0179443359375,1156
