N,seed,mode,n_surv,f_surv,tau,phi_init,phi_final,phi_peak,phi_amp,frac_higgs_surv,orden_color_init,orden_color,orden_charge_init,orden_charge,orden_t3_init,orden_t3,frac_quark,frac_lepton,frac_boson,frac_gen0,frac_gen1,frac_gen2,mean_Q_surv,mass_gen0,mass_gen1,mass_gen2,mass_ratio_g2_g0,mass_spread,L2_gen,L2_K3,null_L2_K3,ratio_L2_K3,L2_K5,null_L2_K5,ratio_L2_K5,L2_K6,null_L2_K6,ratio_L2_K6,L2_K18,null_L2_K18,ratio_L2_K18,L2_K89,null_L2_K89,ratio_L2_K89
250,1,qcd,140,0.56,240,0.9386047439716074,0.0,0.9386047439716074,0.9999999989345888,0.0,0.03773592452822642,0.44618564819261186,0.026666666666666665,0.11666666666666668,0.02,0.04642857142857143,0.7714285714285715,0.17857142857142858,0.05,0.3609022556390977,0.3007518796992481,0.3383458646616541,0.11666666666666668,2.4202032088731453,2.42911884338906,2.4059253961491978,0.9941005727652946,0.273568611663196,0.042973504259354,0.23130802268953887,0.06900655593423542,3.3519717012102426,0.5569596768462265,0.3380617018914066,1.647508942095828,0.04140866624999612,0.08784104611578832,0.47140452079103184,0.17599732011977456,0.1161553420728616,1.5151892024851983,0.10874405470468786,0.08403927844185294,1.2939670201943516
250,1,shuffle_b,140,0.56,240,0.9386047439716074,0.0,0.9386047439716074,0.9999999989345888,0.0,0.03773592452822642,0.44618564819261186,0.026666666666666665,0.11666666666666668,0.02,0.04642857142857143,0.7714285714285715,0.17857142857142858,0.05,0.3609022556390977,0.3007518796992481,0.3383458646616541,0.11666666666666668,2.4202032088731453,2.42911884338906,2.4059253961491978,0.9941005727652946,0.273568611663196,0.042973504259354,0.23130802268953887,0.06900655593423542,3.3519717012102426,0.5569596768462265,0.3380617018914066,1.647508942095828,0.04140866624999612,0.08784104611578832,0.47140452079103184,0.17599732011977456,0.1161553420728616,1.5151892024851983,0.10874405470468784,0.08403927844185294,1.2939670201943514
250,1,shuffle_e,140,0.56,240,0.9386047439716074,0.0,0.9386047439716074,0.9999999989345888,0.0,0.03773592452822642,0.4424537333128165,0.026666666666666665,0.061904761904761886,0.02,0.025,0.7642857142857142,0.15714285714285714,0.07857142857142857,0.3643410852713178,0.3023255813953488,0.3333333333333333,0.061904761904761886,2.5459726216420817,2.46860660955964,2.5809511353611767,1.0137387627116488,0.1787134703083777,0.04385158332939829,0.2703613102780021,0.06900655593423542,3.917907604831947,0.2987577586391815,0.26967994498529685,1.1078234188139946,0.040558307060098255,0.08825056370227598,0.4595812803748953,0.1777948427012362,0.11699401969383898,1.5196917172903928,0.10345443660870376,0.08403927844185294,1.231024808004322
250,1,shuffle_w,139,0.556,240,0.9386047439716074,0.0,0.9386047439716074,0.9999999989345888,0.0,0.03773592452822642,0.4493956168846451,0.026666666666666665,0.11750599520383695,0.02,0.02158273381294964,0.7769784172661871,0.17266187050359713,0.050359712230215826,0.36363636363636365,0.29545454545454547,0.3409090909090909,0.11750599520383695,2.420207236536838,2.478852805958361,2.4059375000913543,0.9941039196023962,0.26401231042783746,0.04909652044248378,0.23867839395239782,0.06925433610644437,3.4464036098122084,0.5569596768462265,0.3380617018914066,1.647508942095828,0.04140866624999612,0.08784104611578832,0.47140452079103184,0.17599732011977456,0.1161553420728616,1.5151892024851983,0.10955823898924934,0.08434103624736468,1.2989909048298254
250,1,shuffle_h,140,0.56,240,0.9386047439716074,0.0,0.9386047439716074,0.9999999989345888,0.0,0.03773592452822642,0.44618564819261186,0.026666666666666665,0.11666666666666668,0.02,0.04642857142857143,0.7714285714285715,0.17857142857142858,0.05,0.3609022556390977,0.3007518796992481,0.3383458646616541,0.11666666666666668,2.4202032088731453,2.42911884338906,2.4059253961491978,0.9941005727652946,0.273568611663196,0.042973504259354,0.23130802268953887,0.06900655593423542,3.3519717012102426,0.5569596768462265,0.3380617018914066,1.647508942095828,0.04140866624999612,0.08784104611578832,0.47140452079103184,0.17599732011977456,0.1161553420728616,1.5151892024851983,0.10874405470468786,0.08403927844185294,1.2939670201943516
250,2,qcd,137,0.548,240,0.9386047439716074,0.0,0.9386047439716074,0.9999999989345888,0.0,0.028,0.36195843118883037,0.030666666666666665,0.30413625304136255,0.022,0.17518248175182483,0.7518248175182481,0.2116788321167883,0.0364963503649635,0.3409090909090909,0.3333333333333333,0.32575757575757575,-0.30413625304136255,2.334144398685668,2.2205803861540763,2.3193473626196077,0.9936606166806166,0.36223146390550154,0.010713739108887075,0.31738537925295046,0.06975801064151557,4.549805482326394,0.5656854249492381,0.4,1.4142135623730951,0.025379267219026103,0.0899478453701443,0.2821553658632722,0.3559026084010437,0.25092421756969363,1.4183669151113028,0.10730482123546042,0.08495443368364972,1.263086769962334
250,2,shuffle_b,137,0.548,240,0.9386047439716074,0.0,0.9386047439716074,0.9999999989345888,0.0,0.028,0.36195843118883037,0.030666666666666665,0.30413625304136255,0.022,0.17518248175182483,0.7518248175182481,0.2116788321167883,0.0364963503649635,0.3409090909090909,0.3333333333333333,0.32575757575757575,-0.30413625304136255,2.334144398685668,2.2205803861540763,2.3193473626196077,0.9936606166806166,0.36223146390550154,0.010713739108887075,0.31738537925295046,0.06975801064151557,4.549805482326394,0.5656854249492381,0.4,1.4142135623730951,0.025379267219026103,0.0899478453701443,0.2821553658632722,0.3559026084010437,0.25092421756969363,1.4183669151113028,0.10730482123546042,0.08495443368364972,1.263086769962334
250,2,shuffle_e,137,0.548,240,0.9386047439716074,2.811526444037592,2.811526444037592,2.995431739611161,0.004,0.028,0.08290377147153684,0.030666666666666672,0.43552311435523117,0.022,0.0072992700729927005,0.7372262773722628,0.18248175182481752,0.08029197080291971,0.3333333333333333,0.373015873015873,0.29365079365079366,-0.43552311435523117,7.2468430077916866,7.450161208323213,7.523896703664127,1.0382309504393232,0.24076646960512726,0.05611958580845615,0.5621227864990229,0.06975801064151557,8.058182584760852,0.15212000482437735,0.26967994498529685,0.5640760748177661,0.03813273930129155,0.09083405243909494,0.41980665045039034,0.09916584855179082,0.13883218797250715,0.7142857142857143,0.0602410309323974,0.08495443368364972,0.7090981402656488
250,2,shuffle_w,136,0.544,240,0.9386047439716074,0.0,0.9386047439716074,0.9999999989345888,0.0,0.028,0.3646198902416893,0.030666666666666665,0.3063725490196078,0.022,0.051470588235294115,0.7573529411764706,0.20588235294117646,0.03676470588235294,0.33587786259541985,0.33587786259541985,0.3282442748091603,-0.3063725490196078,2.3797353515537165,2.220548999147318,2.319323066630648,0.9746138641493788,0.3534720324966141,0.006232798327692576,0.32325077127569934,0.07001400420140048,4.616944495073364,0.5656854249492381,0.4,1.4142135623730951,0.025379267219026103,0.0899478453701443,0.2821553658632722,0.3559026084010437,0.25092421756969363,1.4183669151113028,0.1076094275073374,0.08526619412100572,1.2620409368175063
250,2,shuffle_h,137,0.548,240,0.9386047439716074,0.0,0.9386047439716074,0.9999999989345888,0.0,0.028,0.36195843118883037,0.030666666666666665,0.30413625304136255,0.022,0.17518248175182483,0.7518248175182481,0.2116788321167883,0.0364963503649635,0.3409090909090909,0.3333333333333333,0.32575757575757575,-0.30413625304136255,2.334144398685668,2.2205803861540763,2.3193473626196077,0.9936606166806166,0.36223146390550154,0.010713739108887075,0.31738537925295046,0.06975801064151557,4.549805482326394,0.5656854249492381,0.4,1.4142135623730951,0.025379267219026103,0.0899478453701443,0.2821553658632722,0.3559026084010437,0.25092421756969363,1.4183669151113028,0.10730482123546042,0.08495443368364972,1.263086769962334
