config_id,param_vary,eta,mu,s_band,d,n_semillas,nulo_geom,f_mean,f_cv_pct,orden_mean,exceso_abs,exceso_rel_pct,exceso_cv_pct,frac_pos_mean,elapsed_s
baseline,none,0.05,0.01,8.0,3,100,0.5,0.5058999999999999,2.140703685135709,0.5148651286951295,0.014865128695129508,2.9730257390259016,66.3170483712538,0.9999698788333446,3.12318952500209
eta_0.02,eta,0.02,0.01,8.0,3,100,0.5,0.5061199999999999,2.067732756661024,0.515045509261151,0.015045509261150948,3.0091018522301898,64.85440708518163,0.9998605364304965,3.2878043849996175
eta_0.1,eta,0.1,0.01,8.0,3,100,0.5,0.5056150000000001,2.137058673908803,0.514898696232137,0.014898696232137026,2.979739246427405,68.70647450986799,0.999969387755102,3.4368713470030343
mu_0.005,mu,0.05,0.005,8.0,3,100,0.5,0.50615,2.134783577609642,0.5146124166015418,0.014612416601541873,2.9224833203083747,67.04874307158535,0.9998891855787191,3.2829645480014733
mu_0.02,mu,0.05,0.02,8.0,3,100,0.5,0.5054799999999999,2.155999570986619,0.5152922296654624,0.015292229665462474,3.0584459330924947,64.51930641732423,1.0,3.24403785100003
sband_4.0,s_band,0.05,0.01,4.0,3,100,0.5,0.5062300000000001,2.1467927721014646,0.5146196464598305,0.0146196464598305,2.9239292919661,67.54205794528194,0.9999391258017998,3.2808846600019024
sband_16.0,s_band,0.05,0.01,16.0,3,100,0.5,0.5056350000000001,2.144966836985513,0.515078765063407,0.015078765063406939,3.0157530126813876,65.1131488568717,0.999989417989418,3.4517811160039855
d_2,d,0.05,0.01,8.0,2,100,0.6366197723675815,0.5077149999999999,1.9962282909813527,0.647401763616212,0.010781991248630574,1.6936312248883625,102.12834136501948,0.9999700905773112,3.2892173559957882
d_4,d,0.05,0.01,8.0,4,100,0.4244131815783876,0.507765,1.9749930851033242,0.44227561074179556,0.01786242916340798,4.208735717627294,43.962223900279014,0.9999389138865176,4.01782249599637
d_5,d,0.05,0.01,8.0,5,100,0.37500000000000006,0.50763,2.22003530307592,0.3933044373163359,0.01830443731633583,4.88118328435622,39.2312595164716,0.999980046256857,3.8258549960009987
