patch,seed,N,arm,regla,d_s,delta_rel,n_ejes,PR,ejes_reales,holonomia,gigante,diam_fin,pasos
12,24781,1500,completo,nematico,nan,0.05,2,3.814,1,0.763,0.913,4,17
12,24781,1500,null_tipos,nematico,4.884,0.051,1,4.892,1,1.099,0.914,3,16
12,24781,1500,null_marco,nematico,4.778,0.048,0,7.939,0,1.038,0.915,4,17
12,24781,1500,null_mediado,nematico,5.052,0.042,2,4.967,1,0.978,0.909,3,17
12,24781,1500,subconjunto,nematico,4.754,0.053,0,7.976,0,0.985,0.919,4,16
13,26845,1500,completo,nematico,nan,0.046,1,4.081,1,0.94,0.904,3,17
13,26845,1500,null_tipos,nematico,4.84,0.05,1,3.9,1,0.85,0.915,3,17
13,26845,1500,null_marco,nematico,4.922,0.051,0,7.958,0,1.069,0.907,4,17
13,26845,1500,null_mediado,nematico,4.735,0.043,1,2.746,1,0.665,0.9,4,17
13,26845,1500,subconjunto,nematico,4.682,0.048,0,7.952,0,0.976,0.907,4,16
14,28909,1500,completo,nematico,4.961,0.044,1,4.559,1,0.842,0.913,3,17
14,28909,1500,null_tipos,nematico,4.873,0.052,1,3.422,1,0.683,0.911,3,17
14,28909,1500,null_marco,nematico,4.811,0.051,0,7.951,0,0.883,0.918,3,17
14,28909,1500,null_mediado,nematico,4.948,0.046,1,3.696,1,0.815,0.908,3,17
14,28909,1500,subconjunto,nematico,4.359,0.049,0,7.968,0,0.952,0.917,5,16
15,30973,1500,completo,nematico,4.912,0.051,1,4.577,1,0.921,0.911,4,17
15,30973,1500,null_tipos,nematico,4.975,0.047,2,4.067,1,0.835,0.916,3,17
15,30973,1500,null_marco,nematico,4.99,0.048,0,7.97,0,1.045,0.903,3,17
15,30973,1500,null_mediado,nematico,4.919,0.052,2,4.397,1,0.945,0.919,3,17
15,30973,1500,subconjunto,nematico,5.026,0.051,0,7.977,0,0.884,0.915,4,16
17,35101,1500,completo,nematico,nan,0.051,1,2.995,1,0.723,0.925,3,17
