combo,eje_A,eje_B,eje_C,rule_id,seed,K,J,noise,meandeg,sim_thr_frac,kcap,escala_b,N,diam_real_viejo,diam_real_corr,diam_null_viejo,diam_null_corr,diam_null_std_viejo,diam_null_std_corr,giant_real,holon_real,holon_null_valor,n_aristas,n_triangulos,tam_comp_medida,tam_gigante,n_componentes,n_aislados,descarrila,difiere_real,difiere_null
A0-B0-C0,A0,B0,C0,A0-B0-C0-r3,620292,5,0.573,0.13,6.07,0.168,6,16,230,3.0,3.0,2.3333333333333335,2.3333333333333335,0.4714045217910317,0.4714045217910317,1.0,1.2294653472670414,1.5324858616315442,4631,1131,230,230,1,0,False,False,False
A0-B0-C0,A0,B0,C0,A0-B0-C0-r4,620389,7,0.367,0.199,7.35,0.283,5,1,2000,4.0,4.0,4.0,4.0,1e-09,1e-09,1.0,1.8486653153565942,1.494042584329762,16808,1500,2000,2000,1,0,False,False,False
A0-B0-C0,A0,B0,C0,A0-B0-C0-r4,620389,7,0.367,0.199,7.35,0.283,5,2,1040,3.0,3.0,3.0,3.0,1e-09,1e-09,1.0,1.8486653153565942,1.494042584329762,15616,1500,1040,1040,1,0,False,False,False
A0-B0-C0,A0,B0,C0,A0-B0-C0-r4,620389,7,0.367,0.199,7.35,0.283,5,4,550,3.0,3.0,3.0,3.0,1e-09,1e-09,1.0,1.8486653153565942,1.494042584329762,14380,1500,550,550,1,0,False,False,False
A0-B0-C0,A0,B0,C0,A0-B0-C0-r4,620389,7,0.367,0.199,7.35,0.283,5,8,310,3.0,3.0,2.3333333333333335,2.3333333333333335,0.4714045217910317,0.4714045217910317,1.0,1.8486653153565942,1.494042584329762,12019,1500,310,310,1,0,False,False,False
A0-B0-C0,A0,B0,C0,A0-B0-C0-r4,620389,7,0.367,0.199,7.35,0.283,5,16,172,2.0,2.0,2.0,2.0,1e-09,1e-09,1.0,1.8486653153565942,1.494042584329762,7047,1500,172,172,1,0,False,False,False
A0-B0-C0,A0,B0,C0,A0-B0-C0-r5,620486,5,0.594,0.148,6.21,0.257,4,1,2000,4.0,4.0,4.0,4.0,1e-09,1e-09,1.0,1.8569835672889634,1.466329770948295,15316,1500,2000,2000,1,0,False,False,False
A0-B0-C0,A0,B0,C0,A0-B0-C0-r5,620486,5,0.594,0.148,6.21,0.257,4,2,1049,3.0,3.0,3.6666666666666665,3.6666666666666665,0.4714045217910317,0.4714045217910317,1.0,1.8569835672889634,1.466329770948295,14152,1500,1049,1049,1,0,False,False,False
A0-B0-C0,A0,B0,C0,A0-B0-C0-r5,620486,5,0.594,0.148,6.21,0.257,4,4,565,3.0,3.0,3.0,3.0,1e-09,1e-09,1.0,1.8569835672889634,1.466329770948295,13044,1500,565,565,1,0,False,False,False
A0-B0-C0,A0,B0,C0,A0-B0-C0-r5,620486,5,0.594,0.148,6.21,0.257,4,8,310,3.0,3.0,2.6666666666666665,2.6666666666666665,0.4714045217910317,0.4714045217910317,1.0,1.8569835672889634,1.466329770948295,10905,1500,310,310,1,0,False,False,False
A0-B0-C0,A0,B0,C0,A0-B0-C0-r5,620486,5,0.594,0.148,6.21,0.257,4,16,177,2.0,2.0,2.0,2.0,1e-09,1e-09,1.0,1.8569835672889634,1.466329770948295,6643,1500,177,177,1,0,False,False,False
A0-B0-C0,A0,B0,C0,A0-B0-C0-r6,620583,6,0.79,0.229,7.65,0.177,5,1,2000,5.0,5.0,5.0,5.0,1e-09,1e-09,1.0,1.298089484874736,1.5098918508894987,10567,1197,2000,2000,1,0,False,False,False
A0-B0-C0,A0,B0,C0,A0-B0-C0-r6,620583,6,0.79,0.229,7.65,0.177,5,2,1063,4.0,4.0,4.333333333333333,4.333333333333333,0.4714045217910317,0.4714045217910317,1.0,1.298089484874736,1.5098918508894987,9499,1197,1063,1063,1,0,False,False,False
A0-B0-C0,A0,B0,C0,A0-B0-C0-r6,620583,6,0.79,0.229,7.65,0.177,5,4,581,3.0,3.0,3.3333333333333335,3.3333333333333335,0.4714045217910317,0.4714045217910317,1.0,1.298089484874736,1.5098918508894987,8621,1197,581,581,1,0,False,False,False
A0-B0-C0,A0,B0,C0,A0-B0-C0-r6,620583,6,0.79,0.229,7.65,0.177,5,8,339,3.0,3.0,3.3333333333333335,3.3333333333333335,0.4714045217910317,0.4714045217910317,1.0,1.298089484874736,1.5098918508894987,7216,1197,339,339,1,0,False,False,False
