N,seed,mode,n_surv,f_surv,tau,orden_color_init,orden_color,orden_charge_init,orden_charge,frac_quark,frac_lepton,frac_gen0,frac_gen1,frac_gen2,frac_u,frac_d,frac_Q0,mean_Q_surv,L2_K3,null_L2_K3,ratio_L2_K3,L2_K6,null_L2_K6,ratio_L2_K6,L2_K18,null_L2_K18,ratio_L2_K18,L2_K72,null_L2_K72,ratio_L2_K72,L2_K84,null_L2_K84,ratio_L2_K84
250,1,qcd,120,0.48,240,0.03532704346531139,0.4716254398943674,0.02133333333333333,0.2638888888888889,0.925,0.075,0.36036036036036034,0.2702702702702703,0.36936936936936937,0.4774774774774775,0.5225225225225225,0.0,-0.2638888888888889,0.5176066717756511,0.07453559924999299,6.944422222186666,0.06076908812266687,0.08664587415167273,0.7013500494702286,0.07122246982361215,0.09224157689734337,0.7721297946031038,0.13599575801306782,0.09425435737345984,1.4428591080857713,0.13348205990866457,0.09074209047695002,1.471004901992766
250,1,shuffle_b,120,0.48,240,0.03532704346531139,0.4716254398943674,0.02133333333333333,0.2638888888888889,0.925,0.075,0.36036036036036034,0.2702702702702703,0.36936936936936937,0.4774774774774775,0.5225225225225225,0.0,-0.2638888888888889,0.5176066717756511,0.07453559924999299,6.944422222186666,0.06076908812266687,0.08664587415167273,0.7013500494702286,0.07122246982361215,0.09224157689734337,0.7721297946031038,0.13599575801306782,0.09425435737345984,1.4428591080857713,0.13348205990866457,0.09074209047695002,1.471004901992766
250,1,shuffle_g,120,0.48,240,0.03532704346531139,0.4716254398943674,0.02133333333333333,0.2638888888888889,0.925,0.075,0.2702702702702703,0.36936936936936937,0.36036036036036034,0.4774774774774775,0.5225225225225225,0.0,-0.2638888888888889,0.5176066717756511,0.07453559924999299,6.944422222186666,0.06076908812266687,0.08664587415167273,0.7013500494702286,0.07122246982361215,0.09224157689734337,0.7721297946031038,0.13599575801306782,0.09425435737345984,1.4428591080857713,0.13348205990866457,0.09074209047695002,1.471004901992766
250,1,shuffle_f,120,0.48,240,0.03532704346531139,0.4716254398943674,0.02133333333333333,0.2638888888888889,0.925,0.075,0.36036036036036034,0.2702702702702703,0.36936936936936937,0.4774774774774775,0.5225225225225225,0.0,-0.2638888888888889,0.5176066717756511,0.07453559924999299,6.944422222186666,0.06076908812266687,0.08664587415167273,0.7013500494702286,0.07122246982361215,0.09224157689734337,0.7721297946031038,0.13599575801306782,0.09425435737345984,1.4428591080857713,0.13348205990866457,0.09074209047695002,1.471004901992766
250,1,shuffle_l,124,0.496,240,0.03532704346531139,0.33426422219455976,0.033333333333333326,0.4408602150537635,0.9193548387096774,0.08064516129032258,0.3508771929824561,0.2719298245614035,0.37719298245614036,0.49122807017543857,0.5087719298245614,0.0,-0.4408602150537635,0.6469062423858177,0.07332355751067665,8.822624874572154,0.05818639983079649,0.08549819600709617,0.6805570473787206,0.07126349477750842,0.09101978021212503,0.7829451423792295,0.13346600047985033,0.09300590016706972,1.4350272427889061,0.13126901550779946,0.08926651099174324,1.4705292505488567
250,1,shuffle_e,126,0.504,240,0.03532704346531139,0.44916708561368324,0.02133333333333333,0.26190476190476186,0.8809523809523809,0.11904761904761904,0.36936936936936937,0.27927927927927926,0.35135135135135137,0.46846846846846846,0.5315315315315315,0.05555555555555555,-0.26190476190476186,0.482628437952723,0.07273929674533079,6.635044048369953,0.06076908812266687,0.08664587415167273,0.7013500494702286,0.06274048773506359,0.09224157689734337,0.680175793231377,0.12479184844319882,0.09425435737345984,1.3239902315469791,0.11307783213313496,0.08855521271595793,1.276918982689745
250,2,qcd,121,0.484,240,0.0322490309931942,0.44421007108683264,0.009333333333333345,0.33884297520661155,0.9173553719008265,0.08264462809917356,0.38738738738738737,0.3333333333333333,0.27927927927927926,0.5045045045045045,0.49549549549549554,0.0,-0.33884297520661155,0.4920421758464804,0.07422696190252055,6.6288874451396875,0.030551035960023745,0.08664587415167273,0.3525965461037933,0.04809494708122212,0.09224157689734337,0.521402047741958,0.12672797204175856,0.09425435737345984,1.344531707320755,0.12498272019143465,0.09036634521709136,1.3830671129963565
250,2,shuffle_b,121,0.484,240,0.0322490309931942,0.44421007108683264,0.009333333333333345,0.33884297520661155,0.9173553719008265,0.08264462809917356,0.38738738738738737,0.3333333333333333,0.27927927927927926,0.5045045045045045,0.49549549549549554,0.0,-0.33884297520661155,0.4920421758464804,0.07422696190252055,6.6288874451396875,0.030551035960023745,0.08664587415167273,0.3525965461037933,0.04809494708122212,0.09224157689734337,0.521402047741958,0.12672797204175856,0.09425435737345984,1.344531707320755,0.12498272019143465,0.09036634521709136,1.3830671129963565
250,2,shuffle_g,121,0.484,240,0.0322490309931942,0.44421007108683264,0.009333333333333345,0.33884297520661155,0.9173553719008265,0.08264462809917356,0.3333333333333333,0.27927927927927926,0.38738738738738737,0.5045045045045045,0.49549549549549554,0.0,-0.33884297520661155,0.4920421758464804,0.07422696190252055,6.6288874451396875,0.030551035960023745,0.08664587415167273,0.3525965461037933,0.048094947081222125,0.09224157689734337,0.5214020477419581,0.12672797204175856,0.09425435737345984,1.344531707320755,0.12498272019143465,0.09036634521709136,1.3830671129963565
250,2,shuffle_f,121,0.484,240,0.0322490309931942,0.44421007108683264,0.009333333333333345,0.33884297520661155,0.9173553719008265,0.08264462809917356,0.38738738738738737,0.3333333333333333,0.27927927927927926,0.5045045045045045,0.49549549549549554,0.0,-0.33884297520661155,0.4920421758464804,0.07422696190252055,6.6288874451396875,0.030551035960023745,0.08664587415167273,0.3525965461037933,0.04809494708122212,0.09224157689734337,0.521402047741958,0.12672797204175856,0.09425435737345984,1.344531707320755,0.12498272019143465,0.09036634521709136,1.3830671129963565
250,2,shuffle_l,121,0.484,240,0.0322490309931942,0.44421007108683264,0.01333333333333334,0.3388429752066115,0.9173553719008265,0.08264462809917356,0.38738738738738737,0.3333333333333333,0.27927927927927926,0.5045045045045045,0.49549549549549554,0.0,-0.3388429752066115,0.4920421758464804,0.07422696190252055,6.6288874451396875,0.030551035960023745,0.08664587415167273,0.3525965461037933,0.04809494708122212,0.09224157689734337,0.521402047741958,0.12672797204175856,0.09425435737345984,1.344531707320755,0.12552801694252747,0.09036634521709136,1.3891014031934739
250,2,shuffle_e,125,0.5,240,0.0322490309931942,0.4885243085047048,0.00933333333333333,0.136,0.84,0.16,0.3619047619047619,0.3523809523809524,0.2857142857142857,0.5047619047619047,0.49523809523809526,0.096,-0.136,0.32325016112396093,0.07302967433402215,4.426285124119323,0.05674464422768089,0.0890870806374748,0.6369570517030845,0.05593971487843206,0.09484043965898194,0.5898297717679786,0.1305404777321219,0.09690992927215658,1.3470289237908648,0.11228195801302226,0.08890872794479687,1.262890163975102
250,3,qcd,128,0.512,240,0.05027922035990614,0.5369637586699869,0.003999999999999997,0.04947916666666667,0.921875,0.078125,0.3135593220338983,0.3898305084745763,0.2966101694915254,0.5169491525423728,0.48305084745762716,0.0,0.04947916666666667,0.4155094607577145,0.07216878364870322,5.757467976463265,0.06953973799486539,0.08403658068160179,0.8274936632457464,0.05521135673924312,0.08946377187634529,0.6171364741423484,0.12813467152589522,0.09141593856092885,1.4016666408833431,0.12620328579414283,0.08786065130431853,1.436402802854475
250,3,shuffle_b,128,0.512,240,0.05027922035990614,0.5369637586699869,0.003999999999999997,0.04947916666666667,0.921875,0.078125,0.3135593220338983,0.3898305084745763,0.2966101694915254,0.5169491525423728,0.48305084745762716,0.0,0.04947916666666667,0.4155094607577145,0.07216878364870322,5.757467976463265,0.06953973799486539,0.08403658068160179,0.8274936632457464,0.05521135673924312,0.08946377187634529,0.6171364741423484,0.12813467152589522,0.09141593856092885,1.4016666408833431,0.12620328579414283,0.08786065130431853,1.436402802854475
250,3,shuffle_g,128,0.512,240,0.05027922035990614,0.5369637586699869,0.003999999999999997,0.04947916666666667,0.921875,0.078125,0.3135593220338983,0.3898305084745763,0.2966101694915254,0.5169491525423728,0.48305084745762716,0.0,0.04947916666666667,0.4155094607577145,0.07216878364870322,5.757467976463265,0.06953973799486539,0.08403658068160179,0.8274936632457464,0.05521135673924312,0.08946377187634529,0.6171364741423484,0.12813467152589522,0.09141593856092885,1.4016666408833431,0.12620328579414283,0.08786065130431853,1.436402802854475
250,3,shuffle_f,118,0.472,240,0.05027922035990614,0.5824691619471045,0.020000000000000007,0.06497175141242938,1.0,0.0,0.3135593220338983,0.3898305084745763,0.2966101694915254,0.4830508474576271,0.5169491525423728,0.0,-0.06497175141242938,0.40895135922316717,0.07516460280028288,5.440743967074194,0.06953973799486539,0.08403658068160179,0.8274936632457464,0.05521135673924312,0.08946377187634529,0.6171364741423484,0.1281346715258952,0.09141593856092885,1.401666640883343,0.1356562605675685,0.09150786009100105,1.4824547359392248
250,3,shuffle_l,129,0.516,240,0.05027922035990614,0.5328012489128553,0.02,0.11369509043927649,0.9147286821705426,0.08527131782945736,0.3135593220338983,0.3898305084745763,0.2966101694915254,0.5169491525423728,0.48305084745762716,0.0,-0.11369509043927649,0.41004747768800603,0.07188851546895894,5.703935809678282,0.06953973799486539,0.08403658068160179,0.8274936632457464,0.05521135673924312,0.08946377187634529,0.6171364741423484,0.12813467152589522,0.09141593856092885,1.4016666408833431,0.1261668945480647,0.08751944360249451,1.4415870274621885
250,3,shuffle_e,133,0.532,240,0.05027922035990614,0.5167771512011904,0.004000000000000001,0.10776942355889724,0.8872180451127819,0.11278195488721804,0.3135593220338983,0.3898305084745763,0.2966101694915254,0.5169491525423728,0.48305084745762716,0.06766917293233082,0.10776942355889724,0.34949602851538664,0.07079923254047887,4.936438093669521,0.06953973799486539,0.08403658068160179,0.8274936632457464,0.05521135673924312,0.08946377187634529,0.6171364741423484,0.12813467152589522,0.09141593856092885,1.4016666408833431,0.11560787112891853,0.086193314731918,1.3412626198271511
