kcap,n,frac_masa_media,frac_masa_ee,frac_masa_mediana,frac_masa_min,frac_masa_max,pendiente_media,pendiente_ee,kappa_v_media,grado_medio,n_sumideros_medio
4,8,0.14881249999999996,0.0021525265470405375,0.15199999999999994,0.13899999999999998,0.15449999999999994,1.0472820720779326,0.044483986096165336,1.296567571421245,2.35475,8.0
5,8,0.10968750000000002,0.004018859002076509,0.10825000000000003,0.09650000000000004,0.1285,0.8072576101500236,0.04011639146613751,0.6496369284006074,3.204875,8.0
6,8,0.08200000000000002,0.0024604006642356914,0.07975000000000002,0.07500000000000002,0.09400000000000003,0.5867415593170362,0.01856081303369594,0.4093255926379634,3.9525,8.0
7,8,0.06493750000000001,0.0020732942644841467,0.06550000000000002,0.05450000000000001,0.07200000000000002,0.48008893751586834,0.023087040341310046,0.3899011754630832,4.6103749999999994,8.0
