kcap,K,seed_idx,admitida,J,clase,clustering_nativo,diam_b16,diam_nativo,giant_b16,giant_nativo,holon_ge5,holon_ratio,intentos_filtro,meandeg,n_aristas_nativo,noise,pendiente_null,pendiente_real,rule_id,seed,z_agg,z_sostenido
4,4,0,True,0.78,III,0.006508749466495943,5.0,19.0,0.6552511415525114,0.913,False,2.580394896972372,1,4.65,2609,0.317,0.8404496343177931,0.8678713560400533,A2-B0-C2-r0,2021257,0.620814631916413,False
4,4,1,True,0.713,III,0.004752646359904951,5.0,17.0,0.667420814479638,0.918,False,2.6109411944904317,1,4.99,2646,0.235,0.8396512874288187,0.8093640844333158,A2-B0-C2-r1,2021270,0.3552303492958204,False
4,4,2,True,0.431,III,0.03443941679235794,5.0,20.0,0.47571189279731996,0.824,False,2.7119731452115734,1,7.08,2272,0.242,1.1469246320207944,1.1434101308239224,A2-B0-C2-r2,2021283,0.7071067800365477,False
4,4,3,True,0.418,III,0.016666666666666684,5.0,18.0,0.6302521008403361,0.899,False,2.5775892684809216,1,5.58,2519,0.22,0.8521382425274959,0.9297659679004595,A2-B0-C2-r3,2021296,0.9520557536648655,False
4,4,4,True,0.49,III,0.030416355023684824,5.0,20.0,0.4706896551724138,0.82,False,4.499809015266088,1,6.98,2303,0.111,1.172970553778373,1.100890992839118,A2-B0-C2-r4,2021309,1.0261433103467668,False
4,4,5,True,0.481,III,0.004927163667523566,5.0,20.0,0.7266514806378133,0.931,False,1.3593117756301458,1,4.01,2588,0.348,0.8455798128576784,0.9346902895491211,A2-B0-C2-r5,2021322,1.02276643200852,False
4,4,6,True,0.559,intermedio (sin clase clara),0.011321576311778802,5.0,1.0,0.6839729119638827,0.9245,False,2.1045067519352867,1,5.45,2582,0.243,0.9169037911192333,-0.7913605819543327,A2-B0-C2-r6,2021335,4.105761365436056,False
4,4,7,True,0.35,III,0.003299276287782035,5.0,19.0,0.6812933025404158,0.9205,False,0.8836970317754929,1,4.7,2570,0.329,0.8335799005466215,0.8968530155664363,A2-B0-C2-r7,2021348,1.272792203435786,False
4,4,8,True,0.668,III,0.04122448979591834,5.0,23.0,0.39201183431952663,0.7655,False,2.6008505887030804,1,7.75,2169,0.254,1.358734804116198,1.4115002631210702,A2-B0-C2-r8,2021361,0.8485281359238577,False
4,4,9,True,0.718,III,0.005721070811744389,5.0,18.0,0.6659340659340659,0.9115,False,2.360243182098258,1,4.85,2592,0.237,0.9157264794143578,0.8650475155691941,A2-B0-C2-r9,2021374,1.6340813693195237,False
