exp,diseno,rule_id,seed,clase,brazo,N_nodos,K,kcap,J,noise,meandeg,n_aristas,grado_medio,clustering,transitividad,n_triangulos,holon,giant,diam,pendiente,frac_masa,masa_acretada,kappa_v,n_sumideros,t_primer_sumidero,carpeta,densidad,geo_sepmedia,geo_fof020,geo_ngrupos020,geo_fof030,geo_ngrupos030,geo_fof050,geo_densk8cv,geo_o4a_fof06,geo_o4a_fof10,geo_o4a_ngrupos06,geo_o4a_knn100x,geo_o4a_knn1000x,geo_o4a_sin_verificar_seed,base,geoIC_fof_b0.20,geoIC_ngrupos_b0.20,geoIC_fof_b0.30,geoIC_ngrupos_b0.30,geoIC_fof_b0.50,geoIC_ngrupos_b0.50,geoIC_knn8_cv,geoIC_knn8_p90_med,masa_particula,lado_nube,n_aristas_cabecera,bateria_raiz,f800_n_aristas,f800_grado_medio,f800_giant,f800_n_componentes,f800_diam,f800_asortatividad,f800_clustering,f800_transitividad,f800_n_triangulos,f800_tri_ar_media_sop,f800_tri_ar_mediana_sop,f800_tri_ar_max,f800_tri_ar_p99_sop,f800_tri_ar_media_todas,f800_frac_aristas_en_triangulo,f800_frac_aristas_multi_tri,f800_gini_tri_nodo,f800_tri_por_nodo_max,f800_frac_nodos_en_triangulo,f800_n_comp_tri,f800_tam_mayor_comp_tri,f800_frac_mayor_comp_tri,f800_tam_medio_comp_tri,f800_n_comp_tri_arista,f800_frac_mayor_comp_tri_arista,f800_modularidad_tri,f800_dist_media_tri,f800_dist_media_azar,f800_pendiente_nativa,f800_pendiente_canon,f800_ok,f800_motivo,f800_sha256,f800_archivo,f800_receta
F5B_40pares,pareado,A2-B0-C2-batch3-r12,472993.0,III,unico,2000,5.0,5.0,0.745,0.243,4.61,3272.0,3.272,,,,,0.9655,15.0,0.7435032678648847,0.1015,1908.2,0.5440414507772019,8,0.037,A2-B0-C2-batch3-r12_III,0.0016368184092046,7.745961543236626,0.6254999999999995,61.0,0.693000000000001,11.0,0.6984999999999827,4.265225390711227,,,,,,False,A2-B0-C2-batch3-r12_III,0.6254999999999995,61,0.693000000000001,11,0.6984999999999827,1,4.265225390711227,8.047795618041404,9.4,97.59299344952343,3272.0,bateria_fase5b_a2b0c2_escala_v3,3272,3.272,0.9655,6,14.0,0.10736488917164425,0.0032,0.003188097768331562,10,1.0,1.0,1.0,1.0,0.009168704156479218,0.009168704156479218,0.0,0.985,1.0,0.015,10.0,1.0,0.1,1.0,10.0,0.1,0.009130828142466867,6.866666666666667,6.773186528497409,0.7435032678648847,0.6740274866430683,True,,b66227701fdab5e3933adb28e87ddead3736adb0b5b8847502398083130bcf19,grafos_f800/F5B_40pares/A2-B0-C2-batch3-r12__s472993__unico__N2000.grafo.gz,"reconstruir_regla_a2b0c2(seed=472993, N=2000)"
F5B_40pares,pareado,A2-B0-C2-batch3-r120,483469.0,I,unico,2000,6.0,5.0,0.656,0.147,5.38,3396.0,3.396,,,,,0.9795,13.0,0.5745851449620949,0.0925,1739.0000000000002,0.4444444444444445,8,0.034,A2-B0-C2-batch3-r120_I,0.0016988494247123,,,,,,,,0.16,0.4945,50.0,0.0905,0.0455,True,A2-B0-C2-batch3-r120_I,0.5794999999999995,66,0.6630000000000003,21,0.6699999999999838,1,4.396950042053868,7.252821264358074,9.4,97.59299769849105,3396.0,bateria_fase5b_a2b0c2_escala_v4,3396,3.396,0.9795,5,13.0,0.07671320528852399,0.0038333333333333336,0.0038856231941815284,13,1.0,1.0,1.0,1.0,0.011484098939929329,0.011484098939929329,0.0,0.981474358974359,2.0,0.019,12.0,2.0,0.15384615384615385,1.0833333333333333,13.0,0.07692307692307693,0.011436950871322318,6.243589743589744,6.598399727613212,0.5745851449620949,0.6026898883224193,True,,03faead2d1c7a349142fecc26785ddeebb15ccfeac11fffe4a020acd443cfcd1,grafos_f800/F5B_40pares/A2-B0-C2-batch3-r120__s483469__unico__N2000.grafo.gz,"reconstruir_regla_a2b0c2(seed=483469, N=2000)"
F5B_40pares,pareado,A2-B0-C2-batch3-r143,485700.0,I,unico,2000,4.0,5.0,0.585,0.132,6.04,3349.0,3.349,,,,,0.954,1.0,0.7640298812029376,0.1,1880.0,0.393518518518518,8,0.037,A2-B0-C2-batch3-r143_I,0.0016753376688344,,,,,,,,,,,,,False,A2-B0-C2-batch3-r143_I,0.5789999999999994,65,0.6530000000000007,15,0.6664999999999839,1,4.169620382486741,10.076707237291789,9.4,97.59299607745004,3349.0,bateria_fase5b_a2b0c2_escala_v4,3349,3.349,0.954,8,14.0,0.06794252276777163,0.005266666666666667,0.005022156573116691,17,1.0,1.0,1.0,1.0,0.015228426395939087,0.015228426395939087,0.0,0.9754803921568628,2.0,0.025,16.0,2.0,0.11764705882352941,1.0625,17.0,0.058823529411764705,0.015162314309963237,6.1911764705882355,6.600181150784192,0.7640298812029376,0.7109918791402988,True,,3833a428c2429a2e7da8973b3ce5927f300797009c1415cd87bd31f18e9dcef4,grafos_f800/F5B_40pares/A2-B0-C2-batch3-r143__s485700__unico__N2000.grafo.gz,"reconstruir_regla_a2b0c2(seed=485700, N=2000)"
F5B_40pares,pareado,A2-B0-C2-batch3-r21,473866.0,III,unico,2000,6.0,5.0,0.346,0.134,5.31,3308.0,3.308,,,,,0.959,14.0,0.7248004383475681,0.0965,1814.2,0.4838709677419354,8,0.042,A2-B0-C2-batch3-r21_III,0.0016548274137068,,,,,,,,,,,,,False,A2-B0-C2-batch3-r21_III,0.5979999999999993,63,0.6670000000000014,14,0.6729999999999836,1,4.32045335197441,7.892860393126151,9.4,97.59298238103982,3308.0,bateria_fase5b_a2b0c2_escala_v3,3308,3.308,0.959,6,14.0,0.08117814419399215,0.0037166666666666667,0.0034066274388355527,11,1.0,1.0,1.0,1.0,0.009975816203143894,0.009975816203143894,0.0,0.9835,1.0,0.0165,11.0,1.0,0.09090909090909091,1.0,11.0,0.09090909090909091,0.009938691552778139,6.963636363636363,6.7440879846983135,0.7248004383475681,0.7339741044258867,True,,afd8101cff8b1b4f260b03b09f3b62aeab93f6f7eea6d2d5443733e385b23837,grafos_f800/F5B_40pares/A2-B0-C2-batch3-r21__s473866__unico__N2000.grafo.gz,"reconstruir_regla_a2b0c2(seed=473866, N=2000)"
F5B_40pares,pareado,A2-B0-C2-batch3-r23,474060.0,III,unico,2000,7.0,5.0,0.498,0.338,7.03,3169.0,3.169,,,,,0.9295,13.0,0.7756156905187959,0.1175,2209.0,0.7638888888888888,8,0.032,A2-B0-C2-batch3-r23_III,0.0015852926463231,,,,,,,,,,,,,False,A2-B0-C2-batch3-r23_III,0.5994999999999996,58,0.6780000000000014,18,0.690499999999983,1,4.198722184261216,14.770737639654918,9.4,97.59299940874668,3169.0,bateria_fase5b_a2b0c2_escala_v3,3169,3.169,0.9295,12,13.0,0.06477217532447582,0.010483333333333332,0.00736235595390525,23,1.0,1.0,1.0,1.0,0.021773430104133795,0.021773430104133795,0.0,0.9664855072463768,2.0,0.034,22.0,2.0,0.08695652173913043,1.0454545454545454,23.0,0.043478260869565216,0.021694391500335426,7.140909090909091,6.479547900968783,0.7756156905187959,0.7414601273231891,True,,1f368c8d238fcf19f2be3f639badf37c5097f73ef96185cc10138126859deb1c,grafos_f800/F5B_40pares/A2-B0-C2-batch3-r23__s474060__unico__N2000.grafo.gz,"reconstruir_regla_a2b0c2(seed=474060, N=2000)"
F5B_40pares,pareado,A2-B0-C2-batch3-r25,474254.0,III,unico,2000,8.0,5.0,0.481,0.207,6.78,3134.0,3.134,,,,,0.937,16.0,0.7951507684630403,0.113,2124.4,0.6865671641791045,8,0.03,A2-B0-C2-batch3-r25_III,0.0015677838919459,,,,,,,,,,,,,False,A2-B0-C2-batch3-r25_III,0.6174999999999994,64,0.6890000000000015,19,0.6969999999999827,1,4.148494416619051,12.523546623055635,9.4,97.59303159858874,3134.0,bateria_fase5b_a2b0c2_escala_v3,3134,3.134,0.937,9,16.0,0.09370764892442798,0.0155,0.01054945054945055,32,1.0,1.0,1.0,1.0,0.03063178047223995,0.03063178047223995,0.0,0.9529895833333333,2.0,0.0475,31.0,2.0,0.0625,1.032258064516129,32.0,0.03125,0.03051411042769891,6.854838709677419,6.786778624472164,0.7951507684630403,0.798688504658977,True,,f12645f2cb7e6c0226a05b8ac8475e810828be9e2f17381fe0563ef5ba4c3e19,grafos_f800/F5B_40pares/A2-B0-C2-batch3-r25__s474254__unico__N2000.grafo.gz,"reconstruir_regla_a2b0c2(seed=474254, N=2000)"
F5B_40pares,pareado,A2-B0-C2-batch3-r26,474351.0,III,unico,2000,8.0,5.0,0.682,0.271,6.44,3258.0,3.258,,,,,0.9465,15.0,0.7318596368941483,0.1115,2096.2000000000003,0.7205882352941176,8,0.032,A2-B0-C2-batch3-r26_III,0.0016298149074537,7.745961543236626,0.6004999999999994,64.0,0.6590000000000005,21.0,0.6774999999999836,4.28371721390348,,,,,,False,A2-B0-C2-batch3-r26_III,0.6004999999999994,64,0.6590000000000005,21,0.6774999999999836,2,4.28371721390348,11.931920690509337,9.4,97.59303021584368,3258.0,bateria_fase5b_a2b0c2_escala_v4,3258,3.258,0.9465,5,15.0,0.10418416983218597,0.007983333333333334,0.005879319236719959,19,1.0,1.0,1.0,1.0,0.017495395948434623,0.017495395948434623,0.0,0.9715,1.0,0.0285,19.0,1.0,0.05263157894736842,1.0,19.0,0.05263157894736842,0.01742841250945399,6.80701754385965,6.521670190274841,0.7318596368941483,0.7071044920543503,True,,79bfb97cbc9835bf69a8821c4bd7d24449e63fde3f2fc5c6ae56d52535f2fa72,grafos_f800/F5B_40pares/A2-B0-C2-batch3-r26__s474351__unico__N2000.grafo.gz,"reconstruir_regla_a2b0c2(seed=474351, N=2000)"
F5B_40pares,pareado,A2-B0-C2-batch3-r31,474836.0,III,unico,2000,4.0,5.0,0.695,0.156,7.18,3234.0,3.234,,,,,0.93,13.0,0.8063707776237024,0.117,2199.6,0.8095238095238093,8,0.036,A2-B0-C2-batch3-r31_III,0.0016178089044522,7.745961543236626,0.6009999999999993,70.0,0.6725000000000018,15.0,0.6889999999999832,4.21055194887473,,,,,,False,A2-B0-C2-batch3-r31_III,0.6009999999999993,70,0.6725000000000018,15,0.6889999999999832,3,4.21055194887473,14.99794806189504,9.4,97.59302360962371,3234.0,bateria_fase5b_a2b0c2_escala_v3,3234,3.234,0.93,7,13.0,0.03124225298925219,0.009516666666666666,0.009207161125319692,30,1.0112359550561798,1.0,2.0,1.1200000000000045,0.027829313543599257,0.027520098948670378,0.011235955056179775,0.9579,2.0,0.0435,28.0,2.0,0.06666666666666667,1.0714285714285714,29.0,0.06666666666666667,0.027407466050455704,6.343103448275862,6.614455474595337,0.8063707776237024,0.8088692905304837,True,,387fe838c0349b28546ddfa7e2db0b9e8f1c3fd0e8e6cd6074f37d6049a1fd55,grafos_f800/F5B_40pares/A2-B0-C2-batch3-r31__s474836__unico__N2000.grafo.gz,"reconstruir_regla_a2b0c2(seed=474836, N=2000)"
F5B_40pares,pareado,A2-B0-C2-batch3-r35,475224.0,I,unico,2000,4.0,5.0,0.657,0.303,4.75,3369.0,3.369,,,,,0.9695,14.0,0.6334481872632115,0.0975,1833.0,0.5312499999999999,8,0.036,A2-B0-C2-batch3-r35_I,0.0016853426713356,7.745961543236626,0.5959999999999992,61.0,0.6690000000000009,15.0,0.6854999999999835,4.402616737907266,,,,,,False,A2-B0-C2-batch3-r35_I,0.5959999999999992,61,0.6690000000000009,15,0.6854999999999835,4,4.402616737907266,7.315921633262056,9.4,97.59299963984934,3369.0,bateria_fase5b_a2b0c2_escala_v3,3369,3.369,0.9695,6,14.0,0.08353840311999768,0.0017333333333333335,0.0024096385542168677,8,1.0,1.0,1.0,1.0,0.007123775601068566,0.007123775601068566,0.0,0.988,1.0,0.012,8.0,1.0,0.125,1.0,8.0,0.125,0.007092080015428856,6.285714285714286,6.669289645682835,0.6334481872632115,0.6429565168734914,True,,b84204a690dd137f237f1351a4bf9b277a92016d4a1aec975dc03cda3acb3671,grafos_f800/F5B_40pares/A2-B0-C2-batch3-r35__s475224__unico__N2000.grafo.gz,"reconstruir_regla_a2b0c2(seed=475224, N=2000)"
F5B_40pares,pareado,A2-B0-C2-batch3-r44,476097.0,I,unico,2000,7.0,5.0,0.551,0.138,4.4,3252.0,3.252,,,,,0.9675,13.0,0.623750817921136,0.1015,1908.2000000000005,0.5925925925925919,8,0.037,A2-B0-C2-batch3-r44_I,0.0016268134067033,,,,,,,,,,,,,False,A2-B0-C2-batch3-r44_I,0.6299999999999994,59,0.6815000000000009,12,0.693999999999983,2,4.237542985808602,8.487307247537435,9.4,97.59303885251497,3252.0,bateria_fase5b_a2b0c2_escala_v3,3252,3.252,0.9675,5,13.0,0.03854988433198869,0.0020499999999999997,0.002584814216478191,8,1.0,1.0,1.0,1.0,0.007380073800738007,0.007380073800738007,0.0,0.988,1.0,0.012,8.0,1.0,0.125,1.0,8.0,0.125,0.007349106009510279,6.678571428571429,7.039202782739494,0.623750817921136,0.7221439360169533,True,,c1a6d9769daffe300a88be729c6bd57fe154e3b440ca650edd966b7d185dfa77,grafos_f800/F5B_40pares/A2-B0-C2-batch3-r44__s476097__unico__N2000.grafo.gz,"reconstruir_regla_a2b0c2(seed=476097, N=2000)"
