clave,rule_id,seed,lote,T_objetivo,var_solap,var_disp,pico_solap,pico_disp,d_pico,abs_d_pico,d_pico_cv,d_pico_max_med,d_pico_p99_med,frac_aristas_en_triangulo_solap,frac_aristas_en_triangulo_disp,d_frac_aristas_en_triangulo,tri_por_arista_media_solap,tri_por_arista_media_disp,d_tri_por_arista_media,frac_aristas_multi_tri_solap,frac_aristas_multi_tri_disp,d_frac_aristas_multi_tri,gini_tri_nodo_solap,gini_tri_nodo_disp,d_gini_tri_nodo,tri_por_arista_max_solap,tri_por_arista_max_disp,d_tri_por_arista_max,clustering_local_solap,clustering_local_disp,d_clustering_local,modularidad_tri_solap,modularidad_tri_disp,d_modularidad_tri,carpeta_solap,carpeta_disp,rango_abs_d_pico
A2-B0-C2-batch3-r0_s471829,A2-B0-C2-batch3-r0,471829,471828,55,solap1,disp2,11.777244086555386,11.817875928366744,-0.040631841811357816,0.040631841811357816,-0.06482522420626369,-83.31634441571026,-6.13591710995297,0.03552859618717504,0.07149046793760831,-0.03596187175043327,2.0121951219512195,1.0,1.0121951219512195,0.7439024390243902,0.0,0.7439024390243902,0.9817363636363636,0.9175,0.06423636363636365,3.0,1.0,2.0,0.01991666666666667,0.03216666666666666,-0.012249999999999994,0.035388128925386494,0.07123698859216228,-0.035848859666775784,/Users/alexis/phantom_cs073/bateria_fase8_f803_mismo_pico/A2-B0-C2-batch3-r0_s471829_f803_solap1,/Users/alexis/phantom_cs073/bateria_fase8_f803_mismo_pico/A2-B0-C2-batch3-r0_s471829_f803_disp2,0
A2-B0-C2-batch3-r0_s471829,A2-B0-C2-batch3-r0,471829,471828,55,solap0,disp1,11.299893695648535,11.381124063384798,-0.08123036773626247,0.08123036773626247,0.034663566093959375,-32.44404752378421,3.931843634469999,0.033362218370883885,0.07149046793760831,-0.03812824956672443,2.142857142857143,1.0,1.1428571428571428,0.7792207792207793,0.0,0.7792207792207793,0.9830272727272727,0.9175,0.06552727272727277,3.0,1.0,2.0,0.01908333333333333,0.033833333333333326,-0.014749999999999996,0.03322944794535772,0.07123994530365335,-0.038010497358295633,/Users/alexis/phantom_cs073/bateria_fase8_f803_mismo_pico/A2-B0-C2-batch3-r0_s471829_f803_solap0,/Users/alexis/phantom_cs073/bateria_fase8_f803_mismo_pico/A2-B0-C2-batch3-r0_s471829_f803_disp1,1
A2-B0-C2-batch3-r0_s471829,A2-B0-C2-batch3-r0,471829,471828,55,solap2,disp0,10.547021109736326,10.742162024332204,-0.19514091459587846,0.19514091459587846,0.1135671981137305,195.18004556161065,-1.895323747546854,0.036395147313691506,0.07149046793760831,-0.035095320623916806,1.9285714285714286,1.0,0.9285714285714286,0.6904761904761905,0.0,0.6904761904761905,0.9812592592592593,0.9175,0.0637592592592593,3.0,1.0,2.0,0.0205,0.03441666666666667,-0.013916666666666671,0.036254163800690235,0.07123910052894158,-0.03498493672825135,/Users/alexis/phantom_cs073/bateria_fase8_f803_mismo_pico/A2-B0-C2-batch3-r0_s471829_f803_solap2,/Users/alexis/phantom_cs073/bateria_fase8_f803_mismo_pico/A2-B0-C2-batch3-r0_s471829_f803_disp0,2
A2-B0-C2-batch3-r0_s471829,A2-B0-C2-batch3-r0,471829,471828,55,solap1,disp1,11.777244086555386,11.381124063384798,0.3961200231705888,0.3961200231705888,-0.019182240442924048,-46.73483606747516,12.832547968869846,0.03552859618717504,0.07149046793760831,-0.03596187175043327,2.0121951219512195,1.0,1.0121951219512195,0.7439024390243902,0.0,0.7439024390243902,0.9817363636363636,0.9175,0.06423636363636365,3.0,1.0,2.0,0.01991666666666667,0.033833333333333326,-0.013916666666666657,0.035388128925386494,0.07123994530365335,-0.03585181637826686,/Users/alexis/phantom_cs073/bateria_fase8_f803_mismo_pico/A2-B0-C2-batch3-r0_s471829_f803_solap1,/Users/alexis/phantom_cs073/bateria_fase8_f803_mismo_pico/A2-B0-C2-batch3-r0_s471829_f803_disp1,3
A2-B0-C2-batch3-r0_s471829,A2-B0-C2-batch3-r0,471829,471828,55,solap0,disp2,11.299893695648535,11.817875928366744,-0.5179822327182091,0.5179822327182091,-0.010979417669380265,-69.02555587201931,-15.036621444352818,0.033362218370883885,0.07149046793760831,-0.03812824956672443,2.142857142857143,1.0,1.1428571428571428,0.7792207792207793,0.0,0.7792207792207793,0.9830272727272727,0.9175,0.06552727272727277,3.0,1.0,2.0,0.01908333333333333,0.03216666666666666,-0.013083333333333332,0.03322944794535772,0.07123698859216228,-0.03800754064680456,/Users/alexis/phantom_cs073/bateria_fase8_f803_mismo_pico/A2-B0-C2-batch3-r0_s471829_f803_solap0,/Users/alexis/phantom_cs073/bateria_fase8_f803_mismo_pico/A2-B0-C2-batch3-r0_s471829_f803_disp2,4
A2-B0-C2-batch3-r0_s471829,A2-B0-C2-batch3-r0,471829,471828,55,solap0,disp0,11.299893695648535,10.742162024332204,0.557731671316331,0.557731671316331,0.016769994225157348,-65.8323603464084,-7.743127629626997,0.033362218370883885,0.07149046793760831,-0.03812824956672443,2.142857142857143,1.0,1.1428571428571428,0.7792207792207793,0.0,0.7792207792207793,0.9830272727272727,0.9175,0.06552727272727277,3.0,1.0,2.0,0.01908333333333333,0.03441666666666667,-0.015333333333333341,0.03322944794535772,0.07123910052894158,-0.03800965258358387,/Users/alexis/phantom_cs073/bateria_fase8_f803_mismo_pico/A2-B0-C2-batch3-r0_s471829_f803_solap0,/Users/alexis/phantom_cs073/bateria_fase8_f803_mismo_pico/A2-B0-C2-batch3-r0_s471829_f803_disp0,5
A2-B0-C2-batch3-r0_s471829,A2-B0-C2-batch3-r0,471829,471828,55,solap2,disp1,10.547021109736326,11.381124063384798,-0.8341029536484719,0.8341029536484719,0.13146076998253253,228.56835838423484,9.779647516550142,0.036395147313691506,0.07149046793760831,-0.035095320623916806,1.9285714285714286,1.0,0.9285714285714286,0.6904761904761905,0.0,0.6904761904761905,0.9812592592592593,0.9175,0.0637592592592593,3.0,1.0,2.0,0.0205,0.033833333333333326,-0.013333333333333326,0.036254163800690235,0.07123994530365335,-0.034985781502963116,/Users/alexis/phantom_cs073/bateria_fase8_f803_mismo_pico/A2-B0-C2-batch3-r0_s471829_f803_solap2,/Users/alexis/phantom_cs073/bateria_fase8_f803_mismo_pico/A2-B0-C2-batch3-r0_s471829_f803_disp1,6
A2-B0-C2-batch3-r0_s471829,A2-B0-C2-batch3-r0,471829,471828,55,solap1,disp0,11.777244086555386,10.742162024332204,1.0350820622231822,1.0350820622231822,-0.037075812311726075,-80.12314889009934,1.1575767047728505,0.03552859618717504,0.07149046793760831,-0.03596187175043327,2.0121951219512195,1.0,1.0121951219512195,0.7439024390243902,0.0,0.7439024390243902,0.9817363636363636,0.9175,0.06423636363636365,3.0,1.0,2.0,0.01991666666666667,0.03441666666666667,-0.014500000000000002,0.035388128925386494,0.07123910052894158,-0.03585097160355509,/Users/alexis/phantom_cs073/bateria_fase8_f803_mismo_pico/A2-B0-C2-batch3-r0_s471829_f803_solap1,/Users/alexis/phantom_cs073/bateria_fase8_f803_mismo_pico/A2-B0-C2-batch3-r0_s471829_f803_disp0,7
A2-B0-C2-batch3-r0_s471829,A2-B0-C2-batch3-r0,471829,471828,55,solap2,disp2,10.547021109736326,11.817875928366744,-1.2708548186304185,1.2708548186304185,0.0858177862191929,191.98685003599974,-9.188817562272675,0.036395147313691506,0.07149046793760831,-0.035095320623916806,1.9285714285714286,1.0,0.9285714285714286,0.6904761904761905,0.0,0.6904761904761905,0.9812592592592593,0.9175,0.0637592592592593,3.0,1.0,2.0,0.0205,0.03216666666666666,-0.011666666666666662,0.036254163800690235,0.07123698859216228,-0.03498282479147204,/Users/alexis/phantom_cs073/bateria_fase8_f803_mismo_pico/A2-B0-C2-batch3-r0_s471829_f803_solap2,/Users/alexis/phantom_cs073/bateria_fase8_f803_mismo_pico/A2-B0-C2-batch3-r0_s471829_f803_disp2,8
A2-B0-C2-batch3-r111_s482596,A2-B0-C2-batch3-r111,482596,471828,126,solap2,disp0,12.708908974959636,11.510312425309253,1.1985965496503823,1.1985965496503823,0.003135259313694405,64.15811612080654,-47.26226027936514,0.05004971826317534,0.12529002320185614,-0.07524030493868081,2.5033112582781456,1.0,1.5033112582781456,0.8410596026490066,0.0,0.8410596026490066,0.9721878306878307,0.811,0.1611878306878306,4.0,1.0,3.0,0.030666666666666665,0.0541,-0.023433333333333337,0.04981472242861109,0.12480679310445983,-0.07499207067584873,/Users/alexis/phantom_cs073/bateria_fase8_f803_mismo_pico/A2-B0-C2-batch3-r111_s482596_f803_solap2,/Users/alexis/phantom_cs073/bateria_fase8_f803_mismo_pico/A2-B0-C2-batch3-r111_s482596_f803_disp0,0
