clave,rule_id,seed,lote,T_objetivo,var_solap,var_disp,pico_solap,pico_disp,d_pico,abs_d_pico,d_pico_cv,d_pico_max_med,d_pico_p99_med,frac_aristas_en_triangulo_solap,frac_aristas_en_triangulo_disp,d_frac_aristas_en_triangulo,tri_por_arista_media_solap,tri_por_arista_media_disp,d_tri_por_arista_media,frac_aristas_multi_tri_solap,frac_aristas_multi_tri_disp,d_frac_aristas_multi_tri,gini_tri_nodo_solap,gini_tri_nodo_disp,d_gini_tri_nodo,tri_por_arista_max_solap,tri_por_arista_max_disp,d_tri_por_arista_max,clustering_local_solap,clustering_local_disp,d_clustering_local,modularidad_tri_solap,modularidad_tri_disp,d_modularidad_tri,carpeta_solap,carpeta_disp,rango_abs_d_pico,abs_d_pico_naive_mismo_indice,abs_d_pico_mediana_candidatos,sigma_pico,igualado
A2-B0-C2-batch3-r0_s471829,A2-B0-C2-batch3-r0,471829,471828,55,solap1,disp2,11.777244086555386,11.817875928366744,-0.040631841811357816,0.040631841811357816,-0.06482522420626369,-83.31634441571026,-6.13591710995297,0.03552859618717504,0.07149046793760831,-0.03596187175043327,2.0121951219512195,1.0,1.0121951219512195,0.7439024390243902,0.0,0.7439024390243902,0.9817363636363636,0.9175,0.06423636363636365,3.0,1.0,2.0,0.01991666666666667,0.03216666666666666,-0.012249999999999994,0.035388128925386494,0.07123698859216228,-0.035848859666775784,/Users/alexis/phantom_cs073/bateria_fase8_f803_mismo_pico/A2-B0-C2-batch3-r0_s471829_f803_solap1,/Users/alexis/phantom_cs073/bateria_fase8_f803_mismo_pico/A2-B0-C2-batch3-r0_s471829_f803_disp2,0,0.7415688377057794,0.5179822327182091,1.3750370197180575,True
A2-B0-C2-batch4-r36_s575321,A2-B0-C2-batch4-r36,575321,571828,31,solap1,disp1,10.743016368858182,10.923863909758023,-0.18084754089984045,0.18084754089984045,-0.050625582223398524,50.5680052321336,3.0028688206272705,0.02560819462227913,0.03969270166453265,-0.01408450704225352,1.55,1.0,0.55,0.5,0.0,0.5,0.9851774193548387,0.9535,0.0316774193548387,3.0,1.0,2.0,0.011583333333333334,0.0165,-0.004916666666666666,0.025495072635791476,0.0395425099127467,-0.014047437276955226,/Users/alexis/phantom_cs073/bateria_fase8_f803_mismo_pico/A2-B0-C2-batch4-r36_s575321_f803_solap1,/Users/alexis/phantom_cs073/bateria_fase8_f803_mismo_pico/A2-B0-C2-batch4-r36_s575321_f803_disp1,0,0.5524931374733916,0.6818784688973611,1.3750370197180575,True
A2-B0-C2-batch3-r111_s482596,A2-B0-C2-batch3-r111,482596,471828,126,solap2,disp0,12.708908974959636,11.510312425309253,1.1985965496503823,1.1985965496503823,0.003135259313694405,64.15811612080654,-47.26226027936514,0.05004971826317534,0.12529002320185614,-0.07524030493868081,2.5033112582781456,1.0,1.5033112582781456,0.8410596026490066,0.0,0.8410596026490066,0.9721878306878307,0.811,0.1611878306878306,4.0,1.0,3.0,0.030666666666666665,0.0541,-0.023433333333333337,0.04981472242861109,0.12480679310445983,-0.07499207067584873,/Users/alexis/phantom_cs073/bateria_fase8_f803_mismo_pico/A2-B0-C2-batch3-r111_s482596_f803_solap2,/Users/alexis/phantom_cs073/bateria_fase8_f803_mismo_pico/A2-B0-C2-batch3-r111_s482596_f803_disp0,0,2.0305156241672013,2.0125512933198983,1.3750370197180575,True
A2-B0-C2-batch4-r10_s572799,A2-B0-C2-batch4-r10,572799,571828,118,solap0,disp0,15.619283776559278,14.119443620240256,1.4998401563190225,1.4998401563190225,-0.11592894554045508,-195.64295369482772,38.53986834182439,0.047762191048764197,0.11823647294589178,-0.07047428189712758,2.4545454545454546,1.0,1.4545454545454546,0.8671328671328671,0.0,0.8671328671328671,0.9740555555555556,0.823,0.1510555555555556,4.0,1.0,3.0,0.02733333333333333,0.04934999999999999,-0.02201666666666666,0.04752711278714186,0.11777102970135331,-0.07024391691421145,/Users/alexis/phantom_cs073/bateria_fase8_f803_mismo_pico/A2-B0-C2-batch4-r10_s572799_f803_solap0,/Users/alexis/phantom_cs073/bateria_fase8_f803_mismo_pico/A2-B0-C2-batch4-r10_s572799_f803_disp0,0,3.0117740368571972,3.0374838667007236,1.3750370197180575,False
A2-B0-C2-batch3-r60_s477649,A2-B0-C2-batch3-r60,477649,471828,239,solap2,disp1,16.37771838698115,14.158572505804443,2.2191458811767077,2.2191458811767077,-0.03316632425320076,-4.676855120696814,64.29074101763263,0.08898305084745763,0.23370273794002608,-0.14471968709256844,2.6153846153846154,1.0,1.6153846153846154,0.9084249084249084,0.0,0.9084249084249084,0.9487801120448179,0.6415,0.307280112044818,4.0,1.0,3.0,0.05226666666666666,0.09928333333333333,-0.04701666666666667,0.08856996199996939,0.2327842374241232,-0.14421427542415383,/Users/alexis/phantom_cs073/bateria_fase8_f803_mismo_pico/A2-B0-C2-batch3-r60_s477649_f803_solap2,/Users/alexis/phantom_cs073/bateria_fase8_f803_mismo_pico/A2-B0-C2-batch3-r60_s477649_f803_disp1,0,3.6856645687122285,3.8242872552315124,1.3750370197180575,False
A2-B0-C2-r19_s273672,A2-B0-C2-r19,273672,271828,939,solap0,disp0,15.224907618689137,12.691987305040158,2.5329203136489795,2.5329203136489795,-0.17569943188614356,-158.625092311485,1.5131386988106215,0.27262843163903233,0.6800761076379451,-0.4074476759989128,2.8085742771684945,1.1258992805755397,1.6826749965929548,0.8604187437686939,0.12589928057553956,0.7345194631931543,0.8520441959531416,0.2761805111821086,0.575863684771033,6.0,2.0,4.0,0.1610809523809524,0.3577214285714286,-0.19664047619047617,0.27029868250860856,0.662984083313821,-0.3926854008052124,/Users/alexis/phantom_cs073/bateria_fase8_f803_mismo_pico/A2-B0-C2-r19_s273672_f803_solap0,/Users/alexis/phantom_cs073/bateria_fase8_f803_mismo_pico/A2-B0-C2-r19_s273672_f803_disp0,0,3.105043993849304,3.0023707709445944,1.3750370197180575,False
A2-B0-C2-batch4-r62_s577843,A2-B0-C2-batch4-r62,577843,571828,220,solap0,disp2,12.707590350938792,9.919604156495907,2.787986194442885,2.787986194442885,-0.052228414767419906,-10.522646570099027,56.08367765243065,0.07668990603213095,0.19975750227341618,-0.12306759624128523,2.5968379446640317,1.0015174506828528,1.595320493981179,0.8814229249011858,0.0015174506828528073,0.879905474218333,0.9516659056316591,0.6719939393939394,0.2796719662377197,4.0,2.0,2.0,0.0485,0.08508333333333334,-0.03658333333333334,0.07634936450471687,0.1990027749597762,-0.12265341045505933,/Users/alexis/phantom_cs073/bateria_fase8_f803_mismo_pico/A2-B0-C2-batch4-r62_s577843_f803_solap0,/Users/alexis/phantom_cs073/bateria_fase8_f803_mismo_pico/A2-B0-C2-batch4-r62_s577843_f803_disp2,0,5.0006528655065585,4.895264999829719,1.3750370197180575,False
A2-B0-C2-r14_s273187,A2-B0-C2-r14,273187,271828,250,solap2,disp1,12.06388421930816,8.291001473234925,3.772882746073236,3.772882746073236,0.18617312759349147,354.5166388748139,111.99409460400386,0.09132281553398058,0.2263349514563107,-0.1350121359223301,2.4916943521594686,1.0053619302949062,1.4863324218645624,0.8571428571428571,0.005361930294906166,0.8517809268479509,0.9440866666666666,0.633892,0.3101946666666666,4.0,2.0,2.0,0.05941666666666666,0.10255,-0.04313333333333334,0.09094863073216135,0.22550451893734114,-0.13455588820517977,/Users/alexis/phantom_cs073/bateria_fase8_f803_mismo_pico/A2-B0-C2-r14_s273187_f803_solap2,/Users/alexis/phantom_cs073/bateria_fase8_f803_mismo_pico/A2-B0-C2-r14_s273187_f803_disp1,0,4.265452239301469,4.335431022635672,1.3750370197180575,False
A2-B0-C2-r17_s273478,A2-B0-C2-r17,273478,271828,181,solap0,disp1,16.868161764765087,12.9803784069726,3.887783357792488,3.887783357792488,-0.08488534883425114,-93.95516356173437,69.4569016234118,0.06192733017377567,0.17156398104265402,-0.10963665086887836,2.770408163265306,1.0,1.770408163265306,0.9183673469387755,0.0,0.9183673469387755,0.9635626151012892,0.7285,0.23506261510128912,4.0,1.0,3.0,0.038366666666666674,0.06876666666666667,-0.030399999999999996,0.061658692901477206,0.17087102466002344,-0.10921233175854622,/Users/alexis/phantom_cs073/bateria_fase8_f803_mismo_pico/A2-B0-C2-r17_s273478_f803_solap0,/Users/alexis/phantom_cs073/bateria_fase8_f803_mismo_pico/A2-B0-C2-r17_s273478_f803_disp1,0,5.418857385238891,4.884025694835211,1.3750370197180575,False
A2-B0-C2-r20_s373769,A2-B0-C2-r20,373769,371828,562,solap1,disp2,16.44297104727872,9.551327221973052,6.891643825305669,6.891643825305669,-0.022524653876492273,284.6019553660782,141.31585938214408,0.17026443604964922,0.4444144630329196,-0.2741500269832704,2.6719492868462758,1.02367941712204,1.6482698697242357,0.8700475435816165,0.023679417122040074,0.8463681264595765,0.8939051008303678,0.28704033214709374,0.606864768683274,5.0,2.0,3.0,0.10981666666666666,0.2205666666666667,-0.11075000000000003,0.16929282716814875,0.44242149805059466,-0.2731286708824459,/Users/alexis/phantom_cs073/bateria_fase8_f803_mismo_pico/A2-B0-C2-r20_s373769_f803_solap1,/Users/alexis/phantom_cs073/bateria_fase8_f803_mismo_pico/A2-B0-C2-r20_s373769_f803_disp2,0,8.951329333762816,8.934458925205929,1.3750370197180575,False
