variante,n_grafos,t_medio_s,aceleracion_media,rms_medio,max_abs_medio,d_fof_b0.20_absmedio,d_fof_b0.20_max,d_fof_b0.30_absmedio,d_fof_b0.30_max,d_fof_b0.50_absmedio,d_fof_b0.50_max,d_dens_k8_cv_absmedio,d_dens_k8_cv_max
control_redondeo,12,190.4,0.98,0.32147025252367323,3.1118337462496286,0.011166666666666575,0.03199999999999992,0.003624999999998398,0.007499999999999951,0.0020000000000006033,0.004999999999999893,0.10900076759843473,0.22864434079483775
bh_theta0.0,2,507.8,0.36,0.31227047880352543,2.622716774139885,0.00950000000000012,0.018000000000000127,0.007749999999997981,0.008499999999995067,0.003500000000000003,0.006000000000000005,0.09672886947695991,0.15156635674745278
bh_theta0.3,12,119.1,1.59,1.2307311133128076,11.703453260739117,0.009500000000000036,0.041499999999999926,0.005875000000000218,0.012499999999999734,0.0038750000000000867,0.008999999999999897,0.052881157046810144,0.25869561694432885
bh_theta0.5,12,68.0,2.75,1.3558172815792966,12.056031585289626,0.016083333333333328,0.03999999999999998,0.006958333333332289,0.013499999999988965,0.0061666666666667,0.02050000000000385,0.10446387366770964,0.30109809070043436
bh_theta0.7,12,36.5,5.09,1.4788386546592196,12.08668558506948,0.01154166666666666,0.031000000000000028,0.012499999999999789,0.026500000000000523,0.011833333333332816,0.026499999999999413,0.09952202875484273,0.31285900661698474
bh_theta1.0,12,22.7,8.31,1.6623539034384907,12.463512999490598,0.02191666666666664,0.041999999999999704,0.01595833333333367,0.03149999999999775,0.01612499999999947,0.022999999999999243,0.09333211057384667,0.24444596466480029
