patch,seed,N,arm,regla,d_s,delta_rel,n_ejes,PR,ejes_reales,holonomia,gigante,diam_fin,pasos
3,6205,3500,completo,nematico,5.768,0.042,1,5.622,1,0.925,0.915,3,17
3,6205,3500,null_tipos,nematico,4.627,0.044,1,5.496,1,0.906,0.918,4,17
3,6205,3500,null_marco,nematico,5.402,0.041,0,7.976,0,0.976,0.904,4,17
3,6205,3500,null_mediado,nematico,5.226,0.04,2,5.532,1,0.885,0.909,4,17
3,6205,3500,subconjunto,nematico,4.351,0.046,0,7.984,0,0.985,0.918,4,16
2,4141,3500,completo,nematico,5.228,0.043,1,6.002,1,0.837,0.922,4,16
2,4141,3500,null_tipos,nematico,5.892,0.03,2,5.358,1,0.808,0.915,5,17
2,4141,3500,null_marco,nematico,5.609,0.046,0,7.985,0,0.993,0.909,4,17
2,4141,3500,null_mediado,nematico,5.776,0.045,1,4.817,1,0.778,0.915,4,17
2,4141,3500,subconjunto,nematico,5.42,0.044,0,7.978,0,1.137,0.915,4,16
0,13,3500,completo,nematico,5.768,0.045,1,6.22,1,0.796,0.907,4,17
0,13,3500,null_tipos,nematico,5.389,0.041,1,5.154,1,0.87,0.91,4,17
0,13,3500,null_marco,nematico,5.352,0.04,0,7.989,0,1.078,0.909,3,17
0,13,3500,null_mediado,nematico,5.409,0.038,1,4.741,1,0.917,0.911,4,17
0,13,3500,subconjunto,nematico,5.655,0.043,0,7.99,0,1.175,0.905,4,16
4,8269,3500,completo,nematico,6.069,0.04,1,5.054,1,0.987,0.913,4,17
4,8269,3500,null_tipos,nematico,5.236,0.044,1,5.708,1,0.959,0.911,4,17
4,8269,3500,null_marco,nematico,5.442,0.047,0,7.988,0,0.971,0.908,4,17
4,8269,3500,null_mediado,nematico,5.592,0.043,1,4.65,1,0.934,0.907,4,17
4,8269,3500,subconjunto,nematico,5.307,0.039,0,7.982,0,1.017,0.904,4,16
5,10333,3500,completo,nematico,5.449,0.046,1,5.643,1,0.952,0.912,4,17
5,10333,3500,null_tipos,nematico,5.627,0.042,1,5.337,1,0.998,0.907,4,17
5,10333,3500,null_marco,nematico,5.677,0.042,0,7.993,0,0.886,0.901,4,17
5,10333,3500,null_mediado,nematico,5.343,0.046,1,4.975,1,0.939,0.905,4,17
5,10333,3500,subconjunto,nematico,6.107,0.038,0,7.98,0,1.009,0.909,4,16
1,2077,3500,completo,nematico,5.748,0.041,2,5.77,1,0.864,0.91,4,17
1,2077,3500,null_tipos,nematico,5.622,0.043,1,5.194,1,0.995,0.912,4,17
1,2077,3500,null_marco,nematico,5.497,0.039,0,7.99,0,0.995,0.907,4,17
1,2077,3500,null_mediado,nematico,5.885,0.036,1,5.431,1,0.927,0.911,4,17
1,2077,3500,subconjunto,nematico,5.564,0.046,0,7.991,0,0.921,0.912,4,16
10,20653,3500,completo,nematico,5.808,0.043,2,5.155,1,0.943,0.905,4,17
10,20653,3500,null_tipos,nematico,5.312,0.043,1,4.659,1,0.758,0.919,4,17
10,20653,3500,null_marco,nematico,5.359,0.036,0,7.986,0,1.001,0.921,4,16
10,20653,3500,null_mediado,nematico,5.7,0.042,1,5.236,1,0.944,0.911,4,17
10,20653,3500,subconjunto,nematico,5.463,0.045,0,7.98,0,0.928,0.915,4,16
9,18589,3500,completo,nematico,5.456,0.037,2,5.573,1,0.932,0.917,3,17
9,18589,3500,null_tipos,nematico,5.736,0.041,1,5.142,1,1.011,0.917,4,17
9,18589,3500,null_marco,nematico,5.509,0.039,0,7.987,0,1.06,0.915,4,17
9,18589,3500,null_mediado,nematico,5.693,0.041,3,6.111,1,0.991,0.918,4,17
9,18589,3500,subconjunto,nematico,5.862,0.03,0,7.986,0,0.936,0.91,5,16
7,14461,3500,completo,nematico,5.99,0.043,1,4.829,1,0.918,0.908,4,17
7,14461,3500,null_tipos,nematico,4.909,0.045,1,5.318,1,0.893,0.912,4,17
7,14461,3500,null_marco,nematico,5.526,0.045,0,7.99,0,0.954,0.915,4,17
7,14461,3500,null_mediado,nematico,5.772,0.037,2,5.837,1,0.895,0.911,4,17
7,14461,3500,subconjunto,nematico,5.301,0.046,0,7.984,0,0.908,0.909,4,16
6,12397,3500,completo,nematico,5.508,0.043,1,5.186,1,0.942,0.911,4,17
6,12397,3500,null_tipos,nematico,5.439,0.044,2,5.102,1,0.76,0.913,4,17
