point_id,w_grav,w_strong,w_em,w_weak,w_exp,w_cool,alc,dmax_grav,seed,acople,phys,viable_d1,acelera_d1,viable_d2,acelera_d2,viable_d3,acelera_d3,viable_d4,acelera_d4,viable_curv,acelera_curv,corr_ok
0,0.8513849740847945,0.22349135391414165,0.8305992959067225,0.22365207504481077,0.5622324515134096,0.7752240756526589,0.6509670065715909,5,0,peso,0,0,0,0,0,0,0,0,0,0,0,1
0,0.8513849740847945,0.22349135391414165,0.8305992959067225,0.22365207504481077,0.5622324515134096,0.7752240756526589,0.6509670065715909,5,0,grado,0,0,0,0,0,0,0,0,0,0,0,1
0,0.8513849740847945,0.22349135391414165,0.8305992959067225,0.22365207504481077,0.5622324515134096,0.7752240756526589,0.6509670065715909,5,0,null_peso,0,0,0,0,0,0,0,0,0,0,0,1
0,0.8513849740847945,0.22349135391414165,0.8305992959067225,0.22365207504481077,0.5622324515134096,0.7752240756526589,0.6509670065715909,5,1,peso,0,0,0,0,0,0,0,0,0,0,0,1
0,0.8513849740847945,0.22349135391414165,0.8305992959067225,0.22365207504481077,0.5622324515134096,0.7752240756526589,0.6509670065715909,5,1,grado,0,0,0,0,0,0,0,0,0,0,0,1
0,0.8513849740847945,0.22349135391414165,0.8305992959067225,0.22365207504481077,0.5622324515134096,0.7752240756526589,0.6509670065715909,5,1,null_peso,0,0,0,0,0,0,0,0,0,0,0,1
1,0.1745905475690961,0.5416980758309364,0.04487832449376583,0.6778641045093536,0.14026380516588688,0.48489668872207403,0.19826900120824575,3,0,peso,0,0,0,0,0,0,0,0,0,0,0,1
1,0.1745905475690961,0.5416980758309364,0.04487832449376583,0.6778641045093536,0.14026380516588688,0.48489668872207403,0.19826900120824575,3,0,grado,0,0,0,0,0,0,0,0,0,0,0,1
1,0.1745905475690961,0.5416980758309364,0.04487832449376583,0.6778641045093536,0.14026380516588688,0.48489668872207403,0.19826900120824575,3,0,null_peso,0,0,0,0,0,0,0,0,0,0,0,1
1,0.1745905475690961,0.5416980758309364,0.04487832449376583,0.6778641045093536,0.14026380516588688,0.48489668872207403,0.19826900120824575,3,1,peso,0,0,0,0,0,0,0,0,0,0,0,1
1,0.1745905475690961,0.5416980758309364,0.04487832449376583,0.6778641045093536,0.14026380516588688,0.48489668872207403,0.19826900120824575,3,1,grado,0,0,0,0,0,0,0,0,0,0,0,1
1,0.1745905475690961,0.5416980758309364,0.04487832449376583,0.6778641045093536,0.14026380516588688,0.48489668872207403,0.19826900120824575,3,1,null_peso,0,0,0,0,0,0,0,0,0,0,0,1
2,0.48738853447139263,0.436060031875968,0.601498182862997,0.4029224095866084,0.33262231573462486,0.17500216979533434,0.7524711173027754,5,0,peso,0,0,0,0,0,0,0,0,0,0,0,1
2,0.48738853447139263,0.436060031875968,0.601498182862997,0.4029224095866084,0.33262231573462486,0.17500216979533434,0.7524711173027754,5,0,grado,0,0,0,0,0,0,0,0,0,0,0,1
2,0.48738853447139263,0.436060031875968,0.601498182862997,0.4029224095866084,0.33262231573462486,0.17500216979533434,0.7524711173027754,5,0,null_peso,0,0,0,0,0,0,0,0,0,0,0,1
2,0.48738853447139263,0.436060031875968,0.601498182862997,0.4029224095866084,0.33262231573462486,0.17500216979533434,0.7524711173027754,5,1,peso,0,0,0,0,0,0,0,0,0,0,0,1
2,0.48738853447139263,0.436060031875968,0.601498182862997,0.4029224095866084,0.33262231573462486,0.17500216979533434,0.7524711173027754,5,1,grado,0,0,0,0,0,0,0,0,0,0,0,1
2,0.48738853447139263,0.436060031875968,0.601498182862997,0.4029224095866084,0.33262231573462486,0.17500216979533434,0.7524711173027754,5,1,null_peso,0,0,0,0,0,0,0,0,0,0,0,1
3,0.5371220372617245,0.8602849394083023,0.273998879827559,0.9528226777911186,0.9731540121138096,0.58831528108567,0.33114562556147575,3,0,peso,0,0,0,0,0,0,0,0,0,0,0,1
3,0.5371220372617245,0.8602849394083023,0.273998879827559,0.9528226777911186,0.9731540121138096,0.58831528108567,0.33114562556147575,3,0,grado,0,0,0,0,0,0,0,0,0,0,0,1
3,0.5371220372617245,0.8602849394083023,0.273998879827559,0.9528226777911186,0.9731540121138096,0.58831528108567,0.33114562556147575,3,0,null_peso,0,0,0,0,0,0,0,0,0,0,0,1
3,0.5371220372617245,0.8602849394083023,0.273998879827559,0.9528226777911186,0.9731540121138096,0.58831528108567,0.33114562556147575,3,1,peso,0,0,0,0,0,0,0,0,0,0,0,1
3,0.5371220372617245,0.8602849394083023,0.273998879827559,0.9528226777911186,0.9731540121138096,0.58831528108567,0.33114562556147575,3,1,grado,0,0,0,0,0,0,0,0,0,0,0,1
3,0.5371220372617245,0.8602849394083023,0.273998879827559,0.9528226777911186,0.9731540121138096,0.58831528108567,0.33114562556147575,3,1,null_peso,0,0,0,0,0,0,0,0,0,0,0,1
4,0.7228478891775012,0.34781300090253353,0.16720391437411308,0.7831885535269976,0.7914923876523972,0.911597709171474,0.919670257717371,6,0,peso,0,0,0,0,0,1,1,0,0,0,0,1
4,0.7228478891775012,0.34781300090253353,0.16720391437411308,0.7831885535269976,0.7914923876523972,0.911597709171474,0.919670257717371,6,0,grado,0,0,0,0,0,0,0,0,0,1,1,1
4,0.7228478891775012,0.34781300090253353,0.16720391437411308,0.7831885535269976,0.7914923876523972,0.911597709171474,0.919670257717371,6,0,null_peso,0,0,0,0,0,1,0,0,0,1,0,1
4,0.7228478891775012,0.34781300090253353,0.16720391437411308,0.7831885535269976,0.7914923876523972,0.911597709171474,0.919670257717371,6,1,peso,0,0,0,1,1,0,0,1,1,0,0,1
4,0.7228478891775012,0.34781300090253353,0.16720391437411308,0.7831885535269976,0.7914923876523972,0.911597709171474,0.919670257717371,6,1,grado,0,0,0,0,0,0,0,0,0,0,0,1
4,0.7228478891775012,0.34781300090253353,0.16720391437411308,0.7831885535269976,0.7914923876523972,0.911597709171474,0.919670257717371,6,1,null_peso,0,0,0,0,0,1,0,1,0,1,0,1
