rule_id,seed,nivel,a_pico,pico_logrado,rho_max_en_medias,n_particulas_sobre_umbral,frac_masa_sobre_umbral
A2-B0-C2-batch4-r47,576388,L0,-0.35,5.769747868911274,2844.96016886248,0,0.0
A2-B0-C2-batch4-r47,576388,L1,0.0,6.028091084201561,6953.86045712254,0,0.0
A2-B0-C2-batch4-r47,576388,L2,0.2,8.331704175672634,13496.222336405968,0,0.0
A2-B0-C2-batch4-r47,576388,L3,0.35,11.096425393757166,24979.478735797842,0,0.0
A2-B0-C2-batch4-r47,576388,L4,0.5,18.17210859279168,54246.94849819103,2,0.001
A2-B0-C2-batch3-r120,483469,L0,-0.35,5.971989213724316,3307.176890708985,0,0.0
A2-B0-C2-batch3-r120,483469,L1,0.0,7.252821264358074,8088.729977474445,0,0.0
A2-B0-C2-batch3-r120,483469,L2,0.2,10.521985359314078,15708.289374858148,0,0.0
A2-B0-C2-batch3-r120,483469,L3,0.35,14.16244021540032,29093.86332973537,0,0.0
A2-B0-C2-batch3-r120,483469,L4,0.5,22.173178147657904,63251.761146130964,6,0.003
A2-B0-C2-r2,372023,L0,-0.35,7.824807256554844,2304.035951095462,0,0.0
A2-B0-C2-r2,372023,L1,0.0,7.527256426368226,5626.09327689321,0,0.0
A2-B0-C2-r2,372023,L2,0.2,8.8234519448172,10908.836418805637,0,0.0
A2-B0-C2-r2,372023,L3,0.35,11.936896738006023,20168.48810045824,0,0.0
A2-B0-C2-r2,372023,L4,0.5,17.31644865332959,43722.848554633856,0,0.0
A2-B0-C2-r14,273187,L0,-0.35,6.707357610393728,4161.547401631661,0,0.0
A2-B0-C2-r14,273187,L1,0.0,7.870617297086977,10186.968052375196,0,0.0
A2-B0-C2-r14,273187,L2,0.2,10.483417564958687,19799.138607580764,0,0.0
A2-B0-C2-r14,273187,L3,0.35,15.116409015479736,36704.923516331175,0,0.0
A2-B0-C2-r14,273187,L4,0.5,24.55700772995505,79917.33088729318,5,0.0025
A2-B0-C2-batch4-r31,574836,L0,-0.35,6.7313022735036,3045.629245394546,0,0.0
A2-B0-C2-batch4-r31,574836,L1,0.0,8.16213088034305,7446.529251374497,0,0.0
A2-B0-C2-batch4-r31,574836,L2,0.2,11.749112851193583,14456.467527002127,0,0.0
A2-B0-C2-batch4-r31,574836,L3,0.35,14.8254411653855,26765.386341073947,0,0.0
A2-B0-C2-batch4-r31,574836,L4,0.5,22.76625539558128,58155.17643284491,2,0.001
A2-B0-C2-r39,375612,L0,-0.35,8.532490705369856,2857.5531067829884,0,0.0
A2-B0-C2-r39,375612,L1,0.0,8.341468000805753,6984.776424959454,0,0.0
A2-B0-C2-r39,375612,L2,0.2,9.985230607364642,13556.477096698,0,0.0
A2-B0-C2-r39,375612,L3,0.35,12.37887951062248,25091.537616833306,0,0.0
A2-B0-C2-r39,375612,L4,0.5,18.419552811410707,54492.1544568495,1,0.0005
A2-B0-C2-batch4-r12,572993,L0,-0.35,7.496643066283309,3175.025132104883,0,0.0
A2-B0-C2-batch4-r12,572993,L1,0.0,8.79084888501245,7764.237234005721,0,0.0
A2-B0-C2-batch4-r12,572993,L2,0.2,12.21562008581054,15075.74851285622,0,0.0
A2-B0-C2-batch4-r12,572993,L3,0.35,17.273541975738286,27917.254868255357,0,0.0
A2-B0-C2-batch4-r12,572993,L4,0.5,24.22471260869923,60676.25744444434,4,0.002
A2-B0-C2-batch3-r143,485700,L0,-0.35,8.786331749178064,3263.3497635557674,0,0.0
A2-B0-C2-batch3-r143,485700,L1,0.0,10.076707237291789,7981.112490866621,0,0.0
A2-B0-C2-batch3-r143,485700,L2,0.2,14.488936869090166,15498.504529803611,0,0.0
A2-B0-C2-batch3-r143,485700,L3,0.35,19.398306445748485,28703.628059487462,0,0.0
