rule_id,seed,nivel,a_pico,pico_logrado,rho_max_en_medias,n_particulas_sobre_umbral,frac_masa_sobre_umbral
A2-B0-C2-batch3-r143,485700,L4,0.5,28.15073975261165,62397.537568908505,4,0.002
A2-B0-C2-batch4-r1,571926,L0,-0.35,8.50576372570313,3435.040550056484,0,0.0
A2-B0-C2-batch4-r1,571926,L1,0.0,11.43495169884778,8402.709731604884,0,0.0
A2-B0-C2-batch4-r1,571926,L2,0.2,17.04912096693145,16320.368169053201,0,0.0
A2-B0-C2-batch4-r1,571926,L3,0.35,22.726360092506315,30232.4778138193,0,0.0
A2-B0-C2-batch4-r1,571926,L4,0.5,34.56423146146172,65744.3438253093,6,0.003
A2-B0-C2-r1,271926,L0,-0.35,10.997616334006326,4729.672109394739,0,0.0
A2-B0-C2-r1,271926,L1,0.0,12.25778896617674,11582.502041507847,0,0.0
A2-B0-C2-r1,271926,L2,0.2,15.462270485409896,22520.496436882157,0,0.0
A2-B0-C2-r1,271926,L3,0.35,20.715870528004853,41769.2172257677,0,0.0
A2-B0-C2-r1,271926,L4,0.5,27.53491694708205,91010.61389676457,7,0.0035
A2-B0-C2-batch3-r111,482596,L0,-0.35,10.076387336904382,3766.4739970606065,0,0.0
A2-B0-C2-batch3-r111,482596,L1,0.0,14.903601369411886,9216.639503934306,0,0.0
A2-B0-C2-batch3-r111,482596,L2,0.2,22.466715301560804,17907.189648700212,0,0.0
A2-B0-C2-batch3-r111,482596,L3,0.35,30.86526025201875,33184.63253882212,0,0.0
A2-B0-C2-batch3-r111,482596,L4,0.5,45.80216516380474,72208.0309891448,13,0.0065
A2-B0-C2-r17,273478,L0,-0.35,12.793226642034274,4375.892092898466,0,0.0
A2-B0-C2-r17,273478,L1,0.0,18.34790695991243,10713.458622833934,0,0.0
A2-B0-C2-r17,273478,L2,0.2,28.924265035603145,20825.776611141748,0,0.0
A2-B0-C2-r17,273478,L3,0.35,40.79434938424628,38615.343649835035,0,0.0
A2-B0-C2-r17,273478,L4,0.5,62.004471192075904,84101.74488865622,10,0.005
