par,rule_I,rule_III,seed_I,seed_III,lote_I,lote_III,lote_par,kcap_I,kcap_III,kcap_par,K_I,K_III,K_par,tanda,componente_regla,frac_I,frac_III,d_frac,masa_I,masa_III,d_masa,kv_I,kv_III,d_kv,valido_diam
A2-B0-C2-batch3-r76_vs_A2-B0-C2-batch3-r26,A2-B0-C2-batch3-r76,A2-B0-C2-batch3-r26,479201,474351,471828,471828,471828,5,5,5,8,8,8,tarea_actual_v4_escala40,A2-B0-C2-batch3-r76_vs_A2-B0-C2-batch3-r26,0.10650000000000004,0.11150000000000004,0.0050000000000000044,2002.2,2096.2000000000003,94.00000000000023,0.6825396825396828,0.7205882352941176,0.03804855275443486,True
A2-B0-C2-batch3-r86_vs_A2-B0-C2-batch3-r12,A2-B0-C2-batch3-r86,A2-B0-C2-batch3-r12,480171,472993,471828,471828,471828,5,5,5,5,5,5,tarea_actual_v3_escala20,A2-B0-C2-batch3-r86_vs_A2-B0-C2-batch3-r12,0.09450000000000001,0.10150000000000003,0.00700000000000002,1776.6,1908.2,131.60000000000014,0.5,0.5440414507772019,0.044041450777201896,True
A2-B0-C2-batch3-r9_vs_A2-B0-C2-batch3-r83,A2-B0-C2-batch3-r9,A2-B0-C2-batch3-r83,472702,479880,471828,471828,471828,6,6,6,7,7,7,tarea_actual_v3_escala20,A2-B0-C2-batch3-r9_vs_A2-B0-C2-batch3-r83,0.07650000000000001,0.08700000000000001,0.010499999999999995,1438.2,1635.6000000000001,197.4000000000001,0.4130434782608696,0.41935483870967755,0.006311360448807923,True
A2-B0-C2-batch4-r11_vs_A2-B0-C2-batch4-r0,A2-B0-C2-batch4-r11,A2-B0-C2-batch4-r0,572896,571829,571828,571828,571828,6,6,6,6,6,6,tarea_actual_v4_escala40,A2-B0-C2-batch4-r11_vs_A2-B0-C2-batch4-r0,0.08600000000000003,0.09000000000000002,0.00399999999999999,1616.8000000000002,1692.0,75.19999999999982,0.30687830687830625,0.4421052631578949,0.13522695627958864,True
A2-B0-C2-batch4-r13_vs_A2-B0-C2-batch4-r94,A2-B0-C2-batch4-r13,A2-B0-C2-batch4-r94,573090,580947,571828,571828,571828,6,6,6,6,6,6,tarea_actual_v4_escala40,A2-B0-C2-batch4-r13_vs_A2-B0-C2-batch4-r94,0.07650000000000001,0.08900000000000004,0.012500000000000025,1438.1999999999998,1673.2000000000003,235.00000000000045,0.4680851063829786,0.39893617021276606,-0.06914893617021256,True
A2-B0-C2-batch4-r15_vs_A2-B0-C2-batch4-r62,A2-B0-C2-batch4-r15,A2-B0-C2-batch4-r62,573284,577843,571828,571828,571828,5,5,5,8,8,8,tarea_actual_v4_escala40,A2-B0-C2-batch4-r15_vs_A2-B0-C2-batch4-r62,0.10550000000000002,0.10250000000000004,-0.002999999999999989,1983.4,1927.0,-56.40000000000009,0.6307692307692307,0.5671641791044775,-0.06360505166475328,True
A2-B0-C2-batch4-r18_vs_A2-B0-C2-batch4-r19,A2-B0-C2-batch4-r18,A2-B0-C2-batch4-r19,573575,573672,571828,571828,571828,6,6,6,5,5,5,tarea_actual_v4_escala40,A2-B0-C2-batch4-r18_vs_A2-B0-C2-batch4-r19,0.08200000000000002,0.09050000000000001,0.008499999999999994,1541.6,1701.4,159.80000000000018,0.5510204081632653,0.4761904761904759,-0.07482993197278937,True
A2-B0-C2-batch4-r23_vs_A2-B0-C2-batch4-r10,A2-B0-C2-batch4-r23,A2-B0-C2-batch4-r10,574060,572799,571828,571828,571828,5,5,5,5,5,5,tarea_actual_v4_escala40,A2-B0-C2-batch4-r23_vs_A2-B0-C2-batch4-r10,0.09550000000000002,0.12799999999999997,0.03249999999999996,1795.4,2406.3999999999996,610.9999999999995,0.5081967213114754,0.9027777777777777,0.39458105646630226,True
A2-B0-C2-batch4-r31_vs_A2-B0-C2-batch4-r1,A2-B0-C2-batch4-r31,A2-B0-C2-batch4-r1,574836,571926,571828,571828,571828,5,5,5,6,6,6,tarea_actual_v4_escala40,A2-B0-C2-batch4-r31_vs_A2-B0-C2-batch4-r1,0.09850000000000003,0.10750000000000003,0.008999999999999994,1851.8000000000002,2021.0,169.19999999999982,0.523076923076923,0.6307692307692309,0.10769230769230786,True
A2-B0-C2-batch4-r38_vs_A2-B0-C2-batch4-r72,A2-B0-C2-batch4-r38,A2-B0-C2-batch4-r72,575515,578813,571828,571828,571828,5,5,5,4,4,4,tarea_actual_v4_escala40,A2-B0-C2-batch4-r38_vs_A2-B0-C2-batch4-r72,0.09950000000000002,0.10150000000000003,0.0020000000000000157,1870.6,1908.2,37.600000000000136,0.6439790575916231,0.5148514851485143,-0.1291275724431088,True
