patch,seed,N,arm,k_local,D_max,d_s,delta_rel,n_ejes,PR,ejes_reales,holonomia,gigante,grado_medio,clustering,diam_fin,pasos
11,66133,2500,sin_local,-1,8,5.139,0.048,1,5.372,1,0.891,0.901,51.014,0.081,4,17
11,66133,2500,local_barajado,12,8,4.004,0.054,1,3.075,1,0.731,0.903,29.072,0.0543,4,20
11,66133,2500,local_marco_congelado,12,8,5.445,0.038,0,7.976,0,0.997,0.912,31.218,0.1407,4,20
15,66145,2500,local,7,8,4.067,0.032,1,5.831,1,0.869,0.906,18.216,0.2615,6,20
15,66145,2500,sin_local,-1,8,5.27,0.051,1,4.866,1,0.935,0.913,51.805,0.0847,4,17
15,66145,2500,local_barajado,7,8,3.612,0.048,3,5.349,1,1.208,0.916,17.499,0.0737,6,20
15,66145,2500,local_marco_congelado,7,8,4.29,0.034,0,7.978,0,1.037,0.916,18.483,0.2606,7,20
13,66139,2500,local,14,8,6.135,0.039,3,4.539,1,0.861,0.913,36.021,0.1309,3,20
13,66139,2500,sin_local,-1,8,4.982,0.05,2,5.411,1,0.95,0.904,50.016,0.0812,4,17
13,66139,2500,local_barajado,14,8,4.234,0.052,1,4.07,1,0.963,0.917,34.093,0.0385,4,20
13,66139,2500,local_marco_congelado,14,8,5.35,0.037,0,7.985,0,0.964,0.904,35.083,0.1315,4,20
16,66148,2500,local,9,8,5.164,0.041,1,5.056,1,0.77,0.913,23.574,0.1981,5,20
16,66148,2500,sin_local,-1,8,5.486,0.046,1,5.378,1,0.883,0.921,52.402,0.0835,3,17
16,66148,2500,local_barajado,9,8,3.962,0.053,1,3.631,1,1.003,0.914,22.266,0.0624,5,20
16,66148,2500,local_marco_congelado,9,8,5.967,0.03,0,7.986,0,0.973,0.913,24.058,0.1965,4,20
19,66157,2500,local,7,8,4.034,0.037,5,6.773,1,0.963,0.904,18.149,0.2752,6,20
19,66157,2500,sin_local,-1,8,5.276,0.049,1,4.803,1,0.796,0.918,52.598,0.0807,4,17
19,66157,2500,local_barajado,7,8,3.748,0.05,1,5.006,1,1.088,0.921,17.613,0.0738,5,20
19,66157,2500,local_marco_congelado,7,8,4.28,0.035,0,7.98,0,1.011,0.919,18.322,0.2621,6,20
14,66142,2500,local,14,8,5.96,0.031,1,4.11,1,0.737,0.901,35.392,0.1403,3,20
14,66142,2500,sin_local,-1,8,5.577,0.037,3,5.697,1,0.961,0.914,48.25,0.1092,4,16
14,66142,2500,local_barajado,14,8,4.276,0.048,1,2.366,1,1.099,0.91,33.958,0.0429,4,20
14,66142,2500,local_marco_congelado,14,8,5.962,0.041,0,7.976,0,0.914,0.912,36.427,0.1387,3,20
17,66151,2500,local,11,8,5.131,0.044,1,4.373,1,0.747,0.905,28.331,0.1631,4,20
17,66151,2500,sin_local,-1,8,5.341,0.048,2,4.845,1,0.825,0.908,52.658,0.0874,4,17
17,66151,2500,local_barajado,11,8,4.031,0.055,1,3.929,1,0.813,0.916,27.178,0.0492,4,20
17,66151,2500,local_marco_congelado,11,8,4.342,0.034,0,7.98,0,0.838,0.916,29.022,0.1572,4,20
18,66154,2500,local,11,8,5.329,0.038,1,2.853,1,0.954,0.909,28.582,0.1762,4,20
