N,theta,t_s,err_rel_medio,err_rel_max,err_abs_max,interacciones
500,control_redondeo(N2 orden inverso),0.159,7.459960710773904e-16,2.717862335697973e-15,2.723465560887555e-13,249500
500,0.0,0.438,7.284396553013719e-16,2.134616101190096e-15,2.1390168887322672e-13,249500
500,0.3,0.223,0.0020499585920831704,0.003505921692286626,0.3513149603899698,144434
500,0.5,0.122,0.00803978241759212,0.014663887383325424,1.4694118886254854,72484
500,0.7,0.03,0.023159041586370444,0.04108057276303167,4.116526568403981,40130
500,1.0,0.021,0.04951657772466675,0.08869848326150515,8.888134667189968,20003
1000,control_redondeo(N2 orden inverso),0.744,1.0330435100833748e-15,3.318294657318004e-15,4.171413890680842e-13,999000
1000,0.0,1.429,9.948352290958057e-16,3.303549355461713e-15,4.152877635363682e-13,999000
1000,0.3,0.659,0.0026014077421634718,0.004029482206887041,0.5065444689485593,451678
1000,0.5,0.293,0.009116493690145836,0.015225209360855713,1.913954496968322,198301
1000,0.7,0.212,0.023483637606425883,0.03839770517114008,4.826958943140395,103713
1000,1.0,0.084,0.047858566004539915,0.0781659979782458,9.826213866399792,49274
2000,control_redondeo(N2 orden inverso),2.554,1.4767924791346466e-15,5.853015032964916e-15,9.232681958781533e-13,3998000
2000,0.0,4.583,1.4397402164096678e-15,6.6908931154133706e-15,1.0554370321430692e-12,3998000
2000,0.3,1.795,0.0030439680945264017,0.004405440983505346,0.6949245006172938,1333869
2000,0.5,0.789,0.009738646594034716,0.015337897991185834,2.419435680094584,523496
2000,0.7,0.407,0.023717105272233186,0.04146366120647753,6.540574295640452,258978
2000,1.0,0.185,0.04737000483230998,0.07470090664837256,11.783494647333617,117088
4000,control_redondeo(N2 orden inverso),10.282,2.0916894458970378e-15,8.48671153222565e-15,1.684211124037598e-12,15996000
4000,0.0,24.505,2.0341902007978456e-15,7.452765117620819e-15,1.4790216290814087e-12,15996000
4000,0.3,5.502,0.0033885155635354795,0.004805903645111516,0.9537447277917495,3282836
4000,0.5,2.196,0.009914011742514859,0.015599515723630655,3.0957665771453495,1207370
4000,0.7,1.288,0.02332828112458909,0.03852729007882608,7.6458461305524414,580050
4000,1.0,0.618,0.045877056025347834,0.0728254086454104,14.452401603076291,256743
