seed,sustrato,brazo,n_edges,n_tri,b1_armonico,lambda_min_pos,lambda_max,frac_armonica,curl_energy_up,grad_energy_down,holon_modK_media,corr_curl_lineal_vs_holon_modK
1,3_simplicial,REAL,545,161,276,0.4961669845984891,20.54698631014731,0.49218916476606217,0.2542753570680244,0.20374862288348178,1.4087963917293023,-0.017025333840706654
1,3_simplicial,NULL,545,161,276,0.4961669845984891,20.54698631014731,0.4995974960587216,8.109417435065762,5.813043839769826,1.7278919159300141,-0.10505887734729583
1,3_simplicial,SHUFFLED,545,161,276,0.4961669845984891,20.54698631014731,0.4985439072066235,0.2674207817653857,0.14457872634264493,1.3156210563087274,-0.04143852801337858
1,4_2complejo_feedback,REAL,545,161,276,0.4961669845984891,20.54698631014731,0.5283515990206306,0.19440050707523734,0.14041286243844164,0.22749550399512172,-0.001964318064967763
1,4_2complejo_feedback,NULL,545,161,276,0.4961669845984891,20.54698631014731,0.4995974960587216,8.109417435065762,5.813043839769826,1.7278919159300141,-0.10505887734729583
1,4_2complejo_feedback,SHUFFLED,545,161,276,0.4961669845984891,20.54698631014731,0.47561046703562937,0.20483566734445327,0.1520414523656569,0.33012334484696276,0.1953228341112344
2,3_simplicial,REAL,513,161,248,0.2500207977923209,19.878428970805285,0.4331949554093722,0.29559188815592774,0.21896771544663934,0.4881348220978578,0.14904960752010837
2,3_simplicial,NULL,513,161,248,0.2500207977923209,19.878428970805285,0.4404174617519209,9.53923770737583,6.198242840205104,1.496310689620956,-0.17405049937242764
2,3_simplicial,SHUFFLED,513,161,248,0.2500207977923209,19.878428970805285,0.52754873754512,0.25549440673892415,0.15347142488785062,0.496351549640451,-0.054309253938525565
2,4_2complejo_feedback,REAL,513,161,248,0.2500207977923209,19.878428970805285,0.5052036098232147,0.17932200717746213,0.09796464612193434,0.2379983368259918,0.029929698315550368
2,4_2complejo_feedback,NULL,513,161,248,0.2500207977923209,19.878428970805285,0.4404174617519209,9.53923770737583,6.198242840205104,1.496310689620956,-0.17405049937242764
2,4_2complejo_feedback,SHUFFLED,513,161,248,0.2500207977923209,19.878428970805285,0.49323064973069564,0.22188195918679107,0.10225558593878746,0.3410856906459559,0.02208838203361044
3,3_simplicial,REAL,606,221,282,0.2825759978236234,21.561432218547882,0.45511388113261964,0.2058555915402009,0.18000937627419358,1.253916795486004,0.07711711873561766
3,3_simplicial,NULL,606,221,282,0.2825759978236234,21.561432218547882,0.5081887806911983,8.656367104473908,4.3935922603971305,1.5117224891767953,0.06371735133802883
