rule_id,brazo,clase,pendiente,z_agg,holon_ratio,n_aristas_b1,grado_medio_b1,diam_b1,giant_b1,holon_b1,K,J,noise,meandeg,kcap,seed
A2-B0-C2-r5,C0,II,0.44196596147341616,0.4242640678119285,1.4121977903190486,4970,4.97,9.0,0.9925,1.1168645848177177,5,0.769,0.338,4.97,6,90697
A2-B0-C2-r6,C2-hard,III,0.8784150429557251,1.376319821476794,2.6009121314250687,3067,3.067,14.0,0.927,0.667708810951657,5,0.407,0.249,7.4,5,90794
A2-B0-C2-r6,C2-hibrido,III,1.000975091739252,0.38974720855387446,1.7805278388138503,3315,3.315,14.0,0.8655,0.7383637807948664,5,0.407,0.249,7.4,5,90794
A2-B0-C2-r6,C2-presupuesto-variable,I,0.5660027990995847,0.4949747458555828,1.3006513954120045,4225,4.225,11.0,0.987,1.0776534724884497,5,0.407,0.249,7.4,5,90794
A2-B0-C2-r6,C2-presupuesto-variable-azar,I,0.5863570229908278,0.3863703299156276,1.3589029243020225,3751,3.751,11.0,0.982,0.9357272323744523,5,0.407,0.249,7.4,5,90794
A2-B0-C2-r6,C0,I,0.3277944297417056,1.2727922034357857,1.3668710946460765,7400,7.4,7.0,0.999,1.2886810810608644,5,0.407,0.249,7.4,5,90794
A2-B0-C2-r7,C2-hard,III,0.7476117537081425,1.4798474395178025,1.5517141062920128,3134,3.134,15.0,0.9305,0.8334436192558315,7,0.503,0.225,7.25,5,90891
A2-B0-C2-r7,C2-hibrido,III,0.7962155657562038,0.9899494915611664,1.9954008087350776,3460,3.46,11.0,0.8935,0.8162432815096313,7,0.503,0.225,7.25,5,90891
A2-B0-C2-r7,C2-presupuesto-variable,I,0.5786551513726763,0.7071067796865472,1.8753466902341274,4303,4.303,12.0,0.993,1.0371411217519597,7,0.503,0.225,7.25,5,90891
A2-B0-C2-r7,C2-presupuesto-variable-azar,I,0.6654112236974411,0.7071067796865476,1.5473073291884412,3873,3.873,12.0,0.9815,0.6598045877153242,7,0.503,0.225,7.25,5,90891
A2-B0-C2-r7,C0,I,0.32623858987295884,1.1313708474984756,1.2418667996891868,7250,7.25,8.0,0.9995,1.0763466800165118,7,0.503,0.225,7.25,5,90891
A2-B0-C2-r8,C2-hard,I,0.5933308031518034,0.4949747461555834,2.0381520669350754,3619,3.619,11.0,0.981,0.6947648859673987,6,0.544,0.107,4.18,6,90988
A2-B0-C2-r8,C2-hibrido,I,0.6090941397177595,0.2828427118746191,3.2089930360764805,4054,4.054,11.0,0.985,0.410721590925289,6,0.544,0.107,4.18,6,90988
A2-B0-C2-r8,C2-presupuesto-variable,I,0.5836878618176089,0.4242640678119288,2.426554722071672,4047,4.047,11.0,0.9815,0.5550244466649588,6,0.544,0.107,4.18,6,90988
A2-B0-C2-r8,C2-presupuesto-variable-azar,I,0.6074252663125596,0.2828427118746191,2.0694928468732368,4040,4.04,11.0,0.9805,0.6109499351437914,6,0.544,0.107,4.18,6,90988
A2-B0-C2-r8,C0,I,0.5987272765765709,0.4242640678119285,1.019647000039827,4180,4.18,11.0,0.989,1.2139429478408668,6,0.544,0.107,4.18,6,90988
A2-B0-C2-r9,C2-hard,I,0.5068368336856607,0.527791685852937,2.9025578195497155,4533,4.533,11.0,0.9955,0.5497491449782462,5,0.397,0.121,5.37,7,91085
A2-B0-C2-r9,C2-hibrido,II,0.35340699352852456,0.6692130417902463,2.2331468997629043,5195,5.195,8.0,0.9945,0.559317224886632,5,0.397,0.121,5.37,7,91085
A2-B0-C2-r9,C2-presupuesto-variable,II,0.43237184023901426,0.7071067796865476,2.973500270217445,5164,5.164,8.0,0.989,0.6169916346190588,5,0.397,0.121,5.37,7,91085
A2-B0-C2-r9,C2-presupuesto-variable-azar,I,0.48101485930112275,0.5656854237492382,2.579473914717668,5169,5.169,9.0,0.989,0.49009518295607846,5,0.397,0.121,5.37,7,91085
A2-B0-C2-r9,C0,I,0.3358387624210486,0.4242640678119285,1.663483139540204,5370,5.37,8.0,0.9965,0.973312712064945,5,0.397,0.121,5.37,7,91085
A2-B0-C2-r10,C2-hard,II,0.40298740349994516,0.2828427118746191,3.3572516694109744,4800,4.8,9.0,0.9975,0.47077628176600284,5,0.441,0.133,6.34,7,91182
A2-B0-C2-r10,C2-hibrido,I,0.31326823654900077,0.4242640678119283,3.4992074136944544,6077,6.077,7.0,0.9965,0.4025561378715576,5,0.441,0.133,6.34,7,91182
A2-B0-C2-r10,C2-presupuesto-variable,II,0.3973398078262382,0.42426406781192816,3.0502912764879064,5787,5.787,8.0,0.9955,0.45297590327756143,5,0.441,0.133,6.34,7,91182
A2-B0-C2-r10,C2-presupuesto-variable-azar,I,0.3478241677063873,0.7071067796865472,3.5409364105997208,5774,5.774,8.0,0.9955,0.4614758280468142,5,0.441,0.133,6.34,7,91182
A2-B0-C2-r10,C0,I,0.2732071268712376,0.28284271187461874,2.147222520200523,6340,6.34,7.0,0.9985,0.6285836890205778,5,0.441,0.133,6.34,7,91182
A2-B0-C2-r11,C2-hard,I,0.6382654081105739,0.3535533899182736,2.1331432157807253,4052,4.052,12.0,0.983,0.7397610191655041,8,0.561,0.315,6.93,6,91279
A2-B0-C2-r11,C2-hibrido,I,0.6402847968113898,1.272792203435786,2.39955919673524,4880,4.88,11.0,0.972,0.6524527358954699,8,0.561,0.315,6.93,6,91279
A2-B0-C2-r11,C2-presupuesto-variable,II,0.4010424490940254,0.2449489739783178,1.481270049143019,5044,5.044,9.0,0.9945,0.9406984213057126,8,0.561,0.315,6.93,6,91279
