[verificación] 20 semillas nuevas; ancho de cadena por genealogía = 7761; separación mínima nueva-nueva = 78218; separación mínima nueva-vs-ya_usada = 23267
[verificación] saltos consecutivos entre semillas nuevas, todos distintos = True  -> no hay progresión aritmética
[verificación] OK: ninguna genealogía puede compartir una semilla individual con otra.
[diámetro] MOT._diam sustituido en memoria: _diam -> diam_gigante (medición oficial corregida, ningún archivo tocado en disco)
[shard 2/5] genealogías: ['H02_344251', 'H07_1357061', 'H12_2571043', 'H17_3948071']  brazos=['C2-hard', 'C2-hibrido']
[H02_344251] seed_base=344251  admitidas=20/20  descartadas(P1-P5)=0
  [H02_344251] A2-B0-C2-r0      C2-hard     clase=I                          pend=+0.590 diam_b1=12 (2.0s) [t=3s]
  [H02_344251] A2-B0-C2-r0      C2-hibrido  clase=I                          pend=+0.545 diam_b1=10 (2.6s) [t=5s]
  [H02_344251] A2-B0-C2-r1      C2-hard     clase=I                          pend=+0.461 diam_b1=10 (2.5s) [t=8s]
  [H02_344251] A2-B0-C2-r1      C2-hibrido  clase=II                         pend=+0.438 diam_b1=9 (2.7s) [t=11s]
  [H02_344251] A2-B0-C2-r2      C2-hard     clase=III                        pend=+0.702 diam_b1=13 (2.0s) [t=13s]
  [H02_344251] A2-B0-C2-r2      C2-hibrido  clase=I                          pend=+0.568 diam_b1=11 (2.4s) [t=15s]
  [H02_344251] A2-B0-C2-r3      C2-hard     clase=III                        pend=+0.729 diam_b1=14 (2.0s) [t=17s]
  [H02_344251] A2-B0-C2-r3      C2-hibrido  clase=III                        pend=+0.838 diam_b1=13 (2.5s) [t=20s]
  [H02_344251] A2-B0-C2-r4      C2-hard     clase=I                          pend=+0.484 diam_b1=10 (2.4s) [t=22s]
  [H02_344251] A2-B0-C2-r4      C2-hibrido  clase=I                          pend=+0.491 diam_b1=10 (2.6s) [t=25s]
  [H02_344251] A2-B0-C2-r5      C2-hard     clase=III                        pend=+0.745 diam_b1=14 (2.2s) [t=27s]
  [H02_344251] A2-B0-C2-r5      C2-hibrido  clase=I                          pend=+0.645 diam_b1=12 (2.4s) [t=29s]
  [H02_344251] A2-B0-C2-r6      C2-hard     clase=I                          pend=+0.681 diam_b1=13 (2.3s) [t=31s]
  [H02_344251] A2-B0-C2-r6      C2-hibrido  clase=I                          pend=+0.645 diam_b1=12 (3.1s) [t=35s]
  [H02_344251] A2-B0-C2-r7      C2-hard     clase=III                        pend=+0.810 diam_b1=17 (2.3s) [t=37s]
  [H02_344251] A2-B0-C2-r7      C2-hibrido  clase=I                          pend=+0.509 diam_b1=10 (2.5s) [t=39s]
  [H02_344251] A2-B0-C2-r8      C2-hard     clase=I                          pend=+0.506 diam_b1=11 (2.5s) [t=42s]
  [H02_344251] A2-B0-C2-r8      C2-hibrido  clase=I                          pend=+0.516 diam_b1=11 (2.7s) [t=44s]
  [H02_344251] A2-B0-C2-r9      C2-hard     clase=I                          pend=+0.577 diam_b1=11 (2.5s) [t=47s]
  [H02_344251] A2-B0-C2-r9      C2-hibrido  clase=I                          pend=+0.620 diam_b1=10 (2.6s) [t=49s]
  [H02_344251] A2-B0-C2-r10     C2-hard     clase=I                          pend=+0.608 diam_b1=12 (2.5s) [t=52s]
  [H02_344251] A2-B0-C2-r10     C2-hibrido  clase=I                          pend=+0.634 diam_b1=12 (2.6s) [t=55s]
  [H02_344251] A2-B0-C2-r11     C2-hard     clase=I                          pend=+0.615 diam_b1=12 (2.6s) [t=57s]
  [H02_344251] A2-B0-C2-r11     C2-hibrido  clase=I                          pend=+0.492 diam_b1=10 (2.8s) [t=60s]
  [H02_344251] A2-B0-C2-r12     C2-hard     clase=III                        pend=+0.751 diam_b1=14 (2.3s) [t=62s]
  [H02_344251] A2-B0-C2-r12     C2-hibrido  clase=I                          pend=+0.346 diam_b1=8 (3.4s) [t=66s]
  [H02_344251] A2-B0-C2-r13     C2-hard     clase=III                        pend=+0.713 diam_b1=14 (2.7s) [t=69s]
  [H02_344251] A2-B0-C2-r13     C2-hibrido  clase=II                         pend=+0.441 diam_b1=9 (2.9s) [t=71s]
  [H02_344251] A2-B0-C2-r14     C2-hard     clase=III                        pend=+0.995 diam_b1=19 (2.0s) [t=73s]
  [H02_344251] A2-B0-C2-r14     C2-hibrido  clase=III                        pend=+1.066 diam_b1=16 (2.3s) [t=76s]
  [H02_344251] A2-B0-C2-r15     C2-hard     clase=I                          pend=+0.467 diam_b1=9 (3.0s) [t=79s]
  [H02_344251] A2-B0-C2-r15     C2-hibrido  clase=I                          pend=+0.286 diam_b1=7 (3.3s) [t=82s]
  [H02_344251] A2-B0-C2-r16     C2-hard     clase=III                        pend=+0.769 diam_b1=14 (2.8s) [t=85s]
