patch,seed,N,arm,k_local,D_max,d_s,delta_rel,n_ejes,PR,ejes_reales,holonomia,gigante,grado_medio,clustering,diam_fin,pasos
0,66100,2500,local,5,8,2.977,0.033,2,6.823,1,0.845,0.913,13.11,0.4568,14,20
0,66100,2500,sin_local,-1,8,5.25,0.043,1,5.683,1,0.832,0.911,52.717,0.0906,4,17
0,66100,2500,local_barajado,5,8,2.931,0.053,1,6.881,1,1.178,0.905,12.61,0.1007,7,20
0,66100,2500,local_marco_congelado,5,8,2.966,0.025,0,7.98,0,1.016,0.896,13.061,0.4752,15,20
3,66109,2500,local,5,8,2.437,0.037,2,7.14,1,0.865,0.892,12.89,0.4703,16,20
3,66109,2500,sin_local,-1,8,5.441,0.054,2,4.428,1,0.838,0.913,53.093,0.0858,4,17
3,66109,2500,local_barajado,5,8,3.001,0.053,1,6.261,1,1.205,0.912,12.61,0.1017,7,20
3,66109,2500,local_marco_congelado,5,8,2.628,0.029,0,7.98,0,0.981,0.905,12.997,0.453,14,20
2,66106,2500,local,5,8,2.6,0.015,1,6.773,1,0.91,0.896,13.118,0.4599,19,20
2,66106,2500,sin_local,-1,8,5.206,0.048,2,5.269,1,1.033,0.912,51.642,0.0895,4,17
2,66106,2500,local_barajado,5,8,2.971,0.056,1,6.361,1,1.146,0.923,12.797,0.1135,7,20
2,66106,2500,local_marco_congelado,5,8,2.53,0.028,0,7.974,0,1.075,0.905,13.018,0.4662,17,20
4,66112,2500,local,5,8,2.659,0.035,1,6.946,1,0.803,0.906,13.136,0.4725,15,20
4,66112,2500,sin_local,-1,8,5.303,0.05,1,3.826,1,0.87,0.911,52.453,0.0862,4,17
4,66112,2500,local_barajado,5,8,2.938,0.054,1,5.895,1,1.161,0.918,12.715,0.1149,7,20
4,66112,2500,local_marco_congelado,5,8,2.766,0.028,0,7.974,0,1.02,0.894,12.998,0.4776,18,20
5,66115,2500,local,5,8,2.655,0.027,1,6.762,1,0.789,0.903,13.046,0.4651,15,20
5,66115,2500,sin_local,-1,8,5.287,0.043,2,4.229,1,0.849,0.906,50.963,0.0863,3,17
5,66115,2500,local_barajado,5,8,2.977,0.053,2,6.436,1,1.264,0.918,12.827,0.1035,7,20
5,66115,2500,local_marco_congelado,5,8,2.693,0.035,0,7.975,0,1.066,0.912,13.043,0.4625,15,20
1,66103,2500,local,5,8,2.506,0.031,0,7.37,0,0.911,0.904,12.981,0.4608,14,20
1,66103,2500,sin_local,-1,8,5.318,0.044,1,4.856,1,0.96,0.91,52.765,0.0854,4,17
1,66103,2500,local_barajado,5,8,3.023,0.052,3,6.726,1,1.173,0.916,12.685,0.1032,7,20
1,66103,2500,local_marco_congelado,5,8,3.116,0.018,0,7.968,0,0.965,0.895,13.186,0.4534,14,20
6,66118,2500,local,5,8,2.653,0.029,1,7.145,1,0.835,0.901,13.019,0.4463,18,20
6,66118,2500,sin_local,-1,8,5.228,0.042,1,4.556,1,0.925,0.915,51.358,0.0839,4,17
6,66118,2500,local_barajado,5,8,2.975,0.055,2,6.262,1,1.135,0.908,12.626,0.1021,7,20
6,66118,2500,local_marco_congelado,5,8,2.888,0.032,0,7.978,0,1.057,0.902,12.982,0.4537,14,20
8,66124,2500,local,5,8,2.922,0.028,1,6.651,1,0.908,0.901,12.998,0.4694,17,20
8,66124,2500,sin_local,-1,8,5.212,0.052,2,5.127,1,0.949,0.914,52.485,0.081,4,17
8,66124,2500,local_barajado,5,8,2.981,0.057,1,6.45,1,1.129,0.917,12.677,0.1074,6,20
8,66124,2500,local_marco_congelado,5,8,2.578,0.035,0,7.97,0,0.976,0.906,13.144,0.4764,12,20
7,66121,2500,local,5,8,2.664,0.037,2,7.017,1,0.837,0.908,13.269,0.4672,11,20
7,66121,2500,sin_local,-1,8,5.271,0.046,1,5.57,1,1.032,0.906,52.408,0.0805,4,17
7,66121,2500,local_barajado,5,8,3.006,0.054,1,6.178,1,1.158,0.911,12.648,0.1093,6,20
7,66121,2500,local_marco_congelado,5,8,2.536,0.033,0,7.98,0,1.073,0.888,12.986,0.4534,14,20
10,66130,2500,local,5,8,2.739,0.037,1,6.721,1,0.931,0.904,13.026,0.463,13,20
10,66130,2500,sin_local,-1,8,5.223,0.048,1,5.053,1,0.866,0.916,52.659,0.0834,4,17
10,66130,2500,local_barajado,5,8,2.942,0.055,1,5.685,1,1.158,0.905,12.55,0.1078,6,20
10,66130,2500,local_marco_congelado,5,8,2.786,0.031,0,7.983,0,1.04,0.876,12.946,0.4523,13,20
9,66127,2500,local,5,8,2.267,0.024,0,7.342,0,0.881,0.89,13.013,0.4421,17,20
9,66127,2500,sin_local,-1,8,5.797,0.042,2,4.076,1,0.785,0.908,50.824,0.0847,4,17
9,66127,2500,local_barajado,5,8,2.988,0.052,2,5.999,1,1.164,0.919,12.755,0.1004,7,20
9,66127,2500,local_marco_congelado,5,8,2.74,0.03,0,7.978,0,1.008,0.873,12.962,0.4673,15,20
11,66133,2500,local,5,8,2.843,0.035,0,7.3,0,0.872,0.909,13.147,0.4683,12,20
11,66133,2500,sin_local,-1,8,5.322,0.046,2,5.566,1,0.786,0.908,52.371,0.0888,4,17
11,66133,2500,local_barajado,5,8,2.964,0.051,1,6.566,1,1.187,0.899,12.566,0.11,6,20
11,66133,2500,local_marco_congelado,5,8,2.68,0.032,0,7.982,0,0.909,0.907,12.915,0.4504,15,20
14,66142,2500,local,5,8,2.545,0.029,1,6.97,1,0.913,0.899,13.054,0.4447,15,20
14,66142,2500,sin_local,-1,8,5.335,0.044,1,4.38,1,0.868,0.916,51.792,0.0865,4,17
14,66142,2500,local_barajado,5,8,2.948,0.053,2,5.627,1,1.147,0.914,12.723,0.1034,7,20
14,66142,2500,local_marco_congelado,5,8,3.013,0.021,0,7.977,0,1.088,0.907,13.064,0.4602,17,20
13,66139,2500,local,5,8,2.648,0.028,0,7.245,0,0.912,0.924,13.238,0.4646,18,20
13,66139,2500,sin_local,-1,8,5.49,0.047,1,5.739,1,0.895,0.921,53.008,0.0839,3,17
13,66139,2500,local_barajado,5,8,2.949,0.053,6,6.658,1,1.201,0.906,12.534,0.1099,6,20
13,66139,2500,local_marco_congelado,5,8,2.695,0.025,0,7.963,0,1.029,0.914,13.346,0.4744,16,20
15,66145,2500,local,5,8,2.653,0.033,1,6.73,1,0.887,0.91,13.053,0.4427,14,20
15,66145,2500,sin_local,-1,8,5.472,0.05,1,4.23,1,0.898,0.921,53.378,0.082,4,17
15,66145,2500,local_barajado,5,8,2.982,0.052,1,6.094,1,1.253,0.916,12.694,0.0935,7,20
15,66145,2500,local_marco_congelado,5,8,2.599,0.034,0,7.962,0,0.984,0.9,13.008,0.4737,14,20
12,66136,2500,local,5,8,2.722,0.026,1,6.722,1,0.815,0.902,13.008,0.4614,13,20
12,66136,2500,sin_local,-1,8,5.567,0.047,2,4.814,1,1.013,0.909,52.658,0.0912,4,17
12,66136,2500,local_barajado,5,8,3.031,0.054,2,6.352,1,1.211,0.915,12.754,0.1,6,20
12,66136,2500,local_marco_congelado,5,8,2.551,0.028,0,7.985,0,1.043,0.905,13.086,0.4819,15,20
17,66151,2500,local,5,8,2.877,0.027,1,7.269,1,0.735,0.903,12.941,0.4661,14,20
17,66151,2500,sin_local,-1,8,5.029,0.05,1,5.258,1,0.95,0.911,51.685,0.0827,4,17
17,66151,2500,local_barajado,5,8,2.951,0.054,1,5.615,1,1.174,0.9,12.458,0.1056,6,20
17,66151,2500,local_marco_congelado,5,8,2.579,0.028,0,7.975,0,1.003,0.914,13.037,0.4831,17,20
16,66148,2500,local,5,8,2.643,0.033,2,6.812,1,0.824,0.906,13.08,0.4567,11,20
16,66148,2500,sin_local,-1,8,5.662,0.048,1,5.394,1,0.914,0.906,51.683,0.096,4,17
16,66148,2500,local_barajado,5,8,2.998,0.054,1,6.541,1,1.112,0.918,12.701,0.1049,6,20
16,66148,2500,local_marco_congelado,5,8,2.751,0.029,0,7.974,0,1.117,0.914,13.09,0.4702,18,20
19,66157,2500,local,5,8,2.537,0.031,1,7.039,1,0.866,0.882,12.84,0.4516,16,20
19,66157,2500,sin_local,-1,8,5.114,0.042,2,4.837,1,0.847,0.916,51.069,0.0873,4,17
19,66157,2500,local_barajado,5,8,2.925,0.052,1,6.011,1,1.111,0.906,12.574,0.1081,7,20
19,66157,2500,local_marco_congelado,5,8,2.358,0.028,0,7.978,0,1.058,0.905,12.915,0.4773,18,20
18,66154,2500,local,5,8,3.08,0.029,1,6.997,1,0.866,0.904,13.189,0.458,12,20
18,66154,2500,sin_local,-1,8,5.504,0.048,1,5.886,1,1.068,0.909,50.95,0.0837,3,17
18,66154,2500,local_barajado,5,8,3.061,0.054,2,6.629,1,1.193,0.906,12.637,0.1046,6,20
18,66154,2500,local_marco_congelado,5,8,2.534,0.029,0,7.981,0,0.968,0.908,13.067,0.476,18,20
