point_id,g_level,acople,seed,dim,viable,expande,estable,diam_fin,gig_fin,corr_masa_grado_ok
8,0.3,masa,8,d1,0,0,0,1,0.047,1
8,0.3,masa,8,d2,0,0,1,14,0.689,1
8,0.3,masa,8,d3,1,1,1,10,0.892,1
8,0.3,masa,8,d4,0,0,0,1,0.984,1
8,0.3,masa,8,curv,0,0,1,9,0.812,1
2,0.3,masa,2,d1,0,0,0,2,0.055,1
2,0.3,masa,2,d2,0,0,1,12,0.647,1
2,0.3,masa,2,d3,0,0,1,9,0.84,1
2,0.3,masa,2,d4,0,0,1,6,0.969,1
2,0.3,masa,2,curv,0,0,1,9,0.806,1
3,0.3,masa,3,d1,0,0,0,1,0.043,1
3,0.3,masa,3,d2,0,0,1,9,0.606,1
3,0.3,masa,3,d3,1,1,1,10,0.86,1
3,0.3,masa,3,d4,1,1,1,10,0.922,1
3,0.3,masa,3,curv,1,1,1,11,0.745,1
7,0.3,masa,7,d1,0,0,0,4,0.043,1
7,0.3,masa,7,d2,0,0,1,15,0.626,1
7,0.3,masa,7,d3,1,1,1,11,0.866,1
7,0.3,masa,7,d4,1,1,1,8,0.891,1
7,0.3,masa,7,curv,1,1,1,13,0.817,1
4,0.3,masa,4,d1,0,0,0,1,0.035,1
4,0.3,masa,4,d2,0,0,1,14,0.685,1
4,0.3,masa,4,d3,1,1,1,11,0.872,1
4,0.3,masa,4,d4,0,0,1,7,0.906,1
4,0.3,masa,4,curv,1,1,1,12,0.82,1
1,0.3,masa,1,d1,0,0,0,2,0.043,1
1,0.3,masa,1,d2,0,0,1,10,0.671,1
1,0.3,masa,1,d3,1,1,1,10,0.88,1
1,0.3,masa,1,d4,0,0,1,6,0.934,1
1,0.3,masa,1,curv,0,0,1,10,0.812,1
6,0.3,masa,6,d1,0,0,0,2,0.055,1
6,0.3,masa,6,d2,0,0,1,12,0.661,1
6,0.3,masa,6,d3,0,0,1,10,0.892,1
6,0.3,masa,6,d4,1,1,1,8,0.938,1
6,0.3,masa,6,curv,0,0,1,11,0.781,1
11,0.3,masa,11,d1,0,0,0,3,0.043,1
11,0.3,masa,11,d2,0,0,1,12,0.651,1
11,0.3,masa,11,d3,0,0,1,9,0.863,1
11,0.3,masa,11,d4,0,0,1,7,0.91,1
11,0.3,masa,11,curv,1,1,1,12,0.792,0
0,0.3,masa,0,d1,0,0,0,3,0.027,1
0,0.3,masa,0,d2,0,0,1,12,0.633,1
0,0.3,masa,0,d3,0,0,1,8,0.848,1
0,0.3,masa,0,d4,0,0,1,7,0.938,1
0,0.3,masa,0,curv,1,1,1,12,0.803,1
12,0.3,masa,12,d1,0,0,0,1,0.035,1
12,0.3,masa,12,d2,0,0,1,12,0.716,1
12,0.3,masa,12,d3,0,0,1,9,0.869,1
12,0.3,masa,12,d4,0,0,1,8,0.895,1
12,0.3,masa,12,curv,1,1,1,12,0.82,1
5,0.3,masa,5,d1,0,0,0,1,0.035,1
5,0.3,masa,5,d2,0,0,1,13,0.678,1
5,0.3,masa,5,d3,1,1,1,10,0.866,1
5,0.3,masa,5,d4,1,1,1,8,0.973,1
5,0.3,masa,5,curv,0,0,1,9,0.837,1
10,0.3,masa,10,d1,0,0,0,1,0.047,1
10,0.3,masa,10,d2,0,0,1,13,0.651,1
10,0.3,masa,10,d3,1,1,1,9,0.878,1
10,0.3,masa,10,d4,1,1,1,7,0.918,1
10,0.3,masa,10,curv,0,0,1,9,0.756,1
9,0.3,masa,9,d1,0,0,0,4,0.039,1
9,0.3,masa,9,d2,0,0,1,12,0.644,1
9,0.3,masa,9,d3,0,0,1,8,0.863,1
9,0.3,masa,9,d4,1,1,1,8,0.938,1
9,0.3,masa,9,curv,0,0,1,10,0.812,1
13,0.3,masa,13,d1,0,0,0,5,0.055,1
13,0.3,masa,13,d2,0,0,1,17,0.709,1
13,0.3,masa,13,d3,1,1,1,10,0.88,1
13,0.3,masa,13,d4,0,0,1,8,0.914,1
13,0.3,masa,13,curv,0,0,1,9,0.798,1
26,0.3,masa,26,d1,0,0,0,3,0.031,1
26,0.3,masa,26,d2,0,0,1,16,0.657,1
26,0.3,masa,26,d3,0,0,0,1,0.994,1
26,0.3,masa,26,d4,0,0,1,7,0.93,0
26,0.3,masa,26,curv,1,1,1,13,0.809,0
15,0.3,masa,15,d1,0,0,0,1,0.043,1
15,0.3,masa,15,d2,0,0,1,11,0.702,1
15,0.3,masa,15,d3,0,0,0,1,0.959,1
15,0.3,masa,15,d4,1,1,1,8,0.93,1
15,0.3,masa,15,curv,1,1,1,12,0.82,1
14,0.3,masa,14,d1,0,0,0,1,0.047,1
14,0.3,masa,14,d2,0,0,1,3,0.699,1
14,0.3,masa,14,d3,1,1,1,12,0.93,1
14,0.3,masa,14,d4,1,1,1,8,0.938,1
14,0.3,masa,14,curv,1,1,1,13,0.812,1
16,0.3,masa,16,d1,0,0,0,3,0.055,1
16,0.3,masa,16,d2,0,0,1,2,0.924,1
16,0.3,masa,16,d3,1,1,1,11,0.892,1
16,0.3,masa,16,d4,0,0,1,6,0.938,1
16,0.3,masa,16,curv,0,0,1,9,0.837,1
17,0.3,masa,17,d1,0,0,0,4,0.035,1
17,0.3,masa,17,d2,0,0,1,13,0.723,1
17,0.3,masa,17,d3,1,1,1,14,0.869,1
17,0.3,masa,17,d4,0,0,1,8,0.93,1
17,0.3,masa,17,curv,1,1,1,11,0.823,1
19,0.3,masa,19,d1,0,0,0,1,0.051,1
19,0.3,masa,19,d2,1,1,1,14,0.678,1
19,0.3,masa,19,d3,0,0,1,9,0.872,1
19,0.3,masa,19,d4,1,1,1,8,0.953,1
19,0.3,masa,19,curv,1,1,1,12,0.795,1
21,0.3,masa,21,d1,0,0,0,2,0.027,1
21,0.3,masa,21,d2,0,0,1,16,0.737,1
21,0.3,masa,21,d3,1,1,1,10,0.857,1
21,0.3,masa,21,d4,1,1,1,10,0.914,1
21,0.3,masa,21,curv,1,1,1,10,0.789,1
22,0.3,masa,22,d1,0,0,0,1,0.027,1
22,0.3,masa,22,d2,0,0,1,2,0.73,1
22,0.3,masa,22,d3,1,1,1,10,0.875,1
22,0.3,masa,22,d4,0,0,1,6,0.938,1
22,0.3,masa,22,curv,0,0,1,9,0.806,1
20,0.3,masa,20,d1,0,0,0,2,0.027,1
20,0.3,masa,20,d2,0,0,1,11,0.64,1
20,0.3,masa,20,d3,1,1,1,11,0.904,1
20,0.3,masa,20,d4,1,1,1,9,0.961,1
20,0.3,masa,20,curv,0,0,1,10,0.806,1
18,0.3,masa,18,d1,0,0,0,1,0.098,0
18,0.3,masa,18,d2,0,0,1,11,0.651,0
18,0.3,masa,18,d3,1,1,1,10,0.86,0
18,0.3,masa,18,d4,0,0,1,7,0.898,0
18,0.3,masa,18,curv,1,1,1,12,0.834,0
24,0.3,masa,24,d1,0,0,0,1,0.047,1
24,0.3,masa,24,d2,0,0,1,11,0.595,1
24,0.3,masa,24,d3,0,0,1,9,0.863,1
24,0.3,masa,24,d4,1,1,1,9,0.953,1
24,0.3,masa,24,curv,1,1,1,13,0.839,1
23,0.3,masa,23,d1,0,0,0,2,0.043,1
23,0.3,masa,23,d2,0,0,1,10,0.668,1
23,0.3,masa,23,d3,0,0,1,9,0.863,1
23,0.3,masa,23,d4,1,1,1,8,0.922,1
23,0.3,masa,23,curv,0,0,1,12,0.842,1
25,0.3,masa,25,d1,0,0,0,2,0.047,1
25,0.3,masa,25,d2,0,0,1,13,0.633,1
25,0.3,masa,25,d3,1,1,1,11,0.831,1
25,0.3,masa,25,d4,0,0,1,7,0.93,1
25,0.3,masa,25,curv,1,1,1,12,0.798,1
27,0.3,masa,27,d1,0,0,0,2,0.039,1
27,0.3,masa,27,d2,0,0,1,9,0.633,1
27,0.3,masa,27,d3,1,1,1,12,0.86,1
27,0.3,masa,27,d4,0,0,1,7,0.887,1
27,0.3,masa,27,curv,0,0,1,9,0.803,1
28,0.3,masa,28,d1,0,0,0,1,0.039,1
28,0.3,masa,28,d2,0,0,1,14,0.709,1
28,0.3,masa,28,d3,0,0,1,8,0.866,1
28,0.3,masa,28,d4,1,1,1,8,0.934,1
28,0.3,masa,28,curv,0,0,1,11,0.784,1
30,0.3,grado,0,d1,0,0,0,1,0.043,1
30,0.3,grado,0,d2,0,0,1,10,0.754,1
30,0.3,grado,0,d3,0,0,1,8,0.883,1
30,0.3,grado,0,d4,0,0,1,6,0.93,1
30,0.3,grado,0,curv,0,0,1,10,0.848,1
29,0.3,masa,29,d1,0,0,0,2,0.051,1
29,0.3,masa,29,d2,0,0,1,11,0.689,1
29,0.3,masa,29,d3,1,1,1,11,0.872,1
29,0.3,masa,29,d4,1,1,1,8,0.926,1
29,0.3,masa,29,curv,0,0,1,10,0.823,1
31,0.3,grado,1,d1,0,0,0,2,0.027,1
31,0.3,grado,1,d2,0,0,1,15,0.758,1
31,0.3,grado,1,d3,0,0,1,8,0.883,1
31,0.3,grado,1,d4,1,1,1,8,0.934,1
31,0.3,grado,1,curv,0,0,1,10,0.831,1
32,0.3,grado,2,d1,0,0,0,1,0.047,1
32,0.3,grado,2,d2,0,0,1,16,0.744,1
32,0.3,grado,2,d3,0,0,1,9,0.895,1
32,0.3,grado,2,d4,1,1,1,8,0.922,1
32,0.3,grado,2,curv,0,0,1,8,0.845,1
33,0.3,grado,3,d1,0,0,0,2,0.055,1
33,0.3,grado,3,d2,0,0,1,11,0.761,1
33,0.3,grado,3,d3,0,0,1,8,0.892,1
33,0.3,grado,3,d4,0,0,1,6,0.93,1
33,0.3,grado,3,curv,0,0,1,9,0.875,1
34,0.3,grado,4,d1,0,0,0,1,0.039,1
34,0.3,grado,4,d2,0,0,1,14,0.789,1
34,0.3,grado,4,d3,0,0,1,8,0.939,1
34,0.3,grado,4,d4,1,1,1,8,0.961,1
34,0.3,grado,4,curv,0,0,1,10,0.817,1
36,0.3,grado,6,d1,0,1,0,2,0.055,1
36,0.3,grado,6,d2,0,0,1,13,0.74,1
36,0.3,grado,6,d3,0,0,1,9,0.91,1
36,0.3,grado,6,d4,0,0,1,6,0.938,1
36,0.3,grado,6,curv,1,1,1,11,0.837,1
37,0.3,grado,7,d1,0,0,0,1,0.027,1
37,0.3,grado,7,d2,0,0,1,14,0.782,1
37,0.3,grado,7,d3,0,0,1,8,0.918,1
37,0.3,grado,7,d4,1,1,1,8,0.957,1
37,0.3,grado,7,curv,0,0,1,11,0.806,1
38,0.3,grado,8,d1,0,0,0,1,0.039,1
38,0.3,grado,8,d2,0,0,1,13,0.747,1
38,0.3,grado,8,d3,1,1,1,11,0.933,1
38,0.3,grado,8,d4,1,1,1,9,0.945,1
38,0.3,grado,8,curv,0,0,1,9,0.839,1
35,0.3,grado,5,d1,0,0,0,2,0.035,1
35,0.3,grado,5,d2,0,0,1,15,0.758,1
35,0.3,grado,5,d3,0,0,1,10,0.913,1
35,0.3,grado,5,d4,0,0,1,7,0.957,1
35,0.3,grado,5,curv,0,0,1,9,0.842,1
41,0.3,grado,11,d1,0,0,0,1,0.031,1
41,0.3,grado,11,d2,0,0,1,13,0.779,1
41,0.3,grado,11,d3,1,1,1,9,0.904,1
41,0.3,grado,11,d4,1,1,1,8,0.941,1
41,0.3,grado,11,curv,0,0,1,8,0.845,0
39,0.3,grado,9,d1,0,0,0,3,0.039,1
39,0.3,grado,9,d2,0,0,1,13,0.747,1
39,0.3,grado,9,d3,0,0,1,9,0.907,1
39,0.3,grado,9,d4,0,0,1,6,0.949,1
39,0.3,grado,9,curv,0,0,1,10,0.864,1
40,0.3,grado,10,d1,0,0,0,1,0.047,1
40,0.3,grado,10,d2,0,0,1,10,0.737,1
40,0.3,grado,10,d3,0,0,1,8,0.898,1
40,0.3,grado,10,d4,0,0,1,6,0.938,1
40,0.3,grado,10,curv,0,0,1,9,0.848,1
42,0.3,grado,12,d1,0,0,0,1,0.039,1
42,0.3,grado,12,d2,0,0,1,14,0.74,1
42,0.3,grado,12,d3,0,0,1,7,0.904,1
42,0.3,grado,12,d4,1,1,1,9,0.977,1
42,0.3,grado,12,curv,1,1,1,13,0.842,1
43,0.3,grado,13,d1,0,0,0,1,0.043,1
43,0.3,grado,13,d2,0,0,1,12,0.692,1
43,0.3,grado,13,d3,1,1,1,11,0.883,1
43,0.3,grado,13,d4,0,0,1,7,0.926,1
43,0.3,grado,13,curv,0,0,1,8,0.814,1
47,0.3,grado,17,d1,0,0,0,1,0.043,1
47,0.3,grado,17,d2,0,0,1,13,0.702,1
47,0.3,grado,17,d3,0,0,1,9,0.907,1
47,0.3,grado,17,d4,0,0,1,7,0.926,1
47,0.3,grado,17,curv,0,0,1,8,0.837,1
54,0.3,grado,24,d1,0,0,0,2,0.035,1
54,0.3,grado,24,d2,0,0,0,1,0.965,1
54,0.3,grado,24,d3,0,0,1,9,0.927,1
54,0.3,grado,24,d4,0,0,1,6,0.938,1
54,0.3,grado,24,curv,0,0,1,8,0.864,1
44,0.3,grado,14,d1,0,0,0,3,0.027,1
44,0.3,grado,14,d2,0,0,1,11,0.796,1
44,0.3,grado,14,d3,1,1,1,10,0.907,1
44,0.3,grado,14,d4,0,0,1,6,0.938,1
44,0.3,grado,14,curv,1,1,1,10,0.842,1
46,0.3,grado,16,d1,0,0,0,1,0.031,1
46,0.3,grado,16,d2,0,0,1,13,0.792,1
46,0.3,grado,16,d3,1,1,1,10,0.898,1
46,0.3,grado,16,d4,0,0,1,5,0.934,1
46,0.3,grado,16,curv,0,0,1,9,0.842,1
45,0.3,grado,15,d1,0,0,0,2,0.043,1
45,0.3,grado,15,d2,0,0,1,4,0.709,1
45,0.3,grado,15,d3,0,0,1,8,0.933,1
45,0.3,grado,15,d4,1,1,1,9,0.938,1
45,0.3,grado,15,curv,0,0,1,9,0.859,1
