rule_id,seed,lote,K,kcap,escalon,n_nodos,n_aristas,grado_medio,grados_identicos,n_nodos_grado_distinto,solapamiento_aristas,clustering_local,transitividad,n_triangulos,gigante,n_componentes,asortatividad,pendiente_corr,z_agg,diams,n_cajas,clustering_original,n_triangulos_original,t_piso,t_techo,t_techo_sin_restriccion,n_fotos,n_fotos_conectadas,acc_baja,acc_sube,t_bajar_s,t_subir_s,seed_escalera,pendiente_corr_csv_ref,frac_masa_fase5b,t_ic_s,carpeta,t_total_grafo_s
A2-B0-C2-batch3-r0,471829,471828,5,4,orig,2000,2308,2.308,True,0,1.0,0.017,0.01635372501514234,27,1681,30,0.05357958157913701,1.0887557522803921,0.353553390068274,"[19.0, 14.0, 9.0, 6.0, 5.0]","[2000, 1288, 887, 691, 555]",0.017,27,0,407,976,48,40,11349,932,0.8,4.5,4576741313,1.0889055843285775,0.15049999999999997,52.48,/Users/alexis/phantom_cs073/bateria_fase7_f702_escalera/A2-B0-C2-batch3-r0_s471829_f702_orig,506.8
A2-B0-C2-batch3-r0,471829,471828,5,4,e0,2000,2308,2.308,True,0,0.002166377816291161,0.0,0.0,0,1737,5,-0.2640755888267597,1.022034795080364,0.8106343981775561,"[18.0, 13.0, 9.0, 6.0, 5.0]","[2000, 1340, 880, 686, 559]",0.017,27,0,407,976,48,40,11349,932,0.8,4.5,4576741313,1.0889055843285775,0.15049999999999997,51.0,/Users/alexis/phantom_cs073/bateria_fase7_f702_escalera/A2-B0-C2-batch3-r0_s471829_f702_e0,506.8
A2-B0-C2-batch3-r0,471829,471828,5,4,e1,2000,2308,2.308,True,0,0.002166377816291161,0.01425,0.013930950938824955,23,1737,5,-0.264511928346548,1.0131016025299242,0.8813450762212106,"[18.0, 13.0, 10.0, 6.0, 5.0]","[2000, 1338, 884, 676, 564]",0.017,27,0,407,976,48,40,11349,932,0.8,4.5,4576741313,1.0889055843285775,0.15049999999999997,94.65,/Users/alexis/phantom_cs073/bateria_fase7_f702_escalera/A2-B0-C2-batch3-r0_s471829_f702_e1,506.8
A2-B0-C2-batch3-r0,471829,471828,5,4,e2,2000,2308,2.308,True,0,0.002166377816291161,0.04558333333333333,0.043609933373712904,72,1730,8,-0.23702253859988384,1.1068534413841111,1.2677154062868374,"[22.0, 16.0, 10.0, 6.0, 6.0]","[2000, 1329, 884, 679, 555]",0.017,27,0,407,976,48,40,11349,932,0.8,4.5,4576741313,1.0889055843285775,0.15049999999999997,103.85,/Users/alexis/phantom_cs073/bateria_fase7_f702_escalera/A2-B0-C2-batch3-r0_s471829_f702_e2,506.8
A2-B0-C2-batch3-r0,471829,471828,5,4,e3,2000,2308,2.308,True,0,0.002166377816291161,0.11033333333333332,0.1108419139915203,183,1706,16,-0.2056060931751247,1.1903650138613746,1.5884518565077579,"[24.0, 15.0, 10.0, 7.0, 5.0]","[2000, 1320, 888, 674, 555]",0.017,27,0,407,976,48,40,11349,932,0.8,4.5,4576741313,1.0889055843285775,0.15049999999999997,122.85,/Users/alexis/phantom_cs073/bateria_fase7_f702_escalera/A2-B0-C2-batch3-r0_s471829_f702_e3,506.8
A2-B0-C2-batch3-r0,471829,471828,5,4,e4,2000,2308,2.308,True,0,0.002166377816291161,0.23541666666666666,0.24651726226529377,407,1631,37,-0.1536816903203146,1.1761397977801258,5.391598074918273,"[28.0, 21.0, 13.0, 9.0, 6.0]","[2000, 1307, 908, 679, 537]",0.017,27,0,407,976,48,40,11349,932,0.8,4.5,4576741313,1.0889055843285775,0.15049999999999997,73.12,/Users/alexis/phantom_cs073/bateria_fase7_f702_escalera/A2-B0-C2-batch3-r0_s471829_f702_e4,506.8
A2-B0-C2-batch3-r60,477649,471828,6,5,orig,2000,3068,3.068,True,0,1.0,0.019,0.013706262536215734,41,1837,9,0.05074823875374314,0.9265824692819378,0.6772962881749995,"[15.0, 11.0, 8.0, 5.0, 4.0]","[2000, 1226, 823, 574, 475]",0.019,41,0,1014,1671,53,48,15182,1578,0.8,5.5,4633195313,0.9268169943894311,0.12549999999999997,103.91,/Users/alexis/phantom_cs073/bateria_fase7_f702_escalera/A2-B0-C2-batch3-r60_s477649_f702_orig,505.4
A2-B0-C2-batch3-r60,477649,471828,6,5,e0,2000,3068,3.068,True,0,0.001303780964797914,0.0,0.0,0,1853,1,-0.29297792937351785,0.8077797831894804,0.6500807762507256,"[12.0, 10.0, 7.0, 5.0, 4.0]","[2000, 1304, 858, 594, 516]",0.019,41,0,1014,1671,53,48,15182,1578,0.8,5.5,4633195313,0.9268169943894311,0.12549999999999997,106.74,/Users/alexis/phantom_cs073/bateria_fase7_f702_escalera/A2-B0-C2-batch3-r60_s477649_f702_e0,505.4
A2-B0-C2-batch3-r60,477649,471828,6,5,e1,2000,3068,3.068,True,0,0.001303780964797914,0.027200000000000002,0.021395141519946512,64,1853,1,-0.2760433511834931,0.7416664746300938,0.5324110952370459,"[13.0, 10.0, 7.0, 5.0, 5.0]","[2000, 1297, 842, 573, 512]",0.019,41,0,1014,1671,53,48,15182,1578,0.8,5.5,4633195313,0.9268169943894311,0.12549999999999997,63.41,/Users/alexis/phantom_cs073/bateria_fase7_f702_escalera/A2-B0-C2-batch3-r60_s477649_f702_e1,505.4
A2-B0-C2-batch3-r60,477649,471828,6,5,e2,2000,3068,3.068,True,0,0.001303780964797914,0.07178333333333334,0.06117673278359706,183,1851,2,-0.24102996654736056,0.7615278287306915,0.41474141422336624,"[14.0, 10.0, 7.0, 5.0, 5.0]","[2000, 1290, 851, 581, 476]",0.019,41,0,1014,1671,53,48,15182,1578,0.8,5.5,4633195313,0.9268169943894311,0.12549999999999997,64.7,/Users/alexis/phantom_cs073/bateria_fase7_f702_escalera/A2-B0-C2-batch3-r60_s477649_f702_e2,505.4
A2-B0-C2-batch3-r60,477649,471828,6,5,e3,2000,3068,3.068,True,0,0.0009778357235984355,0.18271666666666667,0.15277468241586806,457,1847,4,-0.19274353414066814,0.7435892918498846,1.4425616839476807,"[14.0, 12.0, 9.0, 6.0, 5.0]","[2000, 1272, 837, 602, 473]",0.019,41,0,1014,1671,53,48,15182,1578,0.8,5.5,4633195313,0.9268169943894311,0.12549999999999997,82.47,/Users/alexis/phantom_cs073/bateria_fase7_f702_escalera/A2-B0-C2-batch3-r60_s477649_f702_e3,505.4
A2-B0-C2-batch3-r60,477649,471828,6,5,e4,2000,3068,3.068,True,0,0.0016297262059973925,0.36525,0.3389792734566526,1014,1798,21,-0.09594182367606652,0.8839974018422451,5.588513459244383,"[23.0, 19.0, 11.0, 9.0, 6.0]","[2000, 1235, 829, 565, 436]",0.019,41,0,1014,1671,53,48,15182,1578,0.8,5.5,4633195313,0.9268169943894311,0.12549999999999997,73.74,/Users/alexis/phantom_cs073/bateria_fase7_f702_escalera/A2-B0-C2-batch3-r60_s477649_f702_e4,505.4
A2-B0-C2-batch3-r111,482596,471828,6,5,orig,2000,3017,3.017,True,0,1.0,0.01706666666666667,0.01285317276516906,37,1849,10,0.08675392573659504,0.7894309120929355,0.5656854237492379,"[15.0, 11.0, 8.0, 5.0, 5.0]","[2000, 1214, 794, 592, 436]",0.01706666666666667,37,0,1014,1574,52,48,14756,1471,0.6,4.2,4681181213,0.9051550092250915,0.12200000000000003,70.1,/Users/alexis/phantom_cs073/bateria_fase7_f702_escalera/A2-B0-C2-batch3-r111_s482596_f702_orig,432.0
A2-B0-C2-batch3-r111,482596,471828,6,5,e0,2000,3017,3.017,True,0,0.0009943652635067948,0.0,0.0,0,1870,2,-0.3069755381491255,0.7299761202618594,0.9141620157685644,"[13.0, 10.0, 8.0, 5.0, 5.0]","[2000, 1282, 845, 595, 494]",0.01706666666666667,37,0,1014,1574,52,48,14756,1471,0.6,4.2,4681181213,0.9051550092250915,0.12200000000000003,71.19,/Users/alexis/phantom_cs073/bateria_fase7_f702_escalera/A2-B0-C2-batch3-r111_s482596_f702_e0,432.0
A2-B0-C2-batch3-r111,482596,471828,6,5,e1,2000,3017,3.017,True,0,0.0009943652635067948,0.026516666666666664,0.0222325150532654,64,1870,2,-0.2908317332517612,0.7112582281493424,0.527791685852937,"[14.0, 10.0, 7.0, 6.0, 5.0]","[2000, 1283, 838, 599, 476]",0.01706666666666667,37,0,1014,1574,52,48,14756,1471,0.6,4.2,4681181213,0.9051550092250915,0.12200000000000003,69.73,/Users/alexis/phantom_cs073/bateria_fase7_f702_escalera/A2-B0-C2-batch3-r111_s482596_f702_e1,432.0
A2-B0-C2-batch3-r111,482596,471828,6,5,e2,2000,3017,3.017,True,0,0.001325820351342393,0.08294999999999998,0.06357109773043075,183,1870,2,-0.2621316356564467,0.7379672725832305,0.2828427118746191,"[15.0, 10.0, 8.0, 6.0, 5.0]","[2000, 1277, 847, 592, 469]",0.01706666666666667,37,0,1014,1574,52,48,14756,1471,0.6,4.2,4681181213,0.9051550092250915,0.12200000000000003,70.21,/Users/alexis/phantom_cs073/bateria_fase7_f702_escalera/A2-B0-C2-batch3-r111_s482596_f702_e2,432.0
A2-B0-C2-batch3-r111,482596,471828,6,5,e3,2000,3017,3.017,True,0,0.0009943652635067948,0.19240000000000002,0.15875405280222324,457,1868,3,-0.2159424160889874,0.8120172312325065,0.9141620157685637,"[17.0, 11.0, 9.0, 6.0, 5.0]","[2000, 1258, 831, 588, 448]",0.01706666666666667,37,0,1014,1574,52,48,14756,1471,0.6,4.2,4681181213,0.9051550092250915,0.12200000000000003,71.04,/Users/alexis/phantom_cs073/bateria_fase7_f702_escalera/A2-B0-C2-batch3-r111_s482596_f702_e3,432.0
A2-B0-C2-batch3-r111,482596,471828,6,5,e4,2000,3017,3.017,True,0,0.0009943652635067948,0.3789166666666666,0.3522464103751737,1014,1836,15,-0.13096322086536094,0.8041757459783196,6.740177751446659,"[20.0, 20.0, 14.0, 9.0, 6.0]","[2000, 1252, 820, 555, 439]",0.01706666666666667,37,0,1014,1574,52,48,14756,1471,0.6,4.2,4681181213,0.9051550092250915,0.12200000000000003,71.87,/Users/alexis/phantom_cs073/bateria_fase7_f702_escalera/A2-B0-C2-batch3-r111_s482596_f702_e4,432.0
