rule_id,N,escala_b,dt,diam_real,giant_real,holon_real,n_aristas,n_triangulos,diam_null_topo,diam_null_topo_std,holon_null_valor,genealogia,seed_base,brazo,clase_final
A2-B0-C2-r3,2000,1,0.02,21.0,0.835,0.5794139416156203,2293,63,20.0,2.160246900469287,1.6881995365379803,G0_original_90210,90210,C2-hard,III
A2-B0-C2-r3,1292,2,0.06,13.0,0.7701238390092879,0.5794139416156203,1564,63,14.333333333333334,0.4714045217910317,1.6881995365379803,G0_original_90210,90210,C2-hard,III
A2-B0-C2-r3,901,4,0.1,10.0,0.6792452830188679,0.5794139416156203,1172,63,10.0,1e-09,1.6881995365379803,G0_original_90210,90210,C2-hard,III
A2-B0-C2-r3,691,8,0.13,7.0,0.5832127351664255,0.5794139416156203,953,63,6.333333333333333,0.4714045217910317,1.6881995365379803,G0_original_90210,90210,C2-hard,III
A2-B0-C2-r3,584,16,0.17,5.0,0.5085616438356164,0.5794139416156203,824,63,5.0,1e-09,1.6881995365379803,G0_original_90210,90210,C2-hard,III
A2-B0-C2-r3,2000,1,0.02,17.0,0.796,0.6855889235999233,2488,78,19.0,2.160246900469287,1.4590556742205774,G0_original_90210,90210,C2-hibrido,III
A2-B0-C2-r3,1345,2,0.07,13.0,0.7107806691449814,0.6855889235999233,1813,78,12.666666666666666,0.9428090425820633,1.4590556742205774,G0_original_90210,90210,C2-hibrido,III
A2-B0-C2-r3,976,4,0.12,8.0,0.6075819672131147,0.6855889235999233,1436,78,8.333333333333334,0.4714045217910317,1.4590556742205774,G0_original_90210,90210,C2-hibrido,III
A2-B0-C2-r3,800,8,0.15,7.0,0.52125,0.6855889235999233,1234,78,6.0,1e-09,1.4590556742205774,G0_original_90210,90210,C2-hibrido,III
A2-B0-C2-r3,686,16,0.18,5.0,0.44169096209912534,0.6855889235999233,1065,78,5.0,1e-09,1.4590556742205774,G0_original_90210,90210,C2-hibrido,III
A2-B0-C2-r4,2000,1,0.02,16.0,0.966,0.6069018284703348,3277,51,14.0,0.816496581927726,1.780214616288675,G0_original_90210,90210,C2-hard,III
A2-B0-C2-r4,1182,2,0.08,11.0,0.9441624365482234,0.6069018284703348,2445,51,10.0,0.816496581927726,1.780214616288675,G0_original_90210,90210,C2-hard,III
A2-B0-C2-r4,733,4,0.12,7.0,0.9113233287858117,0.6069018284703348,1981,51,6.666666666666667,0.4714045217910317,1.780214616288675,G0_original_90210,90210,C2-hard,III
A2-B0-C2-r4,526,8,0.17,5.0,0.876425855513308,0.6069018284703348,1748,51,5.333333333333333,0.4714045217910317,1.780214616288675,G0_original_90210,90210,C2-hard,III
