patch,seed,N,arm,k_local,D_max,d_s,delta_rel,n_ejes,PR,ejes_reales,holonomia,gigante,grado_medio,clustering,diam_fin,pasos
0,66100,1500,local,10,8,4.871,0.045,3,4.473,1,1.038,0.907,26.229,0.1762,4,20
0,66100,1500,sin_local,-1,8,4.767,0.051,1,2.745,1,0.867,0.913,51.635,0.0869,4,17
0,66100,1500,local_barajado,10,8,3.518,0.059,1,2.561,1,1.046,0.896,24.181,0.0538,4,20
0,66100,1500,local_marco_congelado,10,8,5.622,0.035,0,7.952,0,1.037,0.901,26.259,0.1832,4,20
3,66109,1500,local,10,8,5.826,0.036,1,2.172,1,1.017,0.908,26.104,0.1919,4,20
3,66109,1500,sin_local,-1,8,4.669,0.052,1,4.725,1,0.986,0.901,50.925,0.0835,3,17
3,66109,1500,local_barajado,10,8,3.741,0.051,1,2.615,1,1.064,0.909,24.661,0.0512,4,20
3,66109,1500,local_marco_congelado,10,8,5.175,0.042,0,7.972,0,1.066,0.924,26.923,0.1886,4,20
5,66115,1500,local,10,8,5.597,0.033,1,2.829,1,0.724,0.911,26.48,0.1916,4,20
5,66115,1500,sin_local,-1,8,5.067,0.052,1,3.219,1,0.835,0.918,48.163,0.1017,4,16
5,66115,1500,local_barajado,10,8,3.664,0.052,1,4.199,1,0.867,0.92,24.848,0.0561,4,20
5,66115,1500,local_marco_congelado,10,8,5.675,0.039,0,7.978,0,0.968,0.919,26.859,0.199,4,20
1,66103,1500,local,10,8,5.309,0.04,1,2.895,1,0.716,0.913,26.251,0.1843,4,20
1,66103,1500,sin_local,-1,8,4.969,0.048,1,3.498,1,0.84,0.914,52.427,0.091,3,17
1,66103,1500,local_barajado,10,8,3.85,0.056,1,3.677,1,1.163,0.91,24.576,0.0489,4,20
1,66103,1500,local_marco_congelado,10,8,5.448,0.042,0,7.962,0,1.038,0.897,26.147,0.1907,5,20
2,66106,1500,local,10,8,5.161,0.039,2,4.291,1,0.789,0.917,26.256,0.1884,4,20
2,66106,1500,sin_local,-1,8,4.806,0.052,1,3.242,1,0.938,0.908,52.517,0.0915,4,17
2,66106,1500,local_barajado,10,8,3.64,0.071,1,3.477,1,1.109,0.928,25.104,0.048,5,20
2,66106,1500,local_marco_congelado,10,8,5.506,0.036,0,7.954,0,0.936,0.924,26.32,0.1836,4,20
4,66112,1500,local,10,8,5.987,0.034,1,2.433,1,1.022,0.913,26.787,0.1919,3,20
4,66112,1500,sin_local,-1,8,4.934,0.047,1,4.093,1,1.035,0.913,51.901,0.0929,3,17
4,66112,1500,local_barajado,10,8,3.64,0.054,1,2.85,1,1.101,0.91,24.605,0.061,4,20
4,66112,1500,local_marco_congelado,10,8,5.368,0.035,0,7.96,0,1.044,0.915,25.947,0.1693,5,20
6,66118,1500,local,10,8,5.82,0.031,1,3.009,1,0.816,0.916,26.141,0.1849,4,20
6,66118,1500,sin_local,-1,8,5.202,0.042,1,4.166,1,0.717,0.908,48.829,0.0917,3,17
6,66118,1500,local_barajado,10,8,3.526,0.057,1,3.315,1,1.059,0.905,24.373,0.0526,4,20
6,66118,1500,local_marco_congelado,10,8,4.887,0.039,0,7.977,0,0.899,0.92,25.843,0.1764,4,20
7,66121,1500,local,10,8,4.85,0.039,1,4.658,1,0.903,0.916,25.755,0.1774,4,20
7,66121,1500,sin_local,-1,8,4.974,0.039,1,3.829,1,0.866,0.905,49.709,0.1025,3,17
7,66121,1500,local_barajado,10,8,3.57,0.057,1,3.189,1,0.882,0.917,24.683,0.0559,4,20
7,66121,1500,local_marco_congelado,10,8,5.22,0.043,0,7.969,0,1.013,0.919,26.512,0.1811,4,20
10,66130,1500,local,10,8,5.142,0.038,1,2.82,1,0.746,0.913,26.232,0.1865,4,20
10,66130,1500,sin_local,-1,8,5.052,0.051,1,5.039,1,0.861,0.906,48.325,0.0987,4,16
10,66130,1500,local_barajado,10,8,3.745,0.048,1,3.503,1,0.985,0.901,24.352,0.0635,5,20
10,66130,1500,local_marco_congelado,10,8,5.391,0.037,0,7.963,0,1.176,0.915,26.221,0.1845,4,20
8,66124,1500,local,10,8,5.636,0.038,2,3.721,1,0.789,0.92,26.723,0.1817,4,20
8,66124,1500,sin_local,-1,8,5.126,0.048,1,4.451,1,0.751,0.9,50.811,0.0898,3,17
8,66124,1500,local_barajado,10,8,3.573,0.058,1,4.693,1,0.984,0.909,24.496,0.0567,5,20
8,66124,1500,local_marco_congelado,10,8,5.394,0.043,0,7.95,0,1.116,0.908,26.205,0.1689,4,20
9,66127,1500,local,10,8,5.167,0.031,1,4.218,1,0.793,0.913,25.579,0.174,4,20
9,66127,1500,sin_local,-1,8,4.845,0.052,3,4.918,1,0.889,0.921,52.683,0.0911,4,17
9,66127,1500,local_barajado,10,8,3.813,0.05,2,3.811,1,1.033,0.908,24.336,0.0512,4,20
9,66127,1500,local_marco_congelado,10,8,5.877,0.038,0,7.946,0,1.028,0.913,26.235,0.1963,4,20
11,66133,1500,local,10,8,3.957,0.035,1,2.388,1,0.818,0.919,26.453,0.1855,4,20
11,66133,1500,sin_local,-1,8,4.693,0.053,1,3.633,1,0.786,0.901,51.163,0.0859,3,17
11,66133,1500,local_barajado,10,8,3.618,0.05,1,3.253,1,0.998,0.916,24.621,0.0559,4,20
11,66133,1500,local_marco_congelado,10,8,4.842,0.033,0,7.98,0,1.113,0.912,25.92,0.1769,4,20
12,66136,1500,local,10,8,5.302,0.038,2,4.333,1,0.768,0.911,25.928,0.1729,4,20
