K,metric,exponente,prefactor
8,L2,,
8,meff,0.0007915473927974586,0.9940015882152687
12,L2,-0.15797097104046734,0.6782054774599056
12,meff,0.13644494371416352,0.23631967950819383
20,L2,-0.11300190756208633,0.263923275754852
20,meff,0.06082946445244018,0.503837049695943
