seed,f_persiste,orden_a1,dir_x,dir_y,dir_z,S_mean_vivos,S_max_vivos,S_total_vivos,entropia_orient,dim_participation,rango_C,ratio_orden_inicial,frac_coop_inicial,elapsed_s
1,0.508,0.5165891408922881,0.2589096151867175,-0.06296190388837769,-0.9638472959046037,9804.097150753947,19012.386443539508,9960962.70516601,5.169529063790819,11.946304534463186,1016,20.888141848224038,0.5000125062531265,0.20436174800124718
2,0.508,0.5157986064354518,0.8827023102010232,0.3295238103688886,-0.3350383410383733,9773.614327455907,18988.64427352057,9929992.156695202,4.859335063179774,11.949853634305796,1016,24.755297520833345,0.49965232616308153,0.1631225040036952
3,0.5125,0.5049921226569389,-0.14619871023475187,-0.0008930812068837616,0.9892548405399152,9448.718425210312,18696.147442873153,9684936.38584057,5.232826756251534,11.943116012344214,1025,34.08610932212813,0.49967883941970986,0.18069830699823797
4,0.515,0.507045511875418,0.9022941897482796,0.305054315292591,-0.30464251159000166,9574.928380881976,18910.51033304932,9862176.232308436,4.862677903923736,11.954938832543844,1030,14.83147182336747,0.5004662331165582,0.18879019800078822
5,0.5145,0.5139270182585136,0.2901959825556993,0.849420458670762,0.4407620402213474,9827.863536423418,19145.37257024497,10112871.578979697,4.850761647284822,11.936264978614279,1029,19.123492399895735,0.5001430715357679,0.19539999800326768
6,0.5205,0.5087552451983673,0.4141701269042322,0.9019006746312213,-0.12263066125516964,9743.473175912151,19159.98777251339,10142955.576124549,4.820093270610785,11.949845615814468,1041,15.112544629646404,0.5006603301650825,0.1898959169993759
7,0.524,0.5193820460706211,-0.8961487831257162,-0.3356854720193366,0.29022856919582074,10226.078151794427,19685.372167359754,10716929.90308056,4.802312672209358,11.947441814870182,1048,12.54272517311371,0.5009159579789895,0.2007583689992316
8,0.5005,0.5191453444224934,0.39613357894871515,-0.16178951353080395,-0.903826499357453,9753.207884989957,18815.061495945087,9762961.092874948,5.108998549378809,11.942227796134366,1001,38.32587099223983,0.499967983991996,0.17617606400017394
9,0.508,0.5073168075368876,-0.5245587197503623,0.20192873730047675,0.8270809722065282,9452.428085960808,18669.726200656063,9603666.93533618,5.077925397391138,11.959073091534117,1016,31.220421827981273,0.4998969484742371,0.18179330599377863
10,0.5125,0.518649742559847,-0.6123012659050119,0.16194301713556042,-0.7738614985720322,9971.705639576632,19258.682581648125,10220998.280566048,5.002111784153586,11.947725813345064,1025,15.904005798873127,0.500464732366183,0.18111810099799186
11,0.522,0.5154967248662248,0.6055998021659134,0.7882696528644475,-0.10899465119706596,10033.69010417448,19488.023172509864,10475172.468758158,4.9608106183102745,11.941817436199825,1044,16.788598871090173,0.5004297148574287,0.20132630900479853
12,0.508,0.5231105669368045,0.8724278755285638,-0.1827003869344361,-0.4533102366092388,10054.933576966128,19222.56895266258,10215812.514197586,4.85857143708611,11.923760933363804,1016,18.581999053946827,0.4999714857428714,0.18280659899755847
13,0.492,0.524579389299219,0.7917265601355454,0.48339620047746995,0.37349319584147983,9790.106211417638,18682.577184096237,9633464.512034956,4.85149764001633,11.932437357243177,984,30.79496843483758,0.49983391695847923,0.1846203660024912
14,0.4975,0.5198447238669656,0.27852498612372556,0.8210269707622295,0.49833577574339927,9720.759254053452,18727.6017145496,9672155.457783185,4.894858681100869,11.932063568338428,995,38.1602266088554,0.499671835917959,0.19979374000104144
15,0.504,0.5130499317110703,0.5966549028971142,0.1708837011489108,0.7840929074608983,9591.694163212444,18700.960430627903,9668427.716518143,4.993541853972746,11.949152954452028,1008,32.429521116566534,0.4996983491745873,0.1933781519983313
16,0.5095,0.5205608157842302,-0.2104689271339911,0.05794474390125698,-0.9758817742766203,9986.579359140156,19219.281449873277,10176324.366963819,5.2143042019586066,11.938415092809798,1019,16.25025062387648,0.5004812406203102,0.22132168099778937
