N,seed,d_s,d_s_dos,ncomp,giant,meandeg,n_surv,d_s_shuffle
300,1,1.6154910583880826,1.0822644362662834,26,41,6.634146341463414,300,2.0011670438472424
300,2,2.3440396854715257,1.38389439996306,36,32,8.5625,300,2.215206774589181
300,3,2.350379822884609,1.381644428054349,32,22,7.636363636363637,300,1.9186060763958
500,1,1.3275917370797292,1.1028229846020783,35,225,8.177777777777777,500,2.14026826207674
500,2,1.4261673747805734,1.1517198530291288,35,109,8.036697247706423,500,2.145067386382413
500,3,1.5312489948455832,1.1882975423117645,35,88,7.318181818181818,500,2.445510631173326
