test,condicion,rule_id,seed,N_sistema,pendiente,pendiente_null,z_agg,clase,holon_ratio,n_aristas_b1,grado_medio_b1,diam_b1,giant_b1,diam_por_escala,ncajas_por_escala,K,J,noise,meandeg,dt,kcap_base,kcap_media_emp,kcap_sd,kcap_cv,kcap_min,kcap_max,grado_inicial_medio
P1-abs,kcap=5,A2-B0-C2-r2,90406,500,0.7576915899070092,0.7682998423890209,0.7855532336956672,III,1.2497784156544267,755,3.02,14.0,0.946,14|8|7|5|4,500|305|201|135|105,7,0.508,0.259,7.01,1.48,5,5.0,0.0,0.0,5,5,7.008
P1-abs,kcap=5,A2-B0-C2-r3,90503,500,0.7028049563487878,0.6137574475342982,0.5311685644911839,III,1.651049993189193,819,3.276,12.0,0.97,12|8|5|4|4,500|296|180|124|94,5,0.66,0.313,5.34,1.49,5,5.0,0.0,0.0,5,5,5.34
P1-abs,kcap=5,A2-B0-C2-r4,90600,500,0.6240453214207632,0.5273901281506591,0.8329466654473767,I,2.5460890501788276,839,3.356,12.0,0.97,12|8|5|5|4,500|293|182|125|87,5,0.561,0.109,5.18,1.45,5,5.0,0.0,0.0,5,5,5.18
P1-abs,kcap=5,A2-B0-C2-r5,90697,500,0.7096638201159857,0.6078497041497952,1.979898983422333,III,1.5114292938164902,843,3.372,12.0,0.984,12|11|5|5|4,500|296|180|123|93,5,0.769,0.338,4.97,1.53,5,5.0,0.0,0.0,5,5,4.968
P1-abs,kcap=5,A2-B0-C2-r6,90794,500,0.6366309830280537,0.7128435766243213,0.7071067796865472,I,2.2880852876718034,740,2.96,10.0,0.926,10|8|6|5|4,500|309|204|149|122,5,0.407,0.249,7.4,1.63,5,5.0,0.0,0.0,5,5,7.4
P1-abs,kcap=5,A2-B0-C2-r7,90891,500,0.7494359820314174,0.7180594353142523,1.131370847498476,III,1.4804976347681287,776,3.104,13.0,0.934,13|9|7|5|4,500|305|186|134|110,7,0.503,0.225,7.25,1.59,5,5.0,0.0,0.0,5,5,7.248
P1-abs,kcap=5,A2-B0-C2-r8,90988,500,0.7448826684104998,0.6484972666248494,0.739923719871401,III,2.4680327032584954,788,3.152,12.0,0.96,12|9|6|4|4,500|298|185|128|100,6,0.544,0.107,4.18,1.14,5,5.0,0.0,0.0,5,5,4.18
P1-abs,kcap=5,A2-B0-C2-r9,91085,500,0.7940588337369677,0.6773435689982703,0.631319303893945,III,2.7298301731945793,796,3.184,13.0,0.956,13|7|6|5|3,500|296|188|128|100,5,0.397,0.121,5.37,1.52,5,5.0,0.0,0.0,5,5,5.368
P1-abs,kcap=5,A2-B0-C2-r10,91182,500,0.7782376909407709,0.739224292970381,0.38974720870387414,III,3.3981200365744124,772,3.088,13.0,0.948,13|9|5|5|4,500|294|190|134|109,5,0.441,0.133,6.34,1.52,5,5.0,0.0,0.0,5,5,6.34
P1-abs,kcap=5,A2-B0-C2-r11,91279,500,0.9026517533034446,0.7881156135864262,0.9848726941122186,III,1.655851107619532,754,3.016,16.0,0.962,16|11|6|5|4,500|299|186|131|104,8,0.561,0.315,6.93,1.37,5,5.0,0.0,0.0,5,5,6.928
P1-abs,kcap=5,A2-B0-C2-r12,91376,500,0.49043382438674493,0.6301224385283791,0.8485281356238566,I,1.6242851541490189,839,3.356,10.0,0.972,10|7|6|5|4,500|289|179|118|86,7,0.369,0.176,5.34,1.29,5,5.0,0.0,0.0,5,5,5.34
P1-abs,kcap=5,A2-B0-C2-r13,91473,500,0.5601941175237918,0.7452716457909343,1.7315501707726149,I,1.7566434065493801,763,3.052,10.0,0.92,10|7|5|5|4,500|308|203|143|103,7,0.527,0.286,7.06,1.52,5,5.0,0.0,0.0,5,5,7.06
P1-abs,kcap=5,A2-B0-C2-r14,91570,500,0.6416438318035945,0.6110393024604455,0.8485281356238573,I,1.698944060384362,786,3.144,11.0,0.938,11|9|6|5|4,500|303|194|134|99,7,0.47,0.192,6.75,1.41,5,5.0,0.0,0.0,5,5,6.748
P1-abs,kcap=5,A2-B0-C2-r0,90212,1000,0.9156767444660748,0.8486022432549696,0.4086825976354483,III,2.1608440200106243,1524,3.048,15.0,0.926,15|10|6|5|4,1000|616|407|288|235,4,0.404,0.234,7.64,2.9,5,5.0,0.0,0.0,5,5,7.64
P1-abs,kcap=5,A2-B0-C2-r1,90309,1000,0.7991001856575229,0.7100684419709431,0.5104462982365132,III,1.4242344922276922,1682,3.364,14.0,0.966,14|11|6|5|4,1000|596|370|253|195,7,0.688,0.281,5.78,2.86,5,5.0,0.0,0.0,5,5,5.78
P1-abs,kcap=5,A2-B0-C2-r2,90406,1000,0.7506415579889025,0.752569262468307,0.1948736044269374,III,1.4442972682002881,1579,3.158,13.0,0.94,13|9|6|5|4,1000|611|382|275|208,7,0.508,0.259,7.01,3.14,5,5.0,0.0,0.0,5,5,7.01
P1-abs,kcap=5,A2-B0-C2-r3,90503,1000,0.6104597799005198,0.6784082507277487,0.35523034944582044,I,2.805114219027358,1709,3.418,12.0,0.981,12|8|6|5|4,1000|591|370|240|175,5,0.66,0.313,5.34,3.14,5,5.0,0.0,0.0,5,5,5.34
P1-abs,kcap=5,A2-B0-C2-r4,90600,1000,0.6473513096262407,0.6492463634806636,0.5277916858529366,I,3.9741917282902106,1662,3.324,12.0,0.968,12|9|6|5|4,1000|587|370|247|179,5,0.561,0.109,5.18,2.89,5,5.0,0.0,0.0,5,5,5.18
P1-abs,kcap=5,A2-B0-C2-r5,90697,1000,0.6253458402032044,0.6040252678875779,0.14142135608730938,I,1.400895618008902,1678,3.356,12.0,0.971,12|8|7|5|4,1000|586|361|248|186,5,0.769,0.338,4.97,2.98,5,5.0,0.0,0.0,5,5,4.97
P1-abs,kcap=5,A2-B0-C2-r6,90794,1000,0.860744081895472,0.7891170405650992,0.7778174580302025,III,1.9487000663982894,1528,3.056,15.0,0.924,15|9|7|5|4,1000|611|409|298|218,5,0.407,0.249,7.4,3.0,5,5.0,0.0,0.0,5,5,7.4
P1-abs,kcap=5,A2-B0-C2-r7,90891,1000,0.8980063135751222,0.8052046297089861,1.2727922034357855,III,2.125763790515268,1546,3.092,15.0,0.943,15|11|7|5|4,1000|612|390|281|222,7,0.503,0.225,7.25,3.43,5,5.0,0.0,0.0,5,5,7.25
P1-abs,kcap=5,A2-B0-C2-r8,90988,1000,0.6409001134202293,0.6888928233755867,0.8485281356238573,I,4.278143436204356,1598,3.196,12.0,0.975,12|9|6|5|4,1000|587|365|240|178,6,0.544,0.107,4.18,2.88,5,5.0,0.0,0.0,5,5,4.18
P1-abs,kcap=5,A2-B0-C2-r9,91085,1000,0.6561295034987347,0.6580930253205476,0.3863703300656272,I,2.0978190900276217,1691,3.382,12.0,0.964,12|9|6|5|4,1000|586|356|243|187,5,0.397,0.121,5.37,2.89,5,5.0,0.0,0.0,5,5,5.37
P1-abs,kcap=5,A2-B0-C2-r10,91182,1000,0.6733493396880662,0.7020508824265335,0.9899494915611664,I,2.891515136213594,1608,3.216,12.0,0.943,12|7|6|5|4,1000|595|389|276|221,5,0.441,0.133,6.34,3.08,5,5.0,0.0,0.0,5,5,6.34
P1-abs,kcap=5,A2-B0-C2-r11,91279,1000,0.7866067849307007,0.7380832252918152,0.5656854237492379,III,1.2076616688371737,1545,3.09,13.0,0.94,13|10|7|5|4,1000|612|389|277|220,8,0.561,0.315,6.93,3.09,5,5.0,0.0,0.0,5,5,6.93
P1-abs,kcap=5,A2-B0-C2-r12,91376,1000,0.6646815969354594,0.6132754593325223,0.5656854237492379,I,1.972587822403322,1673,3.346,13.0,0.973,13|9|7|5|4,1000|589|365|242|171,7,0.369,0.176,5.34,3.14,5,5.0,0.0,0.0,5,5,5.34
P1-abs,kcap=5,A2-B0-C2-r13,91473,1000,0.8058031568640189,0.8215958349348533,0.4777163161515567,III,2.2115644356035222,1562,3.124,13.0,0.94,13|10|7|5|4,1000|607|382|271|240,7,0.527,0.286,7.06,3.19,5,5.0,0.0,0.0,5,5,7.06
P1-abs,kcap=5,A2-B0-C2-r14,91570,1000,0.7290572816285513,0.7744751418563902,0.21213203418096435,III,2.14618584613716,1601,3.202,12.0,0.934,12|10|7|5|4,1000|610|388|268|216,7,0.47,0.192,6.75,3.07,5,5.0,0.0,0.0,5,5,6.75
P1-abs,kcap=5,A2-B0-C2-r0,90212,2000,1.0222716796930504,0.9429275845333663,0.6846845938711765,III,2.133717197214872,3099,3.099,17.0,0.9175,17|11|7|5|4,2000|1236|818|600|476,4,0.404,0.234,7.64,6.37,5,5.0,0.0,0.0,5,5,7.64
P1-abs,kcap=5,A2-B0-C2-r1,90309,2000,0.6675787530664865,0.6456470149009682,0.9520557536648658,I,2.101861834117465,3317,3.317,12.0,0.964,12|9|6|5|4,2000|1177|739|511|377,7,0.688,0.281,5.78,6.56,5,5.0,0.0,0.0,5,5,5.78
P1-abs,kcap=5,A2-B0-C2-r2,90406,2000,0.8981925887843726,0.7402898981087316,2.404163050934261,III,1.8847997696535876,3175,3.175,17.0,0.934,17|11|7|6|4,2000|1220|790|552|428,7,0.508,0.259,7.01,6.97,5,5.0,0.0,0.0,5,5,7.01
P1-abs,kcap=5,A2-B0-C2-r3,90503,2000,0.7411183519859619,0.6647607602441012,0.3897472085538745,III,1.6455996167635007,3390,3.39,14.0,0.9645,14|9|6|5|4,2000|1174|714|508|371,5,0.66,0.313,5.34,6.34,5,5.0,0.0,0.0,5,5,5.34
