test,condicion,rule_id,seed,N_sistema,pendiente,pendiente_null,z_agg,clase,holon_ratio,n_aristas_b1,grado_medio_b1,diam_b1,giant_b1,diam_por_escala,ncajas_por_escala,K,J,noise,meandeg,dt,kcap_base,kcap_media_emp,kcap_sd,kcap_cv,kcap_min,kcap_max,grado_inicial_medio
P1-abs,kcap=4,A2-B0-C2-r3,90503,1000,0.9054768534106382,0.8660536366755525,1.2298216677905365,III,1.3040346504316507,1299,2.598,15.0,0.915,15|11|8|5|4,1000|621|407|285|228,5,0.66,0.313,5.34,1.96,4,4.0,0.0,0.0,4,4,5.34
P1-abs,kcap=4,A2-B0-C2-r4,90600,1000,0.9114932899483311,0.9146502456678918,2.2315787546439916,III,4.906661295954852,1252,2.504,19.0,0.909,19|12|9|6|5,1000|623|410|294|231,5,0.561,0.109,5.18,1.99,4,4.0,0.0,0.0,4,4,5.18
P1-abs,kcap=4,A2-B0-C2-r5,90697,1000,0.8798656507646008,0.8281000156358885,1.7900562572780359,III,1.3750723792107502,1274,2.548,19.0,0.902,19|12|9|6|5,1000|615|404|281|219,5,0.769,0.338,4.97,2.04,4,4.0,0.0,0.0,4,4,4.97
P1-abs,kcap=4,A2-B0-C2-r6,90794,1000,1.3167898172731178,1.1485270926931814,3.1112698313708096,III,2.134827233095924,1103,2.206,23.0,0.821,23|17|8|7|5,1000|658|462|364|304,5,0.407,0.249,7.4,2.32,4,4.0,0.0,0.0,4,4,7.4
P1-abs,kcap=4,A2-B0-C2-r7,90891,1000,1.1557265409960054,1.1546018534607867,0.9899494915611656,III,2.638930953712467,1102,2.204,20.0,0.807,20|13|9|6|5,1000|650|445|345|305,7,0.503,0.225,7.25,2.0,4,4.0,0.0,0.0,4,4,7.25
P1-abs,kcap=4,A2-B0-C2-r8,90988,1000,0.817172667104987,0.7863539073741339,1.0934771099021752,III,4.128822313108503,1299,2.598,17.0,0.939,17|11|8|5|5,1000|599|382|265|204,6,0.544,0.107,4.18,2.04,4,4.0,0.0,0.0,4,4,4.18
P1-abs,kcap=4,A2-B0-C2-r9,91085,1000,0.7749341758190775,0.8656611139721071,0.8106343978775558,III,2.3278250178551483,1287,2.574,15.0,0.902,15|10|6|6|5,1000|611|406|308|235,5,0.397,0.121,5.37,2.22,4,4.0,0.0,0.0,4,4,5.37
P1-abs,kcap=4,A2-B0-C2-r10,91182,1000,1.1652321642604975,1.0643179884436822,1.979898983122333,III,2.828613356599647,1173,2.346,19.0,0.855,19|14|9|5|5,1000|635|444|319|294,5,0.441,0.133,6.34,1.88,4,4.0,0.0,0.0,4,4,6.34
P1-abs,kcap=4,A2-B0-C2-r11,91279,1000,1.0877459257418436,1.1919386323460464,0.779494417107749,III,2.0884242978945453,1124,2.248,18.0,0.832,18|14|9|6|5,1000|661|457|347|296,8,0.561,0.315,6.93,1.72,4,4.0,0.0,0.0,4,4,6.93
P1-abs,kcap=4,A2-B0-C2-r12,91376,1000,1.0572588214054617,0.8913000791033795,1.6869026755998184,III,1.7403310635382288,1267,2.534,21.0,0.919,21|12|7|6|4,1000|622|403|305|211,7,0.369,0.176,5.34,1.97,4,4.0,0.0,0.0,4,4,5.34
P1-abs,kcap=4,A2-B0-C2-r13,91473,1000,1.0439948281961198,1.1671839908971988,1.9798989831223337,III,2.0492120319571248,1118,2.236,15.0,0.802,15|12|8|5|5,1000|651|477|356|315,7,0.527,0.286,7.06,2.07,4,4.0,0.0,0.0,4,4,7.06
P1-abs,kcap=4,A2-B0-C2-r14,91570,1000,1.169290197028418,1.0221790695657296,0.8363005843524697,III,2.719669749652887,1152,2.304,21.0,0.827,21|14|9|6|5,1000|656|449|330|293,7,0.47,0.192,6.75,1.88,4,4.0,0.0,0.0,4,4,6.75
P1-abs,kcap=4,A2-B0-C2-r0,90212,2000,1.1511803849300175,1.2317629218668504,0.5656854241992383,III,2.3025607406269373,2164,2.164,19.0,0.78,19|14|9|7|5,2000|1335|936|758|639,4,0.404,0.234,7.64,4.6,4,4.0,0.0,0.0,4,4,7.64
P1-abs,kcap=4,A2-B0-C2-r1,90309,2000,0.9380774046458237,0.897353255957341,1.2504569759828104,III,1.4609283250424412,2440,2.44,18.0,0.868,18|13|10|6|5,2000|1250|839|617|498,7,0.688,0.281,5.78,4.54,4,4.0,0.0,0.0,4,4,5.78
P1-abs,kcap=4,A2-B0-C2-r2,90406,2000,1.1325972550588497,1.0894092926932628,0.48694212082498856,III,2.913739460646644,2271,2.271,21.0,0.822,21|13|9|7|5,2000|1310|916|690|608,7,0.508,0.259,7.01,4.39,4,4.0,0.0,0.0,4,4,7.01
P1-abs,kcap=4,A2-B0-C2-r3,90503,2000,0.9846571539328782,0.9251914096270044,0.585961781880647,III,2.4024181144578747,2517,2.517,20.0,0.905,20|13|8|6|5,2000|1240|819|590|476,5,0.66,0.313,5.34,4.26,4,4.0,0.0,0.0,4,4,5.34
P1-abs,kcap=4,A2-B0-C2-r4,90600,2000,0.906066017442185,0.8189715445260936,1.0446442706466565,III,4.591857782073937,2579,2.579,19.0,0.9045,19|13|8|6|5,2000|1217|789|556|441,5,0.561,0.109,5.18,4.73,4,4.0,0.0,0.0,4,4,5.18
P1-abs,kcap=4,A2-B0-C2-r5,90697,2000,0.9487818166945422,0.9224499289054486,1.0623371289823682,III,2.1038774027538962,2578,2.578,20.0,0.917,20|13|8|6|5,2000|1219|784|545|462,5,0.769,0.338,4.97,4.86,4,4.0,0.0,0.0,4,4,4.97
P1-abs,kcap=4,A2-B0-C2-r6,90794,2000,1.2818998353434226,1.143222416998766,1.3435028814794396,III,2.0137673686869326,2173,2.173,22.0,0.795,22|14|10|6|5,2000|1329|945|734|621,5,0.407,0.249,7.4,4.92,4,4.0,0.0,0.0,4,4,7.4
P1-abs,kcap=4,A2-B0-C2-r7,90891,2000,1.2682374984340392,1.112893874806328,1.267715405986838,III,2.7521962619827294,2210,2.21,22.0,0.81,22|15|11|6|5,2000|1319|930|723|606,7,0.503,0.225,7.25,5.15,4,4.0,0.0,0.0,4,4,7.25
P1-abs,kcap=4,A2-B0-C2-r8,90988,2000,0.8715520748748012,0.8843589070820341,0.5311685646911836,III,2.152813092265414,2563,2.563,18.0,0.9285,18|13|8|6|5,2000|1227|778|552|441,6,0.544,0.107,4.18,5.35,4,4.0,0.0,0.0,4,4,4.18
P1-abs,kcap=4,A2-B0-C2-r9,91085,2000,1.0048890354710633,0.9087753203035266,1.4798474395178023,III,3.4141733146176696,2539,2.539,20.0,0.91,20|15|9|6|5,2000|1238|802|591|470,5,0.397,0.121,5.37,5.98,4,4.0,0.0,0.0,4,4,5.37
P1-abs,kcap=4,A2-B0-C2-r10,91182,2000,1.0639595382638947,1.0112944939439092,1.0227664317085208,III,3.7115737123586436,2364,2.364,21.0,0.853,21|13|10|6|5,2000|1281|865|628|524,5,0.441,0.133,6.34,6.98,4,4.0,0.0,0.0,4,4,6.34
P1-abs,kcap=4,A2-B0-C2-r11,91279,2000,1.2167076612039636,1.1145486640144289,0.8084631647796913,III,1.7026117944968981,2281,2.281,22.0,0.8265,22|15|9|6|5,2000|1294|898|689|562,8,0.561,0.315,6.93,5.77,4,4.0,0.0,0.0,4,4,6.93
P1-abs,kcap=4,A2-B0-C2-r12,91376,2000,0.9602619260502046,0.9533951645469566,0.47939327571660295,III,1.336815152897046,2445,2.445,20.0,0.8965,20|12|9|6|5,2000|1250|810|592|482,7,0.369,0.176,5.34,5.27,4,4.0,0.0,0.0,4,4,5.34
P1-abs,kcap=4,A2-B0-C2-r13,91473,2000,1.0298856808282675,1.0718619491487724,1.0450786994283408,III,1.7872287115389267,2264,2.264,20.0,0.822,20|15|11|8|5,2000|1310|893|674|576,7,0.527,0.286,7.06,5.55,4,4.0,0.0,0.0,4,4,7.06
P1-abs,kcap=4,A2-B0-C2-r14,91570,2000,1.1300693546979477,1.0920273250537793,1.1157893773219951,III,2.7496204300495872,2281,2.281,21.0,0.822,21|13|8|7|5,2000|1312|925|719|573,7,0.47,0.192,6.75,5.9,4,4.0,0.0,0.0,4,4,6.75
P1-abs,kcap=4,A2-B0-C2-r0,90212,4000,1.222507098536425,1.2802577608506382,1.502159707387623,III,2.61020752902956,4338,2.169,26.0,0.78725,26|16|12|9|6,4000|2699|1909|1516|1330,4,0.404,0.234,7.64,10.19,4,4.0,0.0,0.0,4,4,7.64
P1-abs,kcap=4,A2-B0-C2-r1,90309,4000,1.0179246525144587,0.9737846713057842,1.1970047276431834,III,1.949239407401605,4977,2.489,22.0,0.87825,22|14|11|7|5,4000|2493|1663|1241|973,7,0.688,0.281,5.78,11.18,4,4.0,0.0,0.0,4,4,5.78
P1-abs,kcap=4,A2-B0-C2-r2,90406,4000,1.1509964356840472,1.1734545143515454,0.5656854237492382,III,1.2801837370316207,4506,2.253,24.0,0.8175,24|15|11|7|6,4000|2631|1820|1413|1193,7,0.508,0.259,7.01,10.24,4,4.0,0.0,0.0,4,4,7.01
P1-abs,kcap=4,A2-B0-C2-r3,90503,4000,0.9590227506269235,0.8824319797092192,1.219328475304581,III,1.6822093700671235,5155,2.578,20.0,0.9075,20|15|9|7|5,4000|2472|1638|1160|953,5,0.66,0.313,5.34,11.29,4,4.0,0.0,0.0,4,4,5.34
P1-abs,kcap=4,A2-B0-C2-r4,90600,4000,1.068496748452816,0.9153880720690283,2.8081199274503996,III,4.382355551262342,5142,2.571,25.0,0.9125,25|16|10|7|5,4000|2458|1605|1158|888,5,0.561,0.109,5.18,11.46,4,4.0,0.0,0.0,4,4,5.18
P1-abs,kcap=4,A2-B0-C2-r5,90697,4000,1.0041491694712228,0.9847277591392877,0.4070056387079018,III,1.129899825169818,5130,2.565,23.0,0.903,23|14|10|7|5,4000|2442|1602|1161|916,5,0.769,0.338,4.97,10.35,4,4.0,0.0,0.0,4,4,4.97
P1-abs,kcap=4,A2-B0-C2-r6,90794,4000,1.2965862198011748,1.213533390885573,1.3262214920422593,III,1.858658594527998,4404,2.202,22.0,0.7995,22|15|12|6|5,4000|2673|1891|1466|1270,5,0.407,0.249,7.4,10.62,4,4.0,0.0,0.0,4,4,7.4
P1-abs,kcap=4,A2-B0-C2-r7,90891,4000,1.0803462957732222,1.1969733057463245,1.6970562716977142,III,2.6844999398488363,4417,2.208,20.0,0.80975,20|15|10|7|6,4000|2657|1885|1459|1276,7,0.503,0.225,7.25,10.8,4,4.0,0.0,0.0,4,4,7.25
P1-abs,kcap=4,A2-B0-C2-r8,90988,4000,0.9189166048144533,0.9027426725718026,0.5893271805773179,III,2.7227416484936793,5217,2.608,22.0,0.93275,22|14|10|7|5,4000|2413|1543|1104|821,6,0.544,0.107,4.18,11.27,4,4.0,0.0,0.0,4,4,4.18
P1-abs,kcap=4,A2-B0-C2-r9,91085,4000,0.9751280624440352,0.9235352732275892,1.6246456740933581,III,3.786228939622171,5043,2.522,21.0,0.90025,21|15|10|7|5,4000|2462|1610|1159|940,5,0.397,0.121,5.37,12.01,4,4.0,0.0,0.0,4,4,5.37
P1-abs,kcap=4,A2-B0-C2-r10,91182,4000,1.0804775922439773,1.0845471758799319,1.2727922037357848,III,3.2749069247795477,4807,2.404,20.0,0.863,20|15|10|6|5,4000|2552|1746|1278|1053,5,0.441,0.133,6.34,11.35,4,4.0,0.0,0.0,4,4,6.34
P1-abs,kcap=4,A2-B0-C2-r11,91279,4000,1.1188291889325268,1.192404326423564,0.9451051199304242,III,1.7268414417374074,4581,2.291,21.0,0.83175,21|15|12|7|5,4000|2620|1817|1395|1140,8,0.561,0.315,6.93,12.4,4,4.0,0.0,0.0,4,4,6.93
P1-abs,kcap=4,A2-B0-C2-r12,91376,4000,1.0195815087790563,0.9809788627753633,0.9032229147093463,III,1.8377349348528047,4996,2.498,22.0,0.89425,22|15|10|7|5,4000|2479|1622|1169|974,7,0.369,0.176,5.34,11.3,4,4.0,0.0,0.0,4,4,5.34
P1-abs,kcap=4,A2-B0-C2-r13,91473,4000,1.0750843725506922,1.2099919242376291,1.6831517613487805,III,2.2914879872662706,4518,2.259,19.0,0.8115,19|14|11|7|5,4000|2616|1830|1409|1229,7,0.527,0.286,7.06,10.6,4,4.0,0.0,0.0,4,4,7.06
P1-abs,kcap=4,A2-B0-C2-r14,91570,4000,1.219430963270309,1.0969451039632914,1.0244433910860669,III,2.4533222847780887,4611,2.305,23.0,0.825,23|16|10|7|5,4000|2603|1806|1378|1157,7,0.47,0.192,6.75,11.31,4,4.0,0.0,0.0,4,4,6.75
P1-abs,kcap=5,A2-B0-C2-r0,90212,500,0.8180013390014467,0.8093503930718559,0.46348729496648816,III,2.6207813712084596,724,2.896,12.0,0.914,12|9|6|5|4,500|308|211|153|133,4,0.404,0.234,7.64,1.48,5,5.0,0.0,0.0,5,5,7.64
P1-abs,kcap=5,A2-B0-C2-r1,90309,500,0.6345759745707976,0.5938146504509452,0.4242640678119285,I,1.6340078982975335,816,3.264,13.0,0.96,13|7|5|5|4,500|297|182|122|89,7,0.688,0.281,5.78,1.41,5,5.0,0.0,0.0,5,5,5.78
