rule_id,N,escala_b,dt,diam_real,giant_real,holon_real,n_aristas,n_triangulos,diam_null_topo,diam_null_topo_std,holon_null_valor,eje_A,eje_B,eje_C,clase_final
A2-B0-C2-r0,2000,1,0.01,1.0,0.869,0.6489069342308292,2479,78,19.0,0.816496581927726,1.5693341049954863,A2,B0,C2,intermedio (sin clase clara)
A2-B0-C2-r0,1263,2,0.04,13.0,0.8194774346793349,0.6489069342308292,1717,78,12.666666666666666,1.2472191299246471,1.5693341049954863,A2,B0,C2,intermedio (sin clase clara)
A2-B0-C2-r0,817,4,0.07,9.0,0.7380660954712362,0.6489069342308292,1273,78,9.0,0.816496581927726,1.5693341049954863,A2,B0,C2,intermedio (sin clase clara)
A2-B0-C2-r0,622,8,0.09,6.0,0.6591639871382636,0.6489069342308292,1062,78,6.666666666666667,0.4714045217910317,1.5693341049954863,A2,B0,C2,intermedio (sin clase clara)
A2-B0-C2-r0,488,16,0.11,5.0,0.569672131147541,0.6489069342308292,901,78,5.0,1e-09,1.5693341049954863,A2,B0,C2,intermedio (sin clase clara)
A2-B0-C2-r1,2000,1,0.01,13.0,0.973,0.4860429941260429,4078,75,10.666666666666666,0.4714045217910317,1.5759175587462673,A2,B0,C2,I
A2-B0-C2-r1,1167,2,0.06,8.0,0.9545844044558698,0.4860429941260429,3228,75,7.666666666666667,0.9428090425820633,1.5759175587462673,A2,B0,C2,I
A2-B0-C2-r1,710,4,0.1,6.0,0.9253521126760563,0.4860429941260429,2745,75,5.666666666666667,0.4714045217910317,1.5759175587462673,A2,B0,C2,I
A2-B0-C2-r1,498,8,0.13,5.0,0.893574297188755,0.4860429941260429,2466,75,4.666666666666667,0.4714045217910317,1.5759175587462673,A2,B0,C2,I
A2-B0-C2-r1,359,16,0.16,4.0,0.8523676880222841,0.4860429941260429,2113,75,4.0,1e-09,1.5759175587462673,A2,B0,C2,I
A2-B0-C2-r2,2000,1,0.02,16.0,0.9195,0.733457597721185,3057,84,14.666666666666666,0.4714045217910317,1.3386504631859013,A2,B0,C2,III
A2-B0-C2-r2,1222,2,0.05,10.0,0.8739770867430442,0.733457597721185,2253,84,9.666666666666666,0.4714045217910317,1.3386504631859013,A2,B0,C2,III
A2-B0-C2-r2,805,4,0.09,7.0,0.8099378881987578,0.733457597721185,1823,84,6.666666666666667,0.4714045217910317,1.3386504631859013,A2,B0,C2,III
A2-B0-C2-r2,582,8,0.12,5.0,0.7371134020618557,0.733457597721185,1572,84,5.333333333333333,0.4714045217910317,1.3386504631859013,A2,B0,C2,III
A2-B0-C2-r2,479,16,0.15,5.0,0.6805845511482255,0.733457597721185,1391,84,4.0,1e-09,1.3386504631859013,A2,B0,C2,III
A2-B0-C2-r3,2000,1,0.02,14.0,0.965,0.21405127044907357,3386,51,12.666666666666666,0.4714045217910317,1.3085915318802543,A2,B0,C2,I
A2-B0-C2-r3,1186,2,0.07,9.0,0.9443507588532883,0.21405127044907357,2556,51,9.333333333333334,0.9428090425820633,1.3085915318802543,A2,B0,C2,I
A2-B0-C2-r3,726,4,0.1,6.0,0.9104683195592287,0.21405127044907357,2094,51,6.333333333333333,0.4714045217910317,1.3085915318802543,A2,B0,C2,I
A2-B0-C2-r3,496,8,0.13,6.0,0.8689516129032258,0.21405127044907357,1821,51,5.0,1e-09,1.3085915318802543,A2,B0,C2,I
A2-B0-C2-r3,386,16,0.16,4.0,0.8316062176165803,0.21405127044907357,1606,51,4.0,1e-09,1.3085915318802543,A2,B0,C2,I
A2-B0-C2-r4,2000,1,0.03,15.0,0.9845,1.0054129937209575,4017,24,10.666666666666666,0.4714045217910317,1.614194344397587,A2,B0,C2,III
A2-B0-C2-r4,1170,2,0.08,10.0,0.9752136752136752,1.0054129937209575,3184,24,7.333333333333333,0.4714045217910317,1.614194344397587,A2,B0,C2,III
A2-B0-C2-r4,710,4,0.12,6.0,0.9591549295774648,1.0054129937209575,2711,24,6.0,1e-09,1.614194344397587,A2,B0,C2,III
A2-B0-C2-r4,479,8,0.15,5.0,0.9394572025052192,1.0054129937209575,2435,24,5.0,1e-09,1.614194344397587,A2,B0,C2,III
A2-B0-C2-r4,349,16,0.18,4.0,0.9169054441260746,1.0054129937209575,2100,24,4.0,1e-09,1.614194344397587,A2,B0,C2,III
A2-B0-C2-r5,2000,1,0.02,12.0,0.9695,0.7675757127095034,4026,117,12.0,0.816496581927726,1.4478079786894535,A2,B0,C2,I
A2-B0-C2-r5,1173,2,0.07,8.0,0.948849104859335,0.7675757127095034,3179,117,8.0,1e-09,1.4478079786894535,A2,B0,C2,I
