archivo,carpeta,N,E,cv_pi_r2a5,b_medio_r2a5,pi_r2,pi_r5,pi_max
A2-B0-C2-o3e-s573963-mem__s573963__mem__N2000.grafo.gz,O3E_memoria,2000,3361,0.7441,2.7564,2.408,20.148,41.867
A2-B0-C2-batch3-r60__s477649__unico__N2000.grafo.gz,F5B_40pares,2000,3068,0.7445,2.7607,2.163,18.5,35.371
A2-B0-C2-batch3-r60__s477649__orig__N2000.grafo.gz,O3B_rewiring,2000,3068,0.7445,2.7607,2.163,18.5,35.371
A2-B0-C2-r17__s273478__rewire__N2000.grafo.gz,O3B_rewiring,2000,3165,0.7452,2.8606,2.6,22.565,40.049
A2-B0-C2-batch3-r35__s475224__unico__N2000.grafo.gz,F5B_40pares,2000,3369,0.746,2.8436,2.579,22.292,40.188
A2-B0-C2-kbar-r36__s9317652__regla__N2000.grafo.gz,O3D_kcap,2000,3316,0.746,2.7987,2.388,20.562,40.867
A2-B0-C2-kbar-r21__s9316197__regla__N2000.grafo.gz,O3D_kcap,2000,3330,0.7464,2.8019,2.408,20.46,40.879
A2-B0-C2-batch3-r21__s473866__unico__N2000.grafo.gz,F5B_40pares,2000,3308,0.7467,2.8252,2.529,21.762,40.656
A2-B0-C2-batch3-r23__s474060__unico__N2000.grafo.gz,F5B_40pares,2000,3169,0.7468,2.8245,2.721,23.722,37.811
A2-B0-C2-batch3-r76__s479201__unico__N2000.grafo.gz,F5B_40pares,2000,3332,0.7471,2.8491,2.633,22.68,39.27
A2-B0-C2-batch4-r28__s574545__unico__N2000.grafo.gz,F5B_40pares,2000,3220,0.7471,2.8042,2.525,21.547,38.055
A2-B0-C2-mec-r4__s90600__c3-elastico-soporte__N2000.grafo.gz,O3C_factorial,2000,5022,0.7475,3.8951,6.179,85.655,85.655
A2-B0-C2-batch3-r120__s483469__unico__N2000.grafo.gz,F5B_40pares,2000,3396,0.7476,2.8229,2.658,22.853,40.593
A2-B0-C2-mec-r9__s91085__c3-elastico-soporte__N2000.grafo.gz,O3C_factorial,2000,5164,0.7477,3.9721,6.225,90.357,90.357
A2-B0-C2-batch4-r41__s575806__unico__N2000.grafo.gz,F5B_40pares,2000,3391,0.7481,2.7881,2.583,21.897,42.046
A2-B0-C2-batch3-r107__s482208__unico__N2000.grafo.gz,F5B_40pares,2000,3248,0.7483,2.8699,2.521,22.192,38.012
A2-B0-C2-kbar-r15__s9315615__regla__N2000.grafo.gz,O3D_kcap,2000,3123,0.7484,2.8355,2.525,22.065,35.877
A2-B0-C2-batch3-r10__s472799__unico__N2000.grafo.gz,F5B_40pares,2000,3126,0.7486,2.7796,2.408,20.255,37.643
A2-B0-C2-batch4-r57__s577358__unico__N2000.grafo.gz,F5B_40pares,2000,3343,0.7487,2.8572,2.746,24.15,41.433
A2-B0-C2-mec-r5__s90697__c1-rigido-soporte__N2000.grafo.gz,O3C_factorial,2000,4879,0.7493,3.828,6.129,85.733,85.733
A2-B0-C2-mec-r4__s90600__c4-elastico-azar__N2000.grafo.gz,O3C_factorial,2000,5012,0.75,3.8697,6.229,87.42,87.42
A2-B0-C2-r14__s273187__unico__N2000.grafo.gz,F5B_40pares,2000,3296,0.7502,2.8223,2.446,21.565,39.942
A2-B0-C2-r14__s273187__orig__N2000.grafo.gz,O3B_rewiring,2000,3296,0.7502,2.8223,2.446,21.565,39.942
A2-B0-C2-o3e-s577261-mem__s577261__mem__N2000.grafo.gz,O3E_memoria,2000,3249,0.7507,2.8475,2.688,24.145,37.8
A2-B0-C2-batch4-r56__s577261__unico__N2000.grafo.gz,OUT_pendNEG,2000,3249,0.7507,2.8475,2.688,24.145,37.8
A2-B0-C2-batch4-r12__s572993__unico__N2000.grafo.gz,F5B_40pares,2000,3340,0.7511,2.8541,2.562,22.633,39.504
A2-B0-C2-kbar-r25__s9316585__regla__N2000.grafo.gz,O3D_kcap,2000,3244,0.7513,2.8236,2.5,21.722,38.225
A2-B0-C2-batch4-r26__s574351__unico__N2000.grafo.gz,F5B_40pares,2000,3308,0.752,2.8515,2.479,21.453,40.02
A2-B0-C2-r6__s272411__unico__N2000.grafo.gz,F5B_40pares,2000,3381,0.752,2.8466,2.696,23.922,42.081
A2-B0-C2-o3e-s478716-nomem__s478716__nomem__N2000.grafo.gz,O3E_memoria,2000,3096,0.752,2.8553,2.429,22.17,35.652
A2-B0-C2-batch4-r31__s574836__unico__N2000.grafo.gz,F5B_40pares,2000,3332,0.7524,2.8506,2.533,22.207,40.198
A2-B0-C2-batch3-r26__s474351__unico__N2000.grafo.gz,F5B_40pares,2000,3258,0.7536,2.8349,2.562,22.493,37.517
A2-B0-C2-batch3-r31__s474836__unico__N2000.grafo.gz,F5B_40pares,2000,3234,0.7558,2.8324,2.454,21.592,38.895
A2-B0-C2-batch4-r72__s578813__unico__N2000.grafo.gz,F5B_40pares,2000,3337,0.7564,2.9185,2.837,25.702,40.613
A2-B0-C2-r17__s273478__unico__N2000.grafo.gz,F5B_40pares,2000,3165,0.7565,2.8049,2.546,22.407,37.188
A2-B0-C2-r17__s273478__orig__N2000.grafo.gz,O3B_rewiring,2000,3165,0.7565,2.8049,2.546,22.407,37.188
A2-B0-C2-o3e-s577261-nomem__s577261__nomem__N2000.grafo.gz,O3E_memoria,2000,3296,0.7568,2.8594,2.487,22.372,36.837
A2-B0-C2-batch3-r143__s485700__unico__N2000.grafo.gz,F5B_40pares,2000,3349,0.7583,2.9002,2.883,26.645,42.363
A2-B0-C2-batch3-r104__s481917__unico__N2000.grafo.gz,F5B_40pares,2000,3344,0.759,2.8195,2.346,21.085,41.736
A2-B0-C2-batch3-r86__s480171__unico__N2000.grafo.gz,F5B_40pares,2000,3407,0.7592,2.8463,2.583,23.598,39.093
A2-B0-C2-batch4-r62__s577843__unico__N2000.grafo.gz,F5B_40pares,2000,3299,0.7595,2.8757,2.529,23.102,37.462
A2-B0-C2-batch4-r62__s577843__orig__N2000.grafo.gz,O3B_rewiring,2000,3299,0.7595,2.8757,2.529,23.102,37.462
A2-B0-C2-batch3-r70__s478619__unico__N2000.grafo.gz,F5B_40pares,2000,3398,0.7605,2.9175,2.771,25.83,42.046
A2-B0-C2-o3e-s573963-nomem__s573963__nomem__N2000.grafo.gz,O3E_memoria,2000,3443,0.7609,2.8328,2.592,23.013,42.669
CONTROL-ER-HIST-ic_masaFija_N2000_s1__sNone__control_historico__N2000.grafo.gz,O3D_control_hist,2000,4945,0.7612,3.8018,5.938,85.595,85.595
A2-B0-C2-o3e-s484633-mem__s484633__mem__N2000.grafo.gz,O3E_memoria,2000,3273,0.763,2.888,2.596,24.075,39.44
A2-B0-C2-batch4-r23__s574060__unico__N2000.grafo.gz,F5B_40pares,2000,3393,0.7636,2.8611,2.675,24.67,40.762
A2-B0-C2-o3e-s576679-mem__s576679__mem__N2000.grafo.gz,O3E_memoria,2000,3366,0.7647,2.8756,2.604,23.36,39.924
CONTROL-ER-HIST-ic_masaFija_N2000_s2__sNone__control_historico__N2000.grafo.gz,O3D_control_hist,2000,4945,0.7659,3.9259,5.792,87.055,87.055
A2-B0-C2-o3e-s576679-nomem__s576679__nomem__N2000.grafo.gz,O3E_memoria,2000,3427,0.7675,2.8882,2.842,26.525,42.783
A2-B0-C2-mec-r5__s90697__c4-elastico-azar__N2000.grafo.gz,O3C_factorial,2000,4697,0.7681,3.8744,5.708,82.8,82.8
A2-B0-C2-batch4-r43__s576000__unico__N4000.grafo.gz,O3A_N4000,4000,6451,0.7684,2.7994,2.354,20.767,68.959
A2-B0-C2-batch3-r108__s482305__unico__N4000.grafo.gz,O3A_N4000,4000,6448,0.7688,2.804,2.271,20.27,68.088
A2-B0-C2-mec-r5__s90697__c2-rigido-azar__N2000.grafo.gz,O3C_factorial,2000,4869,0.7688,3.8698,5.9,87.275,87.275
A2-B0-C2-batch3-r112__s482693__unico__N4000.grafo.gz,O3A_N4000,4000,6574,0.7715,2.8504,2.413,21.755,70.854
A2-B0-C2-kbar-r22__s9316294__regla__N2000.grafo.gz,O3D_kcap,2000,4767,0.7743,3.6571,5.838,79.892,79.892
A2-B0-C2-o3e-s484633-nomem__s484633__nomem__N2000.grafo.gz,O3E_memoria,2000,3325,0.7744,2.9306,2.688,26.11,41.876
A2-B0-C2-mec-r6__s90794__c1-rigido-soporte__N2000.grafo.gz,O3C_factorial,2000,3315,0.7745,3.3669,3.683,43.983,45.536
A2-B0-C2-o3e-s588998-nomem__s588998__nomem__N2000.grafo.gz,O3E_memoria,2000,5025,0.7748,3.7492,6.0,86.023,86.023
A2-B0-C2-batch3-r12__s472993__unico__N4000.grafo.gz,O3A_N4000,4000,6713,0.7778,2.8495,2.513,22.84,71.765
A2-B0-C2-batch4-r10__s572799__unico__N4000.grafo.gz,O3A_N4000,4000,6087,0.7781,2.8944,2.642,24.017,67.054
A2-B0-C2-mec-r0__s90212__c1-rigido-soporte__N2000.grafo.gz,O3C_factorial,2000,3467,0.7792,3.4184,4.188,50.762,50.762
A2-B0-C2-mec-r3__s90503__c1-rigido-soporte__N2000.grafo.gz,O3C_factorial,2000,4850,0.7813,3.7863,5.787,86.017,86.017
A2-B0-C2-o3e-s584342-mem__s584342__mem__N2000.grafo.gz,O3E_memoria,2000,4892,0.7818,3.7222,5.508,80.313,80.313
