archivo,carpeta,N,E,cv_pi_r2a5,b_medio_r2a5,pi_r2,pi_r5,pi_max
A2-B0-C2-batch3-r5__s472314__unico__N2000.grafo.gz,F5B_40pares,2000,3981,0.817,3.3481,3.779,48.312,56.471
A2-B0-C2-mec-r0__s90212__c4-elastico-azar__N2000.grafo.gz,O3C_factorial,2000,3890,0.8172,3.3687,3.717,47.933,58.653
A2-B0-C2-batch3-r114__s482887__unico__N2000.grafo.gz,F5B_40pares,2000,3978,0.8177,3.3509,3.65,47.413,54.417
A2-B0-C2-mec-r3__s90503__c3-elastico-soporte__N2000.grafo.gz,O3C_factorial,2000,4364,0.8177,3.6488,4.438,66.003,66.003
A2-B0-C2-mec-r6__s90794__c3-elastico-soporte__N2000.grafo.gz,O3C_factorial,2000,4225,0.8179,3.5081,4.492,63.808,63.808
A2-B0-C2-kbar-r54__s9319398__regla__N2000.grafo.gz,O3D_kcap,2000,4093,0.8181,3.3399,3.992,51.145,59.69
A2-B0-C2-mec-r2__s90406__c2-rigido-azar__N2000.grafo.gz,O3C_factorial,2000,4267,0.8189,3.5615,4.546,63.402,63.402
A2-B0-C2-o3e-s575709-nomem__s575709__nomem__N2000.grafo.gz,O3E_memoria,2000,3833,0.8191,3.2158,3.354,40.522,56.2
A2-B0-C2-kbar-r3__s9314451__regla__N2000.grafo.gz,O3D_kcap,2000,3880,0.8197,3.2695,3.671,45.283,59.064
A2-B0-C2-mec-r8__s90988__c2-rigido-azar__N2000.grafo.gz,O3C_factorial,2000,4043,0.8203,3.5731,4.217,59.605,59.605
A2-B0-C2-batch4-r11__s572896__unico__N2000.grafo.gz,F5B_40pares,2000,3920,0.8204,3.3132,3.596,46.968,55.435
A2-B0-C2-kbar-r31__s9317167__regla__N2000.grafo.gz,O3D_kcap,2000,4403,0.8207,3.5949,4.675,68.455,68.455
A2-B0-C2-kbar-r35__s9317555__regla__N2000.grafo.gz,O3D_kcap,2000,4086,0.8208,3.3349,4.037,52.135,59.84
A2-B0-C2-batch3-r1__s471926__unico__N2000.grafo.gz,F5B_40pares,2000,4038,0.821,3.3321,3.688,47.277,58.539
A2-B0-C2-mec-r0__s90212__c2-rigido-azar__N2000.grafo.gz,O3C_factorial,2000,4379,0.8218,3.5566,4.608,66.858,66.858
A2-B0-C2-mec-r2__s90406__c4-elastico-azar__N2000.grafo.gz,O3C_factorial,2000,3867,0.8226,3.3201,3.504,44.76,55.976
A2-B0-C2-mec-r7__s90891__c4-elastico-azar__N2000.grafo.gz,O3C_factorial,2000,3873,0.8229,3.3881,3.621,47.985,55.978
A2-B0-C2-kbar-r14__s9315518__regla__N2000.grafo.gz,O3D_kcap,2000,3865,0.8233,3.2066,3.362,41.055,57.271
A2-B0-C2-r28__s374545__rewire__N2000.grafo.gz,O3B_rewiring,2000,3947,0.8241,3.3085,3.779,47.372,60.211
A2-B0-C2-mec-r7__s90891__c3-elastico-soporte__N2000.grafo.gz,O3C_factorial,2000,4303,0.8244,3.6096,4.383,64.987,64.987
A2-B0-C2-mec-r3__s90503__c4-elastico-azar__N2000.grafo.gz,O3C_factorial,2000,4005,0.8251,3.3964,3.929,54.618,58.025
