patch,seed,N,arm,k_local,D_max,d_s,delta_rel,n_ejes,PR,ejes_reales,holonomia,gigante,grado_medio,clustering,diam_fin,pasos
0,66100,2500,local,8,8,5.254,0.028,1,5.571,1,0.95,0.908,20.638,0.2222,5,20
0,66100,2500,sin_local,-1,8,5.259,0.05,1,5.24,1,1.031,0.911,48.062,0.0961,4,16
0,66100,2500,local_barajado,8,8,3.981,0.052,1,5.472,1,1.185,0.903,19.51,0.065,5,20
0,66100,2500,local_marco_congelado,8,8,5.913,0.029,0,7.969,0,0.874,0.898,20.67,0.2271,6,20
5,66115,2500,local,8,8,5.542,0.038,2,5.046,1,0.901,0.913,21.347,0.2287,5,20
5,66115,2500,sin_local,-1,8,5.493,0.045,1,5.193,1,0.886,0.921,53.106,0.0825,4,17
5,66115,2500,local_barajado,8,8,3.838,0.056,1,4.234,1,1.135,0.899,19.432,0.0582,5,20
5,66115,2500,local_marco_congelado,8,8,5.319,0.034,0,7.981,0,0.89,0.903,20.565,0.2245,5,20
4,66112,2500,local,8,8,3.734,0.038,1,5.373,1,1.043,0.906,20.733,0.2244,5,20
4,66112,2500,sin_local,-1,8,5.288,0.048,1,3.91,1,0.88,0.913,52.072,0.083,3,17
4,66112,2500,local_barajado,8,8,3.946,0.052,1,5.078,1,1.107,0.908,19.733,0.0727,5,20
4,66112,2500,local_marco_congelado,8,8,5.372,0.037,0,7.979,0,1.167,0.914,21.094,0.2305,5,20
2,66106,2500,local,8,8,5.189,0.039,1,5.122,1,0.845,0.916,21.077,0.2196,5,20
2,66106,2500,sin_local,-1,8,5.508,0.048,2,5.365,1,0.893,0.907,51.53,0.0932,4,17
2,66106,2500,local_barajado,8,8,3.933,0.053,2,4.55,1,1.167,0.921,20.05,0.0693,5,20
2,66106,2500,local_marco_congelado,8,8,4.857,0.041,0,7.972,0,0.998,0.906,20.67,0.2344,5,20
3,66109,2500,local,8,8,5.452,0.028,1,5.827,1,0.88,0.915,21.11,0.2259,4,20
3,66109,2500,sin_local,-1,8,5.284,0.039,1,2.949,1,0.842,0.912,51.162,0.0904,4,17
3,66109,2500,local_barajado,8,8,3.907,0.052,1,4.876,1,1.117,0.917,19.88,0.0633,5,20
3,66109,2500,local_marco_congelado,8,8,4.675,0.038,0,7.985,0,0.948,0.909,21.022,0.23,5,20
1,66103,2500,local,8,8,4.528,0.038,1,5.817,1,0.997,0.907,20.776,0.2226,6,20
1,66103,2500,sin_local,-1,8,4.679,0.042,1,4.596,1,0.956,0.917,52.832,0.0878,4,17
1,66103,2500,local_barajado,8,8,3.895,0.049,2,5.426,1,1.094,0.913,19.88,0.0627,5,20
1,66103,2500,local_marco_congelado,8,8,5.968,0.026,0,7.978,0,0.966,0.909,21.162,0.2184,4,20
6,66118,2500,local,8,8,6.095,0.03,1,5.245,1,1.009,0.912,21.371,0.2345,5,20
6,66118,2500,sin_local,-1,8,5.459,0.048,3,6.189,1,0.841,0.912,50.973,0.0864,4,17
6,66118,2500,local_barajado,8,8,3.92,0.043,1,3.498,1,1.065,0.91,19.632,0.0631,5,20
6,66118,2500,local_marco_congelado,8,8,5.916,0.031,0,7.968,0,1.005,0.911,21.301,0.2289,5,20
7,66121,2500,local,8,8,5.156,0.038,1,5.596,1,1.083,0.91,21.09,0.2142,5,20
7,66121,2500,sin_local,-1,8,5.395,0.047,1,4.994,1,0.868,0.913,52.136,0.0889,3,17
7,66121,2500,local_barajado,8,8,3.944,0.051,1,4.152,1,0.913,0.909,19.779,0.0667,5,20
7,66121,2500,local_marco_congelado,8,8,5.544,0.034,0,7.976,0,1.042,0.908,20.71,0.2131,5,20
9,66127,2500,local,8,8,6.341,0.033,1,6.215,1,0.872,0.91,21.426,0.2313,5,20
9,66127,2500,sin_local,-1,8,5.419,0.04,2,4.937,1,1.083,0.911,52.035,0.0814,4,17
9,66127,2500,local_barajado,8,8,3.872,0.053,1,5.248,1,1.105,0.908,19.667,0.0667,5,20
9,66127,2500,local_marco_congelado,8,8,5.149,0.045,0,7.98,0,1.119,0.92,21.165,0.2167,5,20
8,66124,2500,local,8,8,5.953,0.034,1,6.046,1,0.888,0.913,21.096,0.2242,5,20
8,66124,2500,sin_local,-1,8,4.347,0.052,2,4.775,1,0.874,0.906,52.266,0.082,4,17
8,66124,2500,local_barajado,8,8,3.99,0.054,1,5.57,1,1.032,0.905,19.654,0.0596,5,20
8,66124,2500,local_marco_congelado,8,8,4.023,0.036,0,7.977,0,1.072,0.911,20.867,0.2411,5,20
10,66130,2500,local,8,8,5.639,0.036,1,5.532,1,0.942,0.908,21.152,0.2172,4,20
10,66130,2500,sin_local,-1,8,5.443,0.041,1,3.688,1,0.793,0.898,50.266,0.0865,3,17
10,66130,2500,local_barajado,8,8,3.938,0.052,1,4.239,1,1.049,0.906,19.674,0.0601,5,20
10,66130,2500,local_marco_congelado,8,8,5.718,0.031,0,7.982,0,0.863,0.916,21.114,0.2121,1,20
11,66133,2500,local,8,8,5.528,0.041,1,4.761,1,0.881,0.912,21.008,0.209,5,20
11,66133,2500,sin_local,-1,8,5.35,0.048,1,5.37,1,0.917,0.906,51.885,0.0778,4,17
11,66133,2500,local_barajado,8,8,3.924,0.053,2,5.074,1,1.078,0.914,19.814,0.0588,5,20
11,66133,2500,local_marco_congelado,8,8,5.589,0.026,0,7.974,0,0.928,0.92,21.341,0.2214,1,20
12,66136,2500,local,8,8,5.273,0.045,1,5.264,1,0.97,0.908,20.928,0.2218,5,20
12,66136,2500,sin_local,-1,8,5.471,0.041,2,5.218,1,0.993,0.905,51.139,0.0994,3,17
12,66136,2500,local_barajado,8,8,3.95,0.052,2,4.526,1,1.021,0.915,19.914,0.0607,5,20
12,66136,2500,local_marco_congelado,8,8,4.049,0.037,0,7.978,0,1.0,0.912,21.037,0.2321,5,20
15,66145,2500,local,8,8,4.575,0.033,1,5.318,1,0.954,0.91,20.858,0.2269,6,20
15,66145,2500,sin_local,-1,8,5.139,0.047,1,5.28,1,0.941,0.918,48.07,0.103,4,16
15,66145,2500,local_barajado,8,8,3.563,0.052,1,4.326,1,1.097,0.912,19.875,0.063,5,20
15,66145,2500,local_marco_congelado,8,8,6.055,0.028,0,7.975,0,1.042,0.918,21.234,0.2279,5,20
16,66148,2500,local,8,8,5.69,0.034,1,4.947,1,0.747,0.903,21.008,0.2398,5,20
16,66148,2500,sin_local,-1,8,5.323,0.052,1,4.742,1,0.902,0.909,51.206,0.0886,4,17
16,66148,2500,local_barajado,8,8,3.808,0.055,2,5.164,1,1.076,0.896,19.405,0.0644,5,20
16,66148,2500,local_marco_congelado,8,8,5.457,0.023,0,7.98,0,0.926,0.915,20.832,0.2317,5,20
13,66139,2500,local,8,8,5.198,0.025,1,5.19,1,0.872,0.922,21.042,0.234,5,20
13,66139,2500,sin_local,-1,8,5.43,0.047,1,4.912,1,0.951,0.91,52.117,0.0909,4,17
13,66139,2500,local_barajado,8,8,3.951,0.052,1,5.382,1,1.038,0.913,19.878,0.064,5,20
13,66139,2500,local_marco_congelado,8,8,5.394,0.035,0,7.978,0,0.96,0.913,20.973,0.2311,6,20
14,66142,2500,local,8,8,5.693,0.038,1,4.916,1,1.099,0.917,21.186,0.2366,5,20
14,66142,2500,sin_local,-1,8,5.028,0.049,1,5.683,1,0.932,0.919,53.166,0.0884,4,17
14,66142,2500,local_barajado,8,8,3.966,0.053,2,4.745,1,1.207,0.908,19.738,0.0616,5,20
14,66142,2500,local_marco_congelado,8,8,6.16,0.026,0,7.981,0,1.154,0.901,20.909,0.231,4,20
17,66151,2500,local,8,8,5.809,0.03,2,5.785,1,0.878,0.912,20.691,0.2232,5,20
17,66151,2500,sin_local,-1,8,5.506,0.048,1,3.48,1,0.965,0.899,51.032,0.0916,3,17
17,66151,2500,local_barajado,8,8,3.862,0.053,2,5.813,1,1.118,0.919,20.01,0.0729,5,20
17,66151,2500,local_marco_congelado,8,8,5.095,0.045,0,7.974,0,1.159,0.911,20.81,0.2086,5,20
19,66157,2500,local,8,8,5.394,0.026,1,5.322,1,0.952,0.918,21.238,0.225,5,20
19,66157,2500,sin_local,-1,8,5.172,0.046,1,5.085,1,0.949,0.904,51.08,0.0796,3,17
19,66157,2500,local_barajado,8,8,3.977,0.052,1,3.894,1,1.212,0.92,19.95,0.0628,5,20
19,66157,2500,local_marco_congelado,8,8,5.364,0.037,0,7.976,0,1.002,0.914,21.034,0.2267,5,20
18,66154,2500,local,8,8,5.88,0.028,3,5.891,1,0.966,0.901,20.816,0.2296,5,20
18,66154,2500,sin_local,-1,8,5.279,0.04,1,5.237,1,0.914,0.91,52.896,0.0841,3,17
18,66154,2500,local_barajado,8,8,3.864,0.056,1,3.944,1,1.087,0.908,19.77,0.0651,5,20
18,66154,2500,local_marco_congelado,8,8,5.241,0.03,0,7.983,0,1.017,0.908,20.773,0.2195,5,20
22,66166,2500,local,8,8,5.628,0.031,1,5.262,1,1.038,0.903,20.453,0.205,5,20
22,66166,2500,sin_local,-1,8,5.222,0.04,2,5.512,1,0.935,0.916,48.312,0.1019,4,16
22,66166,2500,local_barajado,8,8,3.645,0.053,1,5.213,1,1.084,0.913,19.806,0.0626,5,20
22,66166,2500,local_marco_congelado,8,8,5.429,0.041,0,7.983,0,0.962,0.915,21.381,0.2186,5,20
20,66160,2500,local,8,8,5.48,0.027,2,5.73,1,0.991,0.914,20.902,0.2305,5,20
20,66160,2500,sin_local,-1,8,4.192,0.046,1,5.376,1,0.849,0.908,51.499,0.0825,4,17
20,66160,2500,local_barajado,8,8,3.849,0.054,2,5.042,1,0.997,0.904,19.477,0.0654,5,20
20,66160,2500,local_marco_congelado,8,8,5.844,0.028,0,7.974,0,1.035,0.909,21.123,0.229,5,20
23,66169,2500,local,8,8,4.925,0.042,1,5.689,1,0.907,0.902,20.808,0.2083,5,20
23,66169,2500,sin_local,-1,8,4.929,0.045,2,4.405,1,0.806,0.911,52.238,0.0855,4,17
23,66169,2500,local_barajado,8,8,3.882,0.055,1,4.604,1,1.162,0.917,19.842,0.064,5,20
23,66169,2500,local_marco_congelado,8,8,5.778,0.024,0,7.979,0,0.999,0.907,21.19,0.2196,2,20
21,66163,2500,local,8,8,5.066,0.027,1,5.702,1,0.898,0.91,20.851,0.2189,5,20
21,66163,2500,sin_local,-1,8,5.461,0.045,1,3.547,1,1.006,0.917,52.597,0.0871,4,17
21,66163,2500,local_barajado,8,8,3.859,0.051,2,5.242,1,1.042,0.912,19.835,0.0593,5,20
21,66163,2500,local_marco_congelado,8,8,5.81,0.023,0,7.978,0,0.894,0.905,21.285,0.2293,5,20
