metric,exponente,prefactor,null_exp
excess_L2,-0.005630911608165102,0.37024618604336285,-0.5
excess_max,-0.07179223490537405,0.24422266633803183,-0.5
orden_excess,0.027162476905140787,0.5108882762152456,-0.5
