rule_id,seed,lote,brazo,N,layout,theta,seed_layout,n_aristas,n_triangulos,T_objetivo,dif_max_triangulos,clustering_local,transitividad,gigante,frac_aristas_multi_tri,gini_tri_nodo,pendiente_corr,frac_masa,kappa_v,n_sumideros,t_primer_sumidero,masa_acretada,dump_final,t_layout_ic_s,grafo_sha256,carpeta
A2-B0-C2-batch3-r111,482596,471828,solap,4000,layout_resortes_N2_exacto,,12345,6171,255,255,0,0.026416666666666668,0.041924699950676825,3676,0.9139784946236559,0.9736990196078431,0.8806962703922969,0.17974999999999988,0.3809160305343513,30,0.003,3379.2999999999997,cosmog_00500,1358.35,5567e1b190898e60eae0e089ff739c33f2ac4c34180488c015f5759223b6219f,A2-B0-C2-batch3-r111_s482596_f703_solap
A2-B0-C2-batch3-r111,482596,471828,disj,4000,layout_resortes_N2_exacto,,12345,6171,255,255,0,0.049708333333333334,0.041924699950676825,3701,0.0,0.8208415032679739,0.7353471750225342,0.18324999999999989,0.3741935483870965,35,0.006,3445.1000000000013,cosmog_00500,880.28,6a6835f1fb21c8331a6b0cd683df13c1bc7255e4f5bb1ae0f36a5656f10a23db,A2-B0-C2-batch3-r111_s482596_f703_disj
A2-B0-C2-batch3-r60,477649,471828,solap,4000,layout_resortes_N2_exacto,,12345,6265,295,295,0,0.03396666666666666,0.04753719718536821,3702,0.9044776119402985,0.9682477401129943,0.9368172965709124,0.1812499999999999,0.43188854489164097,31,0.003,3407.5,cosmog_00500,1599.28,bd42b8349bd2fcf8de11f25500e1a3ee40847867cce2fd6042c354368b052924,A2-B0-C2-batch3-r60_s477649_f703_solap
A2-B0-C2-batch3-r60,477649,471828,disj,4000,layout_resortes_N2_exacto,,12345,6265,295,295,0,0.055425,0.04753719718536821,3731,0.0,0.7941714689265537,0.7527762681406897,0.16799999999999987,0.34349919743178203,28,0.005,3158.4,cosmog_00500,896.67,b5254c3de2dbb96bc5e5d7a21c71f23519139bd15a6f9bea03300f31484908b8,A2-B0-C2-batch3-r60_s477649_f703_disj
A2-B0-C2-batch4-r10,572799,571828,solap,4000,layout_resortes_N2_exacto,,12345,6087,191,191,0,0.022375,0.03219462860995617,3646,0.8947368421052632,0.9786967713787086,0.8448782134611381,0.16924999999999987,0.4454976303317536,24,0.001,3181.9000000000005,cosmog_00500,1353.55,6475f824f226e12fc311dbd47e15a95523b9dec3af4065d11d57b4eed1a68d7e,A2-B0-C2-batch4-r10_s572799_f703_solap
A2-B0-C2-batch4-r10,572799,571828,disj,4000,layout_resortes_N2_exacto,,12345,6087,191,191,0,0.03903333333333333,0.03219462860995617,3697,0.0,0.8631025305410123,0.7178510376213405,0.18299999999999988,0.32242990654205594,37,0.003,3440.4,cosmog_00500,874.14,f73321e4b75ed56f3353ff14b43933ac9e15b10dfedb39a66f61b4c86d74fad8,A2-B0-C2-batch4-r10_s572799_f703_disj
A2-B0-C2-batch4-r36,575321,571828,solap,4000,layout_resortes_N2_exacto,,12345,4586,60,60,0,0.012874999999999998,0.018240778273206325,3424,0.5504587155963303,0.9872194444444444,0.9327549823844926,0.28724999999999984,0.24439197166469898,81,0.0,5400.299999999998,cosmog_00500,1382.54,d59547ef35634bf1f00f0a66a76634d5ace5d9be9aae38a8243c7426ddcd4c52,A2-B0-C2-batch4-r36_s575321_f703_solap
A2-B0-C2-batch4-r36,575321,571828,disj,4000,layout_resortes_N2_exacto,,12345,4586,60,60,0,0.017208333333333336,0.018240778273206325,3457,0.0,0.9559888888888889,1.0778312607199618,0.2709999999999998,0.26885043263288017,70,0.002,5094.800000000003,cosmog_00500,867.05,e4c96224f400b11d8e1b2e59651e5b90ee74e661a9494a7cdd07d283f83bb662,A2-B0-C2-batch4-r36_s575321_f703_disj
A2-B0-C2-batch4-r62,577843,571828,solap,4000,layout_resortes_N2_exacto,,12345,6703,285,285,0,0.03258333333333334,0.04290230317627578,3831,0.8905775075987842,0.9691365497076023,0.7553872401340865,0.15749999999999992,0.449355432780847,30,0.004,2961.0,cosmog_00500,1314.98,3926d0855936f3d9f8624042ab827312cef9763e5b1caa2b0971a3d68a6f2e88,A2-B0-C2-batch4-r62_s577843_f703_solap
A2-B0-C2-batch4-r62,577843,571828,disj,4000,layout_resortes_N2_exacto,,12345,6703,285,285,0,0.05434166666666666,0.04290230317627578,3858,0.0,0.7983845029239766,0.6744437223356847,0.16224999999999992,0.4030131826741996,37,0.0,3050.3,cosmog_00500,889.47,e19ce8b46249b9560c012df2ea294c5babd26d601da465ff02d8a2964666b296,A2-B0-C2-batch4-r62_s577843_f703_disj
A2-B0-C2-r14,273187,271828,solap,4000,layout_resortes_N2_exacto,,12345,6696,112,112,0,0.012199999999999999,0.01695685087055261,3855,0.9016393442622951,0.9885907738095238,0.7213621325547096,0.13299999999999992,0.40298507462686556,19,0.006,2500.400000000001,cosmog_00500,878.79,eb34abb1d301f0980532273a239ec64933b1e902d148c9e7d18562dfc1808d9b,A2-B0-C2-r14_s273187_f703_solap
A2-B0-C2-r14,273187,271828,disj,4000,layout_resortes_N2_exacto,,12345,6696,112,112,0,0.021266666666666666,0.01695685087055261,3882,0.0,0.916498511904762,0.625793332599268,0.14674999999999994,0.42526315789473684,29,0.004,2758.9,cosmog_00500,1462.12,4c10bbb49331643bba43ace60829bd54174cefe0036a95a03231ea51afa72e33,A2-B0-C2-r14_s273187_f703_disj
A2-B0-C2-r17,273478,271828,solap,4000,layout_resortes_N2_exacto,,12345,6332,202,202,0,0.024349999999999997,0.0318377640012609,3702,0.8410041841004184,0.9773745874587458,0.8297900906396173,0.17174999999999987,0.36838006230529624,30,0.001,3228.9,cosmog_00500,1594.96,3ca060e5cc977af72cdf31e2d88dbabc50f9be1e11248473555abb14241927d1,A2-B0-C2-r17_s273478_f703_solap
A2-B0-C2-r17,273478,271828,disj,4000,layout_resortes_N2_exacto,,12345,6332,202,202,0,0.03839999999999999,0.0318377640012609,3724,0.0,0.8558143564356435,0.7623940247047517,0.1687499999999999,0.49246231155778886,29,0.003,3172.5000000000014,cosmog_00500,890.73,605de22370cdebd14bbd704b303b1e0f6ba2efdb96b19ebcfbace3bd5dce5aef,A2-B0-C2-r17_s273478_f703_disj
A2-B0-C2-r19,273672,271828,solap,4000,layout_resortes_N2_exacto,,12345,7337,1322,1322,0,0.1091154761904762,0.15418108307740155,3810,0.892433234421365,0.9016467473524962,0.6955933598144887,0.1674999999999999,0.32576985413290105,28,0.006,3149.0,cosmog_00500,1552.98,9370817e70564c1ca035f0c4066451fcac5c083c909337f4608a96ba92cb2890,A2-B0-C2-r19_s273672_f703_solap
A2-B0-C2-r19,273672,271828,disj,4000,layout_resortes_N2_exacto,,12345,7337,1322,1322,0,0.24451904761904764,0.15418108307740155,3873,0.0,0.3599170448814927,0.6289145065874534,0.17474999999999988,0.38219895287958117,36,0.004,3285.300000000001,cosmog_00500,807.87,4e2c57f15da2be2a0369653f3734952edf2eeb863aa40f666487f11793853c81,A2-B0-C2-r19_s273672_f703_disj
A2-B0-C2-r20,373769,371828,solap,4000,layout_resortes_N2_exacto,,12345,7550,676,676,0,0.06051666666666666,0.07777863005292629,3865,0.8961218836565097,0.9411580374753452,0.7627099986405131,0.14049999999999987,0.498091603053435,18,0.004,2641.3999999999996,cosmog_00500,1561.41,9566f83120c5619933823f3a5b17708cc828097384b17229aeb39f0f04201898,A2-B0-C2-r20_s373769_f703_solap
A2-B0-C2-r20,373769,371828,disj,4000,layout_resortes_N2_exacto,,12345,7550,676,676,0,0.11682499999999998,0.07777863005292629,3903,0.0,0.5755973865877712,0.6164686519069283,0.11849999999999994,0.37341772151898733,17,0.006,2227.8,cosmog_00500,793.62,c4ae1d0c517118dfe727678e258917f9beb0c2200db347f7c0017a493b6fbda7,A2-B0-C2-r20_s373769_f703_disj
