N,seed,mode,n_surv,f_surv,tau,orden_color,frac_quark,frac_gluon,L2_K8,meff_K8,null_L2_K8,ratio_L2_K8,grain_K8,L2_K12,meff_K12,null_L2_K12,ratio_L2_K12,grain_K12,L2_K20,meff_K20,null_L2_K20,ratio_L2_K20,grain_K20
250,1,qcd,200,0.8,240,0.0,0.5,0.5,0.014142135623730963,0.998402555910543,0.09354143466934854,0.15118578920369102,0.35355339059327373,0.2046134567096374,0.665601703940362,0.09574271077563382,2.13711785526038,0.2886751345948129,0.11224972160321824,0.7987220447284346,0.06892024376045111,1.6286901420919107,0.22360679774997896
250,1,shuffle_b,200,0.8,240,0.0,0.5,0.5,0.014142135623730963,0.998402555910543,0.09354143466934854,0.15118578920369102,0.35355339059327373,0.2703084657695106,0.5328218243819267,0.09574271077563382,2.823279846368244,0.2886751345948129,0.14282856857085702,0.7102272727272727,0.06892024376045111,2.0723746867073203,0.22360679774997896
250,1,shuffle_g,200,0.8,240,0.0,0.5,0.5,0.014142135623730963,0.998402555910543,0.09354143466934854,0.15118578920369102,0.35355339059327373,0.2046134567096374,0.665601703940362,0.09574271077563382,2.13711785526038,0.2886751345948129,0.11224972160321824,0.7987220447284346,0.06892024376045111,1.6286901420919107,0.22360679774997896
250,2,qcd,175,0.7,240,0.34210526315789475,0.4342857142857143,0.5657142857142857,0.019883858267706587,0.996847030105777,0.09401267913629437,0.2115018787931793,0.35355339059327373,0.28907468514533474,0.4993084370677731,0.10982442127674485,2.6321530474255805,0.2886751345948129,0.146997153936075,0.6982444140446876,0.07367883976130073,1.9951067960937703,0.22360679774997896
250,2,shuffle_b,175,0.7,240,0.34210526315789475,0.4342857142857143,0.5657142857142857,0.019883858267706587,0.996847030105777,0.09401267913629437,0.2115018787931793,0.35355339059327373,0.38331426344633135,0.3619047619047619,0.10982442127674485,3.490246149173176,0.2886751345948129,0.1831916583075479,0.598378272762798,0.07367883976130073,2.4863537333247745,0.22360679774997896
250,2,shuffle_g,175,0.7,240,0.34210526315789475,0.4342857142857143,0.5657142857142857,0.019883858267706587,0.996847030105777,0.09401267913629437,0.2115018787931793,0.35355339059327373,0.28907468514533474,0.4993084370677731,0.10982442127674485,2.6321530474255805,0.2886751345948129,0.14699715393607501,0.6982444140446876,0.07367883976130073,1.9951067960937707,0.22360679774997896
250,3,qcd,152,0.608,240,0.7072326344902382,0.34868421052631576,0.6513157894736842,0.019883858267706587,0.996847030105777,0.09401267913629437,0.2115018787931793,0.35355339059327373,0.40944555529481863,0.33203309692671396,0.13151272746117285,3.113353081477998,0.2886751345948129,0.18359860771112238,0.5973112719751811,0.07905694150420949,2.322359102411601,0.22360679774997896
250,3,shuffle_b,175,0.7,240,0.34210526315789475,0.4342857142857143,0.5657142857142857,0.019883858267706587,0.996847030105777,0.09401267913629437,0.2115018787931793,0.35355339059327373,0.37693789824325263,0.3696876600102406,0.10982442127674485,3.4321865197305494,0.2886751345948129,0.18067899147157004,0.6049980244962465,0.07367883976130073,2.452250769107121,0.22360679774997896
250,3,shuffle_g,152,0.608,240,0.7072326344902382,0.34868421052631576,0.6513157894736842,0.019883858267706587,0.996847030105777,0.09401267913629437,0.2115018787931793,0.35355339059327373,0.40944555529481863,0.33203309692671396,0.13151272746117285,3.113353081477998,0.2886751345948129,0.18359860771112238,0.5973112719751811,0.07905694150420949,2.322359102411601,0.22360679774997896
250,4,qcd,153,0.612,240,0.7071067811865476,0.32679738562091504,0.673202614379085,0.021436312782349136,0.9963373403456048,0.09216911430120157,0.23257587907698576,0.35355339059327373,0.4087378948258489,0.332800851970181,0.13540064007726602,3.0187294136320455,0.2886751345948129,0.18330391338281624,0.598083801737353,0.07879816195062792,2.3262460550497086,0.22360679774997896
