N,seed,mode,n_surv,f_surv,tau,orden_color_init,orden_color,orden_amp,frac_quark,frac_lepton,L2_K6,null_L2_K6,ratio_L2_K6,L2_K12_q,ratio_L2_K12_q,L2_K12_l,ratio_L2_K12_l,L2_K12,null_L2_K12,ratio_L2_K12,L2_K24,null_L2_K24,ratio_L2_K24
250,1,qcd,127,0.508,240,0.004,0.2864021020389482,71.60050760961015,0.49606299212598426,0.5039370078740157,0.2896553585856295,0.14085904245475275,2.056349053193895,0.28932898624695536,2.398592660967417,0.2900812565759233,2.4238399287081642,0.2900812565759233,0.11967838846954226,2.4238399287081642,0.20486947212717635,0.08686732273145169,2.358418167905618
250,1,shuffle_b,127,0.508,240,0.004,0.2864021020389482,71.60050760961015,0.49606299212598426,0.5039370078740157,0.3335222442769951,0.11501092655705904,2.8999178970315365,0.4411013724314366,3.6568147850683346,0.2900812565759233,2.4238399287081642,0.2900812565759233,0.11967838846954226,2.4238399287081642,0.2631569021891256,0.08686732273145169,3.029411911342877
250,1,shuffle_l,126,0.504,240,0.004,0.28867513459481287,72.16876560651181,0.5,0.5,0.2896553585856295,0.14085904245475275,2.056349053193895,0.28932898624695536,2.398592660967417,0.290198496806067,2.4058010698889443,0.290198496806067,0.12062447740929098,2.4058010698889443,0.2048941371972315,0.08721135307871393,2.349397526401192
250,2,qcd,127,0.508,240,0.008944271909999158,0.29556416345076314,33.04507436488664,0.5118110236220472,0.4881889763779528,0.0,0.9128709291752769,0.0,0.2890165600655272,2.433737233777904,0.2892752914476259,2.3790384710888604,0.2892752914476259,0.12159336427848001,2.3790384710888604,0.20456661595105735,0.08686732273145169,2.3549317455479812
250,2,shuffle_b,127,0.508,240,0.008944271909999158,0.29556416345076314,33.04507436488664,0.5118110236220472,0.4881889763779528,0.408248290463863,0.15891043154093204,2.5690465157330262,0.2890165600655272,2.433737233777904,0.2892752914476259,2.3790384710888604,0.2892752914476259,0.12159336427848001,2.3790384710888604,0.20456661595105735,0.08686732273145169,2.3549317455479812
250,2,shuffle_l,128,0.512,240,0.008944271909999158,0.29325506842380406,32.78690972141096,0.5078125,0.4921875,0.0,0.9128709291752769,0.0,0.2890165600655272,2.433737233777904,0.2893289862469553,2.3985926609674166,0.2893289862469553,0.12062447740929098,2.3985926609674166,0.20452243662574857,0.08652733190539662,2.3636743688036073
250,3,qcd,129,0.516,240,0.014966629547095767,0.29559187542538945,19.750061611746556,0.5116279069767442,0.4883720930232558,0.030303030303030304,0.11236664374387367,0.26967994498529685,0.29026127364648513,2.462948578935285,0.290198496806067,2.4058010698889443,0.290198496806067,0.12062447740929098,2.4058010698889443,0.20533492187745203,0.08619130216254683,2.382316042635185
250,3,shuffle_b,129,0.516,240,0.014966629547095767,0.29559187542538945,19.750061611746556,0.5116279069767442,0.4883720930232558,0.030303030303030304,0.11236664374387367,0.26967994498529685,0.29026127364648513,2.462948578935285,0.290198496806067,2.4058010698889443,0.290198496806067,0.12062447740929098,2.4058010698889443,0.20533492187745203,0.08619130216254683,2.382316042635185
250,3,shuffle_l,128,0.512,240,0.014966629547095767,0.2979011869521503,19.904358968088324,0.515625,0.484375,0.030303030303030304,0.11236664374387367,0.26967994498529685,0.29026127364648513,2.462948578935285,0.2892752914476259,2.3790384710888604,0.2892752914476259,0.12159336427848001,2.3790384710888604,0.20511842361995017,0.08652733190539662,2.3705622154652057
250,4,qcd,126,0.504,240,0.00565685424949238,0.2841668855550501,50.23407406094577,0.49206349206349204,0.5079365079365079,0.28944687998240487,0.14256648712805026,2.030258904551879,0.2892752914476259,2.3790384710888604,0.2900812565759233,2.4238399287081642,0.2900812565759233,0.11967838846954226,2.4238399287081642,0.2048941371972315,0.08721135307871393,2.349397526401192
250,4,shuffle_b,126,0.504,240,0.00565685424949238,0.2841668855550501,50.23407406094577,0.49206349206349204,0.5079365079365079,0.28944687998240487,0.14256648712805026,2.030258904551879,0.2892752914476259,2.3790384710888604,0.2900812565759233,2.4238399287081642,0.2900812565759233,0.11967838846954226,2.4238399287081642,0.2048941371972315,0.08721135307871393,2.349397526401192
250,4,shuffle_l,126,0.504,240,0.00565685424949238,0.2841668855550501,50.23407406094577,0.49206349206349204,0.5079365079365079,0.28944687998240487,0.14256648712805026,2.030258904551879,0.2892752914476259,2.3790384710888604,0.2900812565759233,2.4238399287081642,0.2900812565759233,0.11967838846954226,2.4238399287081642,0.2048941371972315,0.08721135307871393,2.349397526401192
250,5,qcd,127,0.508,240,0.00565685424949238,0.2866184995779732,50.66746220944808,0.49606299212598426,0.5039370078740157,0.5773502691896258,0.19462473604038075,2.9664793948382657,0.2893289862469553,2.3985926609674166,0.2900812565759234,2.4238399287081647,0.2900812565759234,0.11967838846954226,2.4238399287081647,0.20486947212717632,0.08686732273145169,2.3584181679056178
250,5,shuffle_b,127,0.508,240,0.00565685424949238,0.28661849957797314,50.667462209448075,0.49606299212598426,0.5039370078740157,0.4567458593631162,0.14085904245475275,3.242573933511111,0.373015873015873,3.092372966310914,0.2900812565759234,2.4238399287081647,0.2900812565759234,0.11967838846954226,2.4238399287081647,0.23582096575521533,0.08686732273145169,2.7147258409730246
250,5,shuffle_l,126,0.504,240,0.00565685424949238,0.2888932495746237,51.06958492539607,0.5,0.5,0.5773502691896258,0.19462473604038075,2.9664793948382657,0.2893289862469553,2.3985926609674166,0.290198496806067,2.4058010698889443,0.290198496806067,0.12062447740929098,2.4058010698889443,0.2048941371972315,0.08721135307871393,2.349397526401192
