modelo,termino,n,r2,beta,se,p,vif,interpretable
M1 masa ~ dens,dens,254,0.8504678443580617,-0.8919064087088779,0.03148069252616856,2.873066637513112e-79,1.6237532952682074,si
M1 masa ~ dens,exp=O3A_N4000,254,0.8504678443580617,1.3827355922764342,0.08927947165656416,3.481434664333531e-38,1.2047270740980207,si
M1 masa ~ dens,exp=O3B_rewiring,254,0.8504678443580617,0.08036628478084841,0.09226215287299357,0.3845716665688587,1.198018429209198,si
M1 masa ~ dens,exp=O3C_factorial,254,0.8504678443580617,0.5308988631784143,0.08568729508538396,2.435703089373848e-09,1.821286728535175,si
M1 masa ~ dens,exp=O3D_control_hist,254,0.8504678443580617,0.5240669731491062,0.287211769943282,0.06926850149525718,1.060015597185135,si
M1 masa ~ dens,exp=O3D_kcap,254,0.8504678443580617,0.1821008781642296,0.07815558135661879,0.020620282229172174,1.2783053191232776,si
M1 masa ~ dens,exp=O3E_memoria,254,0.8504678443580617,0.14535214978994784,0.08508654254268559,0.08884984112871865,1.2404186255672969,si
M1 masa ~ dens,exp=OUT_pendNEG,254,0.8504678443580617,0.23241510612735808,0.12991446764603456,0.07485244677286335,1.1502473656536616,si
M2 masa ~ dens + geo,dens,254,0.8946155794291343,-3.0436010815582444,0.21446486048944144,9.814307866337289e-34,106.4941381001727,no
M2 masa ~ dens + geo,geo,254,0.8946155794291343,-2.1679326999232322,0.2144296689368451,2.689661353547137e-20,106.45919170779834,no
M2 masa ~ dens + geo,exp=O3A_N4000,254,0.8946155794291343,1.4723269576702278,0.07562455587433016,1.3975416585115224e-51,1.22149880324724,si
M2 masa ~ dens + geo,exp=O3B_rewiring,254,0.8946155794291343,-0.01800782554981661,0.07822021778978488,0.8181140436610591,1.2168478971181695,si
M2 masa ~ dens + geo,exp=O3C_factorial,254,0.8946155794291343,0.42678909336471305,0.07281359877204227,1.4813376489579683e-08,1.8584563818499935,si
M2 masa ~ dens + geo,exp=O3D_control_hist,254,0.8946155794291343,0.39028618568488826,0.24197005374801775,0.10804741772767991,1.0631950718366903,si
M2 masa ~ dens + geo,exp=O3D_kcap,254,0.8946155794291343,0.07596807628434836,0.06657874656196662,0.2549777745851669,1.310894537285595,si
M2 masa ~ dens + geo,exp=O3E_memoria,254,0.8946155794291343,0.013514268944887236,0.07275455628997313,0.8527939531561199,1.281589210255974,si
M2 masa ~ dens + geo,exp=OUT_pendNEG,254,0.8946155794291343,-0.06517687432418363,0.11318102982400861,0.5652378889011749,1.2336882196757417,si
M3 masa ~ dens + geo + pend,dens,217,0.9492914982717372,-2.7737689519119257,0.17941315655847453,2.095368737466864e-36,132.03562651297278,no
M3 masa ~ dens + geo + pend,geo,217,0.9492914982717372,-1.8825726140988144,0.16933447952415076,7.729892272103419e-23,117.61788093739875,no
M3 masa ~ dens + geo + pend,pend,217,0.9492914982717372,0.2609713301667487,0.052680952688443874,1.504645457357794e-06,11.383866566106255,no
M3 masa ~ dens + geo + pend,exp=O3B_rewiring,217,0.9492914982717372,0.009337249369125543,0.05497240856238175,0.8652905321284041,1.2249747958532182,si
M3 masa ~ dens + geo + pend,exp=O3C_factorial,217,0.9492914982717372,0.37261108297403345,0.05323350471861097,3.4715548788610615e-11,1.981463012151789,si
M3 masa ~ dens + geo + pend,exp=O3D_kcap,217,0.9492914982717372,0.06242794680216298,0.049598824878867326,0.20956483635087003,1.2744815479673641,si
M3 masa ~ dens + geo + pend,exp=O3E_memoria,217,0.9492914982717372,0.019498107086134222,0.05108733095770931,0.7031014918380116,1.2813222269103735,si
M3 masa ~ dens + geo + pend,exp=OUT_pendNEG,217,0.9492914982717372,1.2903313036013553,0.2501906581426505,5.820308609141014e-07,12.412839955434551,no
M4 masa ~ dens + geo + geo_cv + pend,dens,217,0.9493362173527243,-2.7664625713116604,0.18057749472074652,6.466317610468776e-36,133.2293719186788,no
M4 masa ~ dens + geo + geo_cv + pend,geo,217,0.9493362173527243,-1.8933266427276203,0.1715232921517279,1.4125590874245453e-22,120.20400590231695,no
M4 masa ~ dens + geo + geo_cv + pend,geo_cv,217,0.9493362173527243,-0.019162181210297457,0.04482931895045799,0.6694977152141413,8.211018219297562,reserva
M4 masa ~ dens + geo + geo_cv + pend,pend,217,0.9493362173527243,0.26069517227795863,0.05278871121480346,1.6197168167722382e-06,11.385571949532237,no
M4 masa ~ dens + geo + geo_cv + pend,exp=O3B_rewiring,217,0.9493362173527243,0.009130703836793493,0.05508284813328252,0.8685051672680452,1.225069070259661,si
M4 masa ~ dens + geo + geo_cv + pend,exp=O3C_factorial,217,0.9493362173527243,0.37182996442471516,0.05336969311307692,4.232533765473137e-11,1.9837888226515203,si
M4 masa ~ dens + geo + geo_cv + pend,exp=O3D_kcap,217,0.9493362173527243,0.062396333567249156,0.04969661165827023,0.21069638710989727,1.2744843705926572,si
M4 masa ~ dens + geo + geo_cv + pend,exp=O3E_memoria,217,0.9493362173527243,0.021636679049905853,0.05143191745419672,0.6744209230365148,1.2935628702641173,si
M4 masa ~ dens + geo + geo_cv + pend,exp=OUT_pendNEG,217,0.9493362173527243,1.2896833782732826,0.250688227758706,6.207157375751659e-07,12.413293796160508,no
M5 masa ~ dens + geo + pend + kcap,dens,217,0.9493063570420459,-2.7649881453384757,0.18331907194925706,3.5777075575757054e-35,137.22465376613758,no
M5 masa ~ dens + geo + pend + kcap,geo,217,0.9493063570420459,-1.88561472759423,0.17016690115430141,1.047526428839705e-22,118.24070869008158,no
M5 masa ~ dens + geo + pend + kcap,pend,217,0.9493063570420459,0.2619728426746171,0.052956626762277664,1.5579962510898941e-06,11.4513706248256,no
M5 masa ~ dens + geo + pend + kcap,kcap,217,0.9493063570420459,-0.01022389346344916,0.041506533010852935,0.805678534316888,7.034767708251972,reserva
M5 masa ~ dens + geo + pend + kcap,exp=O3B_rewiring,217,0.9493063570420459,0.010894886413374934,0.0554586609661977,0.8444502394252718,1.2411111245090523,si
M5 masa ~ dens + geo + pend + kcap,exp=O3C_factorial,217,0.9493063570420459,0.3629657099807011,0.06618157663622187,1.2023746380893815e-07,3.04876785142368,si
M5 masa ~ dens + geo + pend + kcap,exp=O3D_kcap,217,0.9493063570420459,0.06301420389852436,0.049768143019268414,0.20688048386130978,1.2774030189549062,si
M5 masa ~ dens + geo + pend + kcap,exp=O3E_memoria,217,0.9493063570420459,0.01906983987227135,0.05123258878616275,0.7101091794026022,1.2827996203397247,si
M5 masa ~ dens + geo + pend + kcap,exp=OUT_pendNEG,217,0.9493063570420459,1.2947450299414678,0.251396910058375,6.04422872771693e-07,12.476223183871364,no
M6 (sin dummies de experimento),dens,217,0.9256174881164705,-3.1761504101248867,0.18347708790170916,1.688129756498934e-42,96.3989803330308,no
M6 (sin dummies de experimento),geo,217,0.9256174881164705,-2.2552641237593734,0.18392385013488113,1.671684849254489e-26,96.86901022379648,no
M6 (sin dummies de experimento),pend,217,0.9256174881164705,0.007431431039723522,0.019162509912349256,0.6985432227418696,1.0515103411737168,si
M7 O3B: masa ~ dens + geo + clus,dens,24,0.977515714079361,-1.2725346000011901,0.2618077367571051,9.476727372625124e-05,60.96995142991005,no
M7 O3B: masa ~ dens + geo + clus,geo,24,0.977515714079361,-0.37033784873900827,0.25921418075187597,0.1685246102397673,59.76795682106971,no
M7 O3B: masa ~ dens + geo + clus,clus,24,0.977515714079361,0.18216787424659045,0.03654950126879688,7.128257093113193e-05,1.1882663720901665,si
M8 O3B: masa ~ dens + geo + pend + clus,dens,24,0.9809657014539538,-1.2835093550171934,0.2472144582894787,5.188289527357428e-05,61.00486322365959,no
M8 O3B: masa ~ dens + geo + pend + clus,geo,24,0.9809657014539538,-0.4995360544746913,0.25440698284827723,0.06438932778522714,64.60628651707037,no
M8 O3B: masa ~ dens + geo + pend + clus,pend,24,0.9809657014539538,0.1449092250987591,0.07808703254077268,0.07907077515344774,6.086597207098843,reserva
M8 O3B: masa ~ dens + geo + pend + clus,clus,24,0.9809657014539538,0.1501986694838144,0.03856407480298664,0.0009743526005461904,1.4845080513180313,si
