patch,seed,N,arm,k_local,D_max,d_s,delta_rel,n_ejes,PR,ejes_reales,holonomia,gigante,grado_medio,clustering,diam_fin,pasos
1,66103,3500,local,10,8,3.976,0.023,1,4.552,1,0.805,0.904,25.842,0.1699,4,20
1,66103,3500,sin_local,-1,8,5.651,0.043,1,4.702,1,1.012,0.905,51.805,0.0813,4,17
1,66103,3500,local_barajado,10,8,4.241,0.054,2,5.882,1,1.023,0.905,24.403,0.0508,5,20
1,66103,3500,local_marco_congelado,10,8,5.411,0.033,0,7.988,0,1.045,0.906,26.07,0.168,4,20
0,66100,3500,local,10,8,5.589,0.033,1,4.859,1,1.0,0.907,26.041,0.1715,4,20
0,66100,3500,sin_local,-1,8,5.719,0.045,1,5.601,1,0.875,0.912,51.915,0.0914,4,17
0,66100,3500,local_barajado,10,8,4.272,0.055,1,4.829,1,1.208,0.911,24.622,0.049,5,20
0,66100,3500,local_marco_congelado,10,8,5.425,0.04,0,7.978,0,1.034,0.912,26.001,0.1722,5,20
5,66115,3500,local,10,8,6.512,0.035,1,5.016,1,0.824,0.919,26.691,0.1777,4,20
5,66115,3500,sin_local,-1,8,5.672,0.044,2,5.949,1,0.788,0.907,52.023,0.074,4,17
5,66115,3500,local_barajado,10,8,4.245,0.051,1,3.995,1,1.029,0.92,24.824,0.0506,5,20
5,66115,3500,local_marco_congelado,10,8,6.155,0.029,0,7.988,0,0.951,0.911,26.079,0.1802,5,20
4,66112,3500,local,10,8,6.486,0.031,1,5.549,1,0.896,0.905,26.266,0.17,4,20
4,66112,3500,sin_local,-1,8,4.405,0.043,2,5.014,1,0.897,0.915,52.728,0.0811,4,17
4,66112,3500,local_barajado,10,8,4.287,0.052,1,4.603,1,1.119,0.908,24.511,0.051,5,20
4,66112,3500,local_marco_congelado,10,8,6.149,0.038,0,7.979,0,0.896,0.907,26.257,0.1801,4,20
2,66106,3500,local,10,8,6.024,0.034,1,5.303,1,0.941,0.907,26.035,0.1688,4,20
2,66106,3500,sin_local,-1,8,6.003,0.042,1,4.368,1,0.928,0.915,52.094,0.0882,3,17
2,66106,3500,local_barajado,10,8,4.342,0.055,1,5.436,1,1.102,0.915,24.613,0.0493,5,20
2,66106,3500,local_marco_congelado,10,8,6.55,0.033,0,7.986,0,1.021,0.903,25.91,0.1753,4,20
3,66109,3500,local,10,8,6.195,0.028,1,4.171,1,1.013,0.911,26.386,0.1751,5,20
3,66109,3500,sin_local,-1,8,5.631,0.043,2,5.318,1,0.966,0.918,52.814,0.0809,4,17
3,66109,3500,local_barajado,10,8,4.322,0.052,1,4.435,1,1.127,0.911,24.613,0.0482,5,20
3,66109,3500,local_marco_congelado,10,8,6.372,0.035,0,7.985,0,1.021,0.921,26.937,0.1796,4,20
8,66124,3500,local,10,8,5.327,0.034,2,5.406,1,0.94,0.911,26.133,0.1782,4,20
8,66124,3500,sin_local,-1,8,5.993,0.04,4,6.417,1,1.011,0.907,50.912,0.0885,4,17
8,66124,3500,local_barajado,10,8,4.242,0.052,1,5.645,1,1.184,0.913,24.455,0.0538,5,20
8,66124,3500,local_marco_congelado,10,8,6.078,0.03,0,7.983,0,0.936,0.907,26.291,0.1723,5,20
6,66118,3500,local,10,8,6.195,0.034,1,4.809,1,0.904,0.909,26.304,0.1739,5,20
6,66118,3500,sin_local,-1,8,5.732,0.034,1,5.678,1,0.826,0.897,51.2,0.0914,4,17
6,66118,3500,local_barajado,10,8,4.241,0.054,1,5.035,1,1.044,0.915,24.609,0.0501,5,20
6,66118,3500,local_marco_congelado,10,8,6.223,0.033,0,7.983,0,1.106,0.908,26.137,0.1778,5,20
7,66121,3500,local,10,8,6.302,0.035,2,6.171,1,0.873,0.898,25.887,0.1724,5,20
7,66121,3500,sin_local,-1,8,5.623,0.042,1,5.597,1,0.84,0.911,52.657,0.089,4,17
7,66121,3500,local_barajado,10,8,4.386,0.054,1,5.4,1,1.097,0.916,24.622,0.0524,5,20
7,66121,3500,local_marco_congelado,10,8,6.255,0.033,0,7.98,0,0.92,0.905,26.197,0.1714,4,20
9,66127,3500,local,10,8,5.729,0.028,1,4.82,1,0.89,0.912,26.184,0.1765,4,20
9,66127,3500,sin_local,-1,8,5.694,0.042,1,6.168,1,1.141,0.918,48.553,0.0895,4,16
9,66127,3500,local_barajado,10,8,4.199,0.054,2,5.103,1,1.164,0.91,24.486,0.0469,5,20
9,66127,3500,local_marco_congelado,10,8,6.15,0.028,0,7.99,0,0.922,0.908,26.144,0.1655,5,20
11,66133,3500,local,10,8,6.419,0.027,2,5.389,1,0.861,0.914,26.416,0.1704,4,20
11,66133,3500,sin_local,-1,8,5.718,0.044,2,5.89,1,0.921,0.904,51.451,0.0816,4,17
11,66133,3500,local_barajado,10,8,4.293,0.053,2,5.449,1,1.155,0.906,24.438,0.0566,5,20
11,66133,3500,local_marco_congelado,10,8,6.106,0.031,0,7.984,0,1.074,0.909,26.064,0.1695,5,20
10,66130,3500,local,10,8,6.409,0.028,2,5.397,1,0.769,0.908,26.4,0.1733,4,20
10,66130,3500,sin_local,-1,8,5.457,0.041,1,5.699,1,0.981,0.923,52.91,0.0827,4,17
10,66130,3500,local_barajado,10,8,4.255,0.053,1,5.695,1,1.014,0.912,24.677,0.057,5,20
10,66130,3500,local_marco_congelado,10,8,5.987,0.027,0,7.991,0,0.957,0.903,26.093,0.1702,4,20
14,66142,3500,local,10,8,5.843,0.034,1,4.603,1,0.849,0.913,26.369,0.1706,4,20
14,66142,3500,sin_local,-1,8,4.478,0.045,1,5.54,1,0.853,0.908,52.653,0.0847,4,17
14,66142,3500,local_barajado,10,8,4.297,0.052,1,4.773,1,1.133,0.911,24.47,0.0545,5,20
14,66142,3500,local_marco_congelado,10,8,5.771,0.036,0,7.987,0,1.054,0.91,26.113,0.1677,4,20
13,66139,3500,local,10,8,5.569,0.031,1,4.312,1,1.09,0.915,26.506,0.1721,4,20
13,66139,3500,sin_local,-1,8,5.634,0.044,1,4.206,1,0.806,0.909,51.768,0.0795,4,17
13,66139,3500,local_barajado,10,8,4.34,0.053,1,3.515,1,1.064,0.912,24.457,0.0476,5,20
13,66139,3500,local_marco_congelado,10,8,5.218,0.04,0,7.984,0,1.048,0.919,26.345,0.1653,4,20
12,66136,3500,local,10,8,6.15,0.025,1,5.221,1,0.97,0.91,26.337,0.1772,5,20
12,66136,3500,sin_local,-1,8,5.617,0.043,1,5.914,1,0.969,0.915,52.071,0.086,4,17
12,66136,3500,local_barajado,10,8,4.227,0.054,1,4.919,1,1.086,0.914,24.603,0.0567,5,20
12,66136,3500,local_marco_congelado,10,8,6.107,0.034,0,7.984,0,1.026,0.922,26.592,0.1713,4,20
15,66145,3500,local,10,8,5.876,0.026,1,5.531,1,0.944,0.91,26.109,0.1739,4,20
15,66145,3500,sin_local,-1,8,5.379,0.043,1,5.863,1,0.891,0.915,52.729,0.0837,4,17
15,66145,3500,local_barajado,10,8,4.266,0.055,1,4.605,1,1.072,0.905,24.39,0.0606,5,20
15,66145,3500,local_marco_congelado,10,8,6.505,0.032,0,7.981,0,0.955,0.906,26.048,0.1701,4,20
16,66148,3500,local,10,8,4.29,0.034,2,5.593,1,1.01,0.914,26.497,0.1784,4,20
16,66148,3500,sin_local,-1,8,6.131,0.045,2,5.647,1,0.855,0.904,52.437,0.0807,4,17
16,66148,3500,local_barajado,10,8,4.341,0.055,1,5.352,1,1.129,0.903,24.338,0.0471,5,20
16,66148,3500,local_marco_congelado,10,8,6.273,0.031,0,7.98,0,0.969,0.919,26.64,0.1747,4,20
17,66151,3500,local,10,8,5.972,0.03,1,4.365,1,0.869,0.914,26.41,0.1843,5,20
17,66151,3500,sin_local,-1,8,5.706,0.043,2,5.877,1,0.899,0.907,52.807,0.0816,4,17
17,66151,3500,local_barajado,10,8,4.302,0.053,1,4.87,1,0.873,0.909,24.504,0.0522,5,20
17,66151,3500,local_marco_congelado,10,8,5.858,0.025,0,7.984,0,0.888,0.915,26.391,0.18,4,20
20,66160,3500,local,10,8,6.299,0.029,1,5.102,1,0.973,0.913,26.208,0.1673,4,20
20,66160,3500,sin_local,-1,8,5.413,0.043,1,5.797,1,0.953,0.915,48.258,0.0879,3,16
20,66160,3500,local_barajado,10,8,4.218,0.055,1,4.922,1,1.139,0.911,24.558,0.0544,5,20
20,66160,3500,local_marco_congelado,10,8,5.959,0.032,0,7.985,0,1.072,0.906,26.13,0.1813,4,20
19,66157,3500,local,10,8,5.992,0.029,2,4.693,1,0.81,0.91,26.081,0.1725,4,20
19,66157,3500,sin_local,-1,8,5.572,0.036,1,5.823,1,0.917,0.91,52.6,0.0832,4,17
19,66157,3500,local_barajado,10,8,4.318,0.051,1,5.253,1,1.064,0.905,24.313,0.0537,5,20
19,66157,3500,local_marco_congelado,10,8,5.716,0.035,0,7.979,0,1.04,0.909,25.915,0.1653,4,20
18,66154,3500,local,10,8,6.278,0.023,1,5.355,1,0.816,0.915,26.35,0.1646,4,20
18,66154,3500,sin_local,-1,8,5.878,0.04,1,4.546,1,0.91,0.914,53.002,0.0902,4,17
18,66154,3500,local_barajado,10,8,4.27,0.051,2,4.949,1,1.036,0.902,24.202,0.0504,5,20
18,66154,3500,local_marco_congelado,10,8,5.953,0.028,0,7.976,0,0.907,0.911,26.102,0.1787,4,20
21,66163,3500,local,10,8,6.017,0.029,1,4.955,1,0.828,0.918,26.45,0.1782,4,20
21,66163,3500,sin_local,-1,8,5.54,0.046,1,5.938,1,0.992,0.91,52.526,0.0825,4,17
21,66163,3500,local_barajado,10,8,4.32,0.055,2,4.867,1,1.121,0.916,24.798,0.0502,5,20
21,66163,3500,local_marco_congelado,10,8,5.887,0.031,0,7.985,0,0.972,0.908,26.203,0.18,5,20
23,66169,3500,local,10,8,6.262,0.034,1,5.032,1,0.795,0.906,26.248,0.1804,4,20
23,66169,3500,sin_local,-1,8,5.621,0.041,2,5.896,1,0.914,0.922,48.886,0.0907,4,16
23,66169,3500,local_barajado,10,8,4.26,0.055,1,4.995,1,1.104,0.907,24.398,0.0533,5,20
23,66169,3500,local_marco_congelado,10,8,5.643,0.039,0,7.987,0,0.995,0.914,26.107,0.1741,5,20
22,66166,3500,local,10,8,6.182,0.025,2,5.847,1,0.895,0.913,26.163,0.1752,4,20
22,66166,3500,sin_local,-1,8,5.801,0.039,1,5.087,1,0.942,0.902,51.517,0.0841,4,17
22,66166,3500,local_barajado,10,8,4.351,0.053,1,4.306,1,1.141,0.911,24.568,0.0517,5,20
22,66166,3500,local_marco_congelado,10,8,5.885,0.033,0,7.988,0,1.063,0.915,26.237,0.1734,4,20
24,66172,3500,local,10,8,5.985,0.028,2,6.026,1,0.984,0.912,26.007,0.1701,4,20
24,66172,3500,sin_local,-1,8,5.613,0.049,1,5.397,1,0.841,0.911,52.677,0.0771,4,17
24,66172,3500,local_barajado,10,8,4.215,0.055,1,4.516,1,1.172,0.913,24.622,0.0521,4,20
24,66172,3500,local_marco_congelado,10,8,6.04,0.032,0,7.984,0,0.872,0.905,26.0,0.1722,4,20
26,66178,3500,local,10,8,6.175,0.026,2,5.662,1,0.899,0.911,26.073,0.1789,5,20
26,66178,3500,sin_local,-1,8,5.744,0.04,1,5.661,1,0.779,0.919,52.903,0.0867,4,17
26,66178,3500,local_barajado,10,8,4.248,0.056,2,5.653,1,1.067,0.911,24.544,0.0509,5,20
26,66178,3500,local_marco_congelado,10,8,5.679,0.025,0,7.988,0,1.064,0.913,26.146,0.1651,4,20
25,66175,3500,local,10,8,5.792,0.029,1,4.869,1,0.954,0.915,26.185,0.1667,4,20
25,66175,3500,sin_local,-1,8,5.816,0.041,1,4.889,1,0.979,0.908,51.519,0.0837,4,17
25,66175,3500,local_barajado,10,8,4.261,0.055,3,5.983,1,1.024,0.913,24.553,0.0522,5,20
25,66175,3500,local_marco_congelado,10,8,5.789,0.032,0,7.994,0,1.1,0.918,26.363,0.1633,4,20
27,66181,3500,local,10,8,5.409,0.036,1,4.852,1,0.939,0.911,26.079,0.1617,5,20
27,66181,3500,sin_local,-1,8,5.594,0.044,1,4.722,1,1.024,0.908,52.262,0.0829,4,17
27,66181,3500,local_barajado,10,8,4.31,0.056,1,5.437,1,1.013,0.909,24.559,0.0483,5,20
27,66181,3500,local_marco_congelado,10,8,5.864,0.037,0,7.982,0,1.059,0.917,26.311,0.1661,5,20
28,66184,3500,local,10,8,6.098,0.024,2,4.91,1,0.815,0.901,25.912,0.1731,5,20
28,66184,3500,sin_local,-1,8,5.754,0.042,1,5.302,1,0.857,0.911,51.939,0.0792,4,17
28,66184,3500,local_barajado,10,8,4.295,0.052,1,4.838,1,1.131,0.909,24.471,0.0567,4,20
28,66184,3500,local_marco_congelado,10,8,6.172,0.023,0,7.989,0,0.989,0.899,25.902,0.1702,4,20
29,66187,3500,local,10,8,6.449,0.026,2,5.261,1,0.882,0.909,26.223,0.1678,4,20
29,66187,3500,sin_local,-1,8,5.681,0.047,1,5.132,1,0.909,0.912,52.383,0.0824,4,17
29,66187,3500,local_barajado,10,8,4.276,0.053,1,5.262,1,1.059,0.91,24.558,0.0544,5,20
29,66187,3500,local_marco_congelado,10,8,6.327,0.029,0,7.984,0,0.994,0.904,25.936,0.1821,5,20
30,66190,3500,local,10,8,6.443,0.023,1,5.44,1,0.943,0.909,26.165,0.1828,4,20
30,66190,3500,sin_local,-1,8,5.472,0.04,1,5.197,1,0.85,0.907,51.93,0.0808,4,17
30,66190,3500,local_barajado,10,8,4.247,0.053,1,3.399,1,1.103,0.914,24.657,0.0524,5,20
30,66190,3500,local_marco_congelado,10,8,6.178,0.028,0,7.979,0,0.911,0.91,26.345,0.1797,5,20
32,66196,3500,local,10,8,5.355,0.034,1,5.003,1,0.842,0.903,25.843,0.1692,4,20
32,66196,3500,sin_local,-1,8,5.162,0.042,1,4.161,1,0.947,0.913,52.354,0.0805,4,17
32,66196,3500,local_barajado,10,8,4.253,0.052,1,4.991,1,0.924,0.915,24.615,0.0492,5,20
32,66196,3500,local_marco_congelado,10,8,5.879,0.04,0,7.982,0,0.968,0.913,26.488,0.1629,4,20
33,66199,3500,local,10,8,6.081,0.031,1,5.181,1,1.046,0.917,26.309,0.1726,5,20
33,66199,3500,sin_local,-1,8,5.193,0.037,2,6.022,1,0.942,0.917,48.043,0.091,4,16
33,66199,3500,local_barajado,10,8,4.194,0.057,1,4.357,1,1.141,0.915,24.661,0.0504,5,20
33,66199,3500,local_marco_congelado,10,8,6.184,0.028,0,7.983,0,1.065,0.911,26.282,0.1686,4,20
31,66193,3500,local,10,8,5.471,0.025,1,5.131,1,0.9,0.901,25.669,0.1724,4,20
31,66193,3500,sin_local,-1,8,4.569,0.038,1,5.017,1,0.904,0.915,52.799,0.081,4,17
31,66193,3500,local_barajado,10,8,4.349,0.053,2,6.08,1,1.093,0.911,24.547,0.0501,5,20
31,66193,3500,local_marco_congelado,10,8,5.766,0.039,0,7.979,0,0.998,0.915,26.144,0.1643,4,20
34,66202,3500,local,10,8,6.581,0.026,1,4.904,1,0.796,0.903,26.183,0.1712,4,20
34,66202,3500,sin_local,-1,8,5.65,0.049,1,5.426,1,0.884,0.905,51.68,0.0777,4,17
34,66202,3500,local_barajado,10,8,4.201,0.053,3,5.243,1,1.151,0.906,24.493,0.0516,4,20
34,66202,3500,local_marco_congelado,10,8,5.536,0.036,0,7.984,0,0.949,0.903,26.094,0.1721,4,20
35,66205,3500,local,10,8,6.514,0.034,1,4.867,1,0.871,0.906,26.283,0.1819,4,20
