point_id,dim,brazo,seed,frame_burgers,L3,L4,L5,L6,L8
67,d3,null_triada,7,1.18366,,0.99908,,1.13325,1.08889
66,d3,null_triada,6,1.09402,,1.03764,,1.18429,1.0003
69,d3,null_triada,9,1.24818,,1.11689,,1.22527,1.22112
81,d4,3cuerpos,1,1.08012,,0.92695,,1.06257,1.2151
90,d4,2cuerpos,0,0.01545,,0.01085,,0.01494,0.01664
91,d4,2cuerpos,1,0.20433,,0.08744,,0.22132,0.24279
92,d4,2cuerpos,2,0.41992,,0.19891,,0.40022,0.55301
93,d4,2cuerpos,3,0.05574,,0.03349,,0.05095,0.07376
94,d4,2cuerpos,4,0.03872,,0.03006,,0.03829,0.04445
95,d4,2cuerpos,5,0.00907,,0.00414,,0.00778,0.01312
96,d4,2cuerpos,6,0.11091,,0.07139,,0.12862,0.13053
97,d4,2cuerpos,7,0.1218,,0.05439,,0.1164,0.16563
98,d4,2cuerpos,8,0.01872,,0.00966,,0.01363,0.02306
99,d4,2cuerpos,9,0.29966,,0.14968,,0.2533,0.38493
82,d4,3cuerpos,2,0.97302,,0.8399,,0.94854,1.0352
83,d4,3cuerpos,3,1.0649,,1.00083,,1.04099,1.08788
84,d4,3cuerpos,4,1.03665,,0.99866,,1.01191,1.01083
85,d4,3cuerpos,5,0.85998,,0.7798,,0.92941,0.85866
86,d4,3cuerpos,6,1.14226,,1.0335,,1.13087,1.19225
87,d4,3cuerpos,7,1.02745,,0.83388,,1.09331,1.06992
110,d4,null_marco,0,0.99294,,0.8124,,1.0517,1.08407
111,d4,null_marco,1,1.1249,,1.0436,,1.17213,1.11992
112,d4,null_marco,2,1.07401,,0.88397,,1.09584,1.17667
113,d4,null_marco,3,1.05227,,0.927,,1.03262,1.18997
114,d4,null_marco,4,1.10996,,1.13086,,1.07571,1.16406
115,d4,null_marco,5,1.09871,,0.9002,,1.25445,1.20476
116,d4,null_marco,6,1.12462,,1.01682,,1.11455,1.24499
117,d4,null_marco,7,1.07673,,0.96827,,1.03093,1.1421
118,d4,null_marco,8,1.08107,,1.04662,,1.10078,1.08819
119,d4,null_marco,9,1.03828,,0.98607,,1.10666,1.06473
88,d4,3cuerpos,8,1.09409,,0.95639,,1.12677,1.22452
89,d4,3cuerpos,9,1.11683,,0.9675,,1.19632,1.14318
102,d4,null_triada,2,1.068,,0.94976,,1.09945,1.19351
101,d4,null_triada,1,1.03423,,0.9749,,1.07744,1.03361
103,d4,null_triada,3,1.07133,,0.97252,,1.13164,1.07983
104,d4,null_triada,4,1.12889,,1.05632,,1.1838,1.13938
100,d4,null_triada,0,0.85184,,0.72768,,0.90123,0.91441
105,d4,null_triada,5,0.84807,,0.68611,,0.93868,0.87964
106,d4,null_triada,6,0.94606,,0.85639,,0.98046,0.91398
107,d4,null_triada,7,1.02234,,0.8726,,1.05625,1.03579
130,curv,2cuerpos,0,0.03929,0.01015,0.03461,0.04509,0.08653,0.13207
131,curv,2cuerpos,1,0.13543,0.03091,0.10679,0.14622,0.37785,0.42882
132,curv,2cuerpos,2,0.08816,0.02427,0.08346,0.09984,0.20239,0.28786
133,curv,2cuerpos,3,0.07639,0.02335,0.08263,0.09467,0.18083,0.2145
134,curv,2cuerpos,4,0.11532,0.02719,0.10363,0.1314,0.28609,0.43888
135,curv,2cuerpos,5,0.07894,0.0133,0.06168,0.07944,0.18218,0.41387
108,d4,null_triada,8,1.08447,,0.97532,,1.08721,1.10127
109,d4,null_triada,9,1.22597,,1.09302,,1.28851,1.30091
136,curv,2cuerpos,6,0.07831,0.0198,0.06895,0.08822,0.1764,0.31029
137,curv,2cuerpos,7,0.15198,0.0434,0.14052,0.16602,0.38827,0.50171
138,curv,2cuerpos,8,0.06118,0.01821,0.06434,0.07946,0.13442,0.1701
139,curv,2cuerpos,9,0.09012,0.02184,0.07589,0.09808,0.19797,0.31741
120,curv,3cuerpos,0,1.00901,0.84371,1.1861,1.13856,1.16101,1.11895
121,curv,3cuerpos,1,0.94867,0.84377,0.953,1.09285,1.04994,0.96596
122,curv,3cuerpos,2,0.87689,0.72701,0.93009,1.0225,1.08876,0.59699
123,curv,3cuerpos,3,0.92617,0.76217,1.0114,1.12671,1.00405,1.04347
124,curv,3cuerpos,4,0.88735,0.75551,0.9963,0.99335,0.94802,1.07499
126,curv,3cuerpos,6,1.00512,0.88915,0.9745,1.12774,1.10402,1.78524
127,curv,3cuerpos,7,0.98066,0.91469,0.99813,1.05306,1.05463,1.43269
125,curv,3cuerpos,5,0.98009,0.87715,1.00981,1.07463,1.11766,1.01893
150,curv,null_marco,0,0.95331,0.91026,1.03065,0.88039,0.89982,1.20668
128,curv,3cuerpos,8,0.87146,0.78458,0.79455,0.90177,1.24888,1.2194
151,curv,null_marco,1,0.96734,0.80157,1.05307,1.16882,1.25841,1.12998
129,curv,3cuerpos,9,0.99128,0.88715,1.05509,1.14023,1.23509,0.90464
152,curv,null_marco,2,0.99379,0.795,1.04753,1.24628,1.23877,1.38746
154,curv,null_marco,4,0.9925,0.80992,1.05551,1.15327,1.17468,1.27703
153,curv,null_marco,3,0.94698,0.766,1.00342,1.00658,1.11501,1.29822
155,curv,null_marco,5,0.90373,0.81344,0.96715,1.05751,0.85262,0.95399
156,curv,null_marco,6,0.92011,0.77677,0.9732,1.05337,1.15918,0.83634
157,curv,null_marco,7,0.9993,0.82807,0.9958,1.27312,1.25618,1.10926
158,curv,null_marco,8,0.96865,0.83329,0.91309,1.15587,1.32902,1.21753
159,curv,null_marco,9,0.96933,0.80521,1.05812,1.07698,1.22232,1.10544
140,curv,null_triada,0,1.00187,0.81608,1.13835,1.1985,1.20931,1.21386
141,curv,null_triada,1,0.99216,0.79562,1.0523,1.17755,1.20809,1.47735
142,curv,null_triada,2,0.8836,0.77867,0.99898,1.05203,0.90507,0.77049
143,curv,null_triada,3,1.04769,1.00057,1.08004,1.10536,1.08604,0.96828
144,curv,null_triada,4,0.92317,0.8229,0.88776,1.00297,0.99234,1.25467
145,curv,null_triada,5,0.92776,0.8319,0.99238,0.94296,1.10644,1.05321
146,curv,null_triada,6,0.91481,0.77773,0.96677,1.08178,0.9529,1.01581
147,curv,null_triada,7,1.0302,0.87054,1.16485,1.14099,1.33393,0.97408
148,curv,null_triada,8,1.00074,0.84445,1.02647,1.14626,1.16139,1.35308
149,curv,null_triada,9,0.97139,0.77943,1.02606,1.20207,1.29938,1.03428
