genealogia,seed_base,rule_id,brazo,clase,es_clase_III,es_clase_III_o_IV,pendiente,z_agg,holon_ratio,diam_b1,giant_b1,grado_medio_b1,n_aristas_b1,diams_por_escala,K,J,noise,meandeg,kcap,seed,seg
H01_218903,218903,A2-B0-C2-r0,C2-hard,III,1,1,0.988168,0.9783,3.0867,18.0,0.856,2.416,2416,18|13|10|6|5,4,0.763,0.164,6.54,4,218904,1.67
H01_218903,218903,A2-B0-C2-r0,C2-hibrido,III,1,1,1.400765,0.9495,3.1255,18.0,0.7995,2.574,2574,18|11|9|5|4,4,0.763,0.164,6.54,4,218904,1.84
H01_218903,218903,A2-B0-C2-r1,C2-hard,III,1,1,0.70323,0.6313,2.8461,14.0,0.969,3.346,3346,14|8|7|5|4,8,0.799,0.273,4.56,5,219001,2.16
H01_218903,218903,A2-B0-C2-r1,C2-hibrido,I,0,0,0.545999,0.4243,1.2634,11.0,0.9875,4.438,4438,11|7|5|5|4,8,0.799,0.273,4.56,5,219001,2.52
H01_218903,218903,A2-B0-C2-r2,C2-hard,I,0,0,0.569822,0.1414,2.7176,11.0,0.974,4.029,4029,11|8|6|5|4,7,0.611,0.104,7.46,6,219098,2.49
H01_218903,218903,A2-B0-C2-r2,C2-hibrido,I,0,0,0.554823,0.8485,2.6359,10.0,0.9585,4.672,4672,10|7|6|5|4,7,0.611,0.104,7.46,6,219098,2.47
H01_218903,218903,A2-B0-C2-r3,C2-hard,III,1,1,0.848063,2.4042,1.2859,15.0,0.94,3.148,3148,15|12|8|6|4,8,0.319,0.322,6.62,5,219195,2.06
H01_218903,218903,A2-B0-C2-r3,C2-hibrido,III,1,1,0.824454,0.2483,1.3519,13.0,0.931,3.733,3733,13|9|6|5|4,8,0.319,0.322,6.62,5,219195,2.19
H01_218903,218903,A2-B0-C2-r4,C2-hard,III,1,1,1.36137,0.5714,1.3095,21.0,0.7625,2.078,2078,21|14|10|6|5,7,0.446,0.297,7.77,4,219292,2.1
H01_218903,218903,A2-B0-C2-r4,C2-hibrido,III,1,1,1.219359,1.0839,1.9804,15.0,0.73,2.27,2270,15|11|9|7|4,7,0.446,0.297,7.77,4,219292,1.82
H01_218903,218903,A2-B0-C2-r5,C2-hard,III,1,1,0.890849,0.8106,2.7287,14.0,0.9205,3.109,3109,14|11|7|5|4,5,0.414,0.14,7.75,5,219389,2.23
H01_218903,218903,A2-B0-C2-r5,C2-hibrido,III,1,1,0.921451,0.5657,3.0103,13.0,0.8595,3.285,3285,13|9|7|5|4,5,0.414,0.14,7.75,5,219389,2.21
H01_218903,218903,A2-B0-C2-r6,C2-hard,III,1,1,1.096887,0.7071,4.5953,19.0,0.8005,2.217,2217,19|12|10|7|5,4,0.351,0.115,7.34,4,219486,1.97
H01_218903,218903,A2-B0-C2-r6,C2-hibrido,III,1,1,1.349401,2.6163,3.886,15.0,0.733,2.292,2292,15|9|7|5|4,4,0.351,0.115,7.34,4,219486,1.74
H01_218903,218903,A2-B0-C2-r7,C2-hard,I,0,0,0.592819,0.1414,2.4743,11.0,0.9775,3.644,3644,11|8|6|5|4,4,0.667,0.322,4.09,6,219583,2.28
H01_218903,218903,A2-B0-C2-r7,C2-hibrido,I,0,0,0.600986,0.5657,1.6536,10.0,0.9795,4.045,4045,10|7|5|4|4,4,0.667,0.322,4.09,6,219583,2.68
H01_218903,218903,A2-B0-C2-r8,C2-hard,III,1,1,0.801715,0.2121,1.5782,14.0,0.943,3.302,3302,14|9|7|5|4,4,0.59,0.32,6.58,5,219680,2.38
H01_218903,218903,A2-B0-C2-r8,C2-hibrido,III,1,1,0.840413,0.657,1.3501,14.0,0.937,3.893,3893,14|9|7|5|4,4,0.59,0.32,6.58,5,219680,2.47
H01_218903,218903,A2-B0-C2-r9,C2-hard,III,1,1,0.816314,1.0935,2.1881,15.0,0.9645,3.361,3361,15|10|7|5|4,6,0.641,0.136,6.12,5,219777,2.24
H01_218903,218903,A2-B0-C2-r9,C2-hibrido,I,0,0,0.620742,0.7071,3.281,11.0,0.9565,4.029,4029,11|7|6|5|4,6,0.641,0.136,6.12,5,219777,2.41
H01_218903,218903,A2-B0-C2-r10,C2-hard,I,0,0,0.65829,1.4142,1.7954,12.0,0.9825,3.897,3897,12|10|6|5|4,5,0.368,0.161,4.98,6,219874,2.41
H01_218903,218903,A2-B0-C2-r10,C2-hibrido,II,0,0,0.356687,1.0607,2.5095,8.0,0.9885,4.757,4757,8|6|5|5|4,5,0.368,0.161,4.98,6,219874,2.52
H01_218903,218903,A2-B0-C2-r11,C2-hard,IV,0,1,0.807826,1.0623,5.5149,14.0,0.9495,3.3,3300,14|11|7|5|4,5,0.688,0.153,6.82,5,219971,2.53
H01_218903,218903,A2-B0-C2-r11,C2-hibrido,III,1,1,0.812132,0.2449,3.8445,12.0,0.917,3.698,3698,12|9|6|5|4,5,0.688,0.153,6.82,5,219971,2.48
H01_218903,218903,A2-B0-C2-r12,C2-hard,I,0,0,0.626619,0.495,2.2181,12.0,0.975,4.022,4022,12|8|6|5|4,4,0.525,0.341,7.5,6,220068,2.7
H01_218903,218903,A2-B0-C2-r12,C2-hibrido,I,0,0,0.564567,0.1414,2.2001,10.0,0.9545,4.686,4686,10|7|5|5|4,4,0.525,0.341,7.5,6,220068,2.76
H01_218903,218903,A2-B0-C2-r13,C2-hard,I,0,0,0.699107,0.5278,1.4618,14.0,0.9655,3.11,3110,14|11|7|5|5,7,0.352,0.25,4.32,5,220165,2.09
H01_218903,218903,A2-B0-C2-r13,C2-hibrido,I,0,0,0.628413,0.2828,0.4926,12.0,0.9745,4.03,4030,12|7|6|5|4,7,0.352,0.25,4.32,5,220165,3.15
H01_218903,218903,A2-B0-C2-r14,C2-hard,III,1,1,0.71162,0.2673,1.6697,13.0,0.9725,3.997,3997,13|10|6|5|4,5,0.412,0.284,7.42,6,220262,2.97
H01_218903,218903,A2-B0-C2-r14,C2-hibrido,I,0,0,0.583122,0.495,1.9441,10.0,0.956,4.593,4593,10|8|6|5|4,5,0.412,0.284,7.42,6,220262,2.82
H01_218903,218903,A2-B0-C2-r15,C2-hard,III,1,1,0.737338,0.9832,1.8477,14.0,0.971,4.048,4048,14|9|6|5|4,6,0.768,0.224,7.87,6,220359,2.43
H01_218903,218903,A2-B0-C2-r15,C2-hibrido,I,0,0,0.662824,0.7778,2.7036,10.0,0.9415,4.552,4552,10|8|6|4|4,6,0.768,0.224,7.87,6,220359,2.69
H01_218903,218903,A2-B0-C2-r16,C2-hard,I,0,0,0.642963,1.2728,2.5447,13.0,0.9815,3.875,3875,13|7|6|5|4,5,0.643,0.159,4.12,7,220456,2.92
H01_218903,218903,A2-B0-C2-r16,C2-hibrido,III,1,1,0.708518,1.4142,3.1548,13.0,0.985,4.067,4067,13|9|6|5|4,5,0.643,0.159,4.12,7,220456,2.6
