seed,variante,n_podadas,b,n_cajas,N_b,diam,giant,d_s,holonomia,n_ciclos
80200,azar_P70,7981,8,2187,2187,6.0,0.6904,3.992,1.0525,400
80200,azar_P70,7981,16,1680,1680,5.0,0.597,1.473,1.0204,400
80200,azar_P70,7981,32,1386,1386,5.0,0.5115,1.155,1.101,400
80200,costo_P90,2972,1,8000,8000,10.0,0.9093,3.594,1.0044,399
80200,costo_P90,2972,2,4690,4690,8.0,0.8546,3.816,0.9822,400
80200,costo_P90,2972,4,2965,2965,7.0,0.7727,3.748,1.1087,400
80200,costo_P90,2972,8,2010,2010,5.0,0.6657,3.896,1.1397,400
80200,costo_P90,2972,16,1486,1486,5.0,0.5478,1.146,1.1415,400
80200,costo_P90,2972,32,1219,1219,4.0,0.4487,0.906,0.8053,400
80200,azar_P90,2972,1,8000,8000,9.0,0.9107,3.691,0.9701,399
80200,azar_P90,2972,2,4718,4718,7.0,0.8571,3.763,1.1024,400
80200,azar_P90,2972,4,3004,3004,7.0,0.7776,3.895,1.117,400
80200,azar_P90,2972,8,2028,2028,5.0,0.6711,3.868,1.0296,400
80200,azar_P90,2972,16,1484,1484,5.0,0.5505,1.074,1.0041,400
80200,azar_P90,2972,32,1240,1240,4.0,0.4621,0.858,1.1252,400
80300,sin_poda,0,1,8000,8000,10.0,0.9094,3.834,0.9946,400
80300,sin_poda,0,2,4662,4662,8.0,0.855,3.637,1.0714,400
80300,sin_poda,0,4,2912,2912,6.0,0.7709,3.988,1.0686,400
80300,sin_poda,0,8,1978,1978,5.0,0.6628,3.781,0.9866,400
80300,sin_poda,0,16,1444,1444,5.0,0.5381,0.994,0.9159,400
80300,sin_poda,0,32,1173,1173,4.0,0.4314,0.849,1.0038,400
80300,costo_P50,14845,1,8000,8000,20.0,0.8856,3.185,0.8458,392
80300,costo_P50,14845,2,4914,4914,15.0,0.8274,3.185,0.9701,400
80300,costo_P50,14845,4,3298,3298,12.0,0.7471,3.134,0.9968,398
80300,costo_P50,14845,8,2360,2360,9.0,0.6475,3.577,1.1002,399
