clave,T,var_solap,var_disp,igualado,abs_d_pico,d_pico,d_pico_naive,pico_solap,pico_disp,soporte_solap,soporte_disp,d_soporte,A_solap,A_disp,gini_solap,gini_disp,masa_solap,masa_disp,d_masa,d_masa_part,kappa_solap,kappa_disp,d_kappa,t1_solap,t1_disp,nsum_solap,nsum_disp
A2-B0-C2-batch3-r0_s471829,55,solap1,disp2,True,0.0406318418113578,-0.0406318418113578,0.7415688377057794,11.777244086555386,11.817875928366744,0.03552859618717504,0.07149046793760831,-0.03596187175043327,2.0121951219512195,1.0,0.9817363636363636,0.9175,0.14949999999999994,0.14649999999999994,0.0030000000000000027,6.000000000000005,1.3424657534246576,1.3009259259259256,0.041539827498731974,0.032,0.03,8,8
A2-B0-C2-batch4-r36_s575321,31,solap1,disp1,True,0.1808475408998404,-0.1808475408998404,0.5524931374733916,10.743016368858182,10.923863909758023,0.02560819462227913,0.03969270166453265,-0.01408450704225352,1.55,1.0,0.9851774193548387,0.9535,0.148,0.14649999999999996,0.001500000000000029,3.000000000000058,1.311111111111111,1.379146919431279,-0.0680358083201682,0.031,0.033,8,8
A2-B0-C2-batch3-r111_s482596,126,solap2,disp0,True,1.1985965496503823,1.1985965496503823,2.0305156241672013,12.708908974959636,11.510312425309253,0.05004971826317534,0.12529002320185614,-0.07524030493868081,2.5033112582781456,1.0,0.9721878306878307,0.811,0.12350000000000001,0.11450000000000002,0.008999999999999994,17.99999999999999,0.9646464646464642,0.704225352112676,0.2604211125337882,0.034,0.035,8,8
A2-B0-C2-batch4-r10_s572799,118,solap0,disp0,False,1.4998401563190225,1.4998401563190225,3.011774036857197,15.619283776559278,14.119443620240256,0.047762191048764197,0.11823647294589178,-0.07047428189712758,2.4545454545454546,1.0,0.9740555555555556,0.823,0.1335,0.126,0.007500000000000007,15.000000000000012,1.0280373831775698,0.9558823529411764,0.07215503023639336,0.03,0.034,8,8
A2-B0-C2-batch3-r60_s477649,239,solap2,disp1,False,2.219145881176708,2.219145881176708,3.685664568712229,16.37771838698115,14.158572505804443,0.08898305084745763,0.23370273794002608,-0.14471968709256844,2.6153846153846154,1.0,0.9487801120448179,0.6415,0.131,0.12400000000000001,0.006999999999999992,13.999999999999984,0.9459459459459459,0.8632075471698113,0.08273839877613465,0.033,0.026,8,8
A2-B0-C2-r19_s273672,939,solap0,disp0,False,2.5329203136489795,2.5329203136489795,3.105043993849304,15.224907618689137,12.691987305040158,0.27262843163903233,0.6800761076379451,-0.4074476759989128,2.8085742771684945,1.1258992805755397,0.8520441959531416,0.2761805111821086,0.12549999999999997,0.11700000000000002,0.008499999999999952,16.999999999999904,0.8823529411764706,0.8686868686868681,0.013666072489602499,0.032,0.035,8,8
A2-B0-C2-batch4-r62_s577843,220,solap0,disp2,False,2.787986194442885,2.787986194442885,5.000652865506559,12.707590350938792,9.919604156495907,0.07668990603213095,0.19975750227341618,-0.12306759624128523,2.5968379446640317,1.0015174506828528,0.9516659056316591,0.6719939393939394,0.11150000000000004,0.10350000000000004,0.008000000000000007,16.000000000000014,0.6575342465753423,0.5427135678391958,0.11482067873614654,0.03,0.035,8,8
A2-B0-C2-r14_s273187,250,solap2,disp1,False,3.772882746073236,3.772882746073236,4.265452239301469,12.06388421930816,8.291001473234925,0.09132281553398058,0.2263349514563107,-0.1350121359223301,2.4916943521594686,1.0053619302949062,0.9440866666666666,0.633892,0.10850000000000003,0.10250000000000004,0.0059999999999999915,11.999999999999982,0.6307692307692307,0.5223880597014925,0.10838117106773826,0.035,0.036,8,8
A2-B0-C2-r17_s273478,181,solap0,disp1,False,3.887783357792488,3.887783357792488,5.418857385238891,16.868161764765087,12.9803784069726,0.06192733017377567,0.17156398104265402,-0.10963665086887836,2.770408163265306,1.0,0.9635626151012892,0.7285,0.1275,0.113,0.014499999999999999,28.999999999999996,0.9714285714285715,0.6716417910447762,0.29978678038379536,0.03,0.032,8,8
A2-B0-C2-r20_s373769,562,solap1,disp2,False,6.891643825305669,6.891643825305669,8.951329333762816,16.44297104727872,9.551327221973052,0.17026443604964922,0.4444144630329196,-0.2741500269832704,2.6719492868462758,1.02367941712204,0.8939051008303678,0.28704033214709374,0.11650000000000003,0.09900000000000003,0.0175,35.0,0.6619718309859155,0.6256684491978611,0.03630338178805437,0.025,0.043,8,8
A2-B0-C2-r39_s375612,1100,solap0,disp2,False,9.139872514498338,9.139872514498338,15.680095871821608,17.958003547668692,8.818131033170355,0.29414646093558655,0.6985060004898359,-0.40435953955424936,2.7477102414654455,1.1570827489481066,0.8144024242424243,0.2463648484848485,0.11200000000000002,0.1005,0.01150000000000001,23.00000000000002,0.7205882352941179,0.6451612903225804,0.07542694497153746,0.031,0.036,8,8
A2-B0-C2-r28_s374545,1149,solap1,disp2,False,12.459149219856544,12.459149219856544,15.38053114916355,22.267117577676235,9.80796835781969,0.30782873068153027,0.7185203952368888,-0.41069166455535855,2.8345679012345677,1.215444287729196,0.8057886178861788,0.3069429939077459,0.13399999999999998,0.10550000000000001,0.02849999999999997,56.999999999999936,0.9684684684684682,0.49253731343283574,0.4759311550356325,0.026,0.039,8,9
