rule_id,N,escala_b,dt,diam_real,giant_real,holon_real,n_aristas,n_triangulos,diam_null_topo,diam_null_topo_std,holon_null_valor,brazo,clase_final
A2-B0-C2-r0,2000,1,0.02,20.0,0.8455,0.7987973728213689,2347,87,18.666666666666668,0.4714045217910317,1.7790649787321677,C2-hard,III
A2-B0-C2-r0,1294,2,0.05,15.0,0.7828438948995363,0.7987973728213689,1617,87,13.0,1.6329931628554522,1.7790649787321677,C2-hard,III
A2-B0-C2-r0,885,4,0.09,9.0,0.6892655367231638,0.7987973728213689,1204,87,9.333333333333334,1.2472191299246471,1.7790649787321677,C2-hard,III
A2-B0-C2-r0,685,8,0.12,9.0,0.5985401459854015,0.7987973728213689,996,87,7.0,1e-09,1.7790649787321677,C2-hard,III
A2-B0-C2-r0,550,16,0.15,5.0,0.5,0.7987973728213689,823,87,5.0,1e-09,1.7790649787321677,C2-hard,III
A2-B0-C2-r0,2000,1,0.02,15.0,0.9925,0.7628882886409383,3228,9,13.333333333333334,0.4714045217910317,2.638807424339509,C2-budget,III
A2-B0-C2-r0,1144,2,0.07,11.0,0.9868881118881119,0.7628882886409383,2369,9,10.0,1e-09,2.638807424339509,C2-budget,III
A2-B0-C2-r0,673,4,0.12,7.0,0.9777117384843982,0.7628882886409383,1886,9,6.666666666666667,0.4714045217910317,2.638807424339509,C2-budget,III
A2-B0-C2-r0,428,8,0.15,5.0,0.9649532710280374,0.7628882886409383,1601,9,5.333333333333333,0.4714045217910317,2.638807424339509,C2-budget,III
A2-B0-C2-r0,301,16,0.18,4.0,0.9501661129568106,0.7628882886409383,1399,9,4.333333333333333,0.4714045217910317,2.638807424339509,C2-budget,III
A2-B0-C2-r0,2000,1,0.03,20.0,0.9775,1.4261436266848158,2805,3,16.666666666666668,1.699673172197595,2.741588270545204,C2-random,III
A2-B0-C2-r0,1173,2,0.09,11.0,0.9650468883205456,1.4261436266848158,1978,3,11.333333333333334,0.9428090425820633,2.741588270545204,C2-random,III
A2-B0-C2-r0,727,4,0.14,8.0,0.9436038514442916,1.4261436266848158,1528,3,8.0,1e-09,2.741588270545204,C2-random,III
A2-B0-C2-r0,468,8,0.18,6.0,0.9123931623931624,1.4261436266848158,1254,3,6.666666666666667,0.9428090425820633,2.741588270545204,C2-random,III
A2-B0-C2-r0,340,16,0.22,5.0,0.8794117647058823,1.4261436266848158,1097,3,4.333333333333333,0.4714045217910317,2.741588270545204,C2-random,III
A2-B0-C2-r0,2000,1,0.03,7.0,0.9995,1.510436456559732,6830,171,6.333333333333333,0.4714045217910317,1.672291175944438,C0,I
A2-B0-C2-r0,1098,2,0.11,5.0,0.9990892531876139,1.510436456559732,5905,171,5.666666666666667,0.4714045217910317,1.672291175944438,C0,I
A2-B0-C2-r0,639,4,0.18,5.0,0.9984350547730829,1.510436456559732,5364,171,4.333333333333333,0.4714045217910317,1.672291175944438,C0,I
A2-B0-C2-r0,404,8,0.24,3.0,0.9975247524752475,1.510436456559732,4888,171,4.0,1e-09,1.672291175944438,C0,I
A2-B0-C2-r0,278,16,0.29,4.0,0.9964028776978417,1.510436456559732,3970,171,4.0,1e-09,1.672291175944438,C0,I
A2-B0-C2-r1,2000,1,0.01,19.0,0.849,0.9957685280673134,2305,63,13.0,7.118052169020874,1.5200623801323723,C2-hard,III
A2-B0-C2-r1,1288,2,0.05,14.0,0.7864906832298136,0.9957685280673134,1573,63,13.333333333333334,0.4714045217910317,1.5200623801323723,C2-hard,III
A2-B0-C2-r1,866,4,0.08,9.0,0.6986143187066974,0.9957685280673134,1146,63,9.333333333333334,0.4714045217910317,1.5200623801323723,C2-hard,III
A2-B0-C2-r1,676,8,0.12,6.0,0.6198224852071006,0.9957685280673134,948,63,6.333333333333333,0.4714045217910317,1.5200623801323723,C2-hard,III
