tarea,genealogia,rule_id,brazo,seed,params_coinciden,clase_csv_reproducida,clase_vieja,clase_corregida,cambia_clase,pendiente_vieja,pendiente_corregida,z_agg_vieja,z_agg_corregida,diam_viejo,diam_corregido,n_cajas_viejo,n_cajas_corregido
presupuesto_emergente,,A2-B0-C2-r12,C0,91376,True,True,I,I,False,0.5349293022405287,0.5331577331646654,0.8106343977275561,0.8106343977275561,"[10.0, 7.0, 5.0, 4.0, 4.0]","[10.0, 7.0, 5.0, 4.0, 4.0]","[2000, 1136, 686, 422, 334]","[2000, 1136, 686, 416, 334]"
presupuesto_emergente,,A2-B0-C2-r12,C2-budget,91376,True,True,III,III,False,0.8105492909172464,0.8105492909172464,0.9554096728699587,0.9554096728699587,"[19.0, 14.0, 10.0, 6.0, 5.0]","[19.0, 14.0, 10.0, 6.0, 5.0]","[2000, 1174, 726, 491, 360]","[2000, 1174, 726, 491, 360]"
presupuesto_emergente,,A2-B0-C2-r12,C2-hard,91376,True,True,III,III,False,0.9602619260502044,0.9602619260502044,0.4175530703973287,0.47939327571660295,"[20.0, 12.0, 9.0, 6.0, 5.0]","[20.0, 12.0, 9.0, 6.0, 5.0]","[2000, 1250, 810, 592, 482]","[2000, 1250, 810, 592, 482]"
presupuesto_emergente,,A2-B0-C2-r12,C2-random,91376,True,True,III,III,False,0.8507502073923429,0.8584916920457313,1.0021081636330922,0.7293960876732146,"[20.0, 13.0, 10.0, 6.0, 5.0]","[20.0, 13.0, 9.0, 6.0, 5.0]","[2000, 1194, 740, 512, 386]","[2000, 1197, 747, 510, 389]"
presupuesto_emergente,,A2-B0-C2-r13,C0,91473,True,True,I,I,False,0.2785749309628757,0.27852947330451633,0.9899494915611667,0.9899494915611667,"[7.0, 5.0, 5.0, 4.0, 4.0]","[7.0, 5.0, 5.0, 4.0, 4.0]","[2000, 1095, 636, 404, 284]","[2000, 1095, 635, 404, 284]"
presupuesto_emergente,,A2-B0-C2-r13,C2-budget,91473,True,True,I,I,False,0.5181158196592097,0.5181158196592097,0.42426406781192816,0.42426406781192816,"[11.0, 8.0, 5.0, 5.0, 4.0]","[11.0, 8.0, 5.0, 5.0, 4.0]","[2000, 1131, 658, 416, 289]","[2000, 1131, 658, 416, 289]"
presupuesto_emergente,,A2-B0-C2-r13,C2-hard,91473,True,True,III,III,False,0.7636613357035101,0.7636613357035101,0.9899494915611664,0.9899494915611664,"[13.0, 9.0, 7.0, 5.0, 4.0]","[13.0, 9.0, 7.0, 5.0, 4.0]","[2000, 1218, 777, 546, 447]","[2000, 1218, 777, 546, 447]"
presupuesto_emergente,,A2-B0-C2-r13,C2-random,91473,True,True,I,I,False,0.5961173448521827,0.5800875811405563,0.42426406781192816,0.5656854237492379,"[12.0, 9.0, 6.0, 5.0, 4.0]","[12.0, 8.0, 7.0, 5.0, 4.0]","[2000, 1164, 690, 436, 315]","[2000, 1166, 698, 451, 327]"
presupuesto_emergente,,A2-B0-C2-r14,C0,91570,True,True,II,II,False,0.4166471991652571,0.41669169866642003,0.8485281356238568,0.8485281356238568,"[7.0, 6.0, 4.0, 4.0, 3.0]","[7.0, 6.0, 4.0, 4.0, 3.0]","[2000, 1096, 635, 395, 270]","[2000, 1095, 635, 395, 270]"
presupuesto_emergente,,A2-B0-C2-r14,C2-budget,91570,True,True,II,II,False,0.40959406846423196,0.40959406846423196,0.4242640678119288,0.4242640678119288,"[10.0, 6.0, 6.0, 5.0, 4.0]","[10.0, 6.0, 6.0, 5.0, 4.0]","[2000, 1123, 655, 419, 276]","[2000, 1123, 655, 419, 276]"
presupuesto_emergente,,A2-B0-C2-r14,C2-hard,91570,True,True,I,I,False,0.5753842016970598,0.5753842016970598,1.131370847498476,1.131370847498476,"[11.0, 9.0, 6.0, 5.0, 4.0]","[11.0, 9.0, 6.0, 5.0, 4.0]","[2000, 1157, 687, 470, 326]","[2000, 1157, 687, 470, 326]"
presupuesto_emergente,,A2-B0-C2-r14,C2-random,91570,True,True,I,I,False,0.5363677304584308,0.5384468170566229,1.131370847498476,1.131370847498476,"[11.0, 8.0, 6.0, 5.0, 4.0]","[11.0, 8.0, 6.0, 5.0, 4.0]","[2000, 1134, 691, 449, 310]","[2000, 1142, 705, 424, 328]"
presupuesto_emergente,,A2-B0-C2-r15,C0,91667,True,True,I,I,False,0.27274764305199134,0.27274764305199134,0.5656854237492379,0.5656854237492379,"[7.0, 5.0, 5.0, 4.0, 4.0]","[7.0, 5.0, 5.0, 4.0, 4.0]","[2000, 1083, 622, 403, 270]","[2000, 1083, 622, 403, 270]"
presupuesto_emergente,,A2-B0-C2-r15,C2-budget,91667,True,True,II,II,False,0.38546599826836375,0.38546599826836375,0.5656854237492379,0.5656854237492379,"[9.0, 7.0, 5.0, 5.0, 4.0]","[9.0, 7.0, 5.0, 5.0, 4.0]","[2000, 1116, 645, 399, 259]","[2000, 1116, 645, 399, 259]"
