rule_id,pico_L0,pico_base,pico_L4,pico_razon_extremos,masa_L0,masa_base,masa_L4,delta_L4_menos_L0,particulas_L4_menos_L0,spearman_pico_masa,p_spearman,pendiente_masa_por_dex_pico,monotona,t1_L0,t1_L4,kappa_v_L0,kappa_v_L4
A2-B0-C2-batch3-r111,10.076387336904382,14.903601369411886,45.80216516380474,4.545494692929882,0.09200000000000001,0.12200000000000003,0.19399999999999998,0.10199999999999997,203.99999999999991,0.9999999999999999,1.4042654220543602e-24,0.14256828953681713,True,0.061,0.008,0.766666666666666,0.26618705035971224
A2-B0-C2-batch3-r120,5.971989213724316,7.252821264358074,22.173178147657904,3.7128630602180923,0.07750000000000003,0.09250000000000004,0.18500000000000003,0.1075,215.0,0.9999999999999999,1.4042654220543602e-24,0.17874557835560287,True,0.056,0.008,0.5833333333333331,0.20058139534883712
A2-B0-C2-batch4-r1,8.50576372570313,11.43495169884778,34.56423146146172,4.063624687459146,0.09000000000000002,0.10750000000000003,0.1725,0.08249999999999996,164.99999999999991,0.9999999999999999,1.4042654220543602e-24,0.12808724695061088,True,0.059,0.008,0.6619718309859155,0.22480620155038764
A2-B0-C2-batch4-r12,7.496643066283309,8.79084888501245,24.22471260869923,3.231408030836044,0.07900000000000001,0.1005,0.16250000000000006,0.08350000000000005,167.00000000000009,0.9999999999999999,1.4042654220543602e-24,0.13935098142056626,True,0.065,0.008,0.5434782608695651,0.2773109243697478
A2-B0-C2-batch4-r31,6.7313022735036,8.16213088034305,22.76625539558128,3.3821472384617173,0.08250000000000002,0.09850000000000003,0.16400000000000003,0.08150000000000002,163.00000000000003,0.9999999999999999,1.4042654220543602e-24,0.14272923523796177,True,0.06,0.008,0.5106382978723402,0.3135593220338983
A2-B0-C2-batch4-r47,5.769747868911274,6.028091084201561,18.17210859279168,3.1495498600046585,0.08400000000000002,0.09300000000000001,0.16150000000000003,0.07750000000000001,155.00000000000003,0.9999999999999999,1.4042654220543602e-24,0.1485676466422699,True,0.065,0.009,0.5208333333333331,0.2993827160493828
A2-B0-C2-r1,10.997616334006326,12.25778896617674,27.53491694708205,2.503716815610292,0.07250000000000002,0.08700000000000002,0.12150000000000007,0.049000000000000044,98.00000000000009,0.9999999999999999,1.4042654220543602e-24,0.1117267611286558,True,0.064,0.0125,0.487179487179487,0.28571428571428564
A2-B0-C2-r14,6.707357610393728,7.870617297086977,24.55700772995505,3.6612044796749004,0.08650000000000002,0.09900000000000003,0.15550000000000003,0.069,138.0,0.9999999999999999,1.4042654220543602e-24,0.1140486920343122,True,0.071,0.009,0.6992481203007517,0.27433628318584063
A2-B0-C2-r17,12.793226642034274,18.34790695991243,62.004471192075904,4.846664014248751,0.09200000000000001,0.12100000000000004,0.16449999999999998,0.07249999999999997,144.99999999999994,0.9999999999999999,1.4042654220543602e-24,0.10054396178761546,True,0.053,0.007,0.9503546099290775,0.18978102189781024
A2-B0-C2-r2,7.824807256554844,7.527256426368226,17.31644865332959,2.213019194667523,0.06299999999999999,0.07600000000000001,0.10200000000000002,0.039000000000000035,78.00000000000007,0.8999999999999998,0.03738607346849874,0.08755612696508058,True,0.084,0.013,0.4166666666666667,0.2647058823529411
A2-B0-C2-r39,8.532490705369856,8.341468000805753,18.419552811410707,2.1587545123041862,0.06650000000000002,0.07850000000000001,0.11100000000000003,0.04450000000000001,89.00000000000003,0.8999999999999998,0.03738607346849874,0.11194723299476401,True,0.077,0.01,0.4678899082568808,0.2530120481927712
