test,condicion,rule_id,seed,N_sistema,pendiente,pendiente_null,z_agg,clase,holon_ratio,n_aristas_b1,grado_medio_b1,diam_b1,giant_b1,diam_por_escala,ncajas_por_escala,K,J,noise,meandeg,dt,kcap_base,kcap_media_emp,kcap_sd,kcap_cv,kcap_min,kcap_max,grado_inicial_medio
P3-het,HET-bimodal,A2-B0-C2-r10,91182,4000,1.1505369056293102,1.1795559381707086,0.38054822044269887,III,2.8761866662954896,5227,2.614,19.0,0.8835,19|13|10|6|5,4000|2641|1883|1484|1234,5,0.441,0.133,6.34,11.95,6,6.0,4.0,0.6666666666666666,2,10,6.34
P3-het,HET-bimodal,A2-B0-C2-r11,91279,4000,1.1532965957383245,1.1792870938365831,1.4142135593730945,III,2.7674491934315646,5569,2.784,19.0,0.90275,19|12|7|6|5,4000|2663|1909|1453|1240,8,0.561,0.315,6.93,13.23,6,6.0,4.0,0.6666666666666666,2,10,6.93
P3-het,HET-bimodal,A2-B0-C2-r12,91376,4000,1.1824132649215893,1.195221510655376,0.5311685646411839,III,2.039970858878339,4948,2.474,21.0,0.8835,21|14|10|6|5,4000|2600|1847|1392|1157,7,0.369,0.176,5.34,13.6,6,6.0,4.0,0.6666666666666666,2,10,5.34
P3-het,HET-bimodal,A2-B0-C2-r13,91473,4000,1.1413457834768013,1.0868046702410405,0.6380730611704393,III,2.0416502418094797,5609,2.804,19.0,0.90375,19|13|9|6|5,4000|2659|1902|1492|1195,7,0.527,0.286,7.06,18.33,6,6.0,4.0,0.6666666666666666,2,10,7.06
P3-het,HET-bimodal,A2-B0-C2-r14,91570,4000,1.1753813364906627,1.0810113960844259,0.8518820545289506,III,2.3675078195004056,5523,2.761,20.0,0.89475,20|12|10|6|5,4000|2673|1925|1471|1255,7,0.47,0.192,6.75,15.42,6,6.0,4.0,0.6666666666666666,2,10,6.75
P3-het,HET-potencia,A2-B0-C2-r0,90212,1000,1.3339875736378948,1.4022696915293953,0.7633019283656595,III,1.9771470960929676,967,1.934,22.0,0.739,22|17|12|9|5,1000|705|524|414|362,4,0.404,0.234,7.64,3.35,6,6.001,23.379029043140353,3.8958555312681806,2,622,7.64
P3-het,HET-potencia,A2-B0-C2-r1,90309,1000,1.365575861798766,1.179730109432775,1.043401740650794,III,3.0874421770052507,963,1.926,22.0,0.783,22|18|12|7|5,1000|681|499|382|340,7,0.688,0.281,5.78,2.97,6,5.998,21.345819169101947,3.5588228024511412,2,477,5.78
P3-het,HET-potencia,A2-B0-C2-r2,90406,1000,1.1347159840574057,1.143700390533972,1.2727922034357861,III,1.2988809026467758,1193,2.386,16.0,0.872,16|13|9|6|4,1000|660|474|358|302,7,0.508,0.259,7.01,3.48,6,5.999,10.534751966705244,1.7560846752300792,2,159,7.01
P3-het,HET-potencia,A2-B0-C2-r3,90503,1000,0.8580951490223928,0.9018899720972354,1.2348984655394846,III,2.596894607437326,1268,2.536,16.0,0.918,16|12|9|6|5,1000|635|435|315|249,5,0.66,0.313,5.34,3.62,6,5.997,11.663832603394136,1.9449445728521153,2,288,5.34
P3-het,HET-potencia,A2-B0-C2-r4,90600,1000,1.0474208184253737,1.0998942062023493,0.8206890774712481,IV,5.563793759556977,1158,2.316,19.0,0.874,19|14|8|7|5,1000|649|450|333|287,5,0.561,0.109,5.18,3.59,6,6.006,10.488563486007033,1.7463475667677377,2,189,5.18
