N,seed,mode,n_surv,f_surv,tau,orden_color,frac_color_neutral,L2_K6,meff_K6,null_L2_K6,ratio_L2_K6,grain_K6,L2_K8,meff_K8,null_L2_K8,ratio_L2_K8,grain_K8,L2_K12,meff_K12,null_L2_K12,ratio_L2_K12,grain_K12
250,1,qcd,126,0.504,240,0.5773502691896257,0.0,0.5773502691896258,0.3333333333333333,0.08132500607904443,7.09929573971954,0.4082482904638631,0.28889324957462376,0.5996374074633631,0.08333333333333333,3.4667189948954853,0.35355339059327373,0.2891112000013807,0.49924528301886806,0.08529438595319316,3.3895689237980524,0.2886751345948129
250,1,shuffle_b,126,0.504,240,0.5773502691896257,0.0,0.4084606432951092,0.49973998959958404,0.08132500607904443,5.022571322012604,0.4082482904638631,0.2638217482316613,0.6423369477261693,0.08333333333333333,3.165860978779936,0.35355339059327373,0.2891112000013807,0.49924528301886806,0.08529438595319316,3.3895689237980524,0.2886751345948129
250,2,qcd,127,0.508,240,0.5773860638683043,0.0,0.01731090020770724,0.9982052234187401,0.0810041961260418,0.21370374666482259,0.4082482904638631,0.28881380996557915,0.5997694481630224,0.08300460095396857,3.4794915781324596,0.35355339059327373,0.2891937077450589,0.4991026117093699,0.08495791763590296,3.4039641718201263,0.2886751345948129
250,2,shuffle_b,127,0.508,240,0.5773860638683043,0.0,0.01731090020770724,0.9982052234187401,0.0810041961260418,0.21370374666482259,0.4082482904638631,0.2888138099655791,0.5997694481630224,0.08300460095396857,3.4794915781324587,0.35355339059327373,0.2891937077450589,0.4991026117093699,0.08495791763590296,3.4039641718201263,0.2886751345948129
250,3,qcd,127,0.508,240,0.5774934345924064,0.0,0.28984370691224676,0.6648687522473932,0.0810041961260418,3.5781320076462775,0.4082482904638631,0.288867472881309,0.599680249851279,0.08300460095396857,3.480138083447985,0.35355339059327373,0.28940801793892135,0.4987322201607915,0.08495791763590296,3.406486717096964,0.2886751345948129
250,3,shuffle_b,127,0.508,240,0.5774934345924064,0.0,0.32339430396099794,0.6144380952380952,0.0810041961260418,3.9923154531130622,0.4082482904638631,0.35357531026784106,0.49996900185988846,0.08300460095396857,4.259707368076156,0.35355339059327373,0.43349418585230376,0.30721904761904767,0.08495791763590296,5.102457756910821,0.2886751345948129
250,4,qcd,128,0.512,240,0.5778081902218937,0.0,0.0,0.0,0.08068715304598785,0.0,0.4082482904638631,0.28895690638917076,0.5995316159250585,0.08267972847076846,3.494894235064305,0.35355339059327373,0.2896601366975903,0.4982968369829684,0.08462540004829125,3.4228510179248373,0.2886751345948129
250,4,shuffle_b,128,0.512,240,0.5778081902218937,0.0,0.408248290463863,0.5,0.08068715304598785,5.059644256269407,0.4082482904638631,0.2609889545076573,0.6472819216182049,0.08267972847076846,3.156625684854908,0.35355339059327373,0.2896601366975903,0.4982968369829684,0.08462540004829125,3.4228510179248373,0.2886751345948129
250,5,qcd,126,0.504,240,0.5774593575740078,0.0,0.0,0.0,0.08132500607904443,0.0,0.4082482904638631,0.2887842126771468,0.5998186489345626,0.08333333333333333,3.465410552125762,0.35355339059327373,0.28889324957462376,0.49962235649546827,0.08529438595319316,3.3870136509706414,0.2886751345948129
250,5,shuffle_b,126,0.504,240,0.5774593575740079,0.0,0.4084475818062011,0.4997559785261103,0.08132500607904443,5.022410713492078,0.4082482904638631,0.26364262288687446,0.6426489637305699,0.08333333333333333,3.1637114746424935,0.35355339059327373,0.28889324957462376,0.49962235649546827,0.08529438595319316,3.3870136509706414,0.2886751345948129
250,6,qcd,128,0.512,240,0.5780194160341848,0.0,0.29028880341600616,0.6641845927560213,0.08068715304598785,3.597707843906146,0.4082482904638631,0.2890625,0.5993561603745976,0.08267972847076846,3.4961713753353516,0.35355339059327373,0.2894493470007605,0.4986608229851473,0.08462540004829125,3.4203601617905153,0.2886751345948129
250,6,shuffle_b,128,0.512,240,0.5780194160341848,0.0,0.29028880341600616,0.6641845927560213,0.08068715304598785,3.597707843906146,0.4082482904638631,0.2634909680318758,0.6429132004394914,0.08267972847076846,3.1868871959954905,0.35355339059327373,0.2894493470007605,0.4986608229851473,0.08462540004829125,3.4203601617905153,0.2886751345948129
250,7,qcd,127,0.508,240,0.5773860638683043,0.0,0.5773502691896258,0.3333333333333333,0.0810041961260418,7.127411872482186,0.4082482904638631,0.2887064542105587,0.5999479244160095,0.08300460095396857,3.478198206996563,0.35355339059327373,0.28876461019891886,0.49984504772530064,0.08495791763590296,3.398913464857427,0.2886751345948129
250,7,shuffle_b,127,0.508,240,0.5773860638683043,0.0,0.44061081479589925,0.461930603519158,0.0810041961260418,5.439357908204073,0.4082482904638631,0.3544947127010538,0.49867054167697256,0.08300460095396857,4.27078389181877,0.35355339059327373,0.4419923348292156,0.29901742677048565,0.08495791763590296,5.202485502568757,0.2886751345948129
250,8,qcd,128,0.512,240,0.5774912066430102,0.0,0.5773502691896258,0.3333333333333333,0.08068715304598785,7.155417527999328,0.4082482904638631,0.2887984435824144,0.5997949919461122,0.08267972847076846,3.4929776491043936,0.35355339059327373,0.2890273064161355,0.4993903925871739,0.08462540004829125,3.415372999728248,0.2886751345948129
250,8,shuffle_b,128,0.512,240,0.5774912066430102,0.0,0.4090448732514971,0.49902534113060426,0.08068715304598785,5.06951674225463,0.4082482904638631,0.2657398648702336,0.6390015600624025,0.08267972847076846,3.214087295463075,0.35355339059327373,0.2890273064161355,0.4993903925871739,0.08462540004829125,3.415372999728248,0.2886751345948129
250,9,qcd,127,0.508,240,0.5773860638683043,0.0,0.0,0.0,0.0810041961260418,0.0,0.4082482904638631,0.2887064542105587,0.5999479244160095,0.08300460095396857,3.478198206996563,0.35355339059327373,0.2889792386164342,0.49947355382137987,0.08495791763590296,3.401439755796374,0.2886751345948129
250,9,shuffle_b,127,0.508,240,0.5773860638683043,0.0,0.4084475818062011,0.4997559785261103,0.0810041961260418,5.0423015268327624,0.4082482904638631,0.26155188169610566,0.6462974835710852,0.08300460095396857,3.151052817435423,0.35355339059327373,0.28897923861643426,0.49947355382138,0.08495791763590296,3.4014397557963743,0.2886751345948129
250,10,qcd,127,0.508,240,0.5776007853572696,0.0,0.0,0.0,0.0810041961260418,0.0,0.4082482904638631,0.2889211258299294,0.5995910780669146,0.08300460095396857,3.480784468684512,0.35355339059327373,0.2900499984336089,0.49762433666543254,0.08495791763590296,3.414043169897971,0.2886751345948129
250,10,shuffle_b,127,0.508,240,0.5776007853572696,0.0,0.4114253678777396,0.49612403100775193,0.0810041961260418,5.079062413477512,0.4082482904638631,0.26671593929644427,0.6373083609925715,0.08300460095396857,3.2132669301591554,0.35355339059327373,0.2900499984336089,0.49762433666543254,0.08495791763590296,3.414043169897971,0.2886751345948129
250,11,qcd,128,0.512,240,0.5774912066430102,0.0,0.28984370691224676,0.6648687522473932,0.08068715304598785,3.592191519597297,0.4082482904638631,0.28895690638917076,0.5995316159250585,0.08267972847076846,3.494894235064305,0.35355339059327373,0.28923840368572545,0.49902534113060426,0.08462540004829125,3.417867490383175,0.2886751345948129
250,11,shuffle_b,128,0.512,240,0.5774912066430102,0.0,0.28984370691224676,0.6648687522473932,0.08068715304598785,3.592191519597297,0.4082482904638631,0.26464663571803626,0.6409012674072915,0.08267972847076846,3.20086483849064,0.35355339059327373,0.28923840368572545,0.49902534113060426,0.08462540004829125,3.417867490383175,0.2886751345948129
250,12,qcd,128,0.512,240,0.5774912066430102,0.0,0.5782442314321632,0.3326460481099657,0.08068715304598785,7.166496890807282,0.4082482904638631,0.2887456033215051,0.5998828353837141,0.08267972847076846,3.4923385533806095,0.35355339059327373,0.2892384036857254,0.49902534113060426,0.08462540004829125,3.4178674903831747,0.2886751345948129
250,12,shuffle_b,128,0.512,240,0.5774912066430102,0.0,0.4505470104409423,0.45086564252621314,0.08068715304598785,5.583875417988188,0.4082482904638631,0.2912187315564969,0.5957818181818182,0.08267972847076846,3.522250700901343,0.35355339059327373,0.3707989508873598,0.3773723972728948,0.08462540004829125,4.381650788956559,0.2886751345948129
250,13,qcd,128,0.512,240,0.5774912066430102,0.0,0.5783313238805295,0.33257918552036203,0.08068715304598785,7.167576275134012,0.4082482904638631,0.2887984435824144,0.5997949919461122,0.08267972847076846,3.4929776491043936,0.35355339059327373,0.2894493470007605,0.4986608229851473,0.08462540004829125,3.4203601617905153,0.2886751345948129
250,13,shuffle_b,128,0.512,240,0.5774912066430102,0.0,0.4565095151731925,0.4443643354962749,0.08068715304598785,5.657771998883189,0.4082482904638631,0.2910615001593306,0.5960419091967404,0.08267972847076846,3.5203490086718876,0.35355339059327373,0.3740765539687922,0.37324585383634046,0.08462540004829125,4.420381513769228,0.2886751345948129
250,14,qcd,127,0.508,240,0.5773860638683043,0.0,0.29028880341600616,0.6641845927560213,0.0810041961260418,3.583626741561874,0.4082482904638631,0.2887064542105587,0.5999479244160095,0.08300460095396857,3.478198206996563,0.35355339059327373,0.28940801793892135,0.4987322201607916,0.08495791763590296,3.406486717096964,0.2886751345948129
