seed,variante,n_podadas,b,n_cajas,diam_viejo,diam_corregido,tam_comp_medida,tam_gigante,n_componentes,n_aislados,descarrila
80300,azar_P70,8153,2,4800,7.0,7.0,4110,4110,13,663,False
80300,azar_P70,8153,4,3094,6.0,6.0,2418,2418,2,674,False
80300,azar_P70,8153,8,2193,6.0,6.0,1518,1518,1,675,False
80300,azar_P70,8153,16,1645,5.0,5.0,970,970,1,675,False
80300,azar_P70,8153,32,1357,4.0,4.0,682,682,1,675,False
80300,costo_P90,2992,1,8000,10.0,10.0,7256,7256,56,615,False
80300,costo_P90,2992,2,4705,7.0,7.0,4022,4022,13,658,False
80300,costo_P90,2992,4,3015,7.0,7.0,2344,2344,2,669,False
80300,costo_P90,2992,8,1997,5.0,5.0,1327,1327,1,670,False
80300,costo_P90,2992,16,1504,5.0,5.0,834,834,1,670,False
80300,costo_P90,2992,32,1234,4.0,4.0,564,564,1,670,False
80300,azar_P90,2992,1,8000,9.0,9.0,7260,7260,56,611,False
80300,azar_P90,2992,2,4689,7.0,7.0,4009,4009,13,654,False
80300,azar_P90,2992,4,2971,6.0,6.0,2304,2304,2,665,False
80300,azar_P90,2992,8,2011,5.0,5.0,1345,1345,1,666,False
80300,azar_P90,2992,16,1528,5.0,5.0,862,862,1,666,False
80300,azar_P90,2992,32,1253,5.0,5.0,587,587,1,666,False
