rule_id,seed,lote,K,kcap,brazo,n_aristas,n_triangulos,T_objetivo,dif_max_triangulos,clustering_local,transitividad,gigante,solapamiento_aristas,pendiente_corr,frac_masa,kappa_v,n_sumideros,t_primer_sumidero,masa_acretada,dump_final,carpeta,frac_aristas_multi_tri,gini_tri_nodo,frac_nodos_en_triangulo,frac_aristas_en_triangulo,n_comp_tri,frac_mayor_comp_tri,modularidad_tri,dist_media_tri,tri_por_arista_media,tri_por_nodo_max,asortatividad,n_componentes,dist_media_azar,t_piso,n_triangulos_original,clustering_original
A2-B0-C2-batch3-r0,471829,471828,5,4,conc,2308,57,57,0,0.027916666666666666,0.034524530587522716,1733,0.002166377816291161,1.0282319761226375,0.14899999999999994,1.380281690140845,8,0.026,2801.2,cosmog_00500,A2-B0-C2-batch3-r0_s471829_f703_conc,0.22058823529411764,0.9593187134502924,0.0555,0.058925476603119586,29.0,0.10526315789473684,0.05867992875357807,10.869642857142857,1.2573529411764706,4.0,-0.27411139778189075,7.0,9.139838337182447,0.0,27.0,0.017
A2-B0-C2-batch3-r0,471829,471828,5,4,disj,2308,57,57,0,0.03191666666666667,0.034524530587522716,1729,0.0017331022530329288,1.069929993807504,0.1455,1.28095238095238,8,0.025,2735.4,cosmog_00500,A2-B0-C2-batch3-r0_s471829_f703_disj,0.0,0.9154941520467836,0.085,0.07409012131715771,56.0,0.03508771929824561,0.07381289441592652,9.726785714285713,1.0,2.0,-0.2623302307476062,9.0,9.496738215488215,0.0,27.0,0.017
A2-B0-C2-batch3-r0,471829,471828,5,4,disp,2308,57,57,0,0.03,0.034524530587522716,1733,0.0017331022530329288,0.9823305368591656,0.14999999999999994,1.375,8,0.03,2820.0000000000005,cosmog_00500,A2-B0-C2-batch3-r0_s471829_f703_disp,0.0,0.9145,0.0855,0.07409012131715771,57.0,0.017543859649122806,0.07381571033163224,9.660714285714285,1.0,1.0,-0.26538460738612457,7.0,9.462523619567499,0.0,27.0,0.017
A2-B0-C2-batch3-r0,471829,471828,5,4,libre,2308,57,57,0,0.03425,0.034524530587522716,1733,0.002166377816291161,1.0241424558496564,0.14849999999999997,1.2589285714285714,9,0.027,2791.8,cosmog_00500,A2-B0-C2-batch3-r0_s471829_f703_libre,0.023952095808383235,0.9230263157894737,0.081,0.07235701906412478,52.0,0.03508771929824561,0.07209818947883781,9.631250000000001,1.0239520958083832,2.0,-0.2784747929797741,7.0,9.19555427251732,0.0,27.0,0.017
A2-B0-C2-batch3-r0,471829,471828,5,4,solap,2308,57,57,0,0.021166666666666667,0.034524530587522716,1706,0.0030329289428076256,1.0734480628296532,0.15399999999999994,1.3713080168776366,8,0.026,2895.2000000000003,cosmog_00500,A2-B0-C2-batch3-r0_s471829_f703_solap,0.6896551724137931,0.9809444444444444,0.027,0.037694974003466206,11.0,0.17543859649122806,0.037546434449987835,5.042,1.9655172413793103,6.0,-0.2666936259454894,12.0,8.862805474095797,0.0,27.0,0.017
A2-B0-C2-batch3-r111,482596,471828,6,5,conc,3017,158,158,0,0.05041666666666667,0.05488652153774896,1872,0.001325820351342393,0.7676123667957634,0.12100000000000001,0.842857142857143,8,0.036,2274.7999999999997,cosmog_00500,A2-B0-C2-batch3-r111_s482596_f703_conc,0.27146814404432135,0.9059198312236287,0.133,0.11965528670865098,54.0,0.06962025316455696,0.11890322313431267,8.042356687898089,1.3130193905817173,6.0,-0.29980051375029704,1.0,7.307953938098246,0.0,37.0,0.01706666666666667
A2-B0-C2-batch3-r111,482596,471828,6,5,disj,3017,158,158,0,0.06138333333333333,0.05488652153774896,1870,0.001325820351342393,0.7046120120139873,0.11500000000000005,0.7101449275362319,8,0.038,2162.0,cosmog_00500,A2-B0-C2-batch3-r111_s482596_f703_disj,0.0,0.7830696202531645,0.2265,0.15710971163407358,137.0,0.0189873417721519,0.15639379281409332,7.388535031847136,1.0,2.0,-0.27558480640425026,2.0,7.246834314250044,0.0,37.0,0.01706666666666667
A2-B0-C2-batch3-r111,482596,471828,6,5,disp,3017,158,158,0,0.07103333333333334,0.05488652153774896,1872,0.0016572754391779914,0.739309514234362,0.11950000000000002,0.7681159420289854,8,0.035,2246.6,cosmog_00500,A2-B0-C2-batch3-r111_s482596_f703_disp,0.0021141649048625794,0.7659810126582278,0.2355,0.15677825654623798,156.0,0.012658227848101266,0.15617500169462892,7.564649681528664,1.0021141649048626,2.0,-0.2780512210413476,1.0,7.082843399251736,0.0,37.0,0.01706666666666667
A2-B0-C2-batch3-r111,482596,471828,6,5,libre,3017,158,158,0,0.06595000000000001,0.05488652153774896,1868,0.001325820351342393,0.8217836957600434,0.11700000000000002,0.7647058823529411,8,0.024,2199.6,cosmog_00500,A2-B0-C2-batch3-r111_s482596_f703_libre,0.01935483870967742,0.7920949367088608,0.2215,0.1541266158435532,136.0,0.0189873417721519,0.15345733364431743,7.493927125506073,1.0193548387096774,3.0,-0.28343248934046916,2.0,7.51959877294639,0.0,37.0,0.01706666666666667
A2-B0-C2-batch3-r111,482596,471828,6,5,solap,3017,158,158,0,0.037649999999999996,0.05488652153774896,1846,0.001325820351342393,0.9255904669756713,0.12799999999999997,0.9532710280373833,8,0.028,2406.4,cosmog_00500,A2-B0-C2-batch3-r111_s482596_f703_solap,0.8655913978494624,0.964753164556962,0.0475,0.06165064633742128,16.0,0.10126582278481013,0.0613839551787468,7.637013274336283,2.5483870967741935,9.0,-0.3045091235120283,5.0,7.295167118337851,0.0,37.0,0.01706666666666667
