exp,rule_id,seed,brazo,dens,geo,masa,pend,eje_comun,eje_geo_no_dens
F5B_40pares,A2-B0-C2-batch3-r0,471829.0,unico,2.308,0.8119999999999873,0.1504999999999999,1.0889055843285775,-2.167125807726779,-0.08764395491455404
F5B_40pares,A2-B0-C2-batch3-r1,471926.0,unico,4.038,0.5304999999999994,0.078,0.5443072908377857,0.685004348519771,-0.02599166136209843
F5B_40pares,A2-B0-C2-batch3-r10,472799.0,unico,3.126,0.6840000000000017,0.12,0.806767442496431,-0.843835669960678,-0.03320343144621216
F5B_40pares,A2-B0-C2-batch3-r100,481529.0,unico,2.374,0.8004999999999892,0.1499999999999999,1.2549922266543088,-2.054545882662756,-0.08906223738508902
F5B_40pares,A2-B0-C2-batch3-r104,481917.0,unico,3.344,0.6584999999999991,0.0985,0.6941227678174903,-0.5338612159010024,0.02399238851502714
F5B_40pares,A2-B0-C2-batch3-r107,482208.0,unico,3.248,0.6645000000000018,0.1065,0.6304170393073869,-0.6444447097132047,-0.02711377962693445
F5B_40pares,A2-B0-C2-batch3-r108,482305.0,unico,3.245,0.6810000000000026,0.098,0.754323966619054,-0.7287524334777872,0.05214114220158029
F5B_40pares,A2-B0-C2-batch3-r111,482596.0,unico,3.017,0.6955000000000021,0.122,0.9051550092250916,-0.9926273422331974,-0.06799689618415036
F5B_40pares,A2-B0-C2-batch3-r112,482693.0,unico,3.233,0.6750000000000015,0.1015,0.6476307093914708,-0.7091193745148099,0.012296875494332405
F5B_40pares,A2-B0-C2-batch3-r114,482887.0,unico,3.978,0.5454999999999993,0.0915,0.7685330652018251,0.5601296720713274,-0.0021730236350076416
F5B_40pares,A2-B0-C2-batch3-r12,472993.0,unico,3.272,0.693000000000001,0.1015,0.7435032678648847,-0.7654921504356891,0.1343560765840904
F5B_40pares,A2-B0-C2-batch3-r120,483469.0,unico,3.396,0.6630000000000003,0.0925,0.5745851449620949,-0.5123742629147522,0.09008733575394952
F5B_40pares,A2-B0-C2-batch3-r143,485700.0,unico,3.349,0.6530000000000007,0.1,0.7640298812029376,-0.5023901066887722,0.0009426158629102574
F5B_40pares,A2-B0-C2-batch3-r21,473866.0,unico,3.308,0.6670000000000014,0.0965,0.7248004383475681,-0.6063077998671546,0.03580534924836762
F5B_40pares,A2-B0-C2-batch3-r23,474060.0,unico,3.169,0.6780000000000014,0.1175,0.7756156905187959,-0.7778852599170843,-0.026730347072836072
F5B_40pares,A2-B0-C2-batch3-r25,474254.0,unico,3.134,0.6890000000000015,0.113,0.7951507684630403,-0.8618808197418427,-0.001684143168867188
F5B_40pares,A2-B0-C2-batch3-r26,474351.0,unico,3.258,0.6590000000000005,0.1115,0.7318596368941483,-0.6087629322209043,-0.04595288399900978
F5B_40pares,A2-B0-C2-batch3-r31,474836.0,unico,3.234,0.6725000000000018,0.117,0.8063707776237024,-0.6958861313441721,0.0007478996357170097
F5B_40pares,A2-B0-C2-batch3-r35,475224.0,unico,3.369,0.6690000000000009,0.0975,0.6334481872632115,-0.5648505344621668,0.0970883898767558
F5B_40pares,A2-B0-C2-batch3-r44,476097.0,unico,3.252,0.6815000000000009,0.1015,0.623750817921136,-0.7253357197886257,0.060514299696575964
