patch,seed,N,arm,k_local,D_max,d_s,delta_rel,n_ejes,PR,ejes_reales,holonomia,gigante,grado_medio,clustering,diam_fin,pasos
1,66103,5000,local,10,8,6.338,0.026,1,5.262,1,0.938,0.915,26.36,0.1677,5,20
1,66103,5000,sin_local,-1,8,5.927,0.038,1,6.01,1,0.896,0.909,52.14,0.0734,4,17
1,66103,5000,local_barajado,10,8,4.348,0.052,1,5.159,1,1.193,0.913,24.621,0.0523,1,20
1,66103,5000,local_marco_congelado,10,8,5.698,0.036,0,7.992,0,1.006,0.91,26.225,0.1698,5,20
4,66112,5000,local,10,8,6.511,0.031,1,5.567,1,0.912,0.907,26.362,0.1702,4,20
4,66112,5000,sin_local,-1,8,5.853,0.029,3,6.375,1,1.01,0.915,48.062,0.0868,4,16
4,66112,5000,local_barajado,10,8,4.31,0.052,2,6.099,1,1.106,0.916,24.682,0.0544,5,20
4,66112,5000,local_marco_congelado,10,8,6.604,0.032,0,7.985,0,0.965,0.91,26.185,0.1758,4,20
2,66106,5000,local,10,8,6.298,0.021,1,4.839,1,0.934,0.916,26.326,0.1755,5,20
2,66106,5000,sin_local,-1,8,6.076,0.044,1,6.868,1,1.017,0.915,52.867,0.0781,4,17
2,66106,5000,local_barajado,10,8,4.454,0.053,1,5.341,1,1.101,0.917,24.702,0.0462,5,20
2,66106,5000,local_marco_congelado,10,8,5.279,0.046,0,7.989,0,1.162,0.909,25.904,0.1661,5,20
3,66109,5000,local,10,8,6.406,0.032,1,6.016,1,1.015,0.909,26.199,0.1677,5,20
3,66109,5000,sin_local,-1,8,6.013,0.043,1,5.987,1,1.0,0.91,51.982,0.0798,4,17
3,66109,5000,local_barajado,10,8,4.41,0.05,1,5.543,1,0.972,0.915,24.694,0.0478,5,20
3,66109,5000,local_marco_congelado,10,8,4.102,0.031,0,7.99,0,1.029,0.907,26.369,0.1618,5,20
0,66100,5000,local,10,8,5.237,0.035,3,5.816,1,1.033,0.911,26.411,0.1753,5,20
0,66100,5000,sin_local,-1,8,5.926,0.036,1,6.701,1,0.976,0.909,52.937,0.0766,4,17
0,66100,5000,local_barajado,10,8,4.346,0.049,1,6.128,1,1.161,0.908,24.537,0.0489,4,20
0,66100,5000,local_marco_congelado,10,8,6.311,0.032,0,7.994,0,1.029,0.907,26.45,0.1783,4,20
5,66115,5000,local,10,8,6.48,0.023,2,6.24,1,0.861,0.915,26.426,0.1679,4,20
5,66115,5000,sin_local,-1,8,5.76,0.035,3,5.979,1,0.867,0.909,52.459,0.0789,4,17
5,66115,5000,local_barajado,10,8,4.378,0.049,1,5.32,1,1.183,0.915,24.658,0.0595,5,20
5,66115,5000,local_marco_congelado,10,8,6.131,0.024,0,7.991,0,1.165,0.908,26.244,0.1633,5,20
6,66118,5000,local,10,8,5.903,0.035,1,5.539,1,1.0,0.91,26.29,0.1683,4,20
6,66118,5000,sin_local,-1,8,6.182,0.031,1,6.296,1,0.902,0.916,48.154,0.0946,4,16
6,66118,5000,local_barajado,10,8,4.401,0.048,2,5.182,1,1.151,0.905,24.351,0.0547,5,20
6,66118,5000,local_marco_congelado,10,8,6.295,0.027,0,7.987,0,0.927,0.914,26.382,0.1698,4,20
8,66124,5000,local,10,8,6.284,0.034,1,6.395,1,0.902,0.904,25.994,0.1639,4,20
8,66124,5000,sin_local,-1,8,5.661,0.04,1,6.258,1,0.89,0.91,52.242,0.0819,5,17
8,66124,5000,local_barajado,10,8,4.298,0.049,1,5.673,1,1.179,0.914,24.638,0.049,5,20
8,66124,5000,local_marco_congelado,10,8,6.063,0.036,0,7.988,0,1.182,0.913,26.342,0.163,4,20
7,66121,5000,local,10,8,6.174,0.036,2,6.221,1,1.043,0.906,26.123,0.1857,5,20
7,66121,5000,sin_local,-1,8,5.994,0.04,1,5.173,1,0.871,0.908,51.67,0.083,4,17
7,66121,5000,local_barajado,10,8,4.383,0.052,1,5.014,1,1.104,0.91,24.575,0.0565,5,20
7,66121,5000,local_marco_congelado,10,8,6.184,0.036,0,7.988,0,0.949,0.91,26.229,0.1603,4,20
11,66133,5000,local,10,8,5.811,0.036,3,5.746,1,0.976,0.91,26.01,0.161,5,20
11,66133,5000,sin_local,-1,8,5.873,0.037,1,5.562,1,0.867,0.906,51.568,0.0885,4,17
11,66133,5000,local_barajado,10,8,4.492,0.048,3,5.333,1,1.085,0.907,24.386,0.0483,5,20
11,66133,5000,local_marco_congelado,10,8,6.215,0.029,0,7.989,0,1.13,0.918,26.329,0.1584,4,20
9,66127,5000,local,10,8,5.671,0.033,1,5.389,1,0.96,0.91,26.157,0.1623,5,20
9,66127,5000,sin_local,-1,8,5.706,0.033,1,5.937,1,1.029,0.907,52.11,0.0737,4,17
9,66127,5000,local_barajado,10,8,4.421,0.049,1,5.361,1,1.095,0.902,24.309,0.0514,5,20
9,66127,5000,local_marco_congelado,10,8,5.81,0.029,0,7.988,0,1.186,0.915,26.195,0.164,4,20
10,66130,5000,local,10,8,6.611,0.024,1,5.117,1,0.906,0.911,26.154,0.1703,5,20
10,66130,5000,sin_local,-1,8,5.721,0.035,1,6.246,1,0.84,0.911,52.411,0.0803,4,17
10,66130,5000,local_barajado,10,8,4.271,0.049,3,6.012,1,1.169,0.908,24.426,0.0494,5,20
10,66130,5000,local_marco_congelado,10,8,6.352,0.026,0,7.991,0,1.178,0.913,26.332,0.1613,4,20
12,66136,5000,local,10,8,6.277,0.032,3,5.961,1,0.948,0.905,26.053,0.1701,4,20
12,66136,5000,sin_local,-1,8,6.06,0.032,3,6.336,1,0.932,0.913,52.131,0.0801,4,17
12,66136,5000,local_barajado,10,8,4.344,0.051,1,4.935,1,1.14,0.905,24.377,0.0578,5,20
12,66136,5000,local_marco_congelado,10,8,6.702,0.03,0,7.991,0,0.953,0.916,26.496,0.17,1,20
14,66142,5000,local,10,8,5.984,0.025,1,5.647,1,0.947,0.908,25.888,0.1602,4,20
14,66142,5000,sin_local,-1,8,6.203,0.041,2,6.511,1,0.942,0.915,48.087,0.0933,4,16
14,66142,5000,local_barajado,10,8,4.297,0.052,2,5.719,1,1.042,0.909,24.453,0.0511,5,20
14,66142,5000,local_marco_congelado,10,8,6.433,0.027,0,7.987,0,1.028,0.911,26.614,0.1764,4,20
13,66139,5000,local,10,8,6.519,0.028,1,5.349,1,0.971,0.911,26.613,0.1742,4,20
13,66139,5000,sin_local,-1,8,5.646,0.042,1,6.325,1,0.956,0.905,52.578,0.0756,4,17
13,66139,5000,local_barajado,10,8,4.415,0.049,1,5.897,1,1.138,0.9,24.262,0.054,5,20
13,66139,5000,local_marco_congelado,10,8,6.459,0.03,0,7.982,0,0.998,0.91,26.191,0.1794,5,20
16,66148,5000,local,10,8,5.805,0.04,2,5.98,1,0.906,0.906,25.676,0.1615,5,20
16,66148,5000,sin_local,-1,8,6.049,0.038,1,6.146,1,0.883,0.904,51.849,0.0814,4,17
16,66148,5000,local_barajado,10,8,4.34,0.051,2,6.226,1,1.143,0.915,24.769,0.0499,5,20
16,66148,5000,local_marco_congelado,10,8,6.236,0.027,0,7.989,0,0.981,0.916,26.478,0.1659,4,20
15,66145,5000,local,10,8,6.025,0.034,1,5.42,1,1.008,0.917,26.59,0.1713,4,20
15,66145,5000,sin_local,-1,8,5.781,0.04,1,6.123,1,1.11,0.917,52.897,0.0772,4,17
15,66145,5000,local_barajado,10,8,4.361,0.047,1,5.675,1,1.185,0.91,24.458,0.0488,5,20
15,66145,5000,local_marco_congelado,10,8,6.693,0.025,0,7.99,0,1.102,0.904,26.006,0.1764,4,20
17,66151,5000,local,10,8,6.112,0.03,1,4.334,1,1.036,0.911,26.454,0.1779,4,20
17,66151,5000,sin_local,-1,8,6.006,0.04,2,5.806,1,0.907,0.911,53.142,0.0796,4,17
17,66151,5000,local_barajado,10,8,4.364,0.051,2,6.058,1,1.118,0.911,24.516,0.0591,5,20
17,66151,5000,local_marco_congelado,10,8,7.174,0.027,0,7.987,0,0.868,0.915,26.291,0.1761,5,20
18,66154,5000,local,10,8,6.78,0.026,3,6.111,1,0.945,0.914,26.377,0.1747,5,20
18,66154,5000,sin_local,-1,8,6.069,0.037,1,5.653,1,0.976,0.914,52.002,0.092,4,17
18,66154,5000,local_barajado,10,8,4.447,0.052,2,6.005,1,1.049,0.914,24.661,0.0517,5,20
18,66154,5000,local_marco_congelado,10,8,5.604,0.036,0,7.989,0,1.01,0.916,26.234,0.1665,5,20
19,66157,5000,local,10,8,6.569,0.027,2,6.14,1,0.951,0.911,26.206,0.1745,5,20
19,66157,5000,sin_local,-1,8,5.122,0.041,1,5.781,1,1.065,0.908,52.07,0.0805,4,17
19,66157,5000,local_barajado,10,8,4.416,0.051,1,5.901,1,1.139,0.909,24.536,0.0498,1,20
19,66157,5000,local_marco_congelado,10,8,5.988,0.027,0,7.991,0,0.97,0.906,26.178,0.1708,5,20
22,66166,5000,local,10,8,5.845,0.025,2,5.69,1,0.945,0.912,26.045,0.1585,5,20
22,66166,5000,sin_local,-1,8,5.699,0.038,2,6.435,1,0.945,0.906,52.104,0.0756,4,17
22,66166,5000,local_barajado,10,8,4.311,0.049,1,6.021,1,1.157,0.914,24.611,0.0422,5,20
22,66166,5000,local_marco_congelado,10,8,6.119,0.037,0,7.986,0,1.064,0.915,26.506,0.1662,5,20
20,66160,5000,local,10,8,6.582,0.021,3,5.68,1,0.742,0.908,25.912,0.1713,5,20
20,66160,5000,sin_local,-1,8,5.678,0.042,1,5.884,1,0.961,0.909,52.588,0.076,4,17
20,66160,5000,local_barajado,10,8,4.37,0.05,1,5.86,1,1.141,0.91,24.609,0.0527,5,20
20,66160,5000,local_marco_congelado,10,8,6.571,0.032,0,7.986,0,0.933,0.908,26.37,0.1686,1,20
21,66163,5000,local,10,8,6.343,0.031,2,5.488,1,0.967,0.909,26.394,0.1662,4,20
21,66163,5000,sin_local,-1,8,5.948,0.038,2,6.227,1,1.048,0.908,52.012,0.0869,4,17
21,66163,5000,local_barajado,10,8,4.465,0.051,1,4.592,1,1.011,0.913,24.578,0.0539,5,20
21,66163,5000,local_marco_congelado,10,8,7.065,0.028,0,7.99,0,0.943,0.907,26.215,0.1777,5,20
23,66169,5000,local,10,8,6.058,0.034,1,5.888,1,1.028,0.914,26.122,0.1638,5,20
23,66169,5000,sin_local,-1,8,6.026,0.044,1,6.049,1,0.854,0.911,52.763,0.0842,4,17
23,66169,5000,local_barajado,10,8,4.438,0.048,1,5.412,1,1.144,0.909,24.438,0.0538,5,20
23,66169,5000,local_marco_congelado,10,8,6.632,0.021,0,7.988,0,0.97,0.91,26.112,0.1686,5,20
25,66175,5000,local,10,8,6.603,0.029,2,5.918,1,0.905,0.903,26.183,0.1652,5,20
25,66175,5000,sin_local,-1,8,5.564,0.042,1,6.478,1,1.065,0.919,48.322,0.0821,4,16
25,66175,5000,local_barajado,10,8,4.372,0.051,1,6.052,1,1.173,0.907,24.346,0.052,5,20
25,66175,5000,local_marco_congelado,10,8,5.737,0.035,0,7.984,0,1.149,0.91,26.06,0.1557,5,20
24,66172,5000,local,10,8,5.647,0.04,2,6.527,1,1.016,0.918,26.298,0.1627,5,20
