cfg_id,k,Pk_real,Pk_null
F3D00,1.0,0.7564146040719315,0.0500299992830842
F3D00,2.0,0.08281819952999424,0.043046476375204604
F3D00,3.0,0.04239675924811161,0.03582295233852267
F3D00,4.0,0.02759125851464595,0.043759795419090634
F3D00,5.0,0.016383319755278958,0.04188602145733422
F3D00,6.0,0.009944002138814214,0.03892791715538707
F3D00,7.0,0.009507898766160249,0.038558930445890045
F3D00,8.0,0.00705023655407694,0.03939174994695309
F3D00,9.0,0.005846359650581072,0.03973087050500109
F3D00,10.0,0.004810198984217804,0.042785676227748724
F3D00,11.0,0.004496100666654419,0.04258949584377657
F3D00,12.0,0.0036320202556913315,0.0426340433563485
F3D00,13.0,0.003435002271332212,0.04079450655268546
F3D00,14.0,0.0029560346299039387,0.04278218078748109
F3D00,15.0,0.0027825142996588626,0.04174178720068225
F3D00,16.0,0.0026908285909268844,0.03998122730886306
F3D00,17.0,0.00241285838292614,0.042245659361515295
F3D00,18.0,0.002342029789946252,0.04155766478749873
F3D00,19.0,0.0022214591669001207,0.043227283830741016
F3D00,20.0,0.002110866417872158,0.041054647759863734
F3D00,21.0,0.0021345847234107546,0.04122306474576154
F3D00,22.0,0.002026987203388114,0.0424752396358167
F3D00,23.0,0.002024178103351397,0.04191171297442241
F3D00,24.0,0.0019716982842250996,0.04184109670032743
F3D01,1.0,0.33225226588417156,0.034077352173514465
F3D01,2.0,0.26442156930957644,0.04360336155118907
F3D01,3.0,0.10414381126261307,0.04221971895379371
F3D01,4.0,0.0736236002365469,0.04472379927683249
F3D01,5.0,0.04057342192103334,0.04334857458616036
F3D01,6.0,0.03016298887874793,0.03739262977008078
F3D01,7.0,0.021862456685404794,0.04208889015951175
F3D01,8.0,0.018375512394113648,0.03925576319830565
F3D01,9.0,0.01509680223809739,0.04176251646998337
F3D01,10.0,0.01225609199034255,0.04056559161534726
F3D01,11.0,0.010472711246957004,0.04147560091715801
F3D01,12.0,0.009885020895055713,0.042931869286048224
F3D01,13.0,0.008241252166556325,0.0434184295415304
F3D01,14.0,0.007280472330062139,0.040147486331921584
F3D01,15.0,0.0069361935275890725,0.04260378214223411
F3D01,16.0,0.006263583847928358,0.04293516993632843
F3D01,17.0,0.005750152840925062,0.04133481681440166
F3D01,18.0,0.005521063045765752,0.043091377019186194
F3D01,19.0,0.005179056065357379,0.04107991219213607
F3D01,20.0,0.004922471276987344,0.04252873692903976
F3D01,21.0,0.004668950894878861,0.04185769548821669
F3D01,22.0,0.00427313570777349,0.04206775345638464
F3D01,23.0,0.004272013198765408,0.04280865224325904
F3D01,24.0,0.0035654021547504595,0.042680519947436296
F3D02,1.0,0.17061084134148224,0.04186716182039565
F3D02,2.0,0.19901463868176483,0.028348086807097897
F3D02,3.0,0.11474651739117532,0.052000359353504055
F3D02,4.0,0.10749916778439078,0.039585313508397266
F3D02,5.0,0.07416742056454725,0.0383472202000232
F3D02,6.0,0.0495648274220589,0.04203623122450546
F3D02,7.0,0.03703501175952762,0.04133805928306894
F3D02,8.0,0.03241670371877094,0.039938774184919264
F3D02,9.0,0.026286177228954325,0.04151193130050422
F3D02,10.0,0.023180367704285103,0.04277714543453358
F3D02,11.0,0.021142927641180642,0.044708856835031216
F3D02,12.0,0.017419793315784235,0.04250534959891499
F3D02,13.0,0.015955791993864363,0.041052396296691065
F3D02,14.0,0.014448057484719235,0.04402466585994554
F3D02,15.0,0.012915550024387068,0.04186587365064311
F3D02,16.0,0.011673204114931376,0.041212855808680976
F3D02,17.0,0.011010323033018072,0.04076636880688178
F3D02,18.0,0.010279240345611744,0.04220056077807299
F3D02,19.0,0.009845622978996667,0.04147117772089396
F3D02,20.0,0.008949373946826345,0.0420043561300075
F3D02,21.0,0.00849452022787247,0.041545231861145455
F3D02,22.0,0.008568202491925012,0.04314950651037573
F3D02,23.0,0.008112161468966641,0.04364794528491064
F3D02,24.0,0.006663557334958758,0.042094571740855506
R3D01,1.0,0.0,0.027063347513903525
R3D01,2.0,0.0,0.049546608805313974
R3D01,3.0,0.0,0.03636247426747587
R3D01,4.0,0.0,0.041810642522655955
R3D01,5.0,0.0,0.0433031452690484
R3D01,6.0,0.0,0.04145909381967067
R3D01,7.0,0.0,0.04582874346670938
R3D01,8.0,0.0,0.039825505374303974
R3D01,9.0,0.0,0.042434133844821996
R3D01,10.0,0.0,0.043822025719750524
R3D01,11.0,0.0,0.0398587932320615
R3D01,12.0,0.0,0.04292057330790474
R3D01,13.0,0.0,0.04104123668313172
R3D01,14.0,3.2798487846664158e-96,0.04303303586778105
R3D01,15.0,0.0,0.04223220217112458
R3D01,16.0,0.0,0.04201453103590039
R3D01,17.0,0.0,0.040529331544058786
R3D01,18.0,0.0,0.042327689632281354
R3D01,19.0,0.0,0.04331343547756393
R3D01,20.0,0.0,0.04098180082702907
R3D01,21.0,0.0,0.04145677746315247
R3D01,22.0,0.0,0.04282075438867149
R3D01,23.0,0.0,0.04348608175886684
R3D01,24.0,1.0,0.042528036006817774
