contraste,n,delta_medio,delta_particulas,ee_particulas,ic95_lo,ic95_hi,signos_pos,p_wilcoxon,p_t,p_binomial
"ANCLA solap-disp (promedio de R, sin controlar el pico)",12,0.013249999999999979,26.499999999999957,5.4803751499793965,15.75846470604034,37.24153529395957,12,0.00048828125,0.000522797479113286,0.00048828125
CONTROL par elegido (pico igualado por selección),12,0.01020833333333333,20.416666666666657,4.193173263794615,12.198047069629213,28.635286263704103,12,0.00048828125,0.0004954786410049682,0.00048828125
CONTROL sólo IGUALADOS (|d_pico|<=1.38),3,0.004500000000000008,9.000000000000016,4.582575694955822,0.01815163788660562,17.98184836211343,3,0.25,0.1884973287993094,0.25
CONTROL sólo NO igualados,9,0.012111111111111104,24.222222222222207,4.82118524436614,14.772699143264573,33.67174530117984,9,0.00390625,0.0010216161386728479,0.00390625
