rule_id,seed,lote,K,kcap,brazo,n_nodos,n_aristas,grado_medio,grados_identicos,n_nodos_grado_distinto,solapamiento_aristas,clustering_local,transitividad,n_triangulos,T_objetivo,dif_max_triangulos,gigante,n_componentes,asortatividad,pendiente_corr,z_agg,diams,n_cajas,clustering_original,transitividad_original,n_triangulos_original,t_piso,t_techo_brazo,t_techo_brazo_sin_restriccion,n_swaps_aceptados,k_elegido,t_swaps_s,acc_baja,t_bajar_s,gigante_original,semilla_base,pendiente_corr_csv_ref,frac_masa_fase5b,n_triangulos_medido,frac_nodos_en_triangulo,frac_aristas_en_triangulo,frac_aristas_multi_tri,tri_por_arista_media,tri_por_nodo_max,gini_tri_nodo,n_comp_tri,tam_mayor_comp_tri,frac_mayor_comp_tri,tam_medio_comp_tri,modularidad_tri,dist_media_tri,dist_media_azar,t_ic_s,carpeta,t_total_grafo_s,N_objetivo,layout,theta,t_layout_ic_s
A2-B0-C2-r39,375612,371828,5,6,solap,4000,8289,4.1445,True,0,0.0014477017734346724,0.1472083333333333,0.1783098318866768,1842,1842,0,3833,14,-0.0679414972075003,0.7448882552381423,7.2300756994032955,"[19.0, 15.0, 12.0, 7.0, 5.0]","[4000, 2305, 1421, 919, 661]",0.0012749999999999999,0.0016456390565002743,17,0,1842,2302,1881,1500,163.1,41254,14.4,3947,3680997617,0.7271595357141946,0.07850000000000001,1842,0.19975,0.22210158040776934,0.9011406844106464,3.0016295491580665,15.0,0.8566507419471588,89,39,0.021172638436482084,20.696629213483146,0.22138818689150486,9.431051880089498,6.3734559846903265,1537.83,/Users/alexis/phantom_cs073/bateria_fase8_f806_n4000/A2-B0-C2-r39_s375612_f703_solap,2823.4,4000,layout_resortes_N2_exacto,,1536.95
A2-B0-C2-r39,375612,371828,5,6,disj,4000,8289,4.1445,True,0,0.0016889854023404512,0.2633083333333333,0.1783098318866768,1842,1842,0,3949,2,-0.04623180352710142,0.5669624522424418,2.0076391253707393,"[13.0, 11.0, 8.0, 5.0, 5.0]","[4000, 2305, 1367, 855, 604]",0.0012749999999999999,0.0016456390565002743,17,0,2228,2228,2226,1840,298.8,41254,14.4,3947,3680997617,0.7271595357141946,0.07850000000000001,1842,0.90925,0.6666666666666666,0.0,1.0,3.0,0.2669944806369888,105,1662,0.9022801302931596,17.542857142857144,0.12686230158121986,6.8685,6.994638635596083,772.62,/Users/alexis/phantom_cs073/bateria_fase8_f806_n4000/A2-B0-C2-r39_s375612_f703_disj,2823.4,4000,layout_resortes_N2_exacto,,772.27
