rule_id,N,dt,diam_real,giant_real,holon_real,n_aristas,n_triangulos,diam_null_topo,diam_null_topo_std,holon_null_valor,eje_A,eje_B,eje_C,clase_final,pendiente_real,z_agg,holon_ratio
A0-B0-C0-r0,500,0.04,4.0,1.0,1.7964856419319233,3630,1500,4.0,1e-09,1.4806231360039401,A0,B0,C0,I,1.2636938013599596e-16,0.0,0.8645028305040965
A0-B0-C0-r0,1000,0.1,4.0,1.0,1.7071027088342676,7195,1500,4.0,1e-09,1.4658229700250118,A0,B0,C0,I,1.2636938013599596e-16,0.0,0.8645028305040965
A0-B0-C0-r0,1500,0.13,4.0,1.0,1.6865997771232826,11082,1500,4.0,1e-09,1.555293120492488,A0,B0,C0,I,1.2636938013599596e-16,0.0,0.8645028305040965
A0-B0-C0-r0,2000,0.15,4.0,1.0,1.7383155276527704,14846,1500,4.0,1e-09,1.4828272829691451,A0,B0,C0,I,1.2636938013599596e-16,0.0,0.8645028305040965
A0-B0-C0-r1,500,0.04,4.0,1.0,1.8651661463428273,3707,1500,4.0,1e-09,1.529985826530024,A0,B0,C0,I,0.06258736776863633,0.0,0.8155046467352883
A0-B0-C0-r1,1000,0.08,4.0,1.0,1.8380722205960167,7289,1500,4.0,1e-09,1.4831149632536875,A0,B0,C0,I,0.06258736776863633,0.0,0.8155046467352883
A0-B0-C0-r1,1500,0.14,5.0,1.0,1.8299019435959514,10938,1500,4.0,1e-09,1.5284122062279433,A0,B0,C0,I,0.06258736776863633,0.0,0.8155046467352883
A0-B0-C0-r1,2000,0.19,4.0,1.0,1.8562220150401145,14641,1500,4.0,1e-09,1.48422607739194,A0,B0,C0,I,0.06258736776863633,0.0,0.8155046467352883
A0-B0-C0-r2,500,0.04,5.0,1.0,1.8843105767989248,2489,1026,4.666666666666667,0.4714045217910317,1.4389656085573068,A0,B0,C0,I,0.09951454521772848,0.7071067796865473,0.7586315117434705
A0-B0-C0-r2,1000,0.07,5.0,1.0,1.8893353469589966,5172,1095,5.0,1e-09,1.3996464530675525,A0,B0,C0,I,0.09951454521772848,0.7071067796865473,0.7586315117434705
A0-B0-C0-r2,1500,0.1,5.0,1.0,1.9044180834900166,7750,1161,5.333333333333333,0.4714045217910317,1.459516545104605,A0,B0,C0,I,0.09951454521772848,0.7071067796865473,0.7586315117434705
A0-B0-C0-r2,2000,0.14,6.0,1.0,1.9357081627155264,10559,1230,5.333333333333333,0.4714045217910317,1.4782442701784622,A0,B0,C0,I,0.09951454521772848,0.7071067796865473,0.7586315117434705
A1-B0-C0-r0,500,0.23,7.0,0.996,1.1590683907425574,1305,84,7.666666666666667,0.9428090425820633,1.2909822575579444,A1,B0,C0,I,0.14127831584408515,0.5971453953769452,1.3280157123030591
A1-B0-C0-r0,1000,0.57,10.0,0.992,1.1932722475455937,2610,66,8.0,1e-09,1.4568830839558093,A1,B0,C0,I,0.14127831584408515,0.5971453953769452,1.3280157123030591
A1-B0-C0-r0,1500,0.84,8.0,0.9953333333333333,0.8350218016746824,3915,81,8.333333333333334,1.2472191299246471,1.6197415444858108,A1,B0,C0,I,0.14127831584408515,0.5971453953769452,1.3280157123030591
A1-B0-C0-r0,2000,1.44,9.0,0.9945,1.3962660455682618,5220,69,8.333333333333334,0.4714045217910317,1.4487360006080696,A1,B0,C0,I,0.14127831584408515,0.5971453953769452,1.3280157123030591
A1-B0-C0-r1,500,0.32,6.0,1.0,1.117964274879056,1827,198,5.333333333333333,0.4714045217910317,1.6890798341292765,A1,B0,C0,I,0.11296250061056347,1.0606601695298217,1.2739594551006865
A1-B0-C0-r1,1000,0.61,7.0,1.0,1.3587225135781602,3655,150,6.333333333333333,0.4714045217910317,1.5320102290754425,A1,B0,C0,I,0.11296250061056347,1.0606601695298217,1.2739594551006865
A1-B0-C0-r1,1500,1.03,7.0,0.9993333333333333,1.144328947614298,5482,186,6.333333333333333,0.4714045217910317,1.4505589802385208,A1,B0,C0,I,0.11296250061056347,1.0606601695298217,1.2739594551006865
A1-B0-C0-r1,2000,1.28,7.0,0.9995,1.2464721527503737,7310,204,7.0,0.816496581927726,1.4831034198925144,A1,B0,C0,I,0.11296250061056347,1.0606601695298217,1.2739594551006865
A1-B0-C0-r2,500,0.23,5.0,0.998,0.86020302727012,1547,138,6.333333333333333,0.4714045217910317,1.2301636325287608,A1,B0,C0,II,0.3569056579058139,1.237436864451458,1.6003048082099989
A1-B0-C0-r2,1000,0.53,7.0,0.997,0.7967874759238902,3095,117,6.666666666666667,0.4714045217910317,1.5081625766574944,A1,B0,C0,II,0.3569056579058139,1.237436864451458,1.6003048082099989
A1-B0-C0-r2,1500,0.73,8.0,0.998,0.8390512636432205,4642,114,7.333333333333333,0.4714045217910317,1.5295222481214483,A1,B0,C0,II,0.3569056579058139,1.237436864451458,1.6003048082099989
A1-B0-C0-r2,2000,1.3,8.0,0.9965,0.874737706978716,6190,120,8.0,1e-09,1.0981555458952035,A1,B0,C0,II,0.3569056579058139,1.237436864451458,1.6003048082099989
A2-B1-C1-r0,500,1.72,6.0,0.998,1.5656899384187564,1812,81,5.0,1e-09,1.5427074337960225,A2,B1,C1,I,0.14442044400368476,0.8838834746081845,1.0325651121222257
A2-B1-C1-r0,1000,2.8,5.0,0.999,1.8587910867098372,3714,84,5.666666666666667,0.4714045217910317,1.5456147970197198,A2,B1,C1,I,0.14442044400368476,0.8838834746081845,1.0325651121222257
A2-B1-C1-r0,1500,3.95,7.0,1.0,1.6731480098366138,5630,108,6.333333333333333,0.4714045217910317,1.6224154078900797,A2,B1,C1,I,0.14442044400368476,0.8838834746081845,1.0325651121222257
A2-B1-C1-r0,2000,6.51,7.0,0.999,1.3330512095275442,7564,93,6.666666666666667,0.4714045217910317,1.791280612053707,A2,B1,C1,I,0.14442044400368476,0.8838834746081845,1.0325651121222257
