rule_id,N,dt,diam_real,giant_real,holon_real,n_aristas,n_triangulos,diam_null_topo,diam_null_topo_std,holon_null_valor,eje_A,eje_B,eje_C,clase_final,pendiente_real,z_agg,holon_ratio
A2-B1-C1-r1,500,1.25,8.0,0.996,0.585740641286921,1393,42,6.666666666666667,0.9428090425820633,1.4796334317700957,A2,B1,C1,I,0.03303581988417981,1.4142135599355952,1.927552322854905
A2-B1-C1-r1,1000,2.44,8.0,0.994,0.5871509093776022,2808,45,7.333333333333333,0.9428090425820633,1.1448091402849216,A2,B1,C1,I,0.03303581988417981,1.4142135599355952,1.927552322854905
A2-B1-C1-r1,1500,2.93,9.0,0.9973333333333333,0.6741529205293983,4272,30,7.333333333333333,0.4714045217910317,1.119991753986109,A2,B1,C1,I,0.03303581988417981,1.4142135599355952,1.927552322854905
A2-B1-C1-r1,2000,5.4,8.0,0.9965,0.8193174125143139,5696,33,8.0,1e-09,1.2888008627099263,A2,B1,C1,I,0.03303581988417981,1.4142135599355952,1.927552322854905
A2-B1-C1-r2,500,1.03,8.0,0.998,0.9486578380568148,1142,36,7.666666666666667,0.4714045217910317,0.9294531673800385,A2,B1,C1,I,0.08631208277613758,0.7071067798740478,0.9374295789568867
A2-B1-C1-r2,1000,1.8,9.0,0.989,1.50551910190917,2368,30,8.666666666666666,0.4714045217910317,1.7107379671810563,A2,B1,C1,I,0.08631208277613758,0.7071067798740478,0.9374295789568867
A2-B1-C1-r2,1500,2.77,9.0,0.9933333333333333,1.518351079906913,3519,30,9.666666666666666,0.9428090425820633,1.3589510747761477,A2,B1,C1,I,0.08631208277613758,0.7071067798740478,0.9374295789568867
A2-B1-C1-r2,2000,3.88,9.0,0.991,1.5030185843987671,4738,30,9.333333333333334,0.4714045217910317,1.1101800827486927,A2,B1,C1,I,0.08631208277613758,0.7071067798740478,0.9374295789568867
A1-B1-C0-r0,500,0.87,8.0,0.982,1.4795205691370348,1117,99,8.333333333333334,0.4714045217910317,1.3849345922872756,A1,B1,C0,I,0.1339693239003558,0.7071067800615483,0.9861179746294013
A1-B1-C0-r0,1000,1.56,10.0,0.989,1.5083156634684527,2235,33,8.666666666666666,0.9428090425820633,1.2476489172981382,A1,B1,C0,I,0.1339693239003558,0.7071067800615483,0.9861179746294013
A1-B1-C0-r0,1500,2.13,9.0,0.9853333333333333,1.1638079409588578,3352,39,10.0,1e-09,1.4343868605866312,A1,B1,C0,I,0.1339693239003558,0.7071067800615483,0.9861179746294013
A1-B1-C0-r0,2000,3.12,10.0,0.987,1.7587313425392526,4470,36,10.333333333333334,0.4714045217910317,1.6685564921304084,A1,B1,C0,I,0.1339693239003558,0.7071067800615483,0.9861179746294013
A1-B1-C0-r1,500,0.8,9.0,0.986,1.914296575040927,1075,48,8.333333333333334,0.4714045217910317,1.6616569813513555,A1,B1,C0,I,0.0826334676513164,2.298097034356279,0.9063041153791891
A1-B1-C0-r1,1000,1.51,12.0,0.988,1.3512107646486469,2150,21,9.666666666666666,0.4714045217910317,1.0599230583168373,A1,B1,C0,I,0.0826334676513164,2.298097034356279,0.9063041153791891
A1-B1-C0-r1,1500,2.43,9.0,0.9793333333333333,1.1436927781927884,3225,45,10.333333333333334,0.9428090425820633,1.3999060272129176,A1,B1,C0,I,0.0826334676513164,2.298097034356279,0.9063041153791891
A1-B1-C0-r1,2000,2.48,11.0,0.985,1.9363422481446553,4300,30,10.333333333333334,0.4714045217910317,1.4498249463516593,A1,B1,C0,I,0.0826334676513164,2.298097034356279,0.9063041153791891
A1-B1-C0-r2,500,0.96,7.0,0.99,1.5929761042772599,1175,54,8.0,0.816496581927726,1.6755187576356438,A1,B1,C0,I,0.22472813953559964,0.8365163024253075,0.944084444841875
A1-B1-C0-r2,1000,1.65,8.0,0.989,1.5278722058330032,2350,69,8.666666666666666,0.4714045217910317,1.3683749970403896,A1,B1,C0,I,0.22472813953559964,0.8365163024253075,0.944084444841875
A1-B1-C0-r2,1500,2.07,10.0,0.9926666666666667,1.7492628774738699,3525,60,9.333333333333334,0.9428090425820633,1.424974049308076,A1,B1,C0,I,0.22472813953559964,0.8365163024253075,0.944084444841875
A1-B1-C0-r2,2000,3.32,9.0,0.989,1.6386395847308262,4700,63,9.0,0.816496581927726,1.6620702611131375,A1,B1,C0,I,0.22472813953559964,0.8365163024253075,0.944084444841875
A2-B0-C2-r0,500,0.33,9.0,0.992,0.6877756660632949,995,54,9.0,0.816496581927726,0.9103716043506688,A2,B0,C2,I,0.129230883184659,0.44194173739784204,1.8607234784095465
A2-B0-C2-r0,1000,0.65,10.0,0.982,0.7458689023531074,1987,42,10.0,0.816496581927726,1.5510789091514192,A2,B0,C2,I,0.129230883184659,0.44194173739784204,1.8607234784095465
A2-B0-C2-r0,1500,0.86,10.0,0.984,0.6738989989809687,3090,30,10.666666666666666,0.4714045217910317,1.656173395447836,A2,B0,C2,I,0.129230883184659,0.44194173739784204,1.8607234784095465
A2-B0-C2-r0,2000,1.41,11.0,0.982,0.8310779487929835,4060,57,11.333333333333334,0.9428090425820633,1.314839481789715,A2,B0,C2,I,0.129230883184659,0.44194173739784204,1.8607234784095465
A2-B0-C2-r1,500,0.27,18.0,0.93,0.7580835694072174,640,18,14.0,1.6329931628554522,2.2026936714702408,A2,B0,C2,I,0.07801648307969163,2.4135470397628227,2.9817872331661937
A2-B0-C2-r1,1000,0.66,17.0,0.92,0.47635134971109744,1279,15,17.0,0.816496581927726,2.114125466429357,A2,B0,C2,I,0.07801648307969163,2.4135470397628227,2.9817872331661937
A2-B0-C2-r1,1500,0.98,19.0,0.932,0.732615787391801,1964,12,18.666666666666668,2.494438258849294,1.8454023937456008,A2,B0,C2,I,0.07801648307969163,2.4135470397628227,2.9817872331661937
A2-B0-C2-r1,2000,1.33,20.0,0.9195,0.5491453109811685,2604,18,16.666666666666668,0.4714045217910317,1.1336854150302202,A2,B0,C2,I,0.07801648307969163,2.4135470397628227,2.9817872331661937
A2-B0-C2-r2,500,0.4,13.0,0.968,0.9029287172584054,800,27,13.333333333333334,2.0548046686563257,1.2958356314359836,A2,B0,C2,I,0.1289519417561204,0.9633351061669544,1.8934545338780238
A2-B0-C2-r2,1000,0.79,11.0,0.963,0.936044151465096,1621,24,11.666666666666666,0.9428090425820633,2.0822415796576803,A2,B0,C2,I,0.1289519417561204,0.9633351061669544,1.8934545338780238
A2-B0-C2-r2,1500,1.13,13.0,0.964,0.7044817385056468,2467,36,13.666666666666666,1.2472191299246471,1.7998825127136873,A2,B0,C2,I,0.1289519417561204,0.9633351061669544,1.8934545338780238
A2-B0-C2-r2,2000,1.43,16.0,0.9665,1.0689600606187326,3277,27,14.0,0.816496581927726,1.452990134722,A2,B0,C2,I,0.1289519417561204,0.9633351061669544,1.8934545338780238
