n,N,trials,excess_max,excess_max_sd,excess_L2,excess_L2_sd,excess_H,L2_analitico
4,250,6000,0.03290800000000001,0.015954671290879036,0.05051549792802405,0.021340738875457527,0.004353670975668063,0.05477225575051661
4,500,6000,0.023149333333333345,0.01133985741630917,0.03562674261996227,0.015291976445976425,0.0021723694517722402,0.03872983346207417
4,1000,6000,0.016339333333333345,0.007858404389922649,0.0252848969296419,0.010648770848821917,0.001087213339943197,0.027386127875258306
4,2000,6000,0.011575833333333342,0.005510951155552818,0.0179389016959668,0.007575495975563122,0.0005474682670825867,0.019364916731037084
4,4000,6000,0.008120916666666658,0.0038774728659771323,0.012596708636977023,0.005306699210913361,0.0002696787165130928,0.013693063937629153
4,8000,6000,0.005756541666666666,0.002773975771631258,0.008879118624594595,0.003764697911791068,0.00013419475990987287,0.009682458365518542
6,250,6000,0.03323066666666667,0.0135199652202051,0.054811644432984606,0.01777394069657603,0.005588018386115548,0.05773502691896258
6,500,6000,0.02337000000000001,0.009472345127909048,0.03866566093066004,0.012468092535023002,0.0027687129987749256,0.040824829046386304
6,1000,6000,0.01655033333333334,0.006683605139942569,0.027491729652439754,0.008937643279065884,0.001400576685759336,0.02886751345948129
6,2000,6000,0.011626,0.004678578440319479,0.019422594436736315,0.006328012485190443,0.0006990907192341297,0.020412414523193152
6,4000,6000,0.008172833333333338,0.003243218912849801,0.013717056465571661,0.0044558350605677964,0.000348463701238204,0.014433756729740645
6,8000,6000,0.005804250000000008,0.002259665119301724,0.009688076536538456,0.003084836249923118,0.00017310221797057115,0.010206207261596576
8,250,6000,0.03286066666666668,0.011953099439987198,0.057356504145005774,0.015409675497251791,0.006825075015390792,0.05916079783099616
8,500,6000,0.02287966666666667,0.008492478234034841,0.04032152888289131,0.01115154586650786,0.0033777497730938426,0.04183300132670378
8,1000,6000,0.016156499999999997,0.005741022651351697,0.02861898404800338,0.007805964731758754,0.0016960122153431541,0.02958039891549808
8,2000,6000,0.011432750000000005,0.0040404025093423515,0.02029265617026479,0.005431315576243738,0.000849213154186088,0.02091650066335189
8,4000,6000,0.008019583333333339,0.0028152545461684686,0.014289467598571389,0.003872277419819668,0.00042180973919798883,0.01479019945774904
8,8000,6000,0.005634854166666665,0.0019305397236436183,0.010102608531372818,0.0027012350237437394,0.00021045352144570623,0.010458250331675944
12,250,6000,0.030961333333333337,0.009954488345576693,0.05932952156242729,0.012704114996336516,0.008970195761538614,0.060553007081949835
12,500,6000,0.021683,0.006765776616340671,0.04185851505993214,0.009058001084350809,0.004448832482891144,0.042817441928883766
12,1000,6000,0.015171500000000004,0.004722038045754773,0.029568405291253572,0.0063702230624602734,0.002213950624526704,0.030276503540974917
12,2000,6000,0.010701833333333338,0.003293290650027047,0.020960393243438492,0.004525381944884292,0.0011114780069929552,0.021408720964441883
12,4000,6000,0.007470875000000002,0.0022693127167927366,0.01478076267608681,0.0031715224598288768,0.0005521790849631762,0.015138251770487459
12,8000,6000,0.005315020833333334,0.001601733728516065,0.01048210761242575,0.002267771988801503,0.0002777775288161117,0.010704360482220942
16,250,6000,0.029350666666666664,0.008667431350880273,0.06011639951421065,0.010945311451993862,0.01090072150324727,0.06123724356957945
16,500,6000,0.020540333333333338,0.005924613058157375,0.042520945196461456,0.007819881900185906,0.005425270614251441,0.04330127018922193
16,1000,6000,0.014362000000000002,0.004092019387376687,0.030102053588625395,0.005583908703962806,0.002711857817103532,0.030618621784789725
16,2000,6000,0.010069499999999999,0.002813524435650061,0.021265381778026917,0.0038737197241704964,0.001350213562787186,0.021650635094610966
16,4000,6000,0.007086625000000003,0.0019586895770833585,0.015079327540250327,0.0027636377175469535,0.0006786335784574368,0.015309310892394862
16,8000,6000,0.004978770833333338,0.0013948957732805602,0.010637812387325094,0.001960183002614701,0.00033771425369647043,0.010825317547305483
